"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",56.8189751109636,-0.396781633340797,0.578892176184511,-0.68541543600743,0.493081806212412,1
"ENSG00000000005",3.74894669884628,-0.676028464397637,0.919542634906692,-0.735179032200323,0.46223046707007,1
"ENSG00000000419",154.984134867819,0.220934986720469,0.174889552141394,1.26328293494541,0.20648751681373,0.989210747808639
"ENSG00000000457",109.301187769577,0.219163530166319,0.180511621255902,1.21412421339689,0.224700295040835,0.989247554966216
"ENSG00000000460",80.6988988830557,-0.186575272227985,0.267000763214036,-0.698781793662594,0.484688408166312,1
"ENSG00000000938",1.79908498706555,-0.104952632411664,0.911742424139284,-0.115112151889546,0.908356228119312,1
"ENSG00000000971",4.41268722332191,-0.722576946638696,0.880511773426032,-0.820632918770843,0.411855391085121,1
"ENSG00000001036",37.4702752018391,0.0412925868473855,0.33088048774094,0.124796077064886,0.900684993162166,1
"ENSG00000001084",304.515317235564,0.170328696071261,0.20144612902608,0.845529754752492,0.39781512691076,1
"ENSG00000001167",65.9528879261909,0.107287489639332,0.279755024543444,0.383505139235385,0.701345260454101,1
"ENSG00000001460",47.3810344961147,-0.169791063047471,0.29667009825965,-0.572322805849032,0.567103302111958,1
"ENSG00000001461",94.8762522303285,-0.366737528502502,0.317018513466137,-1.15683315934063,0.24734053139112,0.996453293162833
"ENSG00000001497",121.694096793933,-0.0960589525972501,0.259262697167439,-0.370508189750154,0.711003875537175,1
"ENSG00000001561",132.808034771026,-0.468388404195159,0.36800988466148,-1.27276038964555,0.203103080922136,0.989081583936613
"ENSG00000001617",4.12149327795001,-1.92731280561291,0.801881940751759,-2.4034869818942,0.0162395452116805,0.919034598154941
"ENSG00000001626",19.9765210026111,-0.234532868967611,0.471288406155642,-0.497641923510754,0.618736449070066,1
"ENSG00000001629",675.052037727692,0.137598325379869,0.184806354903252,0.744554079062395,0.45654133727689,1
"ENSG00000001631",0.177749922887202,-0.91121173903017,3.11674577461178,-0.292359982149545,0.770011401841039,1
"ENSG00000002016",181.969990348047,0.275663729701822,0.133422095585935,2.06610253340138,0.0388187990888503,0.919034598154941
"ENSG00000002330",29.4828405304695,0.310915130998198,0.336346729756033,0.9243887437934,0.355283953119726,1
"ENSG00000002549",110.621674583611,-0.133054470369867,0.213305104730226,-0.623775368799285,0.532775117890567,1
"ENSG00000002586",195.438208016963,-0.440495582037158,0.536011074134878,-0.821803136713394,0.41118894823455,1
"ENSG00000002587",3.1089920332324,-1.73066838120016,1.11040568100413,-1.55859107244043,0.119093197386267,0.958148054098317
"ENSG00000002726",3.78074521288615,-1.20642969973715,0.867074836393723,-1.39137897803014,0.16411053587406,0.978634903833864
"ENSG00000002745",0.56267069162257,-1.22635825969495,1.62752536489839,-0.753510996599133,0.451142905759907,1
"ENSG00000002746",71.9131577712394,-0.198135463476644,0.401204212253179,-0.493851902411262,0.621410774790134,1
"ENSG00000002834",123.881592701385,-0.213793857335353,0.337668994439515,-0.633146249303173,0.526638142571721,1
"ENSG00000002919",24.1430421734654,0.131549254873999,0.364978410691974,0.360430236475058,0.718525418527339,1
