"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000271321",-0.00207594110980392,0.000884026827586207,-4.43803695332168,0.000133358892753014,1,-0.0434953528690603
"ENSG00000279070",-0.0024810589248366,0.0014541369137931,-4.2430512945547,0.000225424872373005,1,-0.562030885402748
"ENSG00000162267",-0.00190522560130719,0.00102694032758621,-4.20927017032577,0.000246819954907754,1,-0.651404629954313
"ENSG00000168748",0.00713764261045753,0.00835438320344828,4.02883657521028,0.00039990515381087,1,-1.12602219276935
"ENSG00000170955",-0.00123191198562091,0.000438184393103448,-3.59858964988475,0.00124369301979991,1,-2.23390553907445
"ENSG00000230432",-0.00373746545620915,0.00224048421724138,-3.47276278850078,0.0017232586776682,1,-2.54986017887939
"ENSG00000250043",-0.00297709718169935,0.00123866058965517,-3.40049091627857,0.00207531120182353,1,-2.72936987966767
"ENSG00000276298",-0.00147168681111111,0.000515979117241379,-3.3295995098595,0.00248769652238056,1,-2.90395321836502
"ENSG00000286399",-0.0037794524496732,0.00413058403448276,-3.3183015681944,0.00256033314479136,1,-2.93163394629151
"ENSG00000248174",-0.0041165671745098,0.00351918721034483,-3.31603382607546,0.00257515733802393,1,-2.9371852442448
"ENSG00000226979",-0.00172202437843137,0.00110753083103448,-3.28730831980832,0.00277024618069761,1,-3.00736245376885
"ENSG00000226744",-0.00216452829673203,0.00121601358965517,-3.282099342666,0.00280711557529671,1,-3.02005985649399
"ENSG00000131042",-0.00120415736470588,0.000490540062068965,-3.25896497868211,0.00297664761323021,1,-3.07634581231326
"ENSG00000286403",0.0017787588882353,0.00104272072758621,3.14726025972431,0.00394348372367963,1,-3.34559508924386
"ENSG00000244743",-0.000954168356862745,0.000357090386206897,-3.13303204742264,0.00408637422339835,1,-3.37957859621263
"ENSG00000268117",-0.00409611513921568,0.00283477704482759,-3.13112138282144,0.00410593587405561,1,-3.38413661428002
"ENSG00000210195",-0.00304142555816993,0.00126526624827586,-3.11140015447671,0.00431314946379007,1,-3.43110582437053
"ENSG00000142224",0.0053708545261438,0.00724303382413793,3.10234140227582,0.00441164800847396,1,-3.45263321807
"ENSG00000188833",0.00158848927254902,0.00129478901724138,3.07818785079338,0.0046848926692929,1,-3.50988439920765
"ENSG00000270555",-0.0013553401,0.000420622789655172,-3.07343742978341,0.004740502071177,1,-3.52111881087656
"ENSG00000102802",-0.00145492470130719,0.000755214179310345,-3.06575826246985,0.00483173051106606,1,-3.53926161743565
"ENSG00000249854",-0.00286836679346405,0.00208585666206897,-3.0285882040415,0.00529748931239615,1,-3.62676376381063
"ENSG00000255389",0.0137906228235294,0.0270249962413793,3.01254910818381,0.00551141023328268,1,-3.66435753148371
"ENSG00000170571",0.00568893002352942,0.00962878483793103,2.95841786731571,0.00629568334572326,1,-3.79048778839001
"ENSG00000178358",-0.0009049341,0.000280841617241379,-2.91710641335865,0.00696432165162683,1,-3.8859523873084
"ENSG00000242866",-0.0016028283248366,0.00104257260344828,-2.89277011169867,0.00738914037479174,1,-3.94185966900762
"ENSG00000258649",-0.00170673139607843,0.000710713789655172,-2.89095305347691,0.00742182397409612,1,-3.9460239940872
"ENSG00000232158",-0.0014915226379085,0.000908910075862069,-2.89091059203328,0.00742258936476715,1,-3.94612129036622
"ENSG00000226339",-0.00142644138888889,0.000706706693103448,-2.87228128438769,0.00776568996803691,1,-3.98873488405174
"ENSG00000259661",-0.00304272772679738,0.00259700124827586,-2.87003934975715,0.0078079763884001,1,-3.99385324368963
"ENSG00000128253",0.00619160136928105,0.0108433239413793,2.84006519983313,0.00839463997302889,1,-4.0620769781733
"ENSG00000233128",-0.0010959076620915,0.000653656186206896,-2.83719389211319,0.00845297027975921,1,-4.06859190259575
"ENSG00000226084",-0.00126506400065359,0.000574787986206897,-2.82465000944978,0.00871230921168665,1,-4.09701139870757
"ENSG00000215905",-0.00110071759215686,0.000479256089655172,-2.81776803780624,0.0088577583203757,1,-4.11257388734892
