"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000234109",1.11764705882353,0.450980392156863,2.66675319956652,0.0103117824708341,0.232664953095814,-4.59499297982681
"ENSG00000180730",1.70588235294118,0.901960784313726,2.62382924140467,0.0115209160523307,0.232664953095814,-4.5949972032707
"ENSG00000139354",29.8823529411765,16.4705882352941,2.58117158140322,0.0128496848774703,0.232664953095814,-4.5950013655586
"ENSG00000271009",1.76470588235294,0.862745098039216,2.57996503480835,0.0128892233467714,0.232664953095814,-4.59500148276766
"ENSG00000272941",0.941176470588236,0.490196078431373,2.57044882747742,0.0132049763599123,0.232664953095814,-4.59500240619785
"ENSG00000261558",1.88235294117647,0.901960784313726,2.55936453647975,0.0135816325577208,0.232664953095814,-4.59500347950763
"ENSG00000261403",0.823529411764706,0.352941176470588,2.53406823482318,0.014478109443799,0.232664953095814,-4.59500591967448
"ENSG00000131080",1.76470588235294,0.941176470588235,2.52124532453037,0.0149527819027837,0.232664953095814,-4.5950071516048
"ENSG00000226781",1.11764705882353,0.509803921568627,2.51496279283543,0.0151904636405541,0.232664953095814,-4.59500775393932
"ENSG00000150630",35.9411764705883,21.0588235294118,2.49242418729651,0.0160716138094842,0.232664953095814,-4.5950099080093
"ENSG00000225774",5.29411764705883,2.45098039215686,2.49133264944911,0.0161154402232401,0.232664953095814,-4.59501001205791
"ENSG00000287345",7.64705882352941,3.88235294117647,2.48970636511477,0.0161809380496214,0.232664953095814,-4.59501016703317
"ENSG00000204889",2.47058823529412,1.11764705882353,2.48358347031018,0.0164297023317866,0.232664953095814,-4.59501075000347
"ENSG00000228950",0.882352941176471,0.392156862745098,2.45670897245595,0.0175630061142979,0.232664953095814,-4.5950132992408
"ENSG00000227203",1.41176470588235,0.666666666666667,2.44983266922039,0.0178641060118572,0.232664953095814,-4.59501394898962
"ENSG00000261710",1.82352941176471,0.980392156862745,2.4406311194251,0.0182743120766864,0.232664953095814,-4.59501481683167
"ENSG00000105122",2.17647058823529,1.17647058823529,2.42977223927879,0.0187693186382886,0.232664953095814,-4.59501583858103
"ENSG00000277710",2,1.09803921568627,2.42456236463441,0.0190110758306269,0.232664953095814,-4.59501632786674
"ENSG00000286331",3.64705882352941,2.01960784313725,2.41422720246073,0.0194989831499285,0.232664953095814,-4.59501729669941
"ENSG00000226899",44.5294117647059,21.3529411764706,2.40522135032807,0.0199332938889697,0.232664953095814,-4.5950181389635
"ENSG00000258793",3,1.68627450980392,2.39610420282461,0.0203818150322244,0.232664953095814,-4.59501898976725
"ENSG00000107984",6.29411764705883,3.07843137254902,2.39404230085482,0.0204845002087023,0.232664953095814,-4.59501918192004
"ENSG00000231439",15,8.11764705882353,2.38907987531536,0.0207335430415478,0.232664953095814,-4.59501964398075
"ENSG00000286467",4.76470588235294,2.50980392156863,2.38676206415321,0.0208507930878875,0.232664953095814,-4.59501985960353
"ENSG00000235070",2.47058823529412,1.17647058823529,2.37690665508346,0.0213560197891601,0.232664953095814,-4.59502077506139
"ENSG00000163735",2.47058823529412,1.49019607843137,2.36212884710371,0.0221341824459869,0.232664953095814,-4.59502214355018
"ENSG00000274419",1.11764705882353,0.627450980392157,2.36046260855903,0.0222234976946048,0.232664953095814,-4.59502229753262
"ENSG00000132744",1.05882352941176,0.431372549019608,2.35575416466639,0.0224776320186931,0.232664953095814,-4.59502273230445
"ENSG00000229086",0.88235294117647,0.450980392156863,2.35387449390264,0.0225798104910326,0.232664953095814,-4.59502290572602
"ENSG00000117507",2.41176470588235,1.2156862745098,2.34955971018191,0.0228159359287629,0.232664953095814,-4.59502330350165
"ENSG00000286800",7.94117647058823,4.70588235294118,2.34915755149788,0.0228380561756779,0.232664953095814,-4.59502334055397
"ENSG00000118702",2,0.901960784313726,2.34623206964386,0.0229995472764482,0.232664953095814,-4.59502360997457
"ENSG00000218502",1.52941176470588,0.88235294117647,2.34430437618705,0.0231065166846155,0.232664953095814,-4.59502378739419
"ENSG00000114737",2.05882352941176,1.15686274509804,2.34348347505504,0.0231522041935745,0.232664953095814,-4.59502386292106
"ENSG00000112303",1.82352941176471,0.980392156862745,2.34317075725072,0.0231696298476159,0.232664953095814,-4.59502389168842
"ENSG00000256021",1.82352941176471,0.843137254901961,2.33545482898554,0.0236033192243146,0.232664953095814,-4.59502460075506
"ENSG00000280734",2.94117647058824,1.82352941176471,2.33485976585059,0.02363706550249,0.232664953095814,-4.59502465538065
"ENSG00000189409",2.76470588235294,1.70588235294118,2.33226892027144,0.0237844966711101,0.232664953095814,-4.59502489311696
"ENSG00000115507",2.70588235294118,1.45098039215686,2.33042837868878,0.0238897308137398,0.232664953095814,-4.59502506190828
"ENSG00000287961",2.35294117647059,1.25490196078431,2.32980918173313,0.023925227216279,0.232664953095814,-4.59502511867509
"ENSG00000234493",13.4705882352941,7.03921568627451,2.32824876868971,0.0240148893722109,0.232664953095814,-4.5950252616903
"ENSG00000176294",5.11764705882353,3.01960784313725,2.32630653084025,0.0241269106994359,0.232664953095814,-4.59502543961941
"ENSG00000163734",1.35294117647059,0.784313725490196,2.32358480740459,0.0242846753087479,0.232664953095814,-4.59502568880582
"ENSG00000228079",3.82352941176471,2.25490196078431,2.32179940180046,0.0243886660577033,0.232664953095814,-4.59502585217172
"ENSG00000283175",0.88235294117647,0.470588235294118,2.31416801891066,0.0248376507068621,0.232664953095814,-4.59502654958669
"ENSG00000231583",1.94117647058824,0.88235294117647,2.3137001834094,0.024865413770541,0.232664953095814,-4.59502659229557
"ENSG00000180929",4.29411764705883,2.64705882352941,2.31197139942636,0.0249682464773506,0.232664953095814,-4.59502675007117
"ENSG00000234371",4,2.2156862745098,2.31065843002526,0.0250465987316996,0.232664953095814,-4.59502686984974
"ENSG00000253449",2.82352941176471,1.52941176470588,2.31011589377432,0.0250790389027323,0.232664953095814,-4.59502691933167
"ENSG00000279873",0.941176470588236,0.431372549019608,2.30971066141851,0.0251032936309427,0.232664953095814,-4.59502695628619
"ENSG00000252322",1.94117647058824,1.2156862745098,2.30765228268804,0.0252268189203294,0.232664953095814,-4.59502714393549
"ENSG00000238180",0.823529411764706,0.411764705882353,2.30685506381953,0.0252748062289299,0.232664953095814,-4.59502721658534
"ENSG00000137878",3.64705882352941,1.92156862745098,2.30420074119984,0.0254351661095611,0.232664953095814,-4.5950274583605
"ENSG00000121966",2,1.05882352941176,2.30406849492005,0.0254431793872844,0.232664953095814,-4.59502747040199
"ENSG00000272910",3.70588235294118,2.15686274509804,2.30369071155827,0.0254660830389226,0.232664953095814,-4.59502750479818
"ENSG00000206646",1.52941176470588,0.725490196078431,2.30243770969848,0.0255421796808733,0.232664953095814,-4.59502761885594
