"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000256259",0.141435812888889,0.0218131805689655,5.6472755627685,4.41239547327459e-06,0.0832974051524791,-0.160101610115369
"ENSG00000246090",0.403275914888889,0.131432325793103,5.48786906125366,6.83830598082909e-06,0.0832974051524791,-0.31333518527131
"ENSG00000277089",0.0613498145222222,0.0211250801948276,4.84747128920163,4.00280520518384e-05,0.232879443996321,-0.959056447811812
"ENSG00000125144",0.0320294240555556,0.0115163575265517,4.81176319299715,4.41741406273739e-05,0.232879443996321,-0.99636572268765
"ENSG00000256424",0.0638125857777778,0.0262668710827586,4.7633598137054,5.04859737021584e-05,0.232879443996321,-1.04713797003551
"ENSG00000231605",0.519291013611111,0.156525874524138,4.71710857906378,5.73547600352157e-05,0.232879443996321,-1.09586108604552
"ENSG00000258231",0.251008614888889,0.140106814448276,4.02898369676594,0.000377087978492812,0.999973395415612,-1.84060701505877
"ENSG00000271843",0.0167735480555556,0.0117762896827586,3.78233764190517,0.000731927112965745,0.999973395415612,-2.11363764053382
"ENSG00000153294",0.0506962511777778,0.015972904037931,3.77969458357426,0.000737111031610803,0.999973395415612,-2.11657118689978
"ENSG00000286797",0.134401135333333,0.0608282589689655,3.77856795465007,0.000739331615731654,0.999973395415612,-2.11782166978292
"ENSG00000272509",0.0162313918888889,0.0123181919024138,3.61995095203729,0.00112670889709113,0.999973395415612,-2.29397940311738
"ENSG00000101265",0.216770336222222,0.124979465586207,3.60717515388382,0.00116536617096691,0.999973395415612,-2.30816947969487
"ENSG00000273597",0.0207782510222222,0.0144925718655172,3.60160816247518,0.00118261148118981,0.999973395415612,-2.31435243726193
"ENSG00000204434",0.288684258833333,0.0538177549137931,3.57917871899862,0.00125464029248599,0.999973395415612,-2.33926124094
"ENSG00000230739",0.0259137224222222,0.0107097118068965,3.52804488049938,0.00143513759073393,0.999973395415612,-2.39602694103915
"ENSG00000243629",0.080580613,0.0182574740724138,3.45378884736567,0.00174277452865714,0.999973395415612,-2.47838109205506
"ENSG00000169006",0.0189830140333333,0.014406438,3.44896282065709,0.0017648390494406,0.999973395415612,-2.4837290398009
"ENSG00000276136",0.0284173095555556,0.0217870286827586,3.43683506231679,0.00182148619612725,0.999973395415612,-2.49716559565817
"ENSG00000255429",0.128829437777778,0.0592342096896552,3.43021661995768,0.00185313747076875,0.999973395415612,-2.50449653698962
"ENSG00000237522",0.0366733427222222,0.0197715465448276,3.40661542900036,0.00197039011436075,0.999973395415612,-2.53062774952292
"ENSG00000241002",0.0213653016111111,0.0144751448517241,3.36621662186473,0.00218791550899063,0.999973395415612,-2.57531415410611
"ENSG00000100429",0.0878213576666668,0.0914356884482759,3.35430522034956,0.00225635617327877,0.999973395415612,-2.58847824349465
"ENSG00000259417",0.0552060051111111,0.0409923097931034,3.34856674562897,0.00229006060870539,0.999973395415612,-2.59481821109624
"ENSG00000279048",0.0288616867777778,0.0156398405413793,3.3254571756215,0.00243076977500013,0.999973395415612,-2.62033622059487
"ENSG00000261427",0.0404882239444445,0.0193310928655172,3.31898502083207,0.00247164685477663,0.999973395415612,-2.62747875346666
"ENSG00000233060",0.0254026693777778,0.0137081845137931,3.31608669185331,0.0024901660371469,0.999973395415612,-2.63067667966662
"ENSG00000250098",0.0181234554555556,0.0130385612344828,3.30632169917668,0.00255354867039882,0.999973395415612,-2.64144824295155
"ENSG00000225630",0.0895074483888889,0.035633107637931,3.29516061649329,0.00262789454570894,0.999973395415612,-2.65375433153539
"ENSG00000170458",0.0267919286666667,0.0165920208103448,3.20076469156325,0.00334553087007792,0.999973395415612,-2.75757259690613
"ENSG00000260337",0.0772780244444445,0.0671795610862069,3.16812615955129,0.00363480270880979,0.999973395415612,-2.79334585933098
"ENSG00000225605",0.31127102,0.191382932827586,3.16313839173857,0.00368106518305304,0.999973395415612,-2.79880646991065
"ENSG00000254532",1.00101888888889,0.544605611793104,3.15227513090389,0.00378378120786475,0.999973395415612,-2.81069366823517
"ENSG00000257159",0.0175536020555556,0.0108073765541379,3.15174492853068,0.00378886398120952,0.999973395415612,-2.81127363614318
"ENSG00000196900",0.0167625199777778,0.0131618511206897,3.15033302861744,0.00380243099148149,0.999973395415612,-2.81281796285414
"ENSG00000277701",0.0575609753333333,0.041868571962069,3.14410376313351,0.00386284481756198,0.999973395415612,-2.81962981365578
"ENSG00000180481",0.232041412,0.172115715206897,3.14396479290435,0.00386420301302333,0.999973395415612,-2.81978174954328
"ENSG00000285817",0.116593786,0.0723793348275862,3.14350706867165,0.00386867971051465,0.999973395415612,-2.82028216884388
"ENSG00000287520",0.0507287657777778,0.0228053939482759,3.14215243785167,0.00388195752300395,0.999973395415612,-2.82176306772277
"ENSG00000213700",0.0276534776666667,0.0236770386034483,3.14031617410429,0.00390002576265387,0.999973395415612,-2.82377028390779
"ENSG00000170214",0.693224878888889,0.553403546896552,3.13506336658408,0.00395215658392379,0.999973395415612,-2.82951077651557
"ENSG00000259129",0.0195940695888889,0.0132776610965517,3.13339857010794,0.00396881714904224,0.999973395415612,-2.83132972002114
"ENSG00000241956",11.4357932,9.64624770344828,3.11864241048195,0.00411945261676644,0.999973395415612,-2.84744326735713
"ENSG00000206617",0.0202654834222222,0.0108287290724138,3.10646817846294,0.00424782611743031,0.999973395415612,-2.86072507108974
"ENSG00000074219",0.0413399154888889,0.0192912337965517,3.09440828200242,0.00437875269431173,0.999973395415612,-2.87387086398139
"ENSG00000254319",0.225001415555556,0.196641841862069,3.07518777414025,0.00459540506876892,0.999973395415612,-2.8947981407826
"ENSG00000240012",0.0216200340555556,0.016831475337931,3.04452344447735,0.00496233563145852,0.999973395415612,-2.92812215177484
"ENSG00000231876",0.0282714561111111,0.0227401055068965,3.04272788773438,0.00498466383995136,0.999973395415612,-2.93007095439898
"ENSG00000101542",3.30587196666667,2.52634804689655,3.03920502948353,0.00502874957592465,0.999973395415612,-2.93389365962186
"ENSG00000286774",0.0761468076666667,0.0706369875172414,3.03241780696027,0.00511473414836057,0.999973395415612,-2.94125549117493
"ENSG00000274767",0.937715191111112,0.651688230344828,3.03210587086451,0.00511871936370907,0.999973395415612,-2.94159373769651
"ENSG00000287360",0.106914130111111,0.0913204032758621,3.02875305106402,0.00516174100961775,0.999973395415612,-2.94522880454971
"ENSG00000255475",-0.0159107927222222,0.0131168019103448,-3.00769936124338,0.00543984998655266,0.999973395415612,-2.96803155516965
"ENSG00000248663",0.0462441724444445,0.0367942296551724,3.00228862572714,0.00551359005007325,0.999973395415612,-2.9738851898876
"ENSG00000235770",0.126444401,0.078973952137931,3.00136073353226,0.00552633079209672,0.999973395415612,-2.97488875960952
"ENSG00000090776",0.0768714483888889,0.0354638395,2.99965120919564,0.00554987724767452,0.999973395415612,-2.97673749791566
"ENSG00000169836",0.491811776944445,0.167947483706897,2.99579064139027,0.00560340249906822,0.999973395415612,-2.98091143195965
"ENSG00000057468",0.768445961111111,0.611619486896552,2.99325121282028,0.00563887752625954,0.999973395415612,-2.98365621664335
"ENSG00000286153",0.259169148888889,0.124969348482759,2.99005625888819,0.0056838129662649,0.999973395415612,-2.9871086620956
"ENSG00000182050",9.81486088888889,11.2664206896552,2.98769808647937,0.00571719728998691,0.999973395415612,-2.98965625879426
"ENSG00000259525",0.236705212566667,0.0654208412737931,2.98455742255039,0.00576194829585742,0.999973395415612,-2.99304836920061
"ENSG00000259819",0.185043702222222,0.0530071322068966,2.98371859980133,0.00577395672635836,0.999973395415612,-2.99395418785869
"ENSG00000183779",0.0360010308888889,0.0237215523827586,2.98076384586259,0.00581644586434606,0.999973395415612,-2.99714439030881
"ENSG00000187961",0.0958472968888889,0.0986724054482759,2.97206170578465,0.00594331192119375,0.999973395415612,-3.00653499329679
"ENSG00000279875",0.0196040421666667,0.0113968926103448,2.97039269310069,0.00596794204879272,0.999973395415612,-3.00833519514539
"ENSG00000287063",0.0282716033333333,0.0306737317758621,2.95007571532192,0.00627563061702579,0.999973395415612,-3.03022674006653
"ENSG00000271265",0.0410867624444445,0.0430928293793103,2.94200171418764,0.00640203116042604,0.999973395415612,-3.03891478665727
"ENSG00000120907",0.537177976111111,0.261361752482759,2.94111383399517,0.00641607736547747,0.999973395415612,-3.03986977976653
"ENSG00000254171",0.226252276222222,0.166498243551724,2.93369674395863,0.00653456053067662,0.999973395415612,-3.04784429115732
"ENSG00000198840",12.0924068222222,5.0300133137931,2.93071254010926,0.00658281304797234,0.999973395415612,-3.05105113628051
"ENSG00000125899",0.0583589335555556,0.0278793489862069,2.92403530758699,0.00669200339836599,0.999973395415612,-3.05822311032785
"ENSG00000258964",0.0201297166666667,0.013437430237931,2.92314368505391,0.00670671280121463,0.999973395415612,-3.05918043636497
"ENSG00000277879",0.0143965456222222,0.0101738037137931,2.92225248606554,0.00672144577777786,0.999973395415612,-3.06013722246379
"ENSG00000263711",0.122011801944444,0.0330405740586207,2.920701257044,0.00674716317984647,0.999973395415612,-3.06180240951959
"ENSG00000158683",1.05274524444444,1.03827772172414,2.90191351477847,0.00706612045300482,0.999973395415612,-3.08194960435695
"ENSG00000288000",0.604853328333333,0.366407819137931,2.90004034889062,0.0070986906709506,0.999973395415612,-3.08395618348813
"ENSG00000231827",-0.0157246650222222,0.0114679125827586,-2.89839198717911,0.00712746932861112,0.999973395415612,-3.0857216245365
"ENSG00000114529",0.117856605888889,0.0879325177931034,2.89345892234621,0.00721425539610099,0.999973395415612,-3.09100326150803
"ENSG00000177943",0.0356207464444445,0.0348856997241379,2.88620809590485,0.00734363071224984,0.999973395415612,-3.09876146827149
"ENSG00000256581",0.0663292162222222,0.0416228072413793,2.87667800214083,0.00751700843440996,0.999973395415612,-3.10894934680571
"ENSG00000237499",0.197663203666667,0.0462411730448276,2.87332212120465,0.00757897521085234,0.999973395415612,-3.11253437437903
"ENSG00000244119",0.0382052773333333,0.0325419257586207,2.86889898649797,0.0076613854480322,0.999973395415612,-3.11725753772246
"ENSG00000055732",0.0536933266111111,0.0305820447551724,2.86696703474113,0.00769764547461632,0.999973395415612,-3.11931982264438
"ENSG00000285968",0.0697526131222222,0.0209340183448276,2.86593573120572,0.00771706780169429,0.999973395415612,-3.12042052143214
"ENSG00000064218",0.0476273830555556,0.0235251790793104,2.85916103764606,0.00784580775067202,0.999973395415612,-3.12764797347429
"ENSG00000026297",0.0256886625333333,0.0150916433,2.85909271440507,0.00784711635671228,0.999973395415612,-3.12772083527539
"ENSG00000169436",0.200413045777778,0.132659403103448,2.85850778214345,0.00785832808357612,0.999973395415612,-3.12834460068947
"ENSG00000253693",4.59073186666667,4.13011265862069,2.84843165868644,0.00805384928193437,0.999973395415612,-3.1390832854533
"ENSG00000155254",0.0634767825555556,0.0596428216551724,2.83875102074029,0.00824600633931094,0.999973395415612,-3.14938900055785
