"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000228486",-0.653988867916667,0.29763844,-5.99676136082007,2.41784724565606e-05,0.589351099652972,2.74473713910761
"ENSG00000104936",-0.590174683333333,0.266699175294118,-5.80186121901947,3.44982643868629e-05,0.589351099652972,2.38823394671908
"ENSG00000169851",-4.39796231666667,2.14840404117647,-5.20063106922705,0.000106647839362448,0.778804957508372,1.25643625153445
"ENSG00000196353",-0.75494375875,0.464562114117647,-5.16510526473546,0.000114170447444415,0.778804957508372,1.18812943033206
"ENSG00000286129",-0.6029689475,0.399585784117647,-5.10315091916728,0.000128629563223192,0.778804957508372,1.06865036936289
"ENSG00000156689",-1.40375336583333,0.891702367647059,-5.07138575286654,0.000136764414348647,0.778804957508372,1.00721795069038
"ENSG00000197140",-0.95509226875,0.723306771176471,-4.80666764153791,0.000229067506787571,1,0.490923664001001
"ENSG00000083093",-0.50380630125,0.240966315294118,-4.76231673044464,0.000249940359713139,1,0.403707158012231
"ENSG00000173988",-0.517568841416667,0.253570653941176,-4.6774909289175,0.000295485314688756,1,0.236366553503271
"ENSG00000100319",-0.485559022916667,0.168190034529412,-4.66425521303659,0.000303326336861374,1,0.210194987156955
"ENSG00000163689",-0.467721705833334,0.202143087352941,-4.39592425036449,0.000517825648827193,1,-0.323587465571953
"ENSG00000118046",-0.551330265833333,0.313804337058823,-4.34696350911212,0.000571333721611455,1,-0.42157298155946
"ENSG00000164512",-1.37929844,0.705752827058824,-4.30408775573174,0.000622822760875742,1,-0.507509392831263
"ENSG00000070159",-0.536119126416667,0.241884183647059,-4.26375138499726,0.000675588414387657,1,-0.588458883973145
"ENSG00000183032",-0.459197259166667,0.263846423529412,-4.14089339137698,0.000866176793125237,1,-0.835562764165351
"ENSG00000232176",-0.0670352703333334,0.017743001,-4.1293307149505,0.000886726278047113,1,-0.858856226197823
"ENSG00000233673",-0.0798080868333333,0.0221260455882353,-4.11213821475251,0.000918202522079142,1,-0.893501745509763
"ENSG00000254532",-0.987767139666667,0.272988641352941,-4.04228995669253,0.00105822087157396,1,-1.03437507707985
"ENSG00000099364",-0.460857183333333,0.198738002764706,-4.03613436286091,0.00107155673672238,1,-1.04679823661933
"ENSG00000104998",-0.457253798958333,0.174368197176471,-4.02873030878239,0.0010878237147229,1,-1.06174263268727
"ENSG00000288602",-0.483452289166667,0.295974265294118,-4.0026865517505,0.00114706170761765,1,-1.11432277430467
"ENSG00000135903",-0.0654419822333333,0.0156753926058824,-3.89389536837805,0.00143208933437507,1,-1.3341421088391
"ENSG00000154646",-0.0651161407083334,0.0196952324705882,-3.84875413965029,0.00157052045125583,1,-1.4254104192957
"ENSG00000151148",-0.534770117083333,0.438117146470588,-3.75193212032334,0.00191483071710196,1,-1.62120389453221
"ENSG00000130150",-0.555094194583333,0.376441261176471,-3.68292881978121,0.00220584977397078,1,-1.76071249711054
"ENSG00000165509",-0.434778823375,0.179028024882353,-3.6532357152353,0.00234442297120045,1,-1.82072275720463
"ENSG00000125485",-0.448532809166667,0.285986919411765,-3.62797445834506,0.00246918883844673,1,-1.87176104704587
"ENSG00000189144",-0.686075086666667,0.60607746,-3.59812077937668,0.00262527127230511,1,-1.93205619474775
"ENSG00000050555",-0.503724735833334,0.425761326470588,-3.5962309213383,0.0026354791502521,1,-1.93587223213658
"ENSG00000168702",-12.0729076291667,12.1065679941176,-3.53845841051865,0.00296751917279426,1,-2.05246780458351
"ENSG00000243981",-0.055555556,0.00980392164705882,-3.53264136677777,0.003003194473603,1,-2.06420055609455
"ENSG00000075131",-0.496854768333334,0.421228935588235,-3.50307429637792,0.00319128043661507,1,-2.12381320709265
"ENSG00000256597",-0.055124521525,0.0100067614,-3.50283313209352,0.00319286210480583,1,-2.12429927307839
"ENSG00000204434",-0.446717093708333,0.0926752394705882,-3.48709428914711,0.0032978000412655,1,-2.15601473278423
"ENSG00000188626",-0.427401477083333,0.116854052058824,-3.4810639766314,0.0033389155474663,1,-2.16816316939047
"ENSG00000273118",-0.548208453333333,0.419830008823529,-3.47456093121259,0.00338382926027591,1,-2.18126184191109
"ENSG00000129250",-0.42918610125,0.289317465,-3.43783404717774,0.00364906816934232,1,-2.25519488974649
"ENSG00000268043",-0.570997536666667,0.491553671176471,-3.43271762682074,0.00368763205435688,1,-2.26548829880717
"ENSG00000104774",-0.423901655,0.163112303529412,-3.43264391974767,0.00368819057014983,1,-2.26563657391728
"ENSG00000246090",-0.23848739975,0.0850040071764706,-3.42323907063361,0.00376015362997492,1,-2.28455338880142
"ENSG00000282904",-0.055124521525,0.0113436598117647,-3.41249780666056,0.00384405953107921,1,-2.30615146318402
