"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000283347",-0.0141524435666667,0.00262901994137931,-6.55125008690271,4.91914933964346e-07,0.00767405859533891,5.31105847543218
"ENSG00000139899",-0.0192363081431373,0.0037782881,-6.35460615269917,8.20130856654127e-07,0.00767405859533891,4.79366371398903
"ENSG00000205858",-0.0135932074784314,0.00184032562758621,-6.22734461273629,1.14401958441042e-06,0.00767405859533891,4.45709070547251
"ENSG00000285018",-0.0103151165882353,0.00187904751724138,-6.18117587726943,1.29133109700783e-06,0.00767405859533891,4.33467417500667
"ENSG00000157131",-0.010120726,0.00114329220689655,-6.13280397471063,1.46636536505889e-06,0.00767405859533891,4.20624630292864
"ENSG00000248551",-0.0102474786117647,0.00209453152413793,-6.12277769681106,1.50555305829438e-06,0.00767405859533891,4.17960527260528
"ENSG00000261615",-0.010120726,0.00122885736551724,-6.06929212260275,1.7332523562955e-06,0.00767405859533891,4.03736839337856
"ENSG00000279727",-0.0138736477901961,0.00358189603103448,-6.05572523354953,1.79636203074413e-06,0.00767405859533891,4.00125801360081
"ENSG00000260526",-0.0162290352294118,0.00521252276206897,-5.94007474104943,2.43818900005809e-06,0.00865090494855852,3.69294944292769
"ENSG00000185860",-0.0113597626529412,0.00315195178965517,-5.92591795549979,2.53128070826267e-06,0.00865090494855852,3.65515217652128
"ENSG00000128692",-0.00995022301176471,0.0012510992,-5.88854276709455,2.79469921523426e-06,0.00868287639816783,3.55530741930806
"ENSG00000283228",-0.0186954339313726,0.00339645794827586,-5.8548995432215,3.05545981192192e-06,0.00870194954435363,3.46536432315061
"ENSG00000168778",-0.0493909690196078,0.0252854368517241,-5.77654316749041,3.76225437693179e-06,0.00989067735277085,3.25564824261885
"ENSG00000261613",-0.0307467952215686,0.0144999030551724,-5.64397223224127,5.3551167209925e-06,0.0130726049326171,2.90016057731978
"ENSG00000288552",-0.00961315514705883,0.00134451318965517,-5.56072088990214,6.68803208914917e-06,0.0152380123119175,2.67655744338979
"ENSG00000285686",-0.0096107577254902,0.00163191768965517,-5.40167878617268,1.02369339253478e-05,0.0218660908645428,2.24879565993725
"ENSG00000239445",-0.0273947800313726,0.011166617362069,-5.36242549333487,1.13731493774072e-05,0.0225371656293549,2.14313026909475
"ENSG00000261542",-0.0136491728431373,0.00409399927586207,-5.34033354944316,1.20675701320214e-05,0.0225371656293549,2.08365012534213
"ENSG00000256825",-0.0130678751686275,0.00380213649655172,-5.32633696566095,1.25294401614508e-05,0.0225371656293549,2.04596227671942
"ENSG00000242578",-0.0191146082705882,0.00678051342758621,-5.24198238780331,1.57148115835904e-05,0.0257649609019301,1.81878203596083
"ENSG00000226645",-0.00520315966666667,0.000538257896551724,-5.23922437249847,1.58316999924079e-05,0.0257649609019301,1.81135339750439
"ENSG00000226499",-0.0197923870294118,0.00576202594827586,-5.21306860185711,1.69845693731006e-05,0.0263847564952312,1.74090220322056
"ENSG00000268199",-0.00975514291764706,0.00151797446206897,-5.13864643355172,2.07473714349718e-05,0.028849100205981,1.54044382949701
"ENSG00000272243",-0.0328854175176471,0.00725271417931034,-5.13771836189875,2.07992308822366e-05,0.028849100205981,1.53794415525676
"ENSG00000254035",-0.0252513043352941,0.0107001198724138,-5.13232247866662,2.1103332898804e-05,0.028849100205981,1.52341095138359
"ENSG00000263266",-0.016953783527451,0.0030235571137931,-5.07294936549205,2.47590080149706e-05,0.0325447637661398,1.36351219195801
"ENSG00000143373",-0.0536512104490196,0.0290025346793103,-4.99335559415782,3.06753697336442e-05,0.0388282013339639,1.14923136848669
"ENSG00000267030",-0.00520315966666667,0.000642435413793103,-4.95206936371144,3.42825954973996e-05,0.0393002631437706,1.03813143662807
"ENSG00000246090",-0.0836495414137255,0.02491493,-4.94591360448489,3.48556663820872e-05,0.0393002631437706,1.0215701096071
"ENSG00000134812",-0.0251997595235294,0.00410343874827586,-4.94565694276028,3.48797674798391e-05,0.0393002631437706,1.02087961415051
"ENSG00000132746",-0.00940710441176471,0.00146530155172414,-4.93756678298822,3.56480617233406e-05,0.0393002631437706,0.999115625627914
"ENSG00000224141",-0.0104329775588235,0.00319863367241379,-4.90570514738932,3.88421537950355e-05,0.0414834202530979,0.91342038475619
"ENSG00000214866",-0.0101581526529412,0.00241841281034483,-4.86459545858577,4.33900343195699e-05,0.0449362973607764,0.802899417669124
"ENSG00000180769",-0.0764083474509804,0.0566997523448276,-4.82461402355327,4.83233122913649e-05,0.0482988916680802,0.695470735256828
"ENSG00000234883",-0.0788241799117647,0.0275993859034483,-4.81595581930506,4.94634014625119e-05,0.0482988916680802,0.672214883794862
"ENSG00000170209",-0.00949448535294118,0.00263541503448276,-4.77306400798091,5.55201108217438e-05,0.048929278983889,0.557056339189886
"ENSG00000259112",-0.0137312061156863,0.0078509630137931,-4.76465961300527,5.67909740035299e-05,0.048929278983889,0.534501691617356
"ENSG00000249614",-0.0114491772509804,0.00489981352068965,-4.76187887904072,5.72178233135305e-05,0.048929278983889,0.527039866667765
"ENSG00000223202",-0.00501990880196078,0.000645680817241379,-4.7460049613809,5.97165679385029e-05,0.048929278983889,0.484451140405278
"ENSG00000287359",-0.00926125811176471,0.00175129572758621,-4.74194870696755,6.03723594195596e-05,0.048929278983889,0.473570513501588
"ENSG00000272764",-0.0134435890372549,0.00377683011724138,-4.73137724059229,6.2115470521797e-05,0.048929278983889,0.445217294334908
"ENSG00000240963",-0.0560679424313725,0.0429815808965517,-4.72367807222117,6.34165026604597e-05,0.048929278983889,0.424571452385468
"ENSG00000253341",-0.00977058594117647,0.0016709024137931,-4.72145366220135,6.37974296382778e-05,0.048929278983889,0.418607140492771
"ENSG00000232347",-0.0129472094196078,0.00262828269655172,-4.7176659757398,6.44513268491074e-05,0.048929278983889,0.408451834483873
"ENSG00000256259",-0.0247591004784314,0.00473038017931034,-4.70422841531409,6.68255696355428e-05,0.048929278983889,0.372430294122266
"ENSG00000169188",-0.0364124375098039,0.0247162895172414,-4.7028766112082,6.70691939727299e-05,0.048929278983889,0.368807126745805
"ENSG00000267392",-0.0105451323176471,0.00266357848965517,-4.70165999451302,6.72892120857556e-05,0.048929278983889,0.365546383611472
"ENSG00000253449",-0.00506916529019608,0.00072098384137931,-4.67667372171025,7.19704937583969e-05,0.0507896322662212,0.298597841076621
"ENSG00000239377",-0.0157262750039216,0.00219473474482759,-4.67231447432954,7.2819873040872e-05,0.0507896322662212,0.286921413782862
"ENSG00000184811",-0.0136169083607843,0.00480387782068966,-4.65191704051608,7.69289363893074e-05,0.051868605920659,0.232301573938363
"ENSG00000072133",-0.056880813245098,0.0340432644655172,-4.64472733611002,7.84317375943117e-05,0.051868605920659,0.213055374330237
"ENSG00000258884",-0.00715940485882353,0.00128355163448276,-4.64242124918883,7.89199294204783e-05,0.051868605920659,0.206882889010434
"ENSG00000251246",-0.00924779045294118,0.00183166395172414,-4.61395969153221,8.52003924371085e-05,0.0549397851307664,0.130731442114042
"ENSG00000224195",-0.00887371125294118,0.00188215781724138,-4.58550444006393,9.1977064825235e-05,0.0562941601130814,0.0546525418818611
"ENSG00000254466",-0.00921561542352941,0.00183895302758621,-4.5846446305225,9.21899776043361e-05,0.0562941601130814,0.0523546266071175
"ENSG00000187049",-0.0340484046588235,0.0171894335448276,-4.571054869357,9.56210993563955e-05,0.0562941601130814,0.016042022248369
"ENSG00000267001",-0.00833737113921569,0.00134208749310345,-4.56125340247929,9.81743911505176e-05,0.0562941601130814,-0.0101395036348251
"ENSG00000257046",-0.00503265667843137,0.00074238544137931,-4.5587663319757,9.88329991456076e-05,0.0562941601130814,-0.0167817702604918
"ENSG00000197083",-0.0174021335137255,0.00501332984827586,-4.55852490769465,9.8897165070857e-05,0.0562941601130814,-0.0174265215517755
"ENSG00000167378",-0.0157778373392157,0.00352921375517241,-4.54768444873682,0.000101821484009473,0.0562941601130814,-0.046372589864192
"ENSG00000143740",-0.0614070231960785,0.0482518208965517,-4.54522459890801,0.000102496940533404,0.0562941601130814,-0.0529395828980546
"ENSG00000163687",-0.00900932591372549,0.00189421216551724,-4.54440524827171,0.000102722916646486,0.0562941601130814,-0.0551268754645013
"ENSG00000263311",-0.00766105033333333,0.000792522448275862,-4.5352888288161,0.000105270907722687,0.0562941601130814,-0.0794599864294057
"ENSG00000236114",-0.00856504528627451,0.00149333885517241,-4.53476300693258,0.000105419775492662,0.0562941601130814,-0.0808632838712882
"ENSG00000277831",-0.00890660564117647,0.00184896638275862,-4.50692406610481,0.00011360781068369,0.0567344265242819,-0.155126960646937
"ENSG00000260167",-0.0710684935686275,0.0499735238965517,-4.5027000266639,0.00011490428021661,0.0567344265242819,-0.166389485384191
"ENSG00000235058",-0.00599860156666667,0.00112217085172414,-4.50178529577505,0.00011518696754842,0.0567344265242819,-0.168828227354797
"ENSG00000272842",-0.00587784630784314,0.0011790499,-4.50025556478134,0.000115661259899205,0.0567344265242819,-0.172906448044553
"ENSG00000186510",-0.00917181613529412,0.00196410216206897,-4.49980497160274,0.000115801335986128,0.0567344265242819,-0.174107679224424
"ENSG00000266852",-0.00928678945294118,0.00207479966551724,-4.49633863360908,0.000116884573147209,0.0567344265242819,-0.183347972588017
"ENSG00000222019",-0.0087627661882353,0.00184301706206897,-4.48863180186299,0.000119329208012146,0.0567344265242819,-0.203888557810481
"ENSG00000234271",-0.0101802629411765,0.00345288427586207,-4.48802206451032,0.000119524774980931,0.0567344265242819,-0.205513437994468
"ENSG00000114779",-0.0284260329019608,0.0127743522413793,-4.47805293357814,0.000122767838742047,0.057475529545866,-0.232075438630868
"ENSG00000169006",-0.0149224186901961,0.00494659236551724,-4.45796165331447,0.000129571856937597,0.0576230276328742,-0.285580400121657
"ENSG00000279722",-0.0159611860960784,0.0060214560137931,-4.44768519712213,0.000133195566324301,0.0576230276328742,-0.312933435556557
"ENSG00000239115",-0.00766105033333333,0.000896699965517241,-4.44450632020587,0.00013433676801611,0.0576230276328742,-0.321392739420895
"ENSG00000274584",-0.00766105033333333,0.000896699965517241,-4.44450632020587,0.00013433676801611,0.0576230276328742,-0.321392739420895
"ENSG00000274808",-0.00766105033333333,0.000896699965517241,-4.44450632020587,0.00013433676801611,0.0576230276328742,-0.321392739420895
"ENSG00000134970",-0.00755980501568628,0.000851873151724138,-4.44388250653397,0.000134561851604554,0.0576230276328742,-0.323052658695474
"ENSG00000259720",-0.0127926655431373,0.0037954232,-4.44298771220161,0.000134885364309163,0.0576230276328742,-0.325433572973343
"ENSG00000234770",-0.00899487216470589,0.0020841039137931,-4.42201872585171,0.000142691848741711,0.059512346363069,-0.381207307546945
"ENSG00000286230",-0.00976329200588236,0.00240302896206897,-4.42176076754841,0.000142790625051839,0.059512346363069,-0.381893169118221
"ENSG00000148377",-0.00945483594117647,0.00294891257241379,-4.41598223300607,0.000145021199868414,0.0597137894783484,-0.397255495032234
"ENSG00000237843",-0.0095045901882353,0.00183288251034483,-4.39993489396188,0.000151398715461721,0.0612219084082893,-0.439900463385046
"ENSG00000232591",-0.876899363078431,0.387965179689655,-4.39780321926335,0.000152266567611909,0.0612219084082893,-0.445563358305746
"ENSG00000253608",-0.00906364845294118,0.00213639214827586,-4.3826519540664,0.000158578888845535,0.0625415814032998,-0.485800218741399
"ENSG00000267213",-0.0377821991176471,0.011185231137931,-4.37859541159645,0.00016031255182233,0.0625415814032998,-0.496569115158956
"ENSG00000130600",-0.00809855985098039,0.00148208031724138,-4.37123176085918,0.000163507777055062,0.0625415814032998,-0.516113045811634
"ENSG00000101104",-0.107216538,0.0817200180344828,-4.36912231621247,0.000164434691213921,0.0625415814032998,-0.521710703160926
"ENSG00000226917",-0.00755980501568628,0.000948193703448276,-4.36852368031424,0.000164698686982004,0.0625415814032998,-0.52329916866162
"ENSG00000233456",-0.00961222591176471,0.00281930015517241,-4.32857374026306,0.000183300228618257,0.0688403144314017,-0.629218952638458
"ENSG00000275285",-0.0205613908784314,0.00819291272758621,-4.31628108714147,0.000189432395362714,0.0697643213331945,-0.661775484557503
"ENSG00000184828",-0.0515354502156863,0.0240071039310345,-4.31157773182164,0.000191832061207282,0.0697643213331945,-0.674227613603337
"ENSG00000257548",-0.00520315966666667,0.000746612931034483,-4.31147551645084,0.000191884544865411,0.0697643213331945,-0.674498200874193
"ENSG00000268083",-0.00880525443529412,0.00209812183448276,-4.29758844636821,0.000199148913359092,0.0715238074722658,-0.71124932082716
"ENSG00000226983",-0.0234672326784314,0.00689245709655173,-4.29089300660014,0.0002027480226494,0.0715238074722658,-0.728960361607835
"ENSG00000131183",-0.00910448440588235,0.00238163525517241,-4.29042428945482,0.000203002379588301,0.0715238074722658,-0.730200034965748
"ENSG00000233124",-0.00510191434901961,0.00086371175862069,-4.28503356395044,0.000205950564498648,0.0718221070643448,-0.744455692374668
"ENSG00000250786",-0.0161945508980392,0.00403052168965517,-4.28116455422597,0.000208092626916953,0.0718360971466038,-0.754685096052679
