"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000102837",-0.00730469502745098,0.00389196028965517,-4.11102407694412,0.000315850385285189,1,0.146850749291809
"ENSG00000271440",-0.00854551488954248,0.00587702598275862,-3.8406701572047,0.000650009174670028,1,-0.538096674139828
"ENSG00000287334",-0.0160671860326797,0.0147333275172414,-3.57736950363426,0.00129966857335119,1,-1.19219012762661
"ENSG00000225417",-0.00481015863071895,0.00222811605862069,-3.46921556911158,0.00172138341915559,1,-1.45627907515716
"ENSG00000232810",-0.00436065937777778,0.00210519329655172,-3.40112725392029,0.00205199759576723,1,-1.62097478956665
"ENSG00000243621",-0.00765754886339869,0.00374158410689655,-3.38837270415971,0.00212041548749847,1,-1.65168467496048
"ENSG00000166183",-0.0206957654457516,0.0232300835586207,-3.36859300557804,0.00223089696347991,1,-1.6992186292812
"ENSG00000112333",0.00780675780718955,0.00687601073448276,3.34037152304286,0.00239820150955844,1,-1.76684529104492
"ENSG00000273712",-0.00495526742614379,0.00384700330689655,-3.24201960743523,0.00308103953725866,1,-2.00066718067391
"ENSG00000250105",-0.00482124919150327,0.00263599198275862,-3.17827020161433,0.00361966329462458,1,-2.150605103261
"ENSG00000105122",0.00448824205555556,0.00340634001724138,3.1574438521361,0.00381440898618468,1,-2.19929930807772
"ENSG00000258696",-0.0197077248104575,0.0300418209655172,-3.14989069892443,0.00388748683880043,1,-2.21692338089031
"ENSG00000169194",-0.00836046102941176,0.00589601378965517,-3.11892641230798,0.00420131881238565,1,-2.28897036970188
"ENSG00000215278",-0.00436517268169935,0.00209779547931034,-3.10483159129732,0.00435206612753033,1,-2.32165627491559
"ENSG00000088836",-0.0114024170575163,0.0153257403034483,-3.10436384078786,0.00435715638084972,1,-2.32273980043767
"ENSG00000250673",-0.0240442393705882,0.0180032731344828,-3.04734445722027,0.00502211499549848,1,-2.45424121142799
"ENSG00000233760",-0.00686246553267974,0.00425630807931035,-3.04310422238506,0.00507525140365877,1,-2.4639735117149
"ENSG00000063245",-0.434816423705882,0.591708914724138,-3.03388358222324,0.00519265426478623,1,-2.48511425037007
"ENSG00000176566",-0.00423944455882353,0.00180065463793103,-3.01529133020993,0.00543729290358205,1,-2.52764650293792
"ENSG00000270429",-0.00617937466732026,0.00437884154827586,-2.98465061616294,0.00586455265973578,1,-2.59745923577572
"ENSG00000177398",-0.045803916130719,0.0537208951103448,-2.95570736944128,0.00629728721449173,1,-2.66307625282821
"ENSG00000176584",-0.0313288627836601,0.025908720237931,-2.95010090645481,0.00638454064264228,1,-2.67574921923901
"ENSG00000204990",-0.0150917954875817,0.0105131454068966,-2.94433451131674,0.00647547848445424,1,-2.68877092144347
"ENSG00000070019",-0.0552959739411765,0.0609158602068966,-2.93727627201774,0.00658846100465212,1,-2.70469216252625
"ENSG00000259674",-0.00473958067254902,0.0015369924862069,-2.91087929958958,0.00702777822332089,1,-2.76406141272758
"ENSG00000231705",-0.0136500639895425,0.0154229368482759,-2.89632453970904,0.00728172549962062,1,-2.79667753816223
"ENSG00000238035",-0.00712804600522876,0.0060033204275862,-2.87988951887904,0.00757890542904627,1,-2.83340431748078
"ENSG00000259080",0.0168128378954249,0.0331028032413793,2.8763073468468,0.0076451827357984,1,-2.8413946830763
"ENSG00000233875",-0.00634203425294118,0.00310321629310345,-2.82157769708891,0.00872835774247068,1,-2.96281423280937
