"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000263311",0.01537500425,0.00395598663529412,4.33341227997586,0.000532290645120053,1,-0.012440811581417
"ENSG00000262903",0.0159443358333333,0.0128665205882353,4.27305884228894,0.000602946196129735,1,-0.122962183328246
"ENSG00000164362",-0.0211382193333333,0.0127248454294118,-4.12294761343,0.000823016390676423,1,-0.3992386472226
"ENSG00000278944",0.0303057960833333,0.0153229006176471,4.08130788515272,0.000897442297918846,1,-0.4761906970497
"ENSG00000271283",0.015128234,0.00637490002352941,4.04471956827443,0.00096845677130255,1,-0.543908165533819
"ENSG00000256259",0.135700042616667,0.0309344347235294,3.8922381882423,0.00133118833080842,1,-0.826998547752532
"ENSG00000246090",0.4033816425,0.140931888411765,3.84905010477753,0.00145697531614324,1,-0.907395099776987
"ENSG00000105880",0.01761065515,0.00467807700588235,3.84021785422351,0.00148414096615388,1,-0.923846326921276
"ENSG00000277089",0.10910259975,0.0351824916588235,3.810899682791,0.0015780298692245,1,-0.978476494719616
"ENSG00000271862",-0.0101076100833333,0.00574670577058824,-3.76772659108525,0.00172729200232967,1,-1.05897654392835
"ENSG00000228768",0.00424904273333333,0.000749831070588235,3.7212063746129,0.00190407218137356,1,-1.14577632385341
"ENSG00000258479",-0.0182269985833333,0.0146211144411765,-3.69687677833313,0.00200365701294789,1,-1.19119099087357
"ENSG00000124602",-0.0181730266666667,0.0100993255,-3.69280301998605,0.00202083561804256,1,-1.19879631163856
"ENSG00000237336",-0.0211022356666667,0.0128095698823529,-3.69014228023724,0.00203213543389247,1,-1.20376381147658
"ENSG00000272274",-0.816635701666667,0.650450366470588,-3.68814889433379,0.00204064263158679,1,-1.20748546306429
"ENSG00000026508",-0.150485164166667,0.0882896867588235,-3.6708700240876,0.00211589810467716,1,-1.23974764768259
"ENSG00000271843",0.0197154015,0.0147034693235294,3.63018359699469,0.00230428446998498,1,-1.31572930965538
"ENSG00000274797",0.0177502688333333,0.00835113905294118,3.61354514468795,0.00238608649288815,1,-1.34680529759011
"ENSG00000172380",-0.0218740581666667,0.0196539017647059,-3.59871120300942,0.0024614667791346,1,-1.37451187805928
"ENSG00000232987",-0.0210338456666667,0.0125904673882353,-3.59450939001091,0.00248324895948009,1,-1.38236002853802
"ENSG00000287939",0.0238681589333333,0.00821069753529412,3.58051346977425,0.00255720527660464,1,-1.40850162775566
"ENSG00000188610",0.0192074177333333,0.00660945208823529,3.57508522775736,0.00258647858572848,1,-1.41864043693189
"ENSG00000270547",-0.0110175363333333,0.00615316313529412,-3.53783571215168,0.00279660461765817,1,-1.48821102606664
"ENSG00000271631",0.0135917587666667,0.00505007161176471,3.53542033981196,0.00281080471621079,1,-1.49272185049842
"ENSG00000239494",-0.01045415295,0.00572428936470588,-3.51762118125302,0.00291769266902703,1,-1.52596073331328
"ENSG00000227098",-0.0127677191666667,0.00602865599411765,-3.50322640450997,0.00300709886454107,1,-1.55283920101458
"ENSG00000134216",0.0166677738166667,0.00856461745882353,3.49401943825405,0.00306571250707226,1,-1.57002914882985
"ENSG00000250122",0.0148724557833333,0.00526233128823529,3.49142087330329,0.00308246095654193,1,-1.57488056588755
"ENSG00000285990",0.0308765119166667,0.0131893722352941,3.43822335342935,0.00344611786318282,1,-1.67416745752108
"ENSG00000214978",-0.0233242982666667,0.0121891083647059,-3.43790059943943,0.00344844988986554,1,-1.67476963066342
"ENSG00000268500",-0.0154140370166667,0.00750238782941177,-3.4370129810998,0.00345487139791456,1,-1.67642567567873
"ENSG00000132109",0.01485504935,0.00429761354117647,3.43641828696774,0.00345918039783898,1,-1.67753519466764
"ENSG00000272509",0.024211721,0.0161607087235294,3.42151981262918,0.00356889522879427,1,-1.70532791097637
"ENSG00000255130",0.0148503994,0.00704337282941176,3.40983560029136,0.00365735826522489,1,-1.72711976747483
"ENSG00000253439",0.0154464589833333,0.00641607346470588,3.40291333878732,0.00371079385844529,1,-1.74002815642589
"ENSG00000253626",-0.0151076029333333,0.0115005783352941,-3.40146626657465,0.00372206216718986,1,-1.74272640003779
"ENSG00000113430",0.0152737062166667,0.00461042458235294,3.39019504224462,0.00381100406811999,1,-1.76374045551272
"ENSG00000258283",-0.0107877079166667,0.00514949305882353,-3.38656866217794,0.00384006713443578,1,-1.77050049344255
"ENSG00000260272",0.0147099562333333,0.0067283178882353,3.38497364890378,0.00385291981970319,1,-1.77347364733703
"ENSG00000287365",0.0145633612833333,0.0061381034117647,3.37893088416469,0.00390200188688379,1,-1.78473666775892
"ENSG00000148734",-0.0120855919333333,0.00758067608235294,-3.37439448718016,0.00393925662335212,1,-1.79319105797943
"ENSG00000229020",0.0269446440833333,0.0105055710117647,3.36457808903529,0.00402108758550361,1,-1.81148284306165
"ENSG00000255475",-0.0212749919333333,0.0152787773058824,-3.36369368404092,0.00402854255714333,1,-1.81313063989333
"ENSG00000240441",0.0182766303166667,0.0118970441411765,3.35780937622166,0.00407849439983828,1,-1.82409326203477
"ENSG00000263321",-0.0193146120833333,0.0111398880882353,-3.35665591036409,0.0040883580601698,1,-1.82624202557599
"ENSG00000214415",-0.0194680261166667,0.0124382500058824,-3.35266071274109,0.00412270583847353,1,-1.83368413359443
"ENSG00000246777",0.0160511596333333,0.00835166655882353,3.3403943263967,0.00422996428080799,1,-1.85652904261487
"ENSG00000236091",-0.0305025531,0.0240634266235294,-3.33824674272703,0.00424902595539979,1,-1.86052798853886
"ENSG00000288090",-0.0142070672666667,0.0113073143941176,-3.3348181833027,0.00427963430525541,1,-1.86691174643468
"ENSG00000259648",0.01285833245,0.00561094837647059,3.33290265153447,0.00429683035285368,1,-1.87047809948927
"ENSG00000183801",-0.0202934742666667,0.0162862896588235,-3.33244705558189,0.00430093039951969,1,-1.87132630584597
"ENSG00000177757",-0.0138455445166667,0.00669679942941176,-3.31463461119947,0.00446430986939492,1,-1.90448059374928
"ENSG00000270880",0.0152181601,0.00665838375882353,3.30916269403411,0.00451572484833155,1,-1.91466221195601
"ENSG00000197769",-0.00785319843333333,0.00444390555294118,-3.30700689207121,0.0045361419794933,1,-1.91867308665556
"ENSG00000238035",-0.0137670110666667,0.00703848872941176,-3.30682565230306,0.0045378626277923,1,-1.91901027236713
"ENSG00000287112",0.0129193626666667,0.00366291211176471,3.30559725553606,0.00454954181336952,1,-1.92129558438096
"ENSG00000124575",-0.0123856986,0.00660375787058824,-3.28580510302035,0.00474187988399903,1,-1.95810548253148
"ENSG00000257220",-0.01377880175,0.0091923705,-3.28237389889287,0.00477603412250297,1,-1.96448465083248
"ENSG00000224074",-0.02058790825,0.0107877381941176,-3.27256826319555,0.00487498872711173,1,-1.98271109047885
"ENSG00000124145",0.02963074925,0.0167851077941177,3.26498965058798,0.00495285789153266,1,-1.99679401114662
"ENSG00000236072",0.01360785855,0.00355098911176471,3.26117969586702,0.00499246856137625,1,-2.00387249440192
"ENSG00000219222",-0.0266700673333333,0.0197072247882353,-3.25062832830386,0.0051038113696579,1,-2.02347097086446
"ENSG00000259772",-0.0121924230833333,0.00661389963529412,-3.24123970729762,0.00520494826004859,1,-2.04090360595393
"ENSG00000273727",0.0153045631,0.00700090797058824,3.23366884424059,0.00528794556622175,1,-2.05495673743147
"ENSG00000184210",-0.0657981939333333,0.0442579143647059,-3.23075465517469,0.00532024072544566,1,-2.06036504179147
"ENSG00000231827",-0.0197165020833333,0.0148302389117647,-3.22399939792675,0.00539585465360407,1,-2.07289951558842
"ENSG00000281131",4.32760135,3.62734306117647,3.22075004199435,0.00543260326612827,1,-2.07892758797238
"ENSG00000267780",0.0404534713333333,0.0207315487352941,3.19549227111012,0.00572681573228953,1,-2.12575831429345
"ENSG00000258462",0.02601627475,0.00760720667058824,3.19475346217736,0.00573565448152012,1,-2.1271274221373
"ENSG00000260762",-0.00716849895,0.00361969097647059,-3.19009792770715,0.00579166168542003,1,-2.13575374729077
"ENSG00000205266",0.0127200618,0.00380780813529412,3.18262552719471,0.00588268716394828,1,-2.14959592208606
"ENSG00000273483",-0.0169431646,0.0167952214823529,-3.18161590918147,0.0058950936650891,1,-2.15146583721824
"ENSG00000277152",0.0126679907833333,0.00429631861176471,3.17074803836215,0.00603028709292231,1,-2.17158899246773
"ENSG00000201354",0.00402412146666667,0.00109573635294118,3.16246068273555,0.00613543067723567,1,-2.18692744594474
"ENSG00000203740",0.0135934915333333,0.00489783931764706,3.1623630141322,0.00613668053813841,1,-2.18710817904595
"ENSG00000241002",0.0341448565833333,0.0161529953235294,3.15515546697479,0.0062296113738974,1,-2.20044330100256
"ENSG00000179899",0.0132341812333333,0.00362527602352941,3.13976891949239,0.00643266470909064,1,-2.2288957441733
"ENSG00000228391",0.01422669375,0.0101216120411765,3.11828218329882,0.0067271702158153,1,-2.26859266376755
"ENSG00000287596",0.0140639054833333,0.0081983075117647,3.11643504559513,0.00675309880607718,1,-2.27200325128725
"ENSG00000126895",-0.01214194775,0.00589303162941176,-3.11277403589182,0.00680478000982476,1,-2.2787620404295
"ENSG00000174963",0.01398541635,0.00667189746470588,3.10135285012738,0.00696852239556943,1,-2.2998389687
"ENSG00000109061",-0.0106104763166667,0.00709786701764706,-3.10027098545015,0.00698423226966978,1,-2.30183480379808
"ENSG00000287481",0.01417135165,0.00566198818235294,3.09860864482927,0.00700843919909481,1,-2.30490128052096
"ENSG00000229313",0.0147034018333333,0.00436137801764706,3.09576157143236,0.00705008995647087,1,-2.31015256321919
"ENSG00000163909",0.0154786949,0.00846399888235294,3.09413695080366,0.0070739660270831,1,-2.31314872984528
"ENSG00000261253",-0.0195019625833333,0.0129567119647059,-3.09391329014755,0.00707725925282013,1,-2.31356118972759
"ENSG00000270681",-0.0109548948,0.00561238548823529,-3.08983715993528,0.0071375417668403,1,-2.32107722876765
"ENSG00000287595",0.0190105464666667,0.00716332024705882,3.0889811515124,0.00715026539315828,1,-2.32265542176143
"ENSG00000286143",0.0255961665166667,0.00599988188235294,3.08599086674864,0.007194887917067,1,-2.328167919137
"ENSG00000227043",0.0128443200333333,0.00372838893529412,3.08562875094739,0.0072003101352395,1,-2.32883540627094
"ENSG00000203756",0.059350404,0.0264452055411765,3.07971903494948,0.00728937019949753,1,-2.3397268600669
"ENSG00000205413",0.0166213783166667,0.00871074484117647,3.07764001233419,0.00732095796732894,1,-2.34355758334035
"ENSG00000228133",-0.0224123831666667,0.0138048239411765,-3.07469942251077,0.00736586575937399,1,-2.34897502345152
"ENSG00000279747",0.00570085723333333,0.00158279531176471,3.06769836973198,0.00747387560015454,1,-2.3618693683357
"ENSG00000280217",-0.00799018723333333,0.00348354550588235,-3.06679946115403,0.00748785584905982,1,-2.36352457527495
"ENSG00000255991",0.0132222928666667,0.00468211684117647,3.05991112429483,0.00759584221781394,1,-2.3762055402038
"ENSG00000168255",0.0286309990666667,0.0179835846117647,3.05576439920302,0.00766158486124549,1,-2.38383689788096
"ENSG00000286902",-0.0294731503333333,0.0213150479411765,-3.03431164198709,0.0080107180899019,1,-2.42328659457468
"ENSG00000225605",0.370414181833333,0.229380888764706,3.03136429963799,0.00805988782793726,1,-2.42870241133116
"ENSG00000287489",-0.0088476145,0.00551509052941176,-3.03079871676868,0.00806935708121207,1,-2.42974156950456
"ENSG00000270429",-0.0101187052833333,0.0048662831,-3.02848276462142,0.00810824573807604,1,-2.4339963335602
"ENSG00000204618",-0.0241658938333333,0.0188729282352941,-3.02684962887525,0.00813577918097872,1,-2.43699628246407
"ENSG00000147138",1.34331257666667,1.63859892588235,3.02428816175494,0.00817914829302145,1,-2.44170087897938
"ENSG00000240006",-0.00758216241666667,0.00486193892352941,-3.02302185433032,0.00820067221486341,1,-2.4440263966049
"ENSG00000264914",-0.0129802356166667,0.0101197278058824,-3.01864939570314,0.00827542020881516,1,-2.45205476858704
"ENSG00000286345",0.0381259355666667,0.0166142862823529,3.01361985514051,0.00836222696887274,1,-2.46128681238745
"ENSG00000232252",-0.0219851371,0.0187967836411765,-3.00541104330237,0.00850582559974931,1,-2.4763480724815
"ENSG00000258199",0.0139928867666667,0.00558781105294118,2.99904002713664,0.00861893703329062,1,-2.48803173987175
"ENSG00000120235",-0.00724252856666667,0.00303857340588235,-2.99712227355327,0.00865327238023841,1,-2.49154768594435
"ENSG00000259520",-0.337311918,0.175114241411765,-2.99612175451248,0.00867123872684324,1,-2.49338182330731
"ENSG00000231605",0.417562458516667,0.210239881888235,2.99449093487194,0.00870060168785931,1,-2.49637115170079
"ENSG00000229941",-0.0173041986666667,0.0121731005882353,-2.988648982249,0.00880658706850789,1,-2.50707684692513
"ENSG00000176584",-0.0475369221666667,0.0244265027058824,-2.98676180367198,0.00884109367713721,1,-2.51053428528075
"ENSG00000258175",0.0153698282833333,0.0103930443294118,2.98572909936162,0.00886003239376882,1,-2.5124260781396
"ENSG00000231149",0.0143065828166667,0.00597049260588235,2.98453584998204,0.00888196476756309,1,-2.51461180194528
"ENSG00000173585",-0.0122345021666667,0.00640552695294118,-2.9833074036054,0.008904599560197,1,-2.51686180810843
