"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000026508",-0.1315485625,0.0691223754705882,-6.3360751699568,1.09984862335815e-05,0.375785279142777,3.61680243778085
"ENSG00000226886",-0.00544089481666667,0.00192031581764706,-4.25714821571016,0.000631229485951079,1,-0.235431058031483
"ENSG00000236485",-0.11602026275,0.0747280914117647,-4.17842504497096,0.000742629704280713,1,-0.390684503275221
"ENSG00000137265",-0.0115663048208333,0.00797537707647059,-3.92418249264527,0.00125863917536658,1,-0.89416089225049
"ENSG00000263125",-0.0024475803,0.000863851870588235,-3.85143577578274,0.00146462482637407,1,-1.03860496096953
"ENSG00000259520",-0.372490212875,0.203381906058824,-3.68524514470812,0.00207204541103492,1,-1.36877897345626
"ENSG00000233553",-0.00369028594583333,0.00146637293529412,-3.65317883128315,0.00221566640456678,1,-1.43247245038895
"ENSG00000256574",-0.0191366850458333,0.0112632089588235,-3.46250564433734,0.00330096315897134,1,-1.81066369798981
"ENSG00000285727",-0.0132639297083333,0.00834998092352941,-3.42967610963922,0.00353545107526409,1,-1.87562995332643
"ENSG00000263798",-0.0339550942916667,0.0303794951764706,-3.37278648621542,0.00398174124465508,1,-1.98805983830638
"ENSG00000268204",-0.00915402083750001,0.0070209251,-3.36767742259396,0.00402446446542778,1,-1.99814656508571
"ENSG00000260750",-0.00232128735833333,0.00081927789117647,-3.36057122672602,0.00408464701689143,1,-2.01217319163409
"ENSG00000089012",-0.027662748,0.0183393588411765,-3.30344185000918,0.00460210968659001,1,-2.1248030124256
"ENSG00000241717",-0.0162270848875,0.0142213776823529,-3.25205079611416,0.00512287815609912,1,-2.22589152689666
"ENSG00000285554",-0.0348235228125,0.0227715333235294,-3.23038103746291,0.00535958435863616,1,-2.26844480851815
"ENSG00000137860",-0.11151750075,0.07061315,-3.20865378953967,0.00560777558378158,1,-2.31106479497055
"ENSG00000253663",-0.00704647214583333,0.003442583,-3.18436145381104,0.00589873379322144,1,-2.35865887804132
"ENSG00000279847",-0.02176829075,0.0184757098823529,-3.15477191192993,0.00627333261970624,1,-2.41654475637912
"ENSG00000123594",-0.00497803802083333,0.00245014862941176,-3.14263657400683,0.00643366326001029,1,-2.4402562830579
"ENSG00000268983",-0.00989675482083334,0.00547005802352941,-3.09708231680635,0.00707235578360972,1,-2.52910761568733
"ENSG00000224074",-0.0121048120683333,0.00635239855058824,-3.0924585580983,0.00714057082476731,1,-2.53811149448068
"ENSG00000225354",-0.0035685880125,0.00198527273529412,-3.07886388994141,0.00734490509846939,1,-2.5645683486549
"ENSG00000270773",-0.00371842761666667,0.00131238621764706,-3.04097305946897,0.00794523146537647,1,-2.63817690636195
"ENSG00000243810",-0.0329415109083333,0.0190208495529412,-3.03052327189535,0.00811909960803438,1,-2.65844183706228
"ENSG00000184601",-0.0267716041666667,0.0223026257058824,-2.99855897073134,0.00867441967321541,1,-2.72032985624841
"ENSG00000141748",-0.019673194,0.0211836372352941,-2.99232724549672,0.00878693909974559,1,-2.73237755997813
"ENSG00000255666",-0.0165388656625,0.0111359991176471,-2.9821621625251,0.00897355236717026,1,-2.75201668248588
"ENSG00000225582",-0.00196484902333333,0.000693476125882353,-2.97084613609033,0.00918585817999975,1,-2.77386037222525
"ENSG00000170209",-0.0237733257833333,0.0188130843764706,-2.96925507712007,0.00921610012317464,1,-2.77693001278692
"ENSG00000095752",-0.00964461966666667,0.0117245330588235,-2.96762575357537,0.0092471702843811,1,-2.78007305727302
"ENSG00000133321",-0.0161066351875,0.0112383291176471,-2.94908154367791,0.00960809240220784,1,-2.81581543531761
"ENSG00000225427",-0.0153462321625,0.0106095574529412,-2.93772815086732,0.00983581625713943,1,-2.837670169815
"ENSG00000246777",-0.00809623445416667,0.00564694321764706,-2.93628155108724,0.00986520777297781,1,-2.84045325448183
"ENSG00000272274",-0.489979065416667,0.688042499411765,-2.92833525463035,0.0100281934596721,1,-2.85573466054825
"ENSG00000237124",-0.0060983405625,0.0031877241,-2.91797362210612,0.010244672188224,1,-2.87564474695651
"ENSG00000167612",-0.00440471497916667,0.00232077625294118,-2.91564305189461,0.0102939876878007,1,-2.88012042928118
"ENSG00000225882",-0.0676802602083334,0.0590030767058823,-2.91244408231679,0.010362055959005,1,-2.88626226584096
"ENSG00000235615",-0.0696389554583333,0.0578446618823529,-2.90353876450487,0.0105538648025052,1,-2.90335050478244
"ENSG00000266765",-0.00683994148333334,0.00424093051764706,-2.89456031419863,0.0107507510789604,1,-2.92056484056979
"ENSG00000254876",-0.002494599625,0.00130444332941176,-2.89094060325402,0.0108311351433216,1,-2.92750080697372
"ENSG00000236387",-0.0029599650325,0.00109853306705882,-2.87165281318866,0.0112694341037214,1,-2.96441918913896
"ENSG00000204446",-0.019538775625,0.0177421925882353,-2.86894095941231,0.0113324267690653,1,-2.96960439592455
"ENSG00000248176",-0.032573648875,0.0273785874117647,-2.86855487675423,0.0113414227585318,1,-2.97034249477642
"ENSG00000255516",-0.00184657623583333,0.000759411843529412,-2.86583210260697,0.0114050628354858,1,-2.97554700480865
"ENSG00000266129",-0.0114293537041667,0.00789731221764706,-2.84580007112827,0.0118840728904938,1,-3.01379462310261
"ENSG00000232947",-0.00288535956666667,0.00134379985882353,-2.84447299012576,0.0119164879384089,1,-3.01632573980298
"ENSG00000233262",-0.0029205733875,0.00141006778823529,-2.8388876944157,0.0120538575936351,1,-3.02697473154637
"ENSG00000241054",-0.002719994725,0.000959998138235294,-2.82734394029769,0.0123426669945055,1,-3.04896487981933
"ENSG00000261611",-0.00306908129916667,0.00144664221411765,-2.82316906661615,0.0124487622005777,1,-3.05691128648299
"ENSG00000226468",-0.00786427709166667,0.00369138081764706,-2.80856544637817,0.012826888646821,1,-3.08468021438471
"ENSG00000261003",-0.0449080415833333,0.0431530805294118,-2.78479534635658,0.0134662965140959,1,-3.1297862360833
"ENSG00000277969",-0.00884542976666667,0.00799554237058824,-2.77443773922058,0.0137544740322611,1,-3.14940391074305
"ENSG00000120500",-0.0097949505625,0.00651242375882353,-2.76597145618114,0.0139944554073396,1,-3.1654224085206
"ENSG00000257683",-0.0123486046708333,0.00890189705882353,-2.76188533648819,0.0141117233524887,1,-3.17314797879532
"ENSG00000287666",-0.0123030707083333,0.00825958221176471,-2.75479118423301,0.0143175803649168,1,-3.18655220284874
"ENSG00000261819",-0.0615227743333333,0.0542199388823529,-2.75439633364256,0.0143291229864361,1,-3.18729794124577
"ENSG00000255572",-0.011411927,0.009572432,-2.74925259694455,0.0144803136647259,1,-3.19700959035849
"ENSG00000258584",-0.009183428025,0.00677889525294118,-2.74664722498871,0.0145574809583474,1,-3.20192645323656
"ENSG00000187048",-0.00707932716583334,0.00453293572588235,-2.743418512648,0.0146536622246156,1,-3.20801760570804
"ENSG00000259433",-0.00508386063333333,0.00258413767647059,-2.73920660413298,0.0147800555857497,1,-3.21596013962533
"ENSG00000287872",-0.00224399273333333,0.00142475934705882,-2.73364921640251,0.0149484372148398,1,-3.22643383382191
"ENSG00000225279",-0.0212826123333333,0.0246900201176471,-2.72244629960409,0.0152935195053087,1,-3.247526209906
"ENSG00000273295",-0.03944767745,0.0210400298470588,-2.7159814836757,0.0154961397764912,1,-3.25968491046394
"ENSG00000254054",-0.00174652806083333,0.000777940255294118,-2.71573179804633,0.015504017142686,1,-3.26015431464778
"ENSG00000255101",-0.038834393,0.0382183084705882,-2.69859114463179,0.0160541205151253,1,-3.29234393191723
"ENSG00000160219",-0.013006955425,0.0125318015470588,-2.69727420539143,0.0160971552850289,1,-3.29481426899828
"ENSG00000229500",-0.00361196283333333,0.00156746478235294,-2.6948520361288,0.016176597019631,1,-3.29935675016588
"ENSG00000258171",-0.00618135564166667,0.00318025436470588,-2.68828898268005,0.0163937532385804,1,-3.31165798553675
"ENSG00000224445",-0.163320039833333,0.105122421058824,-2.68131399586124,0.0166276158531235,1,-3.32472008565654
"ENSG00000204618",-0.0123104689916667,0.00866527084705883,-2.67273797861788,0.0169195627344599,1,-3.34076444066259
"ENSG00000164855",-0.0438697570833333,0.0454512263529412,-2.6715101562174,0.0169617620895558,1,-3.34306004521168
"ENSG00000208032",-0.0084128108375,0.00770088042941177,-2.66614381811362,0.0171473904239866,1,-3.35308894454752
"ENSG00000233222",-0.008113289875,0.00512640711764706,-2.65764896096302,0.0174452382582955,1,-3.36895018170679
"ENSG00000279792",-0.0215752618583333,0.0209664564,-2.65174736828167,0.0176550815754479,1,-3.37995890701455
"ENSG00000234155",-0.00198350744583333,0.000863980523529412,-2.64877252276782,0.0177617756843512,1,-3.385504850928
"ENSG00000276110",-0.00195228197333333,0.000689040696470588,-2.64105998285744,0.0180412813874297,1,-3.3998728758858
"ENSG00000266906",-0.0083800370625,0.00505928896470588,-2.63230344726417,0.0183637413832924,1,-3.41616763299895
"ENSG00000003137",-0.024883867125,0.0237891980588235,-2.63086725318155,0.0184171545893548,1,-3.41883834273102
"ENSG00000256407",-0.04105111125,0.0413060592352941,-2.62259435883776,0.0187277442523145,1,-3.43421213570291
"ENSG00000237959",-0.00459312164583333,0.00203837833529412,-2.61481502123187,0.0190243823986345,1,-3.44865265914722
"ENSG00000233033",-0.00759755874583333,0.00454926702941176,-2.60890813816933,0.0192526238022936,1,-3.45960690973427
"ENSG00000237914",-0.00973768683333334,0.00688073770588235,-2.60138949476657,0.0195469404581037,1,-3.47353693464896
"ENSG00000275297",-0.00412687780833333,0.00318776266470588,-2.60037775648741,0.0195868723028243,1,-3.47541027718384
