"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000279070",-0.013968713775,0.00358580146470588,-7.97086516790059,6.78977718187748e-07,0.00981330740030638,5.94590470845875
"ENSG00000287307",-0.0156263169,0.00562859495294118,-7.95099048534382,7.00877494203632e-07,0.00981330740030638,5.91902715208796
"ENSG00000125144",-0.0355713272625,0.0144293023705882,-7.82245563462277,8.61647853218577e-07,0.00981330740030638,5.74371605028116
"ENSG00000170498",-0.0193829481875,0.00758174140588235,-6.0680275244118,1.79749502871821e-05,0.136757820245391,3.08369886536761
"ENSG00000272263",-0.0137633438583333,0.0054615447,-6.0101208261363,2.00131442979177e-05,0.136757820245391,2.98727327527843
"ENSG00000254265",-0.0170311456625,0.00577155147058823,-5.8235720162531,2.83750988218092e-05,0.148303029354629,2.67294063933123
"ENSG00000261801",-0.012257576825,0.00502458219411765,-5.70361585060034,3.56049417710082e-05,0.148303029354629,2.46787125538198
"ENSG00000183476",-0.01490919575,0.00608142797058824,-5.66639306859694,3.82179428951766e-05,0.148303029354629,2.40377499623004
"ENSG00000276968",-0.0268167255416667,0.0144944050176471,-5.65489327493004,3.90648071001744e-05,0.148303029354629,2.38392880091585
"ENSG00000288556",-0.0145232617958333,0.00615775715294118,-5.59460541939892,4.38339034178368e-05,0.149767297807723,2.27954689936934
"ENSG00000223479",-0.02483688255,0.0102262566235294,-5.44651461821204,5.82864528667382e-05,0.174491216130832,2.02076242560665
"ENSG00000234622",-0.0118717830291667,0.00342387592058823,-5.38917252055726,6.51356128809005e-05,0.174491216130832,1.91966397788357
"ENSG00000287960",-0.013566388525,0.00640430128235294,-5.37701768624904,6.66913827029368e-05,0.174491216130832,1.89817084396193
"ENSG00000225924",-0.0120882189125,0.0045474962882353,-5.34123608470696,7.14981422375872e-05,0.174491216130832,1.83477156324864
"ENSG00000271151",-0.0161585016125,0.00579487563529412,-5.20360153247147,9.35851003937237e-05,0.213168141676824,1.58915769772879
"ENSG00000261441",-0.0163575462375,0.00595146469058824,-5.12579408106951,0.000109080784093895,0.232935196883508,1.44910691211116
"ENSG00000240012",-0.0494339237083334,0.0233087881176471,-5.04922175038669,0.000126923700706151,0.255094240119239,1.31045675596689
"ENSG00000287921",-0.022942919575,0.00882543973529412,-5.01459560649215,0.000135954660644612,0.25806460501358,1.2474965560049
"ENSG00000267397",-0.0274551971083333,0.0149345662235294,-4.92673593524052,0.00016196066380502,0.291247894748744,1.08702703302542
"ENSG00000267440",-0.0607902694583333,0.029801109,-4.81420129452228,0.000202920977216838,0.346660051428385,0.880038336230955
"ENSG00000236885",-0.0127091963333333,0.0065290734,-4.76818736781707,0.000222606391444012,0.352233014446852,0.79495096321369
"ENSG00000286328",-0.05227527125,0.0256581310294118,-4.75892253491935,0.000226801484409832,0.352233014446852,0.77778787416113
"ENSG00000254532",-0.908324502916667,0.393887904117647,-4.65130936137441,0.000281909957999007,0.397056626617899,0.577698835478106
"ENSG00000196954",-0.0156016567916667,0.00541341526705882,-4.63954302291187,0.00028871561918095,0.397056626617899,0.555741159391103
