"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000141977",-0.0375471781932773,0.0116710307037037,-4.55496738901777,0.0001176095269624,1,1.11365371342921
"ENSG00000262445",-0.0357394627142857,0.0144583670740741,-4.16236109219742,0.000325120911720068,1,0.139618222938208
"ENSG00000231671",-0.020649108210084,0.00632176107407407,-4.01775683722109,0.000471929497016669,1,-0.216111664085092
"ENSG00000251991",-0.0191143448571429,0.00495557088888889,-3.56712762285274,0.00148818574569931,1,-1.30664263578335
"ENSG00000112742",-0.0122626885714286,0.00317921555555556,-3.5295161656139,0.00163596860639749,1,-1.39605472445627
"ENSG00000204472",-0.0122626885714286,0.00317921555555556,-3.5295161656139,0.00163596860639749,1,-1.39605472445627
"ENSG00000259342",-0.026901671,0.0069745072962963,-3.52823551777357,0.001641244614411,1,-1.3990939506032
"ENSG00000234699",-0.0349460696386555,0.0100283807037037,-3.37653770689058,0.00239865941034192,1,-1.75651572333434
"ENSG00000224273",-0.0460305986302521,0.0191572241851852,-3.32449053048376,0.00272957184427486,1,-1.87788254218027
"ENSG00000274015",0.068031344302521,0.0463135672592593,3.31752784543169,0.00277706219064677,1,-1.89406627241641
"ENSG00000213018",-0.016389818394958,0.005524519,-3.28126200553466,0.00303763595643173,1,-1.97815546885831
"ENSG00000233063",-0.0227826864453781,0.00777403611111111,-3.27139582935911,0.00311251973287912,1,-2.00097147742548
"ENSG00000286508",-0.0185814071176471,0.00703063285185185,-3.26923245969861,0.00312917641537416,1,-2.00597086009034
"ENSG00000249951",-0.0103057414285714,0.00267185888888889,-3.25538983382489,0.00323781245967177,1,-2.0379299676234
"ENSG00000259631",-0.0103057414285714,0.00267185888888889,-3.25538983382489,0.00323781245967177,1,-2.0379299676234
"ENSG00000285416",-0.0103057414285714,0.00267185888888889,-3.25538983382489,0.00323781245967177,1,-2.0379299676234
"ENSG00000287772",-0.0103057414285714,0.00267185888888889,-3.25538983382489,0.00323781245967177,1,-2.0379299676234
"ENSG00000236235",-0.0209696325714286,0.00543657140740741,-3.20300132074381,0.00368286274172441,1,-2.15840005991803
"ENSG00000117472",-0.122930723840336,0.0603315751481481,-3.13599916831474,0.00433848607770318,1,-2.31132102673741
"ENSG00000223749",-0.0145777852857143,0.00377942581481481,-3.09483948847388,0.00479538648240776,1,-2.40458920635406
"ENSG00000170190",-0.0379804806554622,0.0195089281481481,-3.07298862122011,0.00505635165019191,1,-2.45388818981922
"ENSG00000266535",-0.090233685210084,0.0585247251851852,-3.06625703332573,0.00513945220055729,1,-2.46904505662831
"ENSG00000253217",-0.0150272553109244,0.00464292051851852,-3.05597907436435,0.00526886017941175,1,-2.49215880469425
"ENSG00000164088",-0.114612357218487,0.0382241204814815,-2.98532727529325,0.00624655573425639,1,-2.65010327548092
"ENSG00000260264",-0.029110499512605,0.0103828688148148,-2.9847230618123,0.00625562042058704,1,-2.65144677053128
"ENSG00000283392",-0.0216790877815126,0.00837853059259259,-2.9793344102835,0.00633702034054112,1,-2.66342313069183
"ENSG00000248746",-0.0533149725714286,0.0250915754074074,-2.91403897808486,0.00740711568069186,1,-2.80773672168704
"ENSG00000122862",-0.035039516487395,0.0136586479259259,-2.90882032221694,0.00749968589930746,1,-2.81920526558602
"ENSG00000134489",-0.0141088817647059,0.00490280066666667,-2.89305244568848,0.00778610673669418,1,-2.85379662123997
"ENSG00000159217",-0.0304928699915966,0.0119862035925926,-2.86666901857371,0.00828871713065453,1,-2.91147152671387
"ENSG00000107165",-0.0259107701260504,0.00920749203703704,-2.86263032284226,0.00836831973357217,1,-2.92027735669818
"ENSG00000132688",-0.116208393394958,0.0491676861481481,-2.856596970678,0.00848858826248731,1,-2.93342085340958
"ENSG00000173193",-0.106884375663866,0.0643044091851852,-2.78332685830181,0.0100860420549673,1,-3.09192462314192
"ENSG00000229983",-0.0148799263529412,0.00482604725925926,-2.7741555036344,0.0103049170235796,1,-3.11161691515497
"ENSG00000261101",-0.0534783854705882,0.0328831270740741,-2.77272526673029,0.0103394509799011,1,-3.1146848263274
"ENSG00000233435",-0.0235070105882353,0.00796182385185185,-2.77086716450629,0.0103844790616465,1,-3.11866930207292
"ENSG00000285966",-0.198839381268908,0.188588509518519,-2.76652649157826,0.0104903899217848,1,-3.12797195822431
"ENSG00000170745",-0.075033066420168,0.0587571401481481,-2.75821152510668,0.0106961223582074,1,-3.14577090867115
"ENSG00000285541",-0.0292055607394958,0.0172121561481481,-2.75781609180408,0.0107060004486067,1,-3.14661667531717
"ENSG00000229786",-0.0170135044453781,0.00627832225925926,-2.74553464870171,0.0110171101888036,1,-3.1728531042715
"ENSG00000280211",-0.012463170210084,0.00419948085185185,-2.73607630262525,0.0112624887100943,1,-3.19301676276722
"ENSG00000164171",0.113283252621849,0.0876080296296296,2.72615107490825,0.0115255051267978,1,-3.2141362652187
"ENSG00000260979",-0.0227853164537815,0.010748747037037,-2.70904181084445,0.0119925074352912,1,-3.25044670907271
"ENSG00000184774",-0.0389998115462185,0.0237323457037037,-2.69315739497862,0.0124419424158248,1,-3.28404822390665
"ENSG00000237492",-0.0194778065042017,0.00985488644444444,-2.67925749070339,0.0128481523973516,1,-3.31336436070857
"ENSG00000007314",-0.035241843512605,0.0119724765185185,-2.67447017950394,0.012990913297258,1,-3.32344219690304
"ENSG00000215644",-0.0154077825714286,0.0039946102962963,-2.6639747808661,0.0133091137350429,1,-3.34550186837779
"ENSG00000196421",0.0313077336806723,0.0239209212592593,2.66388894098228,0.0133117460954685,1,-3.34568209514777
"ENSG00000284922",-0.0262687993781512,0.0107580674814815,-2.66370695184813,0.0133173285762726,1,-3.34606418341989
"ENSG00000169188",0.0174591439411765,0.0109927943333333,2.6608465784337,0.0134053586371599,1,-3.3520676950405
"ENSG00000225400",-0.023762143512605,0.0116021246666667,-2.65177207690536,0.0136882539876118,1,-3.37109036727598
"ENSG00000227634",-0.0140123038571429,0.00363281951851852,-2.6503848214395,0.0137319907739126,1,-3.37399529479714
"ENSG00000264016",-0.0292327054789916,0.0124756231111111,-2.64615130549931,0.0138662733646241,1,-3.38285514899788
"ENSG00000273291",-0.263538899873949,0.287557707592593,-2.63940051083198,0.0140829462182747,1,-3.3969669727946
"ENSG00000181123",-0.00716064757142857,0.00185646418518519,-2.6371415851801,0.0141561529485815,1,-3.4016845695494
"ENSG00000287449",-0.00716064757142857,0.00185646418518519,-2.6371415851801,0.0141561529485815,1,-3.4016845695494
"ENSG00000285592",-0.0170603343529412,0.00539133822222222,-2.63309021373212,0.0142883412312769,1,-3.41013995051654
"ENSG00000253616",-0.0115955477142857,0.00300625311111111,-2.63271874803987,0.0143005190220265,1,-3.41091485420807
"ENSG00000279718",-0.0115955477142857,0.00300625311111111,-2.63271874803987,0.0143005190220265,1,-3.41091485420807
"ENSG00000010704",-0.0189412349243697,0.00671371066666667,-2.62935442696132,0.0144112546583165,1,-3.41793030192702
"ENSG00000214999",-0.0189412349243697,0.00671371066666667,-2.62935442696132,0.0144112546583165,1,-3.41793030192702
"ENSG00000259569",-0.0189412349243697,0.00671371066666667,-2.62935442696132,0.0144112546583165,1,-3.41793030192702
"ENSG00000226037",-0.0228534508319328,0.00813819974074074,-2.62865477290396,0.0144343840311075,1,-3.41938862908962
"ENSG00000266765",-0.0193782652268908,0.00785969696296296,-2.62749715455709,0.0144727291462956,1,-3.42180104244229
"ENSG00000207695",-0.0118821614537815,0.00382752581481481,-2.62571969085629,0.0145317914924402,1,-3.42550402907413
"ENSG00000133574",-0.00901593528571428,0.0023374647037037,-2.62499361767314,0.0145559825170749,1,-3.4270162547056
"ENSG00000273261",-0.00901593528571428,0.0023374647037037,-2.62499361767314,0.0145559825170749,1,-3.4270162547056
"ENSG00000226430",-0.0177228792857143,0.00459482055555556,-2.61964780056443,0.0147352543602306,1,-3.43814305470654
"ENSG00000280719",-0.0177228792857143,0.00459482055555556,-2.61964780056443,0.0147352543602306,1,-3.43814305470654
"ENSG00000130595",-0.0260266057142857,0.00674763851851852,-2.61839317172012,0.0147776261515313,1,-3.44075260924955
"ENSG00000199407",-0.0126208381428571,0.00327206914814815,-2.59410163822007,0.0156207745911287,1,-3.49113924599777
"ENSG00000234481",-0.0126208381428571,0.00327206914814815,-2.59410163822007,0.0156207745911287,1,-3.49113924599777
"ENSG00000235514",-0.0126208381428571,0.00327206914814815,-2.59410163822007,0.0156207745911287,1,-3.49113924599777
"ENSG00000229124",-0.0244539269243697,0.010612063037037,-2.59137256589049,0.0157182539665472,1,-3.49678347788698
"ENSG00000224185",-0.0177298904201681,0.00661891051851852,-2.57936750664895,0.0161538337788493,1,-3.52157218475475
"ENSG00000051128",-0.0166975888571429,0.00432900451851852,-2.57380873930129,0.0163593092323361,1,-3.53302805949992
"ENSG00000225002",-0.0166975888571429,0.00432900451851852,-2.57380873930129,0.0163593092323361,1,-3.53302805949992
"ENSG00000221916",-0.0249342957058824,0.0127083121851852,-2.57267764642996,0.0164014161387649,1,-3.5353573650181
"ENSG00000112212",-0.00834879428571428,0.00216450222222222,-2.56875396266411,0.0165482656682211,1,-3.54343303404674
"ENSG00000139549",-0.00834879428571428,0.00216450222222222,-2.56875396266411,0.0165482656682211,1,-3.54343303404674
"ENSG00000177685",-0.00834879428571428,0.00216450222222222,-2.56875396266411,0.0165482656682211,1,-3.54343303404674
"ENSG00000182376",-0.00834879428571428,0.00216450222222222,-2.56875396266411,0.0165482656682211,1,-3.54343303404674
"ENSG00000201830",-0.00834879428571428,0.00216450222222222,-2.56875396266411,0.0165482656682211,1,-3.54343303404674
"ENSG00000206660",-0.00834879428571428,0.00216450222222222,-2.56875396266411,0.0165482656682211,1,-3.54343303404674
"ENSG00000213671",-0.00834879428571428,0.00216450222222222,-2.56875396266411,0.0165482656682211,1,-3.54343303404674
"ENSG00000215612",-0.00834879428571428,0.00216450222222222,-2.56875396266411,0.0165482656682211,1,-3.54343303404674
