"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000196090",-8.8,3.68,-10.0024352026088,6.27464444035717e-05,1,2.04701004749483
"ENSG00000112541",-12.2,5.52,-9.69294677529312,7.48768373692989e-05,1,1.84716330313941
"ENSG00000182674",-19.1,12.56,-8.65053966410944,0.000141263274882964,1,1.12797022785988
"ENSG00000152767",-8.9,6.44,-8.11794112484,0.000200594154993152,1,0.72999059754027
"ENSG00000104722",6.6,2.64,7.92117363745309,0.000229488850210378,1,0.577177230013614
"ENSG00000286021",6.6,2.64,7.92117363745309,0.000229488850210378,1,0.577177230013614
"ENSG00000233928",-11.7,6.72,-7.20585778902828,0.000383797532466283,1,-0.00700021814964025
"ENSG00000107829",-6.8,4.08,-7.0614182406556,0.000427975720051348,1,-0.130771345150296
"ENSG00000164684",-14.4,11.04,-6.77329069158704,0.000534821979578805,1,-0.383919681011032
"ENSG00000135643",-5.8,3.48,-6.70050694113294,0.000566478118359366,1,-0.44922554832874
"ENSG00000288102",5,2,6.58980079748369,0.000618852600048438,1,-0.549638183214086
"ENSG00000171044",-14.2,13.52,-6.53511293429278,0.000646766740748772,1,-0.599729231377998
"ENSG00000155657",5.5,3,6.29242264380673,0.000789457087074465,1,-0.826010989367617
"ENSG00000235531",-6.5,3,-6.1926249588824,0.00085839413027712,1,-0.92099645140437
"ENSG00000124782",-7,3.2,-5.62835220166165,0.00140625221506056,1,-1.48042863429951
"ENSG00000081923",-5.8,3.48,-5.56301332926812,0.00149245417830864,1,-1.5477654983125
"ENSG00000254349",7.3,4.12,5.55585634234345,0.00150225800096039,1,-1.55517473598503
"ENSG00000106665",4.5,2,5.53855339544798,0.00152626536855684,1,-1.57311490313323
"ENSG00000197779",-5.2,2.92,-5.5220326002882,0.00154959717570892,1,-1.59028032988045
"ENSG00000011454",-6.1,5.56,-5.47107067791715,0.00162417547519852,1,-1.64345462276916
"ENSG00000075035",-4.4,1.84,-5.46419838554617,0.00163454258208875,1,-1.65065122808051
"ENSG00000162105",-9.4,9.04,-5.42419492561744,0.00169640966018286,1,-1.69266565163194
"ENSG00000115896",9.9,5.16,5.41821426737051,0.00170588667766057,1,-1.69896506473273
"ENSG00000170396",5.2,3.28,5.3980613995489,0.00173826864902929,1,-1.72022682657928
"ENSG00000223745",-4.9,2.44,-5.39362305207292,0.00174549413089748,1,-1.72491661187902
"ENSG00000269821",5.8,2.92,5.39223809439646,0.00174775580377898,1,-1.72638056342307
"ENSG00000151948",-3.9,1.64,-5.27965888727583,0.00194329226433005,1,-1.84623591658102
"ENSG00000178585",-3.9,1.64,-5.27965888727583,0.00194329226433005,1,-1.84623591658102
"ENSG00000272274",-4,2,-5.27184063798695,0.00195777212713883,1,-1.85462256729065
"ENSG00000113273",-5.4,2.84,-5.26094950511765,0.00197814850490951,1,-1.86631925086265
"ENSG00000134882",-9.8,7.08,-5.25893758755575,0.00198193901108177,1,-1.86848173051145
"ENSG00000139767",-12.7,10.52,-5.20855579950645,0.00207961163918974,1,-1.92281260573628
"ENSG00000103544",-4.7,3.52,-5.13241487249896,0.00223780561457845,1,-2.00557796103611
"ENSG00000064652",-4.5,3.2,-5.07292558650854,0.00237096440897681,1,-2.07079719925861
"ENSG00000185305",-14.3,10.28,-5.05031050135681,0.00242393176466299,1,-2.09571897981258
"ENSG00000145781",-5.6,4.36,-5.02341526403935,0.00248868340575287,1,-2.12545001020601
"ENSG00000169062",-5,4.2,-5.00592380615679,0.00253184966534093,1,-2.14483984121393
