"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000152767",-8.9,6.44,-6.62827117260444,0.00060004531368507,1,-0.331049479731137
"ENSG00000104722",6.6,2.64,6.46761119191529,0.000683239328600549,1,-0.477572888113381
"ENSG00000286021",6.6,2.64,6.46761119191529,0.000683239328600549,1,-0.477572888113381
"ENSG00000173163",-6.7,2.72,-6.26039925343024,0.000810861035309067,1,-0.670813379134164
"ENSG00000155657",6.5,3,6.07187640613319,0.000951227992461373,1,-0.850934247379189
"ENSG00000288102",5,2,5.38054982014023,0.00176697676835471,1,-1.54884066458555
"ENSG00000228340",-5.5,1.6,-5.33872097433885,0.0018377649137785,1,-1.59304920655103
"ENSG00000171435",-8,7.6,-4.88562798665771,0.00285284555999258,1,-2.08727949050857
"ENSG00000227088",-9.9,3.04,-4.8321395611249,0.00301023030336888,1,-2.1475245418942
"ENSG00000115828",-4,0.8,-4.75611038473058,0.00325117635094423,1,-2.23386390469823
"ENSG00000083312",-8.6,5.36,-4.72784456116619,0.00334627027567162,1,-2.26617535541015
"ENSG00000118733",13.8,12.32,4.70962441448305,0.00340923686052071,1,-2.28706461778119
"ENSG00000133816",-6.9,7.64,-4.65832653777244,0.00359384410485153,1,-2.3461361275927
"ENSG00000240405",-3.9,0.84,-4.60543310076913,0.00379613131469135,1,-2.40744644280622
"ENSG00000144668",-4.7,2.12,-4.5798115826228,0.0038987266702431,1,-2.43729213659692
"ENSG00000197959",11.3,9.52,4.46999737023884,0.00437543555770312,1,-2.56630327617443
"ENSG00000163531",9.3,7.32,4.4580723844127,0.00443105164685288,1,-2.58041982936426
"ENSG00000229240",4.5,2.6,4.32891438225065,0.00508737757469227,1,-2.73466235266275
"ENSG00000184903",7.3,7.92,4.3288373304934,0.00508780049911912,1,-2.73475510707946
"ENSG00000162374",7.6,6.24,4.27308309266579,0.00540446901123238,1,-2.80210283205885
"ENSG00000020577",-7.5,2.6,-4.254874956346,0.005512645591871,1,-2.82419719336021
"ENSG00000182185",4.3,1.92,4.24848243640215,0.00555120027422935,1,-2.8319657774911
"ENSG00000258220",-3.7,0.92,-4.22425077551618,0.00570012497062192,1,-2.86146873975242
"ENSG00000100650",5.9,4.76,4.19662825053075,0.00587539461756137,1,-2.89520667485257
"ENSG00000145012",6.9,7.36,4.19625395974509,0.00587781078714657,1,-2.89566460959848
"ENSG00000196914",6.8,5.32,4.17286458518652,0.0060310350129595,1,-2.92432219450288
"ENSG00000154162",13.1,6.04,4.16436394434825,0.00608783050386406,1,-2.93475766226157
"ENSG00000137764",10.3,12.12,4.15966972859173,0.00611945134573822,1,-2.94052492904381
"ENSG00000167996",8.7,4.28,4.12592438571879,0.00635226862669585,1,-2.9820804909381
"ENSG00000121406",-3.7,1.32,-4.09380735022402,0.00658312063077252,1,-3.02178795593606
"ENSG00000185477",-4.7,3.32,-4.08611160420104,0.0066398244205638,1,-3.03132522486685
"ENSG00000215386",39.5,25.4,4.08202946354744,0.00667012463871932,1,-3.03638775134651
"ENSG00000287474",-24.2,8.52,-4.07455290388823,0.00672602327089044,1,-3.04566632487031
"ENSG00000070882",8.2,4.08,4.01201718264625,0.00721469204666172,1,-3.12359886307812
"ENSG00000138411",6.5,8.2,3.99115426915595,0.00738646958477695,1,-3.14972710285477
"ENSG00000122254",-8.6,8.36,-3.9789839273897,0.00748878748071571,1,-3.16499864581764
"ENSG00000254349",6.3,4.12,3.91492158331356,0.00805420110481012,1,-3.24574485820184
"ENSG00000150394",11.8,9.12,3.908295851064,0.0081153532520932,1,-3.25413056476614
"ENSG00000248905",17,19.4,3.8831357557339,0.00835233920981765,1,-3.28603247146294
"ENSG00000106554",-6.1,5.56,-3.87927753364505,0.008389359313934,1,-3.29093272416909
"ENSG00000143952",-4.9,3.44,-3.86408838159062,0.00853689210200801,1,-3.31024531354533
"ENSG00000198668",12.5,8,3.84765326473682,0.00869979815991372,1,-3.33118004609125
"ENSG00000110427",9.2,6.08,3.82237112455072,0.00895721287538759,1,-3.3634607475778
"ENSG00000145439",5,3.4,3.80980916876257,0.00908826575773958,1,-3.37953462247015
"ENSG00000185261",-5,3.4,-3.80980916876257,0.00908826575773959,1,-3.37953462247016
"ENSG00000179889",13,8.6,3.80381039512838,0.00915160131090656,1,-3.38721853392518
"ENSG00000286481",-16.9,7.24,-3.685445603227,0.0105075633908258,1,-3.53989360652917
"ENSG00000132639",15.9,13.36,3.68430257911637,0.0105217034473261,1,-3.54137772459311
"ENSG00000108039",-3.6,1.16,-3.67669004934651,0.0106164174129063,1,-3.55126666460584
"ENSG00000175175",-6.8,7.08,-3.65511988716107,0.0108899764014123,1,-3.57933160882161
"ENSG00000182348",-8.3,8.68,-3.64020331373411,0.011083731232792,1,-3.59877796923836
"ENSG00000142599",12.2,11.28,3.63282613697808,0.0111809675915627,1,-3.60840697525353
"ENSG00000237750",4.9,3.36,3.63052559996745,0.0112114837285077,1,-3.61141129723826
"ENSG00000150477",4.5,4.4,3.62833304961879,0.0112406535234509,1,-3.61427528795989
"ENSG00000099942",-3.6,1.56,-3.62721461502097,0.0112555656739016,1,-3.61573648837777
"ENSG00000109927",-3,0.6,-3.62700466147674,0.011258367443648,1,-3.61601080577458
"ENSG00000227879",-3,0.6,-3.62700466147674,0.011258367443648,1,-3.61601080577458
"ENSG00000096063",4.3,3.12,3.61524207002379,0.011416579393964,1,-3.63138922418214
"ENSG00000236467",5.5,3.2,3.61077382986082,0.0114773245669846,1,-3.63723607432733
"ENSG00000154146",4.2,2.28,3.60741723507476,0.0115231929748217,1,-3.64163013060855
"ENSG00000184156",13.2,17.48,3.5911052799591,0.0117490134774796,1,-3.66300616021155
