"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000112541",-13,5.52,-8.43322563236364,0.000162614592276531,1,1.14042010191379
"ENSG00000196090",-9,3.68,-8.35256673806032,0.000171473507025945,1,1.08077859117551
"ENSG00000182348",17.5,8.68,7.6751274687165,0.000272648243757249,1,0.558694490684116
"ENSG00000107829",-8.5,4.08,-7.20702981249497,0.00038346120274523,1,0.174167965709104
"ENSG00000164684",-18.5,11.04,-7.10498755480852,0.000414060133521964,1,0.0875657745606526
"ENSG00000233928",-13,6.72,-6.5372869415478,0.000645629816122784,1,-0.413679361299324
"ENSG00000059588",-12.5,7.08,-6.44204028793929,0.000697668874622047,1,-0.501157138809158
"ENSG00000100592",-11,6.12,-6.1783313832244,0.000868822498457226,1,-0.748710512839835
"ENSG00000139154",-11,7.36,-6.13920638104897,0.000898118859229066,1,-0.786124598438185
"ENSG00000173163",6.5,2.72,6.0735216637756,0.000949888046435334,1,-0.849344144629354
"ENSG00000158445",-10.5,9.64,-5.74203073954271,0.00126948261721756,1,-1.1763780940267
"ENSG00000135643",-6,3.48,-5.6595941461216,0.00136705464182187,1,-1.25983175951447
"ENSG00000011454",-7.5,5.56,-5.49234897852453,0.00159254916511236,1,-1.43182447853404
"ENSG00000235531",-7,3,-5.44519996019481,0.00166359760895541,1,-1.48097182638206
"ENSG00000187240",-11,9.28,-5.43386407488635,0.00168121458898581,1,-1.49283194750551
"ENSG00000064999",-8,5.32,-5.36333585697351,0.00179572513330024,1,-1.56700556528985
"ENSG00000228340",5.5,1.6,5.33872097433885,0.0018377649137785,1,-1.59304920655103
"ENSG00000169062",-6.5,4.2,-5.31351557374525,0.00188198000124766,1,-1.61980204322371
"ENSG00000206579",-15.5,8.76,-5.27400507877446,0.00195375118611937,1,-1.66191080486375
"ENSG00000150477",-6.5,4.4,-5.24092551611603,0.0020162453422755,1,-1.6973285666416
"ENSG00000148200",-6.5,3.48,-5.2133103991242,0.00207016358197882,1,-1.72700983030271
"ENSG00000179399",5,1.96,5.16015637868944,0.00217863369831114,1,-1.78443484459721
"ENSG00000145781",-7,4.36,-5.12700173458535,0.00224956375084529,1,-1.82045050223448
"ENSG00000243753",-5.5,3.04,-5.1113991613771,0.00228385005279048,1,-1.83745207623122
"ENSG00000170396",6,3.28,5.08557539581109,0.002341911556059,1,-1.86566554341893
"ENSG00000099942",5,1.56,5.03779807641801,0.0024538147913607,1,-1.91810902044233
"ENSG00000118733",-14.5,12.32,-4.94851840652205,0.00267961029060256,1,-2.01696613505538
"ENSG00000223745",-5.5,2.44,-4.94312475399343,0.00269398971391847,1,-2.02297439969078
"ENSG00000124782",-7.5,3.2,-4.92378249526476,0.00274628122702553,1,-2.04455461896337
"ENSG00000286481",22.5,7.24,4.90665834749156,0.00279353938382975,1,-2.06370438860209
"ENSG00000103544",-5.5,3.52,-4.90389267534874,0.00280125816933177,1,-2.06680112166462
"ENSG00000005436",-5,2.64,-4.89970544842067,0.00281299052108579,1,-2.07149164518933
"ENSG00000184156",-18,17.48,-4.89696174539877,0.00282070845033482,1,-2.07456648889223
"ENSG00000171435",8,7.6,4.88562798665771,0.00285284555999258,1,-2.08727949050857
"ENSG00000169918",-12.5,11.84,-4.80200566738272,0.0031032213401884,1,-2.18164536967422
"ENSG00000115828",4,0.8,4.75611038473058,0.00325117635094423,1,-2.23386390469823
"ENSG00000240405",4,0.84,4.72352112899398,0.0033610914788685,1,-2.27112778509375
"ENSG00000048707",-10,8.36,-4.71711518576123,0.00338318865032308,1,-2.27847068008031
"ENSG00000139737",-5,2.56,-4.70355045847932,0.00343052507083401,1,-2.2940390607491
"ENSG00000081923",-6,3.48,-4.69880830655461,0.00344725018076382,1,-2.29948797633519
"ENSG00000101868",-6,3.16,-4.65730852000194,0.0035976204713095,1,-2.34731228894545
"ENSG00000163596",-6.5,4.8,-4.58952345193903,0.00385947325206554,1,-2.42596777385982
"ENSG00000258220",4,0.92,4.56675759515262,0.00395220120475034,1,-2.45253530209242
"ENSG00000075035",-4.5,1.84,-4.56289701065718,0.0039681742305692,1,-2.45704810289598
"ENSG00000164989",-11,6.96,-4.53270811217936,0.0040956259688182,1,-2.49241265385764
"ENSG00000152795",-5,3.92,-4.50370085455562,0.00422246129218388,1,-2.52651922332986
"ENSG00000150275",-20,14.04,-4.48609342467474,0.00430161144586151,1,-2.54728237876395
"ENSG00000147316",-7.5,4.24,-4.4808114874357,0.00432568078701719,1,-2.55351989323171
"ENSG00000146592",-7.5,6.04,-4.47963081521515,0.00433108177735259,1,-2.55491472847114
