"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000224468",-0.0518979072,0.01893548725,-4.75205072406704,0.000304603564195931,0.654739895632129,0.542343218257092
"ENSG00000173578",-0.0408568022,0.013579439,-4.66165902927696,0.00036158043656336,0.654739895632129,0.385872711651562
"ENSG00000146013",-0.0486790182,0.0187263994375,-4.52584302684032,0.000468665857974613,0.654739895632129,0.148763776280983
"ENSG00000235098",-0.121889377,0.0588353338125,-4.52023895663964,0.000473730134695846,0.654739895632129,0.138930239777534
"ENSG00000237990",-0.0498866266,0.020375394875,-4.06667409668507,0.00114253261305078,0.654739895632129,-0.668523113715911
"ENSG00000026508",-0.243085412,0.0990001436875,-3.92530185796725,0.00150884623783289,0.654739895632129,-0.924124252518718
"ENSG00000226779",-0.0627420152,0.028712378875,-3.9088180681892,0.00155872087308861,0.654739895632129,-0.954021109946683
"ENSG00000267104",-0.059447621,0.0304905135,-3.90869225484938,0.00155910792590786,0.654739895632129,-0.954249368332393
"ENSG00000287903",-0.0707693224,0.030869153375,-3.90587501620289,0.00156780054850192,0.654739895632129,-0.959360848970405
"ENSG00000268931",-0.04770425928,0.0188665054,-3.88498661089702,0.00163380897233319,0.654739895632129,-0.997275850653604
"ENSG00000115457",-0.045507965,0.02089789275,-3.86015065860025,0.00171598153677065,0.654739895632129,-1.04239156565449
"ENSG00000120160",-0.0409184742,0.015309165875,-3.78835505822674,0.00197793544146286,0.654739895632129,-1.17301094731601
"ENSG00000174851",-0.0684636108,0.0384604665,-3.76133366687375,0.0020867340564416,0.654739895632129,-1.2222410235274
"ENSG00000284128",-0.060149879,0.0328955645625,-3.71584162157267,0.00228378933509245,0.654739895632129,-1.30519765006821
"ENSG00000143631",-0.147974678,0.06233709725,-3.67044330987073,0.00249923955536071,0.654739895632129,-1.3880656994504
"ENSG00000226669",-0.0452354638,0.01710294325,-3.62961150417901,0.00271053594066634,0.654739895632129,-1.46265723462828
"ENSG00000285043",-0.153326899,0.0744779228125,-3.62005062767935,0.0027625658989363,0.654739895632129,-1.48012995745997
"ENSG00000150051",-0.0825743544,0.04068447825,-3.60703194024433,0.00283503856289781,0.654739895632129,-1.50392565199974
"ENSG00000287414",-0.1938073736,0.081316320125,-3.60603873596332,0.00284064571773242,0.654739895632129,-1.50574120995363
"ENSG00000280011",-0.1412719714,0.0655261416875,-3.5831569527275,0.00297297016576355,0.654739895632129,-1.54757475506076
"ENSG00000244582",-0.0595709636,0.029278533375,-3.54493548603018,0.00320801808664976,0.654739895632129,-1.61747522835915
"ENSG00000106351",0.489173901333333,0.2926948175,3.53951718582396,0.00324282146271879,0.654739895632129,-1.62738619013074
"ENSG00000250030",-0.05060281048,0.02041882715,-3.52989202717128,0.00330558730010931,0.654739895632129,-1.64499309445553
"ENSG00000259520",-0.6573311468,0.252203846375,-3.4973238314824,0.00352717860193836,0.654739895632129,-1.70457553776304
"ENSG00000234982",-0.0531055166,0.0253613699375,-3.48396234414663,0.00362235797598873,0.654739895632129,-1.72902201496687
"ENSG00000236341",-0.04595164768,0.0173267507125,-3.47940035652542,0.00365544290009918,0.654739895632129,-1.73736888918309
"ENSG00000137860",-0.3349282474,0.11913043675,-3.46091536670964,0.003792639992026,0.654739895632129,-1.77119047008229
"ENSG00000254638",-0.0494430374,0.0168877308125,-3.45468949334985,0.00384000436790391,0.654739895632129,-1.78258182191489
"ENSG00000111906",-0.359177935333333,0.25349593,-3.43268267433586,0.00401223731770826,0.654739895632129,-1.82284642478912
"ENSG00000233008",-0.849148307333333,0.6125169975,-3.42561631290396,0.00406916980571165,0.654739895632129,-1.83577485179585
"ENSG00000227518",-0.045569637,0.0220802740625,-3.41399526315071,0.00416456699753827,0.654739895632129,-1.85703563843983
"ENSG00000260285",-0.0619503288,0.0329857815,-3.40997412659552,0.00419809638669406,0.654739895632129,-1.86439206605195
"ENSG00000271551",-0.072126091,0.0355105288125,-3.39724671862368,0.00430601621476368,0.654739895632129,-1.88767500217431
"ENSG00000124839",-0.05525397388,0.027743217275,-3.37787007948611,0.00447568154801581,0.654739895632129,-1.92311786375937
"ENSG00000130812",-0.05345352268,0.023200504275,-3.37243999601846,0.00452441890287519,0.654739895632129,-1.93304932953138
"ENSG00000231856",-0.0400928746,0.0139658049375,-3.36701637621002,0.00457362892760972,0.654739895632129,-1.94296848362745
"ENSG00000270876",-0.0243879194,0.008339615625,-3.34589954718049,0.00477038755490304,0.654739895632129,-1.98158342143322
"ENSG00000125843",-0.0616916598,0.0353372950625,-3.33808687724726,0.00484531119047546,0.654739895632129,-1.99586757784711
"ENSG00000285793",-0.0502686374,0.0221900160625,-3.33638270047391,0.0048618100645332,0.654739895632129,-1.99898319461323
"ENSG00000151062",-0.1156549816,0.063261447875,-3.33241230791237,0.00490046749179265,0.654739895632129,-2.00624169517431
"ENSG00000134020",-0.553817108666667,0.33392642625,-3.32657143728116,0.0049578962269753,0.654739895632129,-2.01691902498581
"ENSG00000186471",-0.0786393736,0.0378251458125,-3.32076965235068,0.00501560696564865,0.654739895632129,-2.02752404780639
"ENSG00000260464",-0.0495524542,0.0232468185625,-3.32076270502572,0.00501567647225359,0.654739895632129,-2.0275367462229
"ENSG00000162482",-0.041190975,0.018361183,-3.31751199208135,0.00504830508780934,0.654739895632129,-2.03347830282226
"ENSG00000127507",-0.0873672868,0.03938951,-3.31061147473663,0.00511827317658581,0.654739895632129,-2.04608990494909
"ENSG00000178988",-0.409940847333333,0.27183145,-3.30906715622637,0.0051340641251486,0.654739895632129,-2.04891216650929
"ENSG00000257398",-0.168912787,0.0713573315625,-3.30652118353973,0.00516020355113589,0.654739895632129,-2.0535648135095
"ENSG00000197847",-0.0670929184,0.034584187375,-3.30565713830482,0.0051691048721404,0.654739895632129,-2.0551437731261
"ENSG00000254163",-0.097612203,0.0486332768125,-3.30388091149269,0.00518745163274001,0.654739895632129,-2.05838958769997
"ENSG00000092330",-0.0939284052,0.0471303855625,-3.29444388786773,0.00528602395370487,0.654739895632129,-2.07563287032522
"ENSG00000159314",-0.103980825,0.0567805391875,-3.28998839288645,0.0053332109154165,0.654739895632129,-2.0837729588196
"ENSG00000163945",-0.807607434666667,0.523245906875,-3.2834347757636,0.00540338406691127,0.654739895632129,-2.09574508985417
"ENSG00000204287",0.453953246266667,0.09049359775,3.27431519857063,0.0055025689340401,0.654739895632129,-2.1124022787004
"ENSG00000251196",-0.0565490706,0.0293831939375,-3.26591011364945,0.00559559143498057,0.654739895632129,-2.12775180125892
