"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000112333",-0.0155267016029412,0.00678442692857143,-3.75086194686874,0.000873035593006686,1,-0.607859733153683
"ENSG00000118271",-0.0153190365764706,0.00490463181071429,-3.54579652783638,0.00148185392183455,1,-1.0886498913074
"ENSG00000138180",-0.0488895741911765,0.0277723444642857,-3.52055941610362,0.0015807927882709,1,-1.14726236086125
"ENSG00000262081",-0.008077636375,0.00230789610714286,-3.41692569645636,0.002058748777343,1,-1.38650665674275
"ENSG00000261965",-0.0279649870044118,0.00878408768928572,-3.33427997421691,0.00253766816142671,1,-1.5755148734991
"ENSG00000240752",-0.0200327212647059,0.0102256009285714,-3.31567712913486,0.00265946302467016,1,-1.61782600306019
"ENSG00000233553",-0.0353482722838235,0.012946943725,-3.26707360491844,0.00300489769556515,1,-1.72794882329918
"ENSG00000172322",-0.0630533543088235,0.0446067060714286,-3.25776483554684,0.00307582018291407,1,-1.74896857977802
"ENSG00000237027",-0.0341377338264706,0.0134783631678571,-3.22599860501617,0.00333018494956794,1,-1.82052097530628
"ENSG00000244286",-0.0184754384676471,0.00795987508214286,-3.21837398337852,0.00339418590211626,1,-1.83765370739362
"ENSG00000263050",-0.0468083548823529,0.0447926006071429,-3.16610671812595,0.00386584770487997,1,-1.95465572977943
"ENSG00000230718",-0.0177053223161765,0.0120554260714286,-3.13036748466,0.00422392078134445,1,-2.03420084425929
"ENSG00000272320",-0.0175330976367647,0.0129419051178571,-3.10077573171073,0.00454425193584795,1,-2.09977234570005
"ENSG00000255102",-0.00638009925,0.0018228855,-3.08891073158235,0.00467911401675303,1,-2.12598800194687
"ENSG00000234962",-0.015478781,0.00442250885714286,-3.08731473854678,0.00469754421639544,1,-2.12951099736367
"ENSG00000006606",-0.0163878198161765,0.00684155928571429,-3.07806009967855,0.00480579100810361,1,-2.14992396807783
"ENSG00000254835",-0.00361882575,0.00103395021428571,-3.0012152024427,0.00580135968901691,1,-2.31836045688147
"ENSG00000264484",-0.00361882575,0.00103395021428571,-3.0012152024427,0.00580135968901691,1,-2.31836045688147
"ENSG00000280379",-0.0166987304926471,0.00822594521428571,-2.99765769380439,0.00585191319046078,1,-2.32611123111986
"ENSG00000240021",-0.0260645630485294,0.0119282620464286,-2.99589594879447,0.00587710330905211,1,-2.32994798913493
"ENSG00000237390",-0.015187438125,0.00433926803571429,-2.94893528629399,0.0065878864374405,1,-2.43183102219381
"ENSG00000270775",-0.0156644399470588,0.00553514315714286,-2.94400021455295,0.00666715580905969,1,-2.44249375320338
"ENSG00000241907",-0.0161699557058823,0.00749408939285714,-2.93819174519807,0.00676161487548111,1,-2.45503264639711
