"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000246548",-0.066792014375,0.0255858121851852,-4.26718005726584,0.000246355517046708,1,0.527114629889852
"ENSG00000260563",-0.110439778125,0.0748391807407407,-4.14331893625999,0.000339448178010659,1,0.228180822661376
"ENSG00000257746",-0.0620858213125,0.0228516000740741,-3.7135711720964,0.00102274870804318,1,-0.797151425355288
"ENSG00000111886",-0.0634436016875,0.0278019757777778,-3.66632637310223,0.00115318952895277,1,-0.908340158967402
"ENSG00000231881",-0.0581349318125,0.0242886841481481,-3.6065958748467,0.0013415909275798,1,-1.04836710883102
"ENSG00000165724",-0.21734553175,0.149736879333333,-3.56617805808393,0.00148580902957698,1,-1.14275227861466
"ENSG00000268223",-0.053779234,0.0238309024074074,-3.50381740071279,0.00173845975500967,1,-1.28776142065808
"ENSG00000232732",-0.3174275764375,0.238290248037037,-3.47668149296304,0.00186104425827974,1,-1.3506159024392
"ENSG00000260468",-0.2130219078125,0.108182823518519,-3.45906543781898,0.00194508405822426,1,-1.39133691725435
"ENSG00000203697",-0.3282964405625,0.229987514481481,-3.42375978376818,0.00212476749751489,1,-1.47274719700527
"ENSG00000160051",-0.0655359611875,0.0386703210740741,-3.37680284716757,0.00238889652379497,1,-1.58059221374834
"ENSG00000106852",-0.0501404951875,0.0254987908518518,-3.36683799585114,0.00244891177647026,1,-1.60341291268137
"ENSG00000189223",-0.30585893525,0.197894201333333,-3.33421855620713,0.0026557645932414,1,-1.67795046103153
"ENSG00000224063",-2.011559535625,1.18148126703704,-3.30103015011342,0.00288354958250463,1,-1.75352248664808
"ENSG00000273419",-0.050982119625,0.0202197953703704,-3.28807471049825,0.002977501539161,1,-1.7829482554214
"ENSG00000241346",-0.015371682625,0.00455457262962963,-3.25298072687111,0.00324710051434102,1,-1.86244170732526
"ENSG00000262198",-0.049911137625,0.0161705907777778,-3.24459539028668,0.00331492496412975,1,-1.88138836394169
"ENSG00000251661",-0.0600728594375,0.0348306913703704,-3.22669542257974,0.00346431131695731,1,-1.92177090455283
"ENSG00000185689",-0.07465795725,0.0390902267037037,-3.17074568001558,0.00397425765877314,1,-2.04743232423846
"ENSG00000267389",-0.052821128125,0.0253788256666667,-3.13658555701212,0.00432033481932327,1,-2.12372272840054
"ENSG00000237268",-0.4753541126875,0.348259845444444,-3.1221178554497,0.00447547771850184,1,-2.15593187801018
"ENSG00000115457",-0.194195228125,0.116055525925926,-3.12034008363309,0.00449490648426412,1,-2.15988545457287
"ENSG00000224019",-0.1611582565625,0.0791203384074074,-3.10334855111684,0.00468473222572403,1,-2.19762555393049
"ENSG00000227000",-0.047611854,0.0164620041111111,-3.08522460416498,0.00489567681056837,1,-2.23778554781511
"ENSG00000137860",-0.242166754125,0.110986424962963,-3.06842803098226,0.00509927682409533,1,-2.2749151369056
"ENSG00000226762",-0.1436257484375,0.0687725877037037,-3.04849713241893,0.00535139516481857,1,-2.31886034046098
"ENSG00000107140",-0.1897505231875,0.169587683592593,-3.02126224843002,0.00571525166898653,1,-2.37870821227185
"ENSG00000188800",-0.0342963994375,0.0107723967407407,-3.0181954026715,0.0057576754521658,1,-2.38543272258346
"ENSG00000279858",-0.0422636215,0.0211942803333333,-3.01035844797688,0.00586745532788627,1,-2.40260265327097
"ENSG00000215568",-0.04027343325,0.0161322632222222,-3.00406739875933,0.00595702385637545,1,-2.41637130777338
"ENSG00000188070",-0.1847153284375,0.143563155,-2.98966832096262,0.00616696881354271,1,-2.44783676577555
"ENSG00000259468",-0.068297734125,0.0523328601481481,-2.94831453525266,0.00680988139857698,1,-2.53782309826523
"ENSG00000225174",-0.018167993375,0.00717100381481481,-2.94130266639455,0.00692503638773494,1,-2.5530239360771
"ENSG00000248559",-0.1133002198125,0.0495298677037037,-2.93523315202762,0.00702620957275755,1,-2.56616831729545
