"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000231605",-0.946431344125,0.222961320148148,-6.28179126457731,1.38840166679492e-06,0.047437519749382,5.01343650293576
"ENSG00000197085",-3.74663376416667,0.82067564962963,-5.72520048489435,5.66759442420284e-06,0.0968223493458692,3.81574709584477
"ENSG00000269502",-0.1133794765,0.022742519962963,-5.30865831014567,1.65145424769875e-05,0.141287361361663,2.89536988336764
"ENSG00000249500",-0.101178937291667,0.0155153622592593,-5.29688628874167,1.70240802058952e-05,0.141287361361663,2.86911251372426
"ENSG00000176410",-0.4986595611875,0.165857420407407,-5.22166528239667,2.06759975066092e-05,0.141287361361663,2.70105539092
"ENSG00000116791",-0.480573382979167,0.177290571296296,-5.08842736285542,2.91915220397157e-05,0.146277968407176,2.40228773596431
"ENSG00000228655",-0.677157680708333,0.223311934518519,-5.07828707850097,2.99688523677887e-05,0.146277968407176,2.37949717889518
"ENSG00000277879",-0.0909594671458333,0.0121886285185185,-4.97709898958127,3.89627316942861e-05,0.153040518363046,2.15171154156646
"ENSG00000188766",-0.5646071885,0.189122832296296,-4.9639756988593,4.03127188593501e-05,0.153040518363046,2.12212428967992
"ENSG00000213420",-0.45025336275,0.0773757491481481,-4.87064015392376,5.13697212601405e-05,0.175514926629522,1.9114286032722
"ENSG00000160688",-0.567794254083334,0.237609738074074,-4.72183919691783,7.56258973771223e-05,0.23208267445193,1.57472796402552
"ENSG00000168952",-0.690984121229167,0.196529161740741,-4.69301530077269,8.15111684790343e-05,0.23208267445193,1.50941895543407
"ENSG00000213397",-0.4183582855625,0.070133994962963,-4.58727217562021,0.000107304440182542,0.26553617957683,1.26966302073884
"ENSG00000253554",-7.08269314604166,4.72531283444444,-4.58193384610606,0.000108804007202143,0.26553617957683,1.25755407364086
"ENSG00000163285",-1.14114951979167,0.719151579259259,-4.50058981975508,0.000134421187999225,0.306184582024634,1.07300904476727
"ENSG00000184216",-0.4253579256875,0.102905971666667,-4.44066197133465,0.000157066605101599,0.32386060497935,0.937039517092667
"ENSG00000234771",-0.536031772979167,0.150036852185185,-4.40849104136435,0.000170752351983955,0.32386060497935,0.864054915854616
