"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",11.5657106358788,0.0413146724425164,0.37850843593311,0.109151259312534,0.913082518673762,1
"ENSG00000000005",0.740286153132755,0.460568698281321,1.27242966066217,0.361960045824178,0.717381887672651,1
"ENSG00000000419",46.3396932585048,-0.0642142264704044,0.157472498550517,-0.40778057795155,0.683434773798341,1
"ENSG00000000457",40.7981638813782,0.0138121854322312,0.186315798157419,0.074133195192397,0.940904401978517,1
"ENSG00000000460",30.2113348248868,-0.0597397191506953,0.207227701096927,-0.288280566905257,0.773131981389126,1
"ENSG00000000938",0.699258080772196,-1.13311727772635,1.2656041855431,-0.895317264805109,0.370617513718912,1
"ENSG00000000971",3.31398142807298,0.523235574743547,0.847332378274381,0.617509242133686,0.536898887145937,1
"ENSG00000001036",12.0952551732031,-0.290902474876034,0.254877914950356,-1.14134045287013,0.253728274216283,1
"ENSG00000001084",70.0784118080047,0.111800567784861,0.157562924017322,0.709561392580971,0.47797616800849,1
"ENSG00000001167",19.6851168867211,0.223147588502367,0.252404677005577,0.884086583298282,0.376649475220493,1
"ENSG00000001460",14.1039690635426,-0.0149717825347568,0.298626009168646,-0.0501355611202025,0.960014361683027,1
"ENSG00000001461",84.060610442604,0.35691414088712,0.205259535302238,1.73884316926654,0.0820623528741009,1
"ENSG00000001497",76.4272933829346,-0.462238768550465,0.226900714382026,-2.03718516184223,0.0416314902244225,1
"ENSG00000001561",44.9244988895447,-0.399612453563207,0.173558466581437,-2.30246591499875,0.0213089114752405,1
"ENSG00000001617",0.779109432024912,1.4696014059702,1.09923489618519,1.33693117919594,0.181245102233928,1
"ENSG00000001626",105.459129628446,-0.673020648307216,0.336640357523678,-1.99922746416368,0.0455837482790651,1
"ENSG00000001629",332.851558109037,0.0451017123483567,0.108639427614792,0.415150496818485,0.678031735081076,1
"ENSG00000001631",0,NA,NA,NA,NA,NA
"ENSG00000002016",57.039813416746,0.0842674829274702,0.143411768891258,0.587591127136617,0.556806768073996,1
"ENSG00000002330",8.63980393134593,0.139986012381255,0.408027391649959,0.343079938371752,0.731538323087361,1
"ENSG00000002549",23.9291839626779,-0.198346911887332,0.204541323325146,-0.969715599092082,0.332188272821979,1
"ENSG00000002586",4.49884123938795,0.617715474464028,0.446800343976088,1.38253133148234,0.166808617080776,1
"ENSG00000002587",39.5088448958235,0.454850263403439,0.355721293871885,1.27867032769552,0.201013172868706,1
"ENSG00000002726",1.23321619528406,0.136584105433666,1.12023257526281,0.121924775666895,0.902958593864896,1
"ENSG00000002745",0.295289042935067,-0.8752316044842,2.11481468436815,-0.413857351641047,0.678978579214737,1
"ENSG00000002746",547.227400569757,0.0546284730711868,0.0888688904183625,0.614708620913525,0.538747165513664,1
"ENSG00000002834",27.2360775829246,0.175416502845137,0.2011150797191,0.872219542612836,0.383088620241953,1
"ENSG00000002919",8.85298394549041,0.0234895267325868,0.325511289332252,0.0721619418508425,0.942473032183084,1
"ENSG00000002933",2.6828570467712,0.64064993331236,0.731756386806718,0.875496196361286,0.381303978917111,1
"ENSG00000003056",30.9166788267226,-0.455858466434611,0.206403638154994,-2.20857767096283,0.0272040298718696,1
"ENSG00000003096",133.591764629742,0.206712266728598,0.126825553414965,1.62989445866835,0.103123805023675,1
"ENSG00000003137",4.76024994925479,0.345237539824381,0.515104555585272,0.670228084921739,0.502712403030402,1
"ENSG00000003147",111.152972466005,-0.198461723585905,0.144811957927188,-1.37047883632436,0.170537477411124,1
"ENSG00000003249",5.98859984735263,0.160954289232134,0.467129439097516,0.344560363275529,0.730424908428545,1
"ENSG00000003393",58.089956732169,0.093952077563189,0.154925534746683,0.606433779407692,0.544226743183234,1
"ENSG00000003400",1.0281623915413,-0.228464483468278,1.10553601817724,-0.206654943585611,0.836279347550372,1
"ENSG00000003402",73.0902021213999,0.208540721580253,0.14704062144179,1.41825244980218,0.156117073815553,1
"ENSG00000003436",2.91264953534628,-0.274063170480573,0.811044984756642,-0.337913649219849,0.735428261386523,1
"ENSG00000003509",43.2379065061145,0.14055768239752,0.165525255582043,0.849161548811822,0.395791405856312,1
"ENSG00000003756",149.342144967201,0.197356189884561,0.143561616061192,1.37471418405069,0.169220072071078,1
"ENSG00000003987",183.526922505968,0.0660373252486491,0.125649785710462,0.525566556880729,0.59918939814667,1
"ENSG00000003989",23.9743613886007,0.376605918383899,0.261084380586621,1.44246820716627,0.149170334271265,1
"ENSG00000004059",6.19792864247301,0.12316254623386,0.446296750939609,0.275965590102462,0.782574495437851,1
"ENSG00000004139",30.6306962481379,0.0531351146786416,0.193797429599561,0.27417863481695,0.783947346170421,1
"ENSG00000004142",13.2708042974127,0.127991178690529,0.284902547333397,0.449245469682489,0.653254589945769,1
"ENSG00000004399",3.51497249268106,0.218336911856475,0.575317037789159,0.379507119579675,0.704311318361759,1
"ENSG00000004455",42.1155397325464,-0.121919157901704,0.213491188494306,-0.571073489081989,0.567949828447486,1
"ENSG00000004468",2.89494116997201,0.40367710511115,0.665102739566746,0.606939471297486,0.543891082130124,1
"ENSG00000004478",17.80997107222,0.192056002421353,0.306421354998606,0.626770945589697,0.530809391273679,1
"ENSG00000004487",101.985034460722,0.070908579940515,0.110335626147618,0.642662596083395,0.520443056450033,1
"ENSG00000004534",315.239753373912,0.16889876689404,0.0936180624909387,1.80412585349529,0.0712115796093939,1
"ENSG00000004660",11.2320562718059,0.0763246319285101,0.328755977408128,0.232161959548977,0.816412222467016,1
"ENSG00000004700",21.283688953723,-0.248216632552801,0.219392843365734,-1.1313798059448,0.257895267337197,1
"ENSG00000004766",148.398680449896,0.201689721097263,0.134759727199936,1.49666169031366,0.134481309308882,1
"ENSG00000004776",0.497394584165385,0.557235020408752,1.44404341550008,0.385885226460299,0.699581672418265,1
"ENSG00000004777",20.4937640099568,-0.309733567269746,0.288052838193285,-1.07526650045334,0.282255429820242,1
"ENSG00000004779",21.0711335630481,-0.159938004148032,0.271486974005907,-0.589118519345803,0.555781771031169,1
"ENSG00000004799",56.0164767834482,0.0140159169328963,0.444681023085256,0.0315190354552394,0.9748556115882,1
"ENSG00000004809",0.782379937480825,-1.50526197500204,1.07251678706456,-1.40348570125591,0.160472052893587,1
"ENSG00000004838",1.15394153748743,-0.186049036156218,0.914229190701324,-0.203503714438932,0.838741342724026,1
"ENSG00000004846",2.76194729388919,0.514682969777445,0.601938588361436,0.855042324464505,0.3925277171381,1
"ENSG00000004848",6.72663928997883,-0.639255118862745,0.420845759924233,-1.51897721145589,0.128768232213539,1
"ENSG00000004864",103.598368721337,0.0340232558795025,0.166171737059607,0.204747549020915,0.837769368543767,1
"ENSG00000004866",80.1089252567932,-0.1345432747359,0.131592325711412,-1.02242493252197,0.306579825028277,1
"ENSG00000004897",135.472293117373,0.086554223580154,0.129378848440583,0.668998252986492,0.503496592385536,1
"ENSG00000004939",0.720494382688736,-0.046272855716646,1.13243513112675,-0.0408613742586788,0.967406410589546,1
"ENSG00000004948",1.24724157720504,-2.23927250272624,0.944705718116269,-2.3703386777327,0.0177717976239596,1
"ENSG00000004961",3.61674640867109,0.124994849677253,0.479485415935861,0.260685404650499,0.794335122393742,1
"ENSG00000004975",13.3335913955719,-0.355942559188684,0.279600192789537,-1.27304117939794,0.203003429668904,1
"ENSG00000005007",19.7269465098868,-0.11165584865405,0.230669439941904,-0.484051327658191,0.628349442568601,1
"ENSG00000005020",6.51116922841238,-0.0891342673585392,0.388706261469796,-0.229310088861188,0.818627912607305,1
"ENSG00000005022",19.9870908510005,-0.398783303492377,0.300302018135416,-1.32794080428908,0.184197663362539,1
"ENSG00000005059",4.03613176530815,0.766280484071327,0.513714723610394,1.4916459444376,0.135791986919758,1
"ENSG00000005075",11.272451113058,0.0173525191128678,0.295693586068948,0.0586841241420151,0.953203704642895,1
"ENSG00000005100",9.87111347054405,-0.239173388729987,0.31689474042002,-0.754740796306625,0.450404523039145,1
"ENSG00000005102",1.89537827353443,0.212943822381301,0.731318718528337,0.291177864023249,0.7709152913899,1
"ENSG00000005108",334.053389131476,0.0673017320228703,0.166055807736444,0.40529586372365,0.685260046541602,1
"ENSG00000005156",18.3569919829665,0.0130758799547467,0.263283576306238,0.049664624501824,0.96038964721141,1
"ENSG00000005175",33.4789878053426,0.111935141554169,0.215689942879423,0.518963193461199,0.603786408432807,1
"ENSG00000005187",18.2920600414509,-0.728998751225188,0.436530296932006,-1.6699843203294,0.094922465884101,1
"ENSG00000005189",5.49336369372823,0.436566037332127,0.390448760299139,1.11811351891002,0.263518513304363,1
"ENSG00000005194",22.6737117242399,-0.0107562706698235,0.24541130141837,-0.0438295653364657,0.965040259992397,1
"ENSG00000005206",61.7436167716342,-0.104221074436131,0.163298586852462,-0.638223982491002,0.523327887779198,1
"ENSG00000005238",7.50643742165094,0.0590667875699615,0.369653744104837,0.159789501694347,0.873046894253802,1
"ENSG00000005243",0.349268026086906,0.9105161701723,1.62231179276717,0.56124610215601,0.5746297786208,1
"ENSG00000005249",64.7205805999445,0.0511196151840598,0.174755271370494,0.292521162784741,0.769888181567446,1
"ENSG00000005302",13.710676107944,-0.219687425754859,0.27080409837014,-0.811241141020642,0.417227203718139,1
"ENSG00000005339",210.283476103876,0.141306713135435,0.110848382300969,1.27477469857673,0.202388998546491,1
"ENSG00000005379",92.375009237511,0.0558665561452522,0.188014053473734,0.297140320699788,0.766359382267306,1
"ENSG00000005381",1.55095708211305,0.658953044075516,0.824298699900852,0.799410509994467,0.424052418243644,1
"ENSG00000005421",7.29227157571808,-0.116582245368427,0.359129920736458,-0.324624150305702,0.745465547017172,1
"ENSG00000005436",150.991918874507,0.00457909730862518,0.157979884579517,0.0289853187373381,0.976876299626,1
"ENSG00000005448",4.30995223352679,-0.231855255168785,0.423229523824577,-0.547823916142689,0.583812815103707,1
"ENSG00000005469",29.739702262606,-0.0813850714762899,0.260646128935518,-0.312243545717204,0.754855440528627,1
"ENSG00000005471",2.72519575570861,0.755331465702729,0.611408576733869,1.23539560033275,0.216683309426555,1
"ENSG00000005483",392.666894796232,0.0518626232862116,0.0876888838616114,0.591438971535548,0.554226334741253,1
"ENSG00000005486",19.0763514693464,0.107950784229463,0.259426508754482,0.416113159552351,0.677327200910736,1
"ENSG00000005513",102.006955527465,0.329205070463467,0.27462806852781,1.19873060400645,0.230632713987804,1
"ENSG00000005700",133.095239981012,0.104790495300031,0.115825392035502,0.904728172799203,0.365609412021479,1
"ENSG00000005801",53.618365362822,0.137969925586602,0.17245097011476,0.800053055629596,0.42368005828372,1
"ENSG00000005810",673.336472516165,0.14969354478437,0.0999449595038908,1.4977598222804,0.134195662964228,1
"ENSG00000005812",77.5496202385065,0.087433216431964,0.127992870011045,0.683110054680536,0.494537302414265,1
"ENSG00000005844",6.91640945693312,-0.453344296526247,0.488732003315128,-0.927592818663722,0.353618824250084,1
"ENSG00000005882",13.6496417142889,-0.219998436598375,0.277228633660527,-0.793563181744671,0.42744977371406,1
"ENSG00000005884",8.46365994113354,0.28557936765914,0.323555029459312,0.882629975297763,0.377436227495428,1
"ENSG00000005889",71.369936198429,0.0997766002053143,0.190536149451492,0.52366231023639,0.600513434420078,1
"ENSG00000005893",144.502327538566,0.00294558691624058,0.16545654967574,0.0178027821927468,0.985796185243636,1
"ENSG00000005961",11.0855199042415,0.0902764169551064,0.362252222227169,0.249208731971543,0.803199325334899,1
"ENSG00000005981",2.45494615434373,1.16817639743713,0.639960924018733,1.82538707223152,0.0679426387780567,1
"ENSG00000006007",14.0822005204231,-0.392760154827285,0.25948520839707,-1.51361288473243,0.130124051271555,1
"ENSG00000006015",24.6073424996946,-0.227729571649624,0.197273356565641,-1.15438585125837,0.248342013233223,1
"ENSG00000006016",22.7194951946894,-0.0248704709788945,0.268912643137629,-0.0924853167508595,0.926312456754343,1
"ENSG00000006025",13.7703291993818,0.426871970924258,0.281150053024756,1.51830656381442,0.128937133755795,1
"ENSG00000006042",4.9527227145033,0.518265421689644,0.417897265986176,1.24017423389122,0.214910956426447,1
"ENSG00000006047",0.113785090660984,1.08497496638322,3.39615801937275,0.31947128496206,0.749369162719919,1
"ENSG00000006062",23.0867140550991,-0.153615464846152,0.259892898200294,-0.591072191313836,0.55447205159701,1
"ENSG00000006071",127.873994632622,0.199013428099044,0.241576631410967,0.823810759081597,0.410047093298593,1
"ENSG00000006116",11.4705152798734,-0.0779433041042553,0.40444056270683,-0.192718810355218,0.847179191074438,1
"ENSG00000006118",22.5302126854347,0.103604923974796,0.271545489499544,0.381538003690427,0.70280407708446,1
"ENSG00000006125",121.684994795657,-0.09066586399882,0.132144613253317,-0.686110933822298,0.492643156605111,1
"ENSG00000006128",2.48833164047024,0.265960280946263,0.710456984059756,0.374350997897845,0.708143194835697,1
"ENSG00000006194",15.0451673841839,-0.0118839252418092,0.257421635375558,-0.0461652153847579,0.963178567002062,1
"ENSG00000006210",12.1483599282578,-0.0223799445408015,0.324568083795961,-0.0689530044946459,0.945027027394261,1
"ENSG00000006282",9.75740315114123,-0.342507737825933,0.30027562134095,-1.14064450619196,0.254017888441591,1
"ENSG00000006283",24.6805643763994,-0.488534255430772,0.282481449306198,-1.72943836358338,0.0837306688959017,1
"ENSG00000006327",0.341377816698415,-0.814770784122714,1.6014037815845,-0.508785350385862,0.610902689004281,1
"ENSG00000006377",0.380432692503225,-0.343127284204387,1.40464025470646,-0.244281254972358,0.807013000153347,1
"ENSG00000006432",20.3228289354139,0.424189125556726,0.259314865578361,1.63580720530865,0.101879943562207,1
"ENSG00000006451",136.395581864761,0.19793803049938,0.207750259225488,0.952769114403569,0.340707066321851,1
"ENSG00000006453",5.53784253086125,-0.127019267568259,0.437816591323802,-0.290119812920286,0.771724578819325,1
"ENSG00000006459",56.5829448636093,0.0770475826107616,0.217697238197642,0.353920808773936,0.723398231933239,1
"ENSG00000006468",316.559571020377,0.117695621220337,0.156593832604981,0.751598062723404,0.452292808707357,1
"ENSG00000006530",66.598103128415,-0.00393303031535755,0.152581974780866,-0.0257765068318592,0.979435600454164,1
"ENSG00000006534",2.77489540789099,-0.11704244179914,0.541814082984667,-0.216019563674671,0.828972497968323,1
"ENSG00000006555",0.376051592081934,1.81142099320274,1.749965688222,1.03511800568112,0.300613804687819,1
"ENSG00000006576",178.182754863615,0.0899336908680762,0.11383856612765,0.790010748793437,0.429521490977308,1
"ENSG00000006606",0.271829749000107,-0.668339747367916,1.60520096939799,-0.416358923343142,0.677147381459505,1
"ENSG00000006607",197.900741646679,0.0146748113367606,0.177227264385074,0.0828022222634749,0.934008802087216,1
"ENSG00000006611",0.720376215901246,0.977555618659847,1.18933551518562,0.821934270168735,0.411114307222766,1
"ENSG00000006625",3.41280196975386,0.282718256276959,0.577477256872578,0.48957470257455,0.624434881166867,1
"ENSG00000006634",14.6171239777201,-0.281117750075629,0.283515767755842,-0.991541854270772,0.321421065597631,1
"ENSG00000006638",0.555736250528228,-0.268061770221722,1.26436432123938,-0.212013077021152,0.832096832240202,1
"ENSG00000006652",17.9138386693059,-0.611818560936416,0.470536852135141,-1.30025641596441,0.193513100532496,1
"ENSG00000006695",66.6643298749069,0.196794876874582,0.157368739901288,1.25053347315372,0.211104735537248,1
"ENSG00000006704",75.3686913402093,0.0140925787898954,0.220718511114795,0.063848649208067,0.949090740788412,1
"ENSG00000006712",7.46464983788757,-0.136996043296167,0.389769010824841,-0.351480080487292,0.725228213878997,1
"ENSG00000006715",194.511092180072,0.116616966699767,0.166330656056493,0.701115293263553,0.483231066987204,1
"ENSG00000006740",69.671878785522,0.214279619058741,0.177899701862606,1.20449678563391,0.228397623698948,1
"ENSG00000006744",18.8878965790762,-0.129903395182787,0.320470783530536,-0.405351757035938,0.685218967022132,1
"ENSG00000006747",0.949905193305849,-0.172185715380487,1.06645375720917,-0.161456335276163,0.87173399949162,1
"ENSG00000006756",13.0399055614683,-0.18604999466539,0.429085688245091,-0.433596364927277,0.664581574921413,1
"ENSG00000006757",3.07987479757679,0.122615465252707,0.645830752645205,0.189856962912491,0.849421217623091,1
"ENSG00000006788",2.02068189877164,-0.0588821074196966,0.685012760687493,-0.0859576796213275,0.93150005942629,1
"ENSG00000006831",91.67222122121,0.352780625202367,0.246335107643356,1.43211671522324,0.152110421512393,1
"ENSG00000007001",177.771534121014,0.11259413563586,0.184492547168427,0.610290970361372,0.54166907736289,1
"ENSG00000007038",0.0386519702331388,1.08497021214494,3.39615801937275,0.319469885074821,0.74937022409956,1
"ENSG00000007047",51.4709569638963,0.0957602766616928,0.222752082800529,0.429896212227316,0.667271140924452,1
"ENSG00000007062",53.0808982851515,-0.284528857782729,0.218051225838729,-1.30487162678538,0.191936564115937,1
"ENSG00000007080",7.59354516083549,0.0700413290440345,0.381269775825533,0.183705432439222,0.854244546972664,1
"ENSG00000007129",0.35048657264629,1.27538566286454,1.81250395705376,0.703659519142618,0.481644835757286,1
"ENSG00000007168",243.069181228309,-0.0781796245408015,0.102165667887733,-0.765224034229495,0.444138150338839,1
"ENSG00000007171",0.582266565742828,0.052623660204092,1.32077839783685,0.0398429140651287,0.968218362900378,1
"ENSG00000007174",43.0500004504846,-0.271649405099961,0.282306173120012,-0.962251027307431,0.33592352254901,1
"ENSG00000007202",32.2506546009324,-0.0830715089848707,0.170395228173847,-0.487522507966693,0.625888096256229,1
"ENSG00000007216",0.262789046450314,-1.42452987113008,2.13249918639664,-0.668009573094916,0.504127481737944,1
"ENSG00000007237",120.663275105242,-0.203569974568647,0.619524890168575,-0.328590469566533,0.742465252606782,1
"ENSG00000007255",6.2374468273854,-0.462595638884075,0.383310678071532,-1.20684255709085,0.22749278320406,1
"ENSG00000007264",2.95196632214271,-0.146829299568306,0.589644653484275,-0.249013195830193,0.803350574070661,1
"ENSG00000007306",0.160651304514582,0.980991147703975,2.81093120719508,0.348991517541572,0.727095677722919,1
