"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000262339",-0.411764705882353,0.137254901960784,-3.39056855781604,0.00136818580556923,0.23654380807389,-4.54766490829635
"ENSG00000250397",-1.05882352941177,0.431372549019608,-3.27156055063322,0.00194007261327689,0.23654380807389,-4.55068198450607
"ENSG00000278918",-0.294117647058823,0.0980392156862745,-3.17029119353406,0.00259812283552516,0.23654380807389,-4.55322384421818
"ENSG00000286456",-0.294117647058823,0.0980392156862745,-3.17029119353406,0.00259812283552516,0.23654380807389,-4.55322384421818
"ENSG00000225458",-0.705882352941177,0.274509803921569,-3.13423425229487,0.00287946770434725,0.23654380807389,-4.55412252432104
"ENSG00000277035",-0.764705882352941,0.313725490196078,-3.10116441744016,0.00316246334046406,0.23654380807389,-4.55494360810083
"ENSG00000234722",-2.23529411764706,0.96078431372549,-3.04744092978802,0.00367848847282065,0.23654380807389,-4.55627075952629
"ENSG00000286719",-1.11764705882353,0.549019607843137,-3.0460115753154,0.00369323907091957,0.23654380807389,-4.55630595157588
"ENSG00000156574",-2.47058823529412,1.07843137254902,-3.03875624686868,0.00376897016327453,0.23654380807389,-4.55648448816744
"ENSG00000253972",-1.41176470588235,0.549019607843137,-3.03466301574081,0.00381233418291107,0.23654380807389,-4.55658514155881
"ENSG00000130943",-0.529411764705882,0.235294117647059,-3.03455423928252,0.00381349291352595,0.23654380807389,-4.55658781568852
"ENSG00000224341",-1.35294117647059,0.686274509803922,-3.02687230093372,0.00389616257112225,0.23654380807389,-4.55677657348823
"ENSG00000120341",-0.529411764705882,0.196078431372549,-2.98549006792103,0.004371088509096,0.23654380807389,-4.55779019720829
"ENSG00000226287",-0.882352941176471,0.372549019607843,-2.98155035231488,0.00441901601767071,0.23654380807389,-4.5578864099732
"ENSG00000235303",-1.52941176470588,0.588235294117647,-2.97628908664054,0.00448378563119335,0.23654380807389,-4.55801481733117
"ENSG00000169906",-1.05882352941176,0.509803921568627,-2.97303245899755,0.00452431959177487,0.23654380807389,-4.5580942535031
"ENSG00000287581",-1.23529411764706,0.588235294117647,-2.96867552859192,0.00457908338895864,0.23654380807389,-4.55820047360316
"ENSG00000167183",-0.352941176470588,0.117647058823529,-2.96565227931543,0.00461744639514223,0.23654380807389,-4.55827414211089
