"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000236091",-0.00284407556294118,0.00199764227,-5.70865630600377,4.26481934299139e-06,0.145754465866074,2.69350266511143
"ENSG00000254211",-0.00197224789163399,0.00144263236172414,-3.84007119169669,0.000657900332576568,1,-2.3254221589596
"ENSG00000182919",-0.00135874744673203,0.00103475204793103,-3.68878492148528,0.000979878540899159,1,-2.71478136484002
"ENSG00000243137",-0.0140517557254248,0.0107454264513793,-3.60760067430467,0.00121158804236458,1,-2.92155553467969
"ENSG00000140955",-0.00119367111117647,0.000590153116551724,-3.60135987725454,0.00123146064385518,1,-2.93738352006003
"ENSG00000238020",0.00523717461633987,0.00763923220689655,3.57756551026679,0.00131018110514683,1,-2.99764027344099
"ENSG00000224222",0.00733448178496733,0.0105769078724138,3.53457592907964,0.00146499317260893,1,-3.10613451620329
"ENSG00000241322",0.00162752085398693,0.00154621277724138,3.53218035998647,0.0014741239056343,1,-3.11216591802796
"ENSG00000234548",-0.00142278653130719,0.00123951216172414,-3.35457227547165,0.00232905658772937,1,-3.55484311948027
"ENSG00000204941",-0.00984703878973856,0.00852098505965517,-3.31206421719934,0.00259586090971826,1,-3.6593978540905
"ENSG00000230109",0.00253549950980392,0.00293215600344828,3.30905624542852,0.0026158180865338,1,-3.66677481644605
"ENSG00000146453",0.0104332460836601,0.0150700827448276,3.28965648903164,0.00274812771842868,1,-3.7142825147623
"ENSG00000235784",-0.000493155413660131,0.00021045965137931,-3.26450641386369,0.00292927456534007,1,-3.77569046367087
"ENSG00000259326",0.00283898356183007,0.00361355554275862,3.19677755428018,0.00347601667453393,1,-3.94001347269203
"ENSG00000288587",0.00246527388888889,0.00342169987241379,3.16997932144085,0.00371833815322796,1,-4.00459679573042
"ENSG00000236643",-0.000967723372614379,0.000861267896896552,-3.15838504485605,0.00382812434096327,1,-4.03246058175518
"ENSG00000157064",0.0621970580653596,0.138782862965517,3.13848757902558,0.00402380707827954,1,-4.08016725003497
"ENSG00000152766",0.000976892444183007,0.000679205118965517,3.11913489155239,0.00422329260461096,1,-4.12643080373558
"ENSG00000137699",0.00308000201699347,0.00413514394137931,3.10300756116406,0.00439672312965841,1,-4.16487950604559
"ENSG00000253327",-0.00179149640718954,0.00186917402413793,-3.09779213034935,0.00445425090020675,1,-4.17729295029496
"ENSG00000231724",0.00207186185163399,0.00414841440344828,3.0785860823674,0.0046723609755442,1,-4.22291875370725
"ENSG00000170935",0.0014736467575817,0.00152037740310345,3.07751880496256,0.00468477567150554,1,-4.22545012562555
"ENSG00000131379",0.0388512751503269,0.0737917288965517,3.04982479835532,0.00501814226038691,1,-4.29098424199872
"ENSG00000276846",0.00343845217973856,0.00339465167241379,3.04938505981706,0.00502361377206782,1,-4.29202246901669
"ENSG00000133116",0.00277064719908497,0.00268601058758621,3.01164727789989,0.00551494759632634,1,-4.3808434862777
"ENSG00000231015",-0.000693812722352941,0.000436764589655172,-2.99181978915816,0.0057910943453785,1,-4.42728691179722
"ENSG00000255201",0.00282552723333333,0.00367124613448276,2.96950410403025,0.0061176085905313,1,-4.47937142679374
"ENSG00000177697",0.00303392436993464,0.0049940925137931,2.96848635033885,0.00613290925403703,1,-4.48174207912796
"ENSG00000231858",-0.00151542328464052,0.0016336241362069,-2.95995204431145,0.0062626494819565,1,-4.50160453533029
"ENSG00000237594",-0.00146367671137255,0.00128805087172414,-2.94621901230845,0.00647690530825468,1,-4.53350415846485
"ENSG00000213337",-0.0020411919548366,0.00244864118241379,-2.92250041281671,0.00686341404265894,1,-4.58841626453503
"ENSG00000250483",-0.00030391887,9.43196493103448e-05,-2.91560238487864,0.00697986124232886,1,-4.6043424598674
"ENSG00000197161",0.00113532792503268,0.000816668783103448,2.90210961495002,0.00721306563320731,1,-4.63543706847389
"ENSG00000230005",0.00121385642281046,0.000908875502758621,2.88692583366853,0.00748430949855004,1,-4.67033691100555
"ENSG00000276768",0.00401128834183007,0.0066762125137931,2.8862955840297,0.00749577423944212,1,-4.67178342309628
"ENSG00000241357",-0.000546006578300653,0.000489835866551724,-2.87537310073217,0.0076971195225027,1,-4.69682516138876
"ENSG00000278200",-0.00262743625732026,0.00230521091965517,-2.84816842569949,0.00822105322844758,1,-4.7589737736682
"ENSG00000156463",0.00334791541437909,0.00769523948275862,2.83335749700651,0.0085202681044685,1,-4.79267386264798
"ENSG00000205396",0.000406057947647059,0.000247063233103448,2.83322640598394,0.00852296172682679,1,-4.79297171166557
"ENSG00000100968",0.0040939478882353,0.00545057009310345,2.82903609885962,0.00860948720233152,1,-4.80248843162797
"ENSG00000024422",0.00380956271437909,0.00741242033793103,2.82393476756499,0.00871594203198623,1,-4.81406375385595
"ENSG00000252980",-0.000778614757647059,0.000306537799310345,-2.82030340050033,0.00879247603163381,1,-4.82229660229701
"ENSG00000244586",-0.000243693734444444,7.562909e-05,-2.81986087857956,0.00880184570218112,1,-4.8232994659999
"ENSG00000286549",0.0017271549951634,0.00235176353586207,2.81674288420201,0.00886813120535023,1,-4.83036314753426
"ENSG00000235258",-0.00157820525078431,0.00152587074724138,-2.81407765407292,0.00892516385831276,1,-4.83639768874061
"ENSG00000233321",0.00547878898169935,0.00797757424482759,2.81401622297824,0.00892648247239061,1,-4.83653674210953
"ENSG00000276085",-0.000640007695751634,0.000266366562413793,-2.80560319058556,0.00910881079778604,1,-4.85556431544297
"ENSG00000234379",0.000837200499869282,0.000679006744482759,2.80504395238544,0.00912105412693615,1,-4.85682801239129
"ENSG00000255087",0.0026081257379085,0.00518876182413793,2.79580047003068,0.00932567785335293,1,-4.87769498491937
"ENSG00000185038",0.000897014616470589,0.00092914712137931,2.77716551501985,0.0097513995214372,1,-4.91964596394547
"ENSG00000187172",0.0014298243475817,0.00172553016758621,2.77114574730984,0.00989278195915149,1,-4.93316398851998
"ENSG00000121316",0.00333691787973856,0.00517955302413793,2.76345334433127,0.0100762520690963,1,-4.95041401149206
"ENSG00000267724",0.00282209139084968,0.00609972546551724,2.74612518185124,0.0105013126418332,1,-4.98917239549205
"ENSG00000137460",0.00686400430718955,0.0122062807310345,2.73883686144457,0.010685073657217,1,-5.00543291002599
"ENSG00000286390",-0.00683077836823529,0.0046224892462069,-2.73655979020571,0.0107431010545677,1,-5.01050807910391
"ENSG00000254762",-0.000691107847320261,0.000425115146551724,-2.73176137577013,0.0108663493163418,1,-5.02119494195965
"ENSG00000151702",0.00362990328758171,0.00811217517586207,2.726158418276,0.0110119393234935,1,-5.03366004015637
"ENSG00000279465",0.00113496454169935,0.00125006228482759,2.71943446837405,0.01118907028325,1,-5.04859962128882
"ENSG00000105467",0.00148811500235294,0.00169841193034483,2.71478811080951,0.0113130259548873,1,-5.05891068767431
"ENSG00000287020",0.000877392242745098,0.000775729972068966,2.71124257101837,0.0114084776279691,1,-5.06677199969734
"ENSG00000283405",0.00128952156568627,0.00112442567413793,2.70437207643063,0.0115955919622093,1,-5.08198860584215
"ENSG00000153993",0.00439884916928105,0.00829124618275862,2.70253234823104,0.0116461812658804,1,-5.08605939209338
"ENSG00000263724",0.00215061994052288,0.00395244966206896,2.69744825318554,0.0117870608185215,1,-5.09730065481893
"ENSG00000249330",0.00308377438039216,0.0047211157,2.69536133782776,0.0118453490757303,1,-5.1019113955483
"ENSG00000089012",-0.00186873394797386,0.00158790740482759,-2.69456947105516,0.0118675366463411,1,-5.10366036809825
"ENSG00000227939",-0.000825798056993464,0.000708480266206896,-2.69079667269387,0.0119737825702674,1,-5.11198912257404
"ENSG00000120440",0.00348941282973856,0.00302793318103448,2.69075277761372,0.0119750239186457,1,-5.11208598443219
"ENSG00000161956",-0.00280550094928104,0.00450781402206897,-2.68959761137576,0.0120077351790625,1,-5.11463472112262
"ENSG00000286691",0.000557432632810458,0.000402545165517241,2.68186959973415,0.0122287297509144,1,-5.13166920501517
"ENSG00000213316",0.00544790339934641,0.0113499592103448,2.67364749965806,0.012468022442748,1,-5.1497612501298
"ENSG00000234949",0.000867474436797386,0.000718200457586207,2.67109373130719,0.0125432318450306,1,-5.15537396377943
"ENSG00000225605",0.00483001080980392,0.00561082274827586,2.67042045518353,0.0125631305169029,1,-5.15685317557646
"ENSG00000196497",-0.00189185858084967,0.00167514773586207,-2.66691233233065,0.0126672908002559,1,-5.1645570953888
"ENSG00000287187",-0.000770654142026144,0.000419925192068965,-2.66500014095863,0.0127244049187618,1,-5.16875379972198
"ENSG00000184347",0.0195874091045752,0.0645833222068965,2.66238499125901,0.0128029044827468,1,-5.17449041870376
"ENSG00000264595",-0.00151354977287582,0.000866137000689655,-2.66163992358686,0.0128253519389497,1,-5.17612419826734
"ENSG00000288577",0.0012301661248366,0.00142396327931035,2.6582899046551,0.0129267360966432,1,-5.18346675972263
"ENSG00000173557",-0.00036291186,0.000176469486206897,-2.65521798464623,0.013020360644963,1,-5.19019497765076
"ENSG00000174611",0.00494254297843139,0.0146388832793103,2.6410007107809,0.0134619623094235,1,-5.2212739771718
"ENSG00000224445",-0.0585081583163398,0.0340268900586207,-2.62770494658901,0.0138875341601341,1,-5.25024855093622
"ENSG00000228639",0.000565872438300654,0.000555089089310345,2.62056626840093,0.0141211659067214,1,-5.26576927218517
"ENSG00000253122",0.000930863076078432,0.000825511459655172,2.61540901993037,0.0142922204295283,1,-5.27696624347751
"ENSG00000251357",0.00671565158954249,0.0160448831862069,2.61448704821644,0.0143230025707619,1,-5.27896655053903
"ENSG00000272249",0.000736622299738562,0.000574332432758621,2.61341912388047,0.0143587347616704,1,-5.28128298518871
"ENSG00000256769",-0.000634589916601307,0.00036917793,-2.61214167664665,0.0144015863923497,1,-5.28405314715437
"ENSG00000226620",0.00681704873464053,0.00998755204137931,2.60819411454477,0.0145347591713151,1,-5.29260832909685
"ENSG00000265408",0.00497461911699347,0.00918568532413793,2.60584570809148,0.0146145260320748,1,-5.29769410586792
"ENSG00000164082",0.0041196943006536,0.00529069092068966,2.60426842106347,0.0146683290288627,1,-5.30110837039257
"ENSG00000286675",0.000555063898627451,0.000482241627241379,2.60363018804489,0.0146901521418653,1,-5.30248956238902
"ENSG00000277482",-0.00163972607019608,0.00129118994965517,-2.60143077236662,0.014765588221056,1,-5.30724772129032
"ENSG00000203414",0.000521782560915033,0.000379554804827586,2.5999683423598,0.0148159461101064,1,-5.31041015737606
"ENSG00000077238",0.00529475679084968,0.00813758563103448,2.59985038303259,0.0148200149163734,1,-5.31066519194407
"ENSG00000259188",0.000824247322091504,0.000885511817931034,2.59379146381761,0.015030408846954,1,-5.32375547505297
"ENSG00000167207",-0.00319229387385621,0.00325064330689655,-2.58717358275425,0.0152633808695331,1,-5.33803219610899
"ENSG00000127928",0.00489835982679739,0.00868977633793104,2.58535329371145,0.0153280467621809,1,-5.34195520490136
"ENSG00000220201",0.00443742983071897,0.0126901755482759,2.58181814816158,0.0154543602742425,1,-5.34956919171923
"ENSG00000135144",0.00808257733986929,0.0202246891034483,2.57977256871761,0.0155278910107171,1,-5.35397205259974
"ENSG00000266014",-0.00396819210849673,0.00383355199482759,-2.57834113387159,0.0155795385548394,1,-5.35705177486615
"ENSG00000259520",-0.0360154938339869,0.0482987251586207,-2.57344288137213,0.0157574806222625,1,-5.36758242628674
"ENSG00000230176",-0.000752286750392157,0.000632237196896552,-2.57313466913796,0.0157687400617328,1,-5.36824463572344
"ENSG00000198488",0.0040196096496732,0.00721140718965517,2.57179292675389,0.0158178428679015,1,-5.37112687067678
"ENSG00000152822",0.0228626358627451,0.0682146932068966,2.57054996671021,0.0158634571118017,1,-5.37379608692006
"ENSG00000257456",0.000794179845424836,0.000661925930689655,2.56866696546299,0.0159327920783067,1,-5.37783826435671
"ENSG00000255693",0.00123249207490196,0.00141882776344828,2.56691542181909,0.0159975387486005,1,-5.38159661531175
"ENSG00000263711",0.00206947331960785,0.00294027077586207,2.56514209515521,0.0160633390964755,1,-5.38540010411979
"ENSG00000267757",0.00295908407189543,0.00585861493793103,2.56479014188978,0.0160764283383291,1,-5.3861547930196
"ENSG00000138821",0.00721086900000001,0.014544685137931,2.56423266502524,0.0160971812972727,1,-5.3873500534
"ENSG00000259111",0.000246078521764706,0.000144252926551724,2.55377010552473,0.0164913020789468,1,-5.40975268334128
"ENSG00000164900",0.00166873062980392,0.00159954719793103,2.55216524558071,0.0165525414343533,1,-5.41318404628855
"ENSG00000049283",0.000890557245816994,0.000810501873448276,2.55112161240164,0.0165924780623119,1,-5.41541473174831
"ENSG00000233603",0.0017691638448366,0.00212898643931035,2.54805500388787,0.0167103446668816,1,-5.42196610997369
"ENSG00000287631",0.0035120620620915,0.0059651382,2.53800210657618,0.017102190433073,1,-5.44340850271507
"ENSG00000223783",0.00244002760392157,0.00378872419310345,2.53644175608308,0.0171637672104334,1,-5.44673194976201
"ENSG00000260592",0.00273943570326798,0.00496450523793103,2.52885592710928,0.017466062965206,1,-5.46287117515667
"ENSG00000288576",-0.000722011849411765,0.000334870994827586,-2.52791032840645,0.0175040883273809,1,-5.46488087389094
"ENSG00000140968",0.00286130316928105,0.00283941774137931,2.52689912971678,0.0175448363439456,1,-5.46702947530261
"ENSG00000257579",0.00032795887372549,0.000235771569655172,2.52086469594461,0.0177898330778791,1,-5.47984032789733
"ENSG00000226578",-0.0031355899,0.00331036155517241,-2.52043869086041,0.0178072477238376,1,-5.48074399624656
"ENSG00000224950",-0.000515382822941176,0.000445343804137931,-2.52028131396472,0.0178136851119381,1,-5.48107780971765
"ENSG00000261553",0.0219907927189543,0.0620344883448276,2.51939903229143,0.0178498140443328,1,-5.48294898363289
"ENSG00000261235",0.00876651953594773,0.0171109735517241,2.51347477623992,0.0180941679192476,1,-5.49550273537899
"ENSG00000277987",0.000929960370784315,0.00117576554724138,2.51345233900947,0.0180950992179537,1,-5.49555024565151
"ENSG00000205923",0.000940342550980392,0.000973240670344827,2.50773593537534,0.0183338167153282,1,-5.50764591986664
"ENSG00000141086",0.00257915603660131,0.00372565337586207,2.50462402058327,0.0184649895311433,1,-5.51422333350524
"ENSG00000253273",0.000367221977058824,0.000215268055517241,2.50107564767522,0.018615616555219,1,-5.52171698754528
"ENSG00000122711",-0.00112541946366013,0.00140899200482759,-2.50097687746605,0.0186198254860998,1,-5.52192548039881
"ENSG00000232794",-0.000441255347320261,0.000291283603793103,-2.49968323170167,0.0186750332119468,1,-5.52465574309135
"ENSG00000263655",0.00665925630588236,0.0131057571655172,2.49856202245529,0.0187230041588533,1,-5.527021355568
"ENSG00000277449",-0.00129831928660131,0.00153236248,-2.49627348532242,0.0188212722666528,1,-5.53184780879203
"ENSG00000197550",0.00491035187777778,0.00667605990689655,2.49075333116324,0.0190602645628603,1,-5.54347815350816
"ENSG00000254003",0.00181204116444445,0.00226940050827586,2.49010360884807,0.0190885772818015,1,-5.54484597550482
"ENSG00000253230",0.0410256321568628,0.110969252103448,2.48808624880208,0.0191767343609044,1,-5.54909156626098
"ENSG00000167702",0.0475643603006537,0.110933578275862,2.48695232892886,0.0192264504062706,1,-5.55147697667058
"ENSG00000287928",0.003465241775817,0.00765118579655172,2.4851829727403,0.0193042641568489,1,-5.55519776987053
"ENSG00000267530",0.00200115899542484,0.00181120238965517,2.48228497063641,0.0194323414112196,1,-5.5612883769269
"ENSG00000232524",0.000380562715424837,0.000238913246896552,2.48129018056551,0.019476486392289,1,-5.5633780459008
"ENSG00000266155",-0.0021646189124183,0.00295255912413793,-2.47971180844853,0.0195467181583707,1,-5.56669250443553
"ENSG00000205940",0.00240319878300654,0.00324652611724138,2.47880741847813,0.0195870652637276,1,-5.56859104969532
"ENSG00000158258",0.0711518640522876,0.199576662413793,2.47686956517334,0.0196737761980337,1,-5.57265761722939
"ENSG00000219027",-0.00114111565366013,0.000729643914137931,-2.46861098703265,0.0200472916964788,1,-5.58996548308859
"ENSG00000267317",0.00421999159411765,0.00796350567586207,2.46796723571165,0.0200766795591314,1,-5.59131307427085
"ENSG00000178038",0.00315621172287582,0.00675827678965517,2.46759880862942,0.0200935164431856,1,-5.59208421705698
"ENSG00000187550",0.000961985807320262,0.000649747814482759,2.46348142929177,0.0202825642247614,1,-5.60069717262985
