"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000163219",-2.0595238075,1.14211309625,-6.0414003558326,0.00046848128342958,1,-1.10027095575962
"ENSG00000110436",-0.722222231666667,0.359375005,-5.89274193470335,0.000545532982841886,1,-1.26966188561588
"ENSG00000113712",-0.812301575,0.466071425,-5.64163783873136,0.000709913982112295,1,-1.56228194048065
"ENSG00000163681",-0.803968259166667,0.5671130975,-5.51763930025418,0.000810906104515568,1,-1.70985917369632
"ENSG00000153898",-1.2869047575,0.64404762125,-5.3473357084606,0.000976622267825001,1,-1.91593395321107
"ENSG00000101347",-0.817460323333334,0.4575892925,-5.04417135236938,0.00137301115918958,1,-2.2926737907307
"ENSG00000074755",-0.661507935,0.40952381125,-5.01022671437746,0.0014275179047857,1,-2.33565709438759
"ENSG00000121749",-0.86944445,0.46666666875,-4.96496726647636,0.001503951648605,1,-2.39322114305001
"ENSG00000101745",-1.14007937583333,0.66190476625,-4.72745475295452,0.0019869070738316,1,-2.7000723481415
"ENSG00000143442",-0.634126990833333,0.47738095875,-4.71659632956462,0.00201275439737797,1,-2.71429286313792
"ENSG00000153179",-0.742460325,0.590922625,-4.64388534439416,0.00219568453629387,1,-2.8099512320363
"ENSG00000196187",-0.676190475833333,0.37857142875,-4.62530960633057,0.00224530385911739,1,-2.83451053372601
"ENSG00000215421",-1.466666665,1.0760416675,-4.6178546472012,0.00226556347129023,1,-2.84438072358852
"ENSG00000086758",-1.89087303416667,1.05282739125,-4.58158580994344,0.00236704086457979,1,-2.8925130605592
"ENSG00000119285",-0.633333333333333,0.2375,-4.57968542351795,0.00237249418755067,1,-2.89504024097559
"ENSG00000198851",-0.619841269166667,0.2793154775,-4.57047322821628,0.00239912598362923,1,-2.90729815241051
"ENSG00000103544",-0.633333333333333,0.26875,-4.55269125227862,0.00245146716962591,1,-2.93099343032427
"ENSG00000185946",-0.633333333333333,0.284375,-4.53843604788066,0.00249433449830858,1,-2.9500217184598
"ENSG00000144674",-2.54365075916667,1.31845237875,-4.52377403607146,0.00253928648407011,1,-2.96962327193513
