"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000149257",-2.48701298636364,0.165178571875,-36.3376069388986,5.33346970843003e-17,1.82228659527929e-12,25.3096201736099
"ENSG00000286044",-1.36994949490909,0.08940972225,-25.0045431621544,2.09470137829262e-14,3.57848309960619e-10,21.5953906751334
"ENSG00000086061",-3.37337662272727,0.3245535725,-16.8503049610181,1.01722698240808e-11,1.15851981026457e-07,16.6949361188773
"ENSG00000120694",-15.8097041954545,1.5193700325,-16.1792794010236,1.90126530617023e-11,1.43774048336371e-07,16.1521776333221
"ENSG00000178381",-1.22186147090909,0.101636905625,-16.0728522681968,2.103989936728e-11,1.43774048336371e-07,16.063572176123
"ENSG00000116161",-2.70761182636364,0.324975203125,-13.6596590019712,2.49135322480605e-10,1.4187010938658e-06,13.848310768799
"ENSG00000132002",-4.39700576545455,0.667683536875,-10.9861171175892,6.18312890883251e-09,3.01798522040115e-05,10.8413999071042
"ENSG00000204389",-4.67460317909091,0.55600198125,-10.7654513493056,8.28095867917753e-09,3.2065683825665e-05,10.5620976628645
"ENSG00000165359",-2.31926406272727,0.3367559575,-10.7506259884136,8.44648796882914e-09,3.2065683825665e-05,10.5431448599987
"ENSG00000106211",-0.862012986363636,0.08340773875,-10.4348693698068,1.29400720251935e-08,4.35028672518761e-05,10.1337518814144
"ENSG00000120438",-1.04094516454545,0.1468502,-10.3770776735055,1.40056645233891e-08,4.35028672518761e-05,10.0576216207813
"ENSG00000050730",-1.35714285636364,0.20029762,-8.4031689882999,2.59096912802554e-07,0.000147151203162684,7.21607412314262
"ENSG00000229989",-1.17424242272727,0.164583335,-8.34335490684333,2.85043405735588e-07,0.000147151203162684,7.12216328987035
"ENSG00000270757",-0.5,0.041666666875,-8.03039488433993,4.73084547303385e-07,0.000147151203162684,6.6228246255229
"ENSG00000004478",-0.599747474909091,0.056423611,-7.99446309215448,5.01815765117604e-07,0.000147151203162684,6.56462901161946
"ENSG00000142669",-0.591810966363636,0.070213294375,-7.78297373725725,7.12379430547301e-07,0.000147151203162684,6.2184442414687
"ENSG00000054967",-0.375,0.0234375,-7.71676882455257,7.95906293594299e-07,0.000147151203162684,6.10878275147803
"ENSG00000112110",-0.375,0.0234375,-7.71676882455257,7.95906293594299e-07,0.000147151203162684,6.10878275147803
"ENSG00000165886",-0.375,0.0234375,-7.71676882455257,7.95906293594299e-07,0.000147151203162684,6.10878275147803
"ENSG00000180481",-0.375,0.0234375,-7.71676882455257,7.95906293594299e-07,0.000147151203162684,6.10878275147803
"ENSG00000182175",-0.375,0.0234375,-7.71676882455257,7.95906293594299e-07,0.000147151203162684,6.10878275147803
"ENSG00000257557",-0.375,0.0234375,-7.71676882455257,7.95906293594299e-07,0.000147151203162684,6.10878275147803
"ENSG00000278238",-0.375,0.0234375,-7.71676882455257,7.95906293594299e-07,0.000147151203162684,6.10878275147803
"ENSG00000284959",-0.375,0.0234375,-7.71676882455257,7.95906293594299e-07,0.000147151203162684,6.10878275147803
"ENSG00000287016",-0.375,0.0234375,-7.71676882455257,7.95906293594299e-07,0.000147151203162684,6.10878275147803
"ENSG00000013293",-0.125,0.0078125,-7.44913813205487,1.25328533732377e-06,0.000147151203162684,5.659147574724
"ENSG00000043355",-0.125,0.0078125,-7.44913813205487,1.25328533732377e-06,0.000147151203162684,5.659147574724
"ENSG00000048392",-0.125,0.0078125,-7.44913813205487,1.25328533732377e-06,0.000147151203162684,5.659147574724
"ENSG00000072506",-0.125,0.0078125,-7.44913813205487,1.25328533732377e-06,0.000147151203162684,5.659147574724
