"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000149257",2.5,0.165178571875,34.1238129318953,1.46333218810995e-16,4.99976708711527e-12,24.267501801192
"ENSG00000286044",1.375,0.08940972225,23.4453294544598,5.80866218893588e-14,9.92322805046861e-10,20.565224140375
"ENSG00000086061",3.4249999975,0.3245535725,15.9824289969649,2.29420313811299e-11,2.61286795399688e-07,15.8573769171668
"ENSG00000120694",15.9458333325,1.5193700325,15.244806810251,4.72586792488917e-11,3.52945617467964e-07,15.234003687557
"ENSG00000178381",1.2333333325,0.101636905625,15.1562138905836,5.165007426288e-11,3.52945617467964e-07,15.1566770296386
"ENSG00000116161",2.754166665,0.324975203125,12.9802467075206,5.345636485241e-10,3.04407269652049e-06,13.074147607546
"ENSG00000132002",4.7374999975,0.667683536875,11.0579770974199,5.62754129061075e-09,2.74680290394711e-05,10.89473683244
"ENSG00000204389",4.9208333325,0.55600198125,10.5868173961329,1.05259253763777e-08,4.4954911541837e-05,10.3035830816431
"ENSG00000165359",2.2749999975,0.3367559575,9.851542357926,2.92131102544312e-08,0.000110789129707877,9.3311224841982
"ENSG00000120438",1.0499999975,0.1468502,9.77857986949284,3.24257703947894e-08,0.000110789129707877,9.23115769271529
"ENSG00000106211",0.7958333325,0.08340773875,8.99983623918767,1.02396744289092e-07,0.000318053596556856,8.12315531383251
"ENSG00000050730",1.466666665,0.20029762,8.48375713620186,2.2799224205974e-07,0.0003441006309346,7.34573478394024
"ENSG00000004478",0.625,0.056423611,7.78287696499752,7.12494592467734e-07,0.0003441006309346,6.23177169249392
"ENSG00000229989",1.1124999975,0.164583335,7.38451954098254,1.40047885923353e-06,0.0003441006309346,5.56769108131134
"ENSG00000276085",0.875,0.098090278125,7.33590680753266,1.52305921717728e-06,0.0003441006309346,5.48508635010871
"ENSG00000142669",0.591666665,0.070213294375,7.26907135315179,1.71017598219874e-06,0.0003441006309346,5.37095771597425
"ENSG00000054967",0.375,0.0234375,7.20899565870328,1.89887795042515e-06,0.0003441006309346,5.2678187623621
"ENSG00000112110",0.375,0.0234375,7.20899565870328,1.89887795042515e-06,0.0003441006309346,5.2678187623621
"ENSG00000165886",0.375,0.0234375,7.20899565870328,1.89887795042515e-06,0.0003441006309346,5.2678187623621
"ENSG00000180481",0.375,0.0234375,7.20899565870328,1.89887795042515e-06,0.0003441006309346,5.2678187623621
"ENSG00000182175",0.375,0.0234375,7.20899565870328,1.89887795042515e-06,0.0003441006309346,5.2678187623621
"ENSG00000257557",0.375,0.0234375,7.20899565870328,1.89887795042515e-06,0.0003441006309346,5.2678187623621
"ENSG00000278238",0.375,0.0234375,7.20899565870328,1.89887795042515e-06,0.0003441006309346,5.2678187623621
"ENSG00000284959",0.375,0.0234375,7.20899565870328,1.89887795042515e-06,0.0003441006309346,5.2678187623621
"ENSG00000287016",0.375,0.0234375,7.20899565870328,1.89887795042515e-06,0.0003441006309346,5.2678187623621
