"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000279980",-0.0101124395041667,0.00515895495882353,-5.50780539419959,5.45727949068984e-05,1,1.9272199037932
"ENSG00000026508",-0.0674861312916667,0.0417312648823529,-5.01148310664047,0.000142861167732773,1,0.965150141512411
"ENSG00000229418",-0.00496574998333333,0.00175261764117647,-4.90640354797977,0.000175822326075401,1,0.757836231019296
"ENSG00000237874",-0.00555685266666667,0.00196124211764706,-4.70047179085277,0.00026505532360691,1,0.348312897543246
"ENSG00000271018",-0.00365305311666667,0.00128931286470588,-4.66420359620162,0.000285060766673452,1,0.275776818062208
"ENSG00000237704",-0.00453481591666667,0.00160052326470588,-4.54154277737173,0.000364959500356322,1,0.0296255190391443
"ENSG00000286799",-0.009435055125,0.00378855476470588,-4.52416092807573,0.000378009748084729,1,-0.00535399343167509
"ENSG00000228201",-0.00468735353333333,0.00188362773529412,-4.45043104532633,0.000438897795659382,1,-0.153980910586957
"ENSG00000272121",-0.00809918959166667,0.00393188692941177,-4.32426431437891,0.000567343432753473,1,-0.409176780935164
"ENSG00000180015",-0.00518809261666667,0.00206035917647059,-4.2768301988183,0.000625044206001688,1,-0.505372221584289
"ENSG00000276778",-0.00754900763333334,0.0028936233,-4.21200651103606,0.00071370912545971,1,-0.637026599857455
"ENSG00000224672",-0.00484920511666667,0.00171148415882353,-4.2111183658186,0.000715009038238712,1,-0.638831823341008
"ENSG00000204055",-0.007457978675,0.00380201392941177,-4.20359128948121,0.000726123064896065,1,-0.654132660329614
"ENSG00000229676",-0.0118442003666667,0.00711124455294118,-4.18361176078591,0.000756483952039062,1,-0.694759022066939
"ENSG00000223628",-0.00648476659166667,0.00268466874705882,-4.18358667546875,0.000756522872534032,1,-0.694810041713344
"ENSG00000263513",-0.00426752571666667,0.00150618554705882,-4.02470720494335,0.00104883605272729,1,-1.0184230733689
"ENSG00000223536",-0.00554550135833333,0.00241577108235294,-3.99445736025813,0.0011163470975588,1,-1.08012402827187
"ENSG00000133321",-0.00894894660833334,0.00600333469411765,-3.96898786542797,0.00117659449004539,1,-1.13208967216598
"ENSG00000259334",-0.0120256815333333,0.0071768112,-3.91105040077559,0.00132620041540225,1,-1.25033991340542
"ENSG00000279307",-0.00662876399166667,0.00284417739411765,-3.88770183734446,0.00139180331912125,1,-1.29800543070286
"ENSG00000233017",-0.00561161171666667,0.00198056884117647,-3.88328356230631,0.00140458174001923,1,-1.30702571140787
"ENSG00000231539",-0.00531855506666667,0.00187713708235294,-3.80541323612488,0.0016502897409817,1,-1.46601374891062
"ENSG00000225279",-0.0155781093708333,0.00984463080588235,-3.79239408361866,0.00169541353160331,1,-1.49259397302448
"ENSG00000102794",-0.00516025743333334,0.00250907028235294,-3.78554931372988,0.0017196340340701,1,-1.5065679827762
"ENSG00000280054",-0.0143728532333333,0.00864690214117647,-3.72320792811621,0.00195692469309421,1,-1.63381870382183
"ENSG00000285801",-0.0138414315916667,0.00795784725294118,-3.6871805277312,0.00210881324166674,1,-1.7073290419299
"ENSG00000272274",-0.251235557583333,0.222326599529412,-3.68115917816341,0.00213533109155572,1,-1.71961227717197
"ENSG00000215162",-0.0139550516625,0.00704075474705882,-3.67646230053526,0.00215624848844786,1,-1.7291930532885
"ENSG00000286063",-0.00345391404166667,0.00167756379411765,-3.64064677391298,0.00232267198949392,1,-1.80223089917888
"ENSG00000267421",-0.00640080248333334,0.00317617737647059,-3.63383618772994,0.00235574910146217,1,-1.81611534116926
"ENSG00000259520",-0.184231921958333,0.120007850647059,-3.60641314034262,0.0024937889381735,1,-1.87200594755518
"ENSG00000255562",-0.00410856065833333,0.00207527549411765,-3.5513023496981,0.0027962181466594,1,-1.98423970042757
"ENSG00000268469",-0.00363453191666667,0.00128277597058824,-3.52260263416654,0.00296798976430388,1,-2.04263324092935
"ENSG00000253431",-0.0083175929,0.00373362448235294,-3.47011797699143,0.00330987615544716,1,-2.1493079231988
"ENSG00000259632",-0.00479800004166667,0.00215194708823529,-3.44237701625471,0.00350619648124973,1,-2.20562494228981
"ENSG00000228829",-0.00619554308333333,0.00287446521764706,-3.40421149127966,0.00379541279647302,1,-2.2830205943946
"ENSG00000226364",-0.0112606633416667,0.00516676835294118,-3.38592804003641,0.00394226944562817,1,-2.32006010260854
"ENSG00000260101",-0.00672273996666667,0.00407127644117647,-3.36326865802574,0.00413214919843674,1,-2.36592855509324
"ENSG00000253855",-0.00386277291666667,0.00136333161764706,-3.35535198105273,0.00420061220478726,1,-2.3819441627968
"ENSG00000256888",-0.012188170025,0.00803733349411765,-3.3553488458953,0.00420063953978008,1,-2.38195050425742
"ENSG00000187048",-0.00260483511666667,0.000919353570588235,-3.35529815220718,0.00420108155541827,1,-2.38205304190569
"ENSG00000224805",-0.00260483511666667,0.000919353570588235,-3.35529815220718,0.00420108155541827,1,-2.38205304190569
"ENSG00000228336",-0.00370781218333333,0.00130863959411765,-3.3411932794949,0.0043258813071775,1,-2.41057440181271
"ENSG00000255043",-0.00548187494166667,0.00296205049411765,-3.32357743066701,0.00448693431796568,1,-2.44617107199224
"ENSG00000285237",-0.00298101011666667,0.00105212121764706,-3.31752981164799,0.00454358750413325,1,-2.45838522189889
"ENSG00000255404",-0.00525993501666667,0.00208571531764706,-3.28929243975554,0.00481765714020557,1,-2.51537024920615
"ENSG00000232876",-0.00740041526666667,0.00374172016470588,-3.27351903372176,0.00497783126350854,1,-2.54716866680182
"ENSG00000196260",-0.00579173569166667,0.00323807306470588,-3.26155576124462,0.00510282676055701,1,-2.57126940049868
"ENSG00000287072",-0.00418040304166667,0.00210063162941176,-3.26018953305295,0.0051172980030594,1,-2.57402081738615
"ENSG00000242689",-0.00412240306666667,0.00145496578823529,-3.24983144538978,0.00522834338273185,1,-2.59487442262382
"ENSG00000265015",-0.0148588487041667,0.00976509674705882,-3.2467825229002,0.00526148235817801,1,-2.60101057143315
"ENSG00000237013",-0.00711737065833333,0.00290794077058824,-3.22875733447814,0.00546169408139935,1,-2.63726699754801
"ENSG00000217181",-0.0123902820833333,0.00760195564705882,-3.22216779305352,0.00553675407284705,1,-2.65051253135264
"ENSG00000255007",-0.00535173648333333,0.00211811583529412,-3.21562013005848,0.00561234821858083,1,-2.66366908096038
"ENSG00000274979",-0.00371235099166667,0.00181485515882353,-3.21131907690826,0.00566255967854976,1,-2.67230876755808
"ENSG00000237961",-0.00452078999166667,0.00266892236470588,-3.21106119220047,0.00566558436702478,1,-2.67282672331949
"ENSG00000124466",-0.00705076685833333,0.00288443354705882,-3.18339529420651,0.00599952844996636,1,-2.72834817707478
"ENSG00000268204",-0.00553857855,0.0035831139,-3.17995763362504,0.00604235917223005,1,-2.73524072550343
"ENSG00000144843",-0.00420370816666667,0.00238420293529412,-3.16539360987867,0.00622719234329181,1,-2.76442576441761
"ENSG00000233502",-0.00336724171666667,0.00118843825294118,-3.15746245088358,0.00633018443020208,1,-2.78030805887491
"ENSG00000260594",-0.0167852143333333,0.0134143917647059,-3.15328628227274,0.00638508918856787,1,-2.78866772907259
"ENSG00000225870",-0.00808832966666667,0.00495532511764706,-3.14983438599599,0.00643082645930086,1,-2.79557590814848
"ENSG00000234825",-0.00503274366666667,0.00177626247058824,-3.13015452437247,0.0066978250525791,1,-2.83493120793206
"ENSG00000142273",-0.020670101425,0.0165612836647059,-3.11006670182034,0.00698162878082018,1,-2.87504935134675
"ENSG00000223823",-0.00502026395,0.00200112552941177,-3.10096773866056,0.00711404861481246,1,-2.89320310956976
"ENSG00000139178",-0.0252500864583333,0.0248918115294118,-3.09796600432801,0.00715827402855527,1,-2.89918948254245
"ENSG00000287513",-0.00372949913333333,0.00154556147647059,-3.09393917080668,0.0072180279832366,1,-2.90721823035362
"ENSG00000227262",-0.010393265225,0.00492919073529412,-3.08392830073835,0.00736871485438957,1,-2.92716806755385
"ENSG00000224500",-0.0106456655166667,0.00563751327058824,-3.08220640852208,0.00739494359699676,1,-2.93059804102214
"ENSG00000167105",-0.00465656866666667,0.00164349482352941,-3.07785499264031,0.00746163671996307,1,-2.93926406564901
"ENSG00000224215",-0.00559513847916667,0.00322514527058823,-3.07517418456265,0.00750301907132015,1,-2.94460164002495
"ENSG00000227242",-0.00919334733333334,0.00740279988235294,-3.07205534056428,0.00755144736177931,1,-2.95081004010794
"ENSG00000257231",-0.00365024178333333,0.00128832062941176,-3.06828767395658,0.00761036052675358,1,-2.95830809231605
"ENSG00000236024",-0.00445911253333333,0.00180307208823529,-3.0508460754343,0.00788902792740041,1,-2.99299124890732
"ENSG00000169800",-0.00355987818333333,0.00125642759411765,-3.04678637686189,0.00795531562342101,1,-3.00105751658047
"ENSG00000267440",-0.0160230091666667,0.0135979258235294,-3.03845767644055,0.008093026059144,1,-3.01759802999391
"ENSG00000168528",-0.0131300293333333,0.00924319235294118,-3.03554583584332,0.00814172197384867,1,-3.02337832238667
"ENSG00000199851",-0.00389135071666667,0.0013734179,-3.03435974881753,0.00816163976834132,1,-3.02573244560234
"ENSG00000171903",-0.00358437646666667,0.00149434171176471,-3.01849388973352,0.00843271749023598,1,-3.05720148757351
"ENSG00000258813",-0.00658598056666667,0.00358100247647059,-3.01211224119166,0.00854422634125631,1,-3.0698478579222
"ENSG00000287601",-0.006962799825,0.00285338635882353,-3.001032994586,0.00874126298919622,1,-3.09178772661849
"ENSG00000124208",-0.00464651206666667,0.00163994543529412,-2.99868821067805,0.00878353104351426,1,-3.09642845662936
"ENSG00000134760",-0.0106813983333333,0.00376990529411765,-2.9959484836864,0.00883317237588245,1,-3.10184970059936
"ENSG00000232618",-0.0281176338333333,0.0292735984117647,-2.99042721469157,0.0089340496153298,1,-3.11277115673405
"ENSG00000224689",-0.00407886520416667,0.00223145468823529,-2.98743345038262,0.00898921882124641,1,-3.11869091083313
"ENSG00000279718",-0.00430576797916667,0.00333880912352941,-2.98632158096926,0.00900979328735939,1,-3.12088909685972
"ENSG00000280401",-0.0122823419958333,0.00826437511764706,-2.98048195271513,0.00911861180697815,1,-3.13243073681681
"ENSG00000254557",-0.009458147225,0.00499063595294118,-2.97351364293083,0.00925014811510052,1,-3.14619558891169
"ENSG00000279954",-0.00453005114166667,0.00323326410588235,-2.96258975981475,0.00946009871797038,1,-3.16775734671696
"ENSG00000233974",-0.00672832770833334,0.00277063149411765,-2.95499318981461,0.00960884221114624,1,-3.18273939287602
"ENSG00000244286",-0.0130006538583333,0.00908045834117647,-2.95024695071607,0.0097029339919053,1,-3.19209484358397
"ENSG00000255532",-0.0244827338333333,0.0130771914117647,-2.93920218377399,0.00992539260441305,1,-3.21385003185675
"ENSG00000254136",-0.00459694641666667,0.00242045513529412,-2.9280091111345,0.0101559226038325,1,-3.23587496569225
"ENSG00000261546",-0.00722593258333333,0.00527614491764706,-2.90765878657444,0.0105885256497651,1,-3.27585999068495
"ENSG00000122861",-0.00466690431666667,0.00233494565294118,-2.90042231989425,0.0107466510408377,1,-3.29005979484784
"ENSG00000094755",-0.010169215025,0.00569862187647059,-2.89619025234883,0.0108401919336839,1,-3.29835959287067
"ENSG00000121381",-0.0127666670083333,0.00735076542352941,-2.89235813955793,0.0109255774731061,1,-3.30587205965002
"ENSG00000237992",-0.004817891175,0.00209635977647059,-2.8865112494408,0.0110571205752857,1,-3.31732885016236
"ENSG00000258601",0.0045205352625,0.00212731071176471,2.87910005495447,0.0112260777554207,1,-3.33184132044115
"ENSG00000250673",-0.00400926905,0.00141503613529412,-2.87746728398082,0.0112636377962922,1,-3.33503714265536
"ENSG00000273003",-0.00828917081666667,0.00585652824117647,-2.87278498168513,0.011372029186275,1,-3.34419890787284
"ENSG00000170935",-0.00321930771666667,0.00113622625294118,-2.86850009741397,0.0114721106710555,1,-3.35257926161308
"ENSG00000182271",-0.00402512205833334,0.00187916662352941,-2.86000353892949,0.0116731069013125,1,-3.36918598288614
"ENSG00000228057",-0.00329856506666667,0.0013934671,-2.85792892547211,0.0117227027665397,1,-3.37323866693049
"ENSG00000233387",-0.0051956656,0.00320050358235294,-2.85685012746678,0.0117485735962432,1,-3.37534571822521
"ENSG00000285668",-0.0213684003666667,0.0102018216705882,-2.8478465637069,0.0119666675957023,1,-3.39292181480711
"ENSG00000259094",-0.00335574721666667,0.00118438137058824,-2.84512177156141,0.0120334433926474,1,-3.39823770068696
"ENSG00000204990",-0.0159297439375,0.0124758741235294,-2.83985329592302,0.0121635860625565,1,-3.40851182174952
