"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000223963",-0.0512364087916667,0.0224798248823529,-8.36649657544392,4.05602131042482e-07,0.00754645627498205,6.79905932191829
"ENSG00000277895",-0.031040252125,0.00690232484117647,-8.31078129400811,4.41739472296781e-07,0.00754645627498205,6.71776379289528
"ENSG00000259332",-0.0304909249625,0.00703460099411765,-7.98021482242315,7.38740259029108e-07,0.00841351281008251,6.2264982361938
"ENSG00000287713",-0.0350264578166667,0.0116494340647059,-7.67650250804446,1.19930255937482e-06,0.0102441426365398,5.7614403303622
"ENSG00000275106",-0.0300008510375,0.00726522401764706,-7.298017316585,2.23061232851261e-06,0.015242666285658,5.16311648184801
"ENSG00000223773",-0.0462092825,0.0202409144117647,-6.24767797751835,1.38055800943073e-05,0.0701264856353097,3.39112719259373
"ENSG00000157502",-0.09232852175,0.0415282628823529,-6.22563170364368,1.43672373766256e-05,0.0701264856353097,3.35216949250685
"ENSG00000140543",-0.02716324755,0.00568117121764706,-6.10513765893668,1.7887121217352e-05,0.0763936588291583,3.13797966754828
"ENSG00000250334",-0.0327367723166667,0.0150337934176471,-5.95955859584219,2.33707349316283e-05,0.0887231000454382,2.87636324965505
"ENSG00000267314",-0.0312768834541667,0.0144375283235294,-5.82703820503791,2.98866858036166e-05,0.102113839385217,2.63554919238872
"ENSG00000287709",-0.026194243375,0.00681834285882353,-5.56348610396179,4.90842466761358e-05,0.150492212091171,2.14924581738356
"ENSG00000231507",-0.0316389255791667,0.0108739879411765,-5.52458089141279,5.28552856585024e-05,0.150492212091171,2.07664528702637
"ENSG00000254444",-0.04098233025,0.0202825199,-5.43956888351812,6.2177187987687e-05,0.163415998613485,1.91729555811391
"ENSG00000274029",-0.0282825834666667,0.0100281384470588,-5.10732874724352,0.000118350742459362,0.28195816803103,1.28554072339449
"ENSG00000183889",-0.0345816269166667,0.0144498237882353,-5.08441570475334,0.000123785305132597,0.28195816803103,1.24146660452
"ENSG00000109255",-0.0565244665416667,0.0256353878823529,-5.02614544813571,0.000138796446251684,0.29639113619258,1.12910230424091
"ENSG00000282033",-0.02675802775,0.0101729246764706,-4.84200756462938,0.000199801556821767,0.381641675072768,0.771490473171427
"ENSG00000285777",-0.0308384332083333,0.0163622146117647,-4.83885603200644,0.000201058042886698,0.381641675072768,0.765337754706467
"ENSG00000088926",-0.0655945871083334,0.0243067746235294,-4.79957404361784,0.00021741876889874,0.390976161945434,0.688560640826422
"ENSG00000233963",-0.0480358092875,0.0197152710058824,-4.67727750735294,0.000277676500001745,0.473826450688375,0.448532706114455
"ENSG00000261136",-0.0292226985416667,0.0150987991588235,-4.65354952077318,0.000291227074793101,0.473826450688375,0.401794688876493
"ENSG00000243979",-0.0438500227,0.0181150855529412,-4.56749179255298,0.00034632950103026,0.537865457350041,0.231851886476819
"ENSG00000182585",-0.02379223625,0.00925328186470588,-4.52134049083792,0.000380171936436212,0.54386938703389,0.140448053193833
"ENSG00000182103",-0.0507056870833333,0.0280320128470588,-4.51892809590926,0.00038203135448864,0.54386938703389,0.135665336931124
"ENSG00000225387",-0.022845085025,0.00908063619411765,-4.42970706127336,0.0004577555342854,0.608625784604289,-0.0415474078519917
"ENSG00000272142",-0.0527436414166667,0.0301873259411765,-4.40737397236893,0.000479006228903682,0.608625784604289,-0.0860013519451952
"ENSG00000188958",-0.0614757904166667,0.0407442897647059,-4.40536190853846,0.000480969600208072,0.608625784604289,-0.0900081539203672
"ENSG00000095752",-0.024100939125,0.0128662035294118,-4.37938863750242,0.000507064830686932,0.608625784604289,-0.141757124450534
"ENSG00000224251",-0.0334827294041667,0.0165092827941176,-4.37025170047741,0.000516584650496806,0.608625784604289,-0.159972823755402
"ENSG00000256259",-0.058095439375,0.0123598945705882,-4.27686338165477,0.000625001816539476,0.71181456885681,-0.346473430407383
"ENSG00000237896",-0.0115686273333333,0.00241148176470588,-4.20655543291172,0.000721725555672085,0.780358880665866,-0.48723154157397
"ENSG00000249383",-0.0501885698583333,0.0191256306529412,-4.19513306470521,0.000738821916764299,0.780358880665866,-0.510124962637224
