"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000271321",-0.00207594110980392,0.000884026827586207,-4.43805619065714,0.000133352234084884,1,-0.0417564353062199
"ENSG00000279070",-0.0024810589248366,0.0014541369137931,-4.24306665580513,0.000225415967629067,1,-0.560296485216216
"ENSG00000162267",-0.00190522560130719,0.00102694032758621,-4.20929146399356,0.000246806278074749,1,-0.649653575788033
"ENSG00000168748",0.00713764261045753,0.00835438320344828,4.02886207580782,0.00039987857987662,1,-1.12425529261966
"ENSG00000170955",-0.00123191198562091,0.000438184393103448,-3.59861359845656,0.00124361684542638,1,-2.23213289748695
"ENSG00000230432",-0.00373746545620915,0.00224048421724138,-3.47276716671264,0.00172324093305078,1,-2.54813391371605
"ENSG00000250043",-0.00297709718169935,0.00123866058965517,-3.40049478717819,0.00207529254716757,1,-2.72764315743818
"ENSG00000276298",-0.00147168681111111,0.000515979117241379,-3.32961271278264,0.00248761500694152,1,-2.90220196857396
"ENSG00000286399",-0.0037794524496732,0.00413058403448276,-3.31831187422939,0.00256026819881173,1,-2.92988956325095
"ENSG00000248174",-0.0041165671745098,0.00351918721034483,-3.31603994710903,0.00257511945845039,1,-2.93545105706139
"ENSG00000226979",-0.00172202437843137,0.00110753083103448,-3.2873208728959,0.00277016024913475,1,-3.00561195086702
"ENSG00000226744",-0.00216452829673203,0.00121601358965517,-3.28210712344964,0.00280706252602309,1,-3.01832087949331
"ENSG00000131042",-0.00120415736470588,0.000490540062068965,-3.25898392314308,0.00297650730227864,1,-3.0745792266551
"ENSG00000286403",0.0017787588882353,0.00104272072758621,3.14726997323789,0.00394339077511802,1,-3.34384870648806
"ENSG00000244743",-0.000954168356862745,0.000357090386206897,-3.13305761430952,0.00408611608550234,1,-3.37779411490433
"ENSG00000268117",-0.00409611513921568,0.00283477704482759,-3.1311247027942,0.00410590482897136,1,-3.38240517067807
"ENSG00000210195",-0.00304142555816993,0.00126526624827586,-3.11140273004592,0.00431312487666528,1,-3.42937572907931
"ENSG00000142224",0.0053708545261438,0.00724303382413793,3.10235518293353,0.00441149970740215,1,-3.45087631840878
"ENSG00000188833",0.00158848927254902,0.00129478901724138,3.07820137057729,0.00468473857520291,1,-3.50812769970642
"ENSG00000270555",-0.0013553401,0.000420622789655172,-3.07344899440961,0.0047403692341225,1,-3.51936665168386
"ENSG00000102802",-0.00145492470130719,0.000755214179310345,-3.06577019404117,0.00483159081464175,1,-3.53750845459647
"ENSG00000249854",-0.00286836679346405,0.00208585666206897,-3.02859310750562,0.00529742867116503,1,-3.6250264453031
"ENSG00000255389",0.0137906228235294,0.0270249962413793,3.01271290246546,0.00550918826738264,1,-3.6622479650447
"ENSG00000170571",0.00568893002352942,0.00962878483793103,2.95844197113499,0.00629531553656743,1,-3.78870455620014
"ENSG00000178358",-0.0009049341,0.000280841617241379,-2.91712831793082,0.00696395406650703,1,-3.88417374911765
"ENSG00000242866",-0.0016028283248366,0.00104257260344828,-2.89277946116532,0.0073889768539366,1,-3.94010952126393
"ENSG00000258649",-0.00170673139607843,0.000710713789655172,-2.89095960125056,0.00742171026071646,1,-3.94428023532646
"ENSG00000232158",-0.0014915226379085,0.000908910075862069,-2.89092077249648,0.0074224101569626,1,-3.94436920697582
"ENSG00000226339",-0.00142644138888889,0.000706706693103448,-2.87229107312822,0.00776551023227427,1,-3.98698338783017
"ENSG00000259661",-0.00304272772679738,0.00259700124827586,-2.87004406362492,0.00780789168323054,1,-3.99211329381239
"ENSG00000128253",0.00619160136928105,0.0108433239413793,2.8400911521059,0.0083941191095064,1,-4.06028826881212
"ENSG00000233128",-0.0010959076620915,0.000653656186206896,-2.83721033735076,0.00845263974735067,1,-4.06682473201932
"ENSG00000226084",-0.00126506400065359,0.000574787986206897,-2.82466127063198,0.00871207777967608,1,-4.09525579275556
"ENSG00000215905",-0.00110071759215686,0.000479256089655172,-2.81778244200138,0.00885745627446096,1,-4.11081107274847
"ENSG00000241151",0.00159615708431373,0.00153135169655172,2.80036745652972,0.00923579028969518,1,-4.15009847539059
"ENSG00000271820",-0.00082153696993464,0.000428810220689655,-2.77865073320789,0.00972889696183495,1,-4.19890068865897
"ENSG00000224445",-0.0632654122026144,0.0345015186827586,-2.77454598766817,0.0098248392739159,1,-4.208101079281
"ENSG00000163762",-0.00190943525555556,0.00106204356896552,-2.77330217162605,0.00985408671181825,1,-4.21088746656878
"ENSG00000139908",-0.00291976217973856,0.00403262480689655,-2.77286653539818,0.00986434971557697,1,-4.21186320971087
"ENSG00000241907",-0.0026804620751634,0.00262069176206897,-2.76178902975501,0.0101287201719085,1,-4.2366457543698
"ENSG00000112394",0.0175332413039216,0.0272283488103448,2.74098001329472,0.0106434171708749,1,-4.28304783208222
"ENSG00000267551",0.0156739594575163,0.0182654444137931,2.73316293471209,0.0108430303017085,1,-4.30042757165775
"ENSG00000221836",-0.00348012066666667,0.00108003744827586,-2.73312235303981,0.0108440756739935,1,-4.30051772311644
"ENSG00000277463",-0.00245546848954248,0.00141691415517241,-2.72789191440533,0.0109796038665191,1,-4.31213064122797
"ENSG00000197403",0.00334310702026144,0.00262897092758621,2.72323019659221,0.0111017319682425,1,-4.3224701142255
"ENSG00000277363",0.0321477015163399,0.0880889839655173,2.7227462840608,0.0111144822111715,1,-4.32354282864707
"ENSG00000224215",-0.00155022225098039,0.000808546272413793,-2.71218911546599,0.011396082307094,1,-4.34691817807768
"ENSG00000137875",-0.00111930223006536,0.000403236537931034,-2.70945796422307,0.0114700126975928,1,-4.35295688944706
"ENSG00000164663",0.0175411227941177,0.036478056362069,2.7040929486343,0.0116165489269269,1,-4.3648089749118
"ENSG00000166415",0.00511662326143791,0.0073092315,2.69875293877343,0.011764140331907,1,-4.37659231913214
"ENSG00000273149",-0.00301725826862745,0.00287587747241379,-2.69506172915004,0.0118671842779456,1,-4.3847295019052
"ENSG00000144331",0.050414060143791,0.148677134448276,2.69354308275058,0.0119098234641911,1,-4.38807544382183
"ENSG00000285631",-0.000798324653594771,0.000328395586206897,-2.68881385607757,0.0120435259449623,1,-4.39848803821118
"ENSG00000203908",-0.00167334833006536,0.00084524925862069,-2.68465803592167,0.0121621743909109,1,-4.40762933565063
"ENSG00000276188",-0.00101807838562091,0.000608784268965517,-2.66630844040215,0.0126992306706367,1,-4.44789289217982
