"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000106153",-0.156118585416667,0.209521698235294,-4.21695899833885,0.000766671603496727,1,-2.38696817689478
"ENSG00000178057",-0.108918381166667,0.0586217205882353,-3.92617486129663,0.00137758252400387,1,-2.98281270481622
"ENSG00000171314",-0.22668509625,0.142116110588235,-3.77998159484462,0.00185326233100595,1,-3.28290538026153
"ENSG00000148396",-0.1822014565,0.175531453176471,-3.7004037609909,0.00217889111613921,1,-3.44619903690123
"ENSG00000063245",-0.1836076515,0.141094291647059,-3.65028889826315,0.0024129985236905,1,-3.54896993024469
"ENSG00000120549",-0.663229565833333,0.738082243529412,-3.5911506140601,0.00272206620943699,1,-3.67014876950616
"ENSG00000259564",-0.345939036083333,0.367593835764706,-3.54891394115652,0.00296689281396468,1,-3.75661321874578
"ENSG00000266202",-0.0786611114166667,0.0616723183529412,-3.51132486515164,0.00320331759778133,1,-3.83349428674603
"ENSG00000116830",-0.18951171,0.136140068235294,-3.41397364426975,0.00390717586309465,1,-4.03223566024332
"ENSG00000135111",-0.81130275625,0.567158914705882,-3.3187613412921,0.00474485573788051,1,-4.22596096396511
"ENSG00000198732",-0.0732300149583333,0.0548551382352941,-3.29509782759187,0.00497945541459549,1,-4.27398893199631
"ENSG00000260498",-0.0179006290833333,0.00732709635294118,-3.2924592019463,0.00500632003026095,1,-4.27934111270207
"ENSG00000184979",-0.101193338333333,0.0878578556470588,-3.27999766104206,0.00513515653066499,1,-4.30460905847052
"ENSG00000154265",-0.267982822916667,0.305495095294118,-3.25418506978341,0.00541260962984764,1,-4.35689988304055
"ENSG00000186166",-0.287429774583334,0.320215854705882,-3.21864364146033,0.00581916422133896,1,-4.42878609404081
"ENSG00000108561",-0.0721163744583333,0.0456321171764706,-3.19280691080045,0.00613359732052896,1,-4.48095629616781
"ENSG00000104332",-0.014873664875,0.00694503058823529,-3.17421244051399,0.00637026080757378,1,-4.51845487049492
