"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000204685",0.148344509222222,0.0287070322068966,8.54438073901904,3.89444271809298e-09,0.000109965550617866,10.0883646711873
"ENSG00000165186",0.0857038538888889,0.0147070419655172,8.32955818032281,6.43694504158202e-09,0.000109965550617866,9.5751950604061
"ENSG00000270228",0.0797325763333334,0.0148816869655172,7.78388137087804,2.37075332124382e-08,0.000233460249510154,8.24514333245203
"ENSG00000275734",0.138344428777778,0.0290207131724138,7.72530707134703,2.7331664999579e-08,0.000233460249510154,8.10015090250021
"ENSG00000186329",0.0840965861111111,0.0165708675758621,7.61382270010411,3.5874064377479e-08,0.000245141831517065,7.8230237945259
"ENSG00000238217",0.372733746333333,0.074141458,7.30690058648202,7.64702486444435e-08,0.000435459830905784,7.05236082536435
"ENSG00000271200",0.0887765805555556,0.0165717515068966,6.8161391188673,2.62722843486756e-07,0.00128235019905885,5.79776614774099
"ENSG00000004846",0.132539683333333,0.0155774494724138,6.71024454746873,3.44155039134529e-07,0.00146984315276368,5.52369647808277
"ENSG00000238184",0.150635335222222,0.0382474156206897,6.55606183912605,5.11023093073868e-07,0.00187447325347063,5.12268019904213
"ENSG00000253203",0.157459989555556,0.0262513625862069,6.52847848140316,5.486209656893e-07,0.00187447325347063,5.05070083429533
"ENSG00000249115",0.141272308111111,0.0364583215172414,6.39405979278535,7.76272781074915e-07,0.00239362161104671,4.69894792123863
"ENSG00000176273",0.281341935,0.0721151507241379,6.34786917786768,8.74980938470382e-07,0.00239362161104671,4.57770963475063
"ENSG00000284726",0.158117257333333,0.0288435706103448,6.3324325096532,9.10734947276825e-07,0.00239362161104671,4.5371522458625
"ENSG00000090013",0.15571544,0.0456507353448276,6.1127863481989,1.61418914865483e-06,0.00366526787744795,3.95800452298283
"ENSG00000188825",0.163237622777778,0.0486326435862069,6.1112092327072,1.620862506672e-06,0.00366526787744795,3.95383286455158
"ENSG00000213777",0.074194847,0.00882275251724138,6.08309838254282,1.7446121434601e-06,0.00366526787744795,3.87944653189826
"ENSG00000059691",0.256808481,0.0556181177241379,6.06201853951288,1.84365450014165e-06,0.00366526787744795,3.82362898771921
"ENSG00000266578",0.074194847,0.0090526375862069,6.04436846829566,1.93095155542082e-06,0.00366526787744795,3.77686953621572
"ENSG00000275532",0.074194847,0.00920340634482759,6.0010319994739,2.16347778489719e-06,0.00368302083889409,3.66197110396539
"ENSG00000198133",0.321756638222222,0.0781609305862069,6.00099070961797,2.16371234094908e-06,0.00368302083889409,3.66186157230004
"ENSG00000287081",0.074194847,0.00897729710344828,5.98379169473929,2.26368828450774e-06,0.00368302083889409,3.6162272236361
