"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000184260",-0.0249723738104575,0.0137103112413793,-3.8139257744013,0.00071455328760874,1,-1.02192740651343
"ENSG00000219738",-0.00623378603921569,0.00226631089655172,-3.75613917761082,0.000831675311251274,1,-1.16869490001534
"ENSG00000110723",-0.0265747274901961,0.0190379964137931,-3.64237082358651,0.00111965871929239,1,-1.45557270122854
"ENSG00000268058",-0.0138786144575163,0.00597680965517242,-3.63686443525486,0.00113582760152916,1,-1.4693838235651
"ENSG00000265096",-0.0126127283398693,0.00473886427586207,-3.59922217604697,0.00125261757891538,1,-1.56360677090418
"ENSG00000271894",-0.00775879594117647,0.00284018362068965,-3.56236443164562,0.00137826696130496,1,-1.65553462183363
"ENSG00000146242",-0.0115099217320261,0.00565346465517241,-3.56121839108612,0.00138236420222262,1,-1.65838761666284
"ENSG00000224420",-0.00917709320915032,0.00497129444827586,-3.36509741359057,0.00228870203549306,1,-2.14151022180502
"ENSG00000280401",-0.0205286403921569,0.00793291448275862,-3.33175468737496,0.00249153878130669,1,-2.22256964988154
"ENSG00000124664",-0.0339685666078431,0.0186118807931034,-3.2999047592464,0.0027014252854691,1,-2.29968680141989
"ENSG00000250740",-0.00542475666666667,0.00168354517241379,-3.26497727599258,0.00295117167502104,1,-2.38389456764693
"ENSG00000259482",-0.0137699410457516,0.00894022482758621,-3.21183698513241,0.00337423956801239,1,-2.51126545265874
"ENSG00000288637",-0.0230718303856209,0.0200897216551724,-3.19201206691554,0.00354653089251231,1,-2.55854629263034
"ENSG00000223989",-0.0105753817124183,0.00445878682758621,-3.17607676745181,0.00369110894508045,1,-2.59645523370172
"ENSG00000229195",0.207352300718954,0.258656813448276,3.16027351427606,0.00384006167979059,1,-2.63396495280738
"ENSG00000111452",-0.0230208206862745,0.0128041303448276,-3.14736072879522,0.00396603079889185,1,-2.66455042818634
"ENSG00000259161",-0.0124399669673203,0.0047197504137931,-3.1155917454655,0.00429301618443707,1,-2.73955206417453
"ENSG00000134545",-0.0211915950849673,0.00839741510344828,-3.11525002229744,0.0042966698304782,1,-2.7403568895917
"ENSG00000174667",-0.00488073585620915,0.00183241193103448,-3.05950229499247,0.00493422199711088,1,-2.87109230623946
"ENSG00000254288",0.0188467168888889,0.014365679862069,3.0553842225855,0.0049847391843796,1,-2.88070480844397
"ENSG00000267493",-0.00427392703921569,0.00165807879310345,-3.05247758951964,0.00502069203183092,1,-2.88748576767844
