"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000145779",-0.0999273599166667,0.0492144951176471,-6.20080740799134,1.63673446576089e-05,0.559223064916523,3.24592995898021
"ENSG00000171747",-0.0713980896666667,0.0178795005882353,-5.71958694868274,3.93354730369321e-05,0.67198755362643,2.39175133944398
"ENSG00000004468",-0.10141467075,0.0312733128823529,-5.289819488375,8.83752911369575e-05,0.92198790175377,1.60098618553552
"ENSG00000169715",-0.06769335175,0.0254492438823529,-5.00249064406924,0.000153857927843467,0.92198790175377,1.05870491235805
"ENSG00000248429",-0.0720406170416667,0.0320901201176471,-4.86917717672141,0.000199672899266494,0.92198790175377,0.803713165931811
"ENSG00000254033",-0.0702577189583333,0.0326788135882353,-4.83591975775334,0.00021315656030418,0.92198790175377,0.739787420779422
"ENSG00000206187",-0.0653453414166667,0.021235637,-4.82255773849962,0.000218834785572563,0.92198790175377,0.71406941954745
"ENSG00000172817",-0.376260670583333,0.122226945117647,-4.66346710472627,0.000299722531222158,0.92198790175377,0.406418016556097
"ENSG00000259319",-0.0650401121666667,0.0191520268235294,-4.66176969908788,0.000300734534178333,0.92198790175377,0.403121659969614
"ENSG00000158683",-1.70201437416667,1.51871129058823,-4.61849592887176,0.000327754639644675,0.92198790175377,0.318989587111715
"ENSG00000249429",-0.0214998283333333,0.00465683247058824,-4.39651780693359,0.000511100491503874,0.92198790175377,-0.115238765278812
"ENSG00000074219",-0.0667090965416667,0.0221924741764706,-4.35980692253211,0.000550317415002572,0.92198790175377,-0.187442432944069
"ENSG00000256966",-0.121415509125,0.0427920867647059,-4.29160850481616,0.000631532252749844,0.92198790175377,-0.321836403411135
"ENSG00000286353",-0.121706135291667,0.0575003198235294,-4.28518136546448,0.000639791432580929,0.92198790175377,-0.334518516982675
"ENSG00000078579",-0.0695397379166667,0.022216452,-4.24324897307016,0.000696450950522866,0.92198790175377,-0.417326328389231
