"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000188763",-0.00412153626732026,0.00167715477586207,-4.2519612712009,0.000225753597314492,1,-1.30487708902452
"ENSG00000258711",-0.00367961907777778,0.00114195074827586,-4.07494774397392,0.000361700996324692,1,-1.77032296449372
"ENSG00000137860",-0.00808999604313725,0.00613057523448276,-3.97926793798649,0.000466095655670661,1,-2.01996658063964
"ENSG00000258039",-0.00581106866470588,0.00259904141034483,-3.95626382619051,0.000495322909313168,1,-2.07976090553802
"ENSG00000285142",-0.00530707227320261,0.00191137499310345,-3.8159176991811,0.000716854879267492,1,-2.44247002196783
"ENSG00000125457",-0.0371316774313725,0.0411236215517241,-3.81156481085187,0.000725091417188999,1,-2.45365875681495
"ENSG00000183798",-0.00297058716666667,0.00102888067241379,-3.76452516279372,0.000820230506847225,1,-2.57432161812333
"ENSG00000287653",-0.00248871955555556,0.000879335551724138,-3.68819418677831,0.00100119476000706,1,-2.76911173507801
"ENSG00000146242",-0.0103730704477124,0.00868373901724138,-3.64777402520836,0.00111226125372749,1,-2.87172858108902
"ENSG00000111254",0.00885608508169934,0.00739438974137931,3.5888874124439,0.00129585517440178,1,-3.02053219598393
"ENSG00000149243",-0.00896400622549019,0.00717590039655172,-3.48711888766753,0.00168495531042913,1,-3.27563550582151
"ENSG00000225868",-0.00452007801372549,0.0022764373137931,-3.48655094522961,0.00168741688581884,1,-3.27705150032379
"ENSG00000236068",0.00808505174183007,0.0068464075,3.40284994737265,0.00209099674384096,1,-3.48475547992371
"ENSG00000238420",-0.00396857032679738,0.0023777276137931,-3.38114096908489,0.0022100678025748,1,-3.53829934747321
"ENSG00000177427",-0.0104484356699346,0.00986922378965517,-3.34354969332855,0.00243192534069178,1,-3.63068519678686
"ENSG00000248457",-0.00422552795228758,0.00229894000344828,-3.33579040434878,0.00248032602131061,1,-3.64970161565659
"ENSG00000166920",-0.00549768352745098,0.00327760492068966,-3.29694915566615,0.00273692196572101,1,-3.74461427638154
"ENSG00000254734",-0.00634300101764706,0.00518337586551724,-3.29626518075802,0.00274166221469325,1,-3.74628141961066
"ENSG00000250195",-0.0764818292614378,0.126106734034483,-3.22813534920141,0.00325562014754586,1,-3.91159121373255
"ENSG00000258754",-0.0352907295196078,0.0299241486724138,-3.22089156787671,0.00331542405251367,1,-3.92907821880115
"ENSG00000122121",-0.00433065599542484,0.00289968616896552,-3.20268555923362,0.00347042831783197,1,-3.97295131999706
"ENSG00000222808",-0.00555564594836601,0.00233051407241379,-3.20087666783476,0.00348620374586469,1,-3.9773043162658
"ENSG00000282458",-0.00416416210915033,0.00157434936896552,-3.17658706327517,0.00370481877582691,1,-4.0356480052441
"ENSG00000157150",-0.00694001597320261,0.00562882124482759,-3.13787629481006,0.00408064256447604,1,-4.12820979148049
"ENSG00000251670",0.00428087343137255,0.00277944192413793,3.1369266084074,0.00409030667153353,1,-4.1304739876796
"ENSG00000007541",0.0248567231960785,0.0392074624137931,3.12655198944579,0.00419731746532464,1,-4.15518778659715
"ENSG00000230676",-0.00561067672810458,0.00380759252413793,-3.11568990013409,0.00431222607387323,1,-4.18102162999674
"ENSG00000108387",0.0399607441699347,0.0753742930689655,3.10433497142476,0.00443556370236159,1,-4.2079822398457
"ENSG00000012223",0.00343916297647059,0.00201606105517241,3.08689651760256,0.00463157150260119,1,-4.24929613218267
"ENSG00000168517",-0.0110543960921569,0.00882750545862069,-3.07655945694502,0.00475163903352443,1,-4.27373333319326
"ENSG00000104714",-0.512446271830065,0.850370303103448,-3.07427773138641,0.00477853954879737,1,-4.27912210733615
"ENSG00000112245",0.00445977063006536,0.00314305777241379,3.06976762396801,0.00483214015197463,1,-4.28976800070018
"ENSG00000258357",-0.0050326075869281,0.00283800797931034,-3.06224049851318,0.00492287744555165,1,-4.30751858730919
"ENSG00000257506",-0.0107793602836601,0.00393206635172414,-3.06005911504855,0.00494947589136993,1,-4.31265881288927
"ENSG00000122862",-1.60035266986928,1.48954935862069,-3.05269331091452,0.00504030711085341,1,-4.33000248066609
"ENSG00000203362",-0.00836977057908496,0.00564026002068966,-3.04613473045753,0.00512252065792719,1,-4.34542829219907
"ENSG00000174080",0.0343610127254902,0.0776214171034483,3.03665323783521,0.00524363794808905,1,-4.36770009218133
"ENSG00000249853",0.057891601751634,0.0925053454827586,3.03141323767149,0.00531174055782361,1,-4.37999409272524
"ENSG00000232788",-0.00670722460522876,0.00452800148965517,-3.03107850631397,0.00531611948198129,1,-4.38077907860474
"ENSG00000285854",0.00893216823529412,0.00972460134482759,3.01061976088561,0.00559038706554557,1,-4.42867587699922
"ENSG00000132507",-0.032175624248366,0.044123426137931,-3.00788993742298,0.00562798603504173,1,-4.43505459273245
"ENSG00000126838",-0.00835925786013072,0.0065751079862069,-3.00313261913173,0.00569408656512138,1,-4.44616400997957
"ENSG00000144671",0.00802849744771242,0.00759756134137931,2.98979765373492,0.00588333027222711,1,-4.47725723190762
"ENSG00000115380",0.0140951551444445,0.016088275162069,2.98663040654443,0.00592914979420244,1,-4.48463210331534
"ENSG00000233420",0.0104845318228758,0.0143352292517241,2.95716392786886,0.00637200457638358,1,-4.55305428767488
"ENSG00000236241",-0.000921389377777778,0.000285948427586207,-2.94272330912708,0.00660033761981965,1,-4.58645937987119
"ENSG00000006327",-0.0124986297372549,0.0121203588896552,-2.93786020926223,0.00667896494261679,1,-4.59769012408891
"ENSG00000146425",-0.0846530124836601,0.15081195262069,-2.93058831973717,0.00679819773617574,1,-4.61446577838487
"ENSG00000124688",-0.0114082492810457,0.0130518306206897,-2.92808881457661,0.00683964480662692,1,-4.62022696243085
"ENSG00000213967",-0.0186132928627451,0.0222468742413793,-2.91770950490232,0.00701433283144043,1,-4.64412322392856
"ENSG00000181074",-0.00730343592091503,0.00340393816206897,-2.91471804914773,0.00706546012204553,1,-4.65100224339278
