"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000264659",-0.0193064177166667,0.00706231465294118,-9.08544225263206,1.77312857738644e-07,0.00605824841035624,6.76917121512784
"ENSG00000229585",-0.0324629229625,0.0109227757352941,-6.3437082013733,1.33352879803413e-05,0.212016965995617,2.24692863806928
"ENSG00000260526",-0.0180335003125,0.00676444951176471,-6.01344045821534,2.39942747679732e-05,0.212016965995617,1.63569457791506
"ENSG00000180769",-0.081227947625,0.0640613301764706,-5.98880981067733,2.50838507737278e-05,0.212016965995617,1.58953572452571
"ENSG00000249614",-0.0133425340083333,0.00634145671176471,-5.87151748653659,3.10265703742818e-05,0.212016965995617,1.36864653030929
"ENSG00000139899",-0.0201655859458333,0.00462278053529412,-5.67578623230459,4.44263918530168e-05,0.252986088407004,0.996123064685085
"ENSG00000091181",-0.0112746377791667,0.00311952428823529,-5.36665786704227,7.91460631510535e-05,0.386311934240292,0.398135820976943
"ENSG00000265480",-0.015096885875,0.00388046565882353,-5.29301762261258,9.09867026789999e-05,0.388592833804174,0.254013476266232
"ENSG00000283347",-0.0144116164375,0.00363160917647059,-5.21527204411482,0.00010549484267291,0.400493587733925,0.101188066793517
"ENSG00000261542",-0.0137827576541667,0.00486033294705882,-5.1263756700893,0.000125057158248307,0.418786896680397,-0.0743755459651556
"ENSG00000168778",-0.0507741841666667,0.0300792086470588,-5.06143006236555,0.000141694410015832,0.418786896680397,-0.203174669306991
"ENSG00000185860",-0.0119396414375,0.00460714841176471,-5.00447059017578,0.000158165612590049,0.418786896680397,-0.316497750342348
"ENSG00000135828",-0.0758282812916667,0.0647153970588235,-5.00064059859693,0.000159341752475932,0.418786896680397,-0.324129572558234
"ENSG00000242578",-0.0203541548791667,0.00776556611176471,-4.87115651467597,0.000204906438383074,0.500074162873892,-0.583000673813658
"ENSG00000239445",-0.0286966858375,0.0133863866,-4.83566883037293,0.000219604210495937,0.500214470667644,-0.65423057894645
"ENSG00000233611",-0.0185695568791667,0.00588729969411765,-4.78079977466013,0.000244500694784238,0.522115952418315,-0.764590004493734
"ENSG00000169925",-0.153789757958333,0.132803120529412,-4.72154159213186,0.00027467299867253,0.552044255626138,-0.884077813318525
