"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000152404",0.747821767333334,0.746056187777778,4.34668238806455,0.00050345259054772,1,-6.2822995800684
"ENSG00000070785",-0.381815043333333,0.164952841111111,-3.73141175021008,0.00182733042594471,1,-7.58639880078578
"ENSG00000114857",0.831526081666667,1.10358150166667,3.65478242318922,0.0021477620663865,1,-7.74848764724749
"ENSG00000102710",-0.425741892666667,0.234023465555556,-3.34216555838149,0.00415161040174847,1,-8.40577859144748
"ENSG00000140632",-0.685088851666667,0.469747817222222,-3.30637252374882,0.00447642296958931,1,-8.48046301324244
"ENSG00000124942",-1.02161835866667,0.875644126666667,-3.30562372169044,0.00448348048163345,1,-8.48202386125146
"ENSG00000174891",1.26079191166667,0.979011380555555,3.27111489296712,0.00482096697887416,1,-8.553883050414
"ENSG00000132356",-0.772377506,0.347797332222222,-3.22510395814505,0.0053103198756812,1,-8.64946013252627
"ENSG00000260302",-0.187111803666667,0.0643029683333333,-3.21838179400812,0.00538580825230861,1,-8.66340040740889
"ENSG00000089009",-0.443266913333333,0.222876411111111,-3.11817935006844,0.00664489911329461,1,-8.87042699950747
"ENSG00000039319",0.373727573,0.438226079222222,3.09881595995015,0.00691966688332687,1,-8.9102554730883
"ENSG00000177954",-0.632056584333333,0.609880376111111,-3.07525335374263,0.00726911063720105,1,-8.9586378602273
"ENSG00000124496",0.869026081666667,1.45219261277778,3.07169324019551,0.0073233937626141,1,-8.96593988963542
"ENSG00000071054",0.984001881666667,1.15187054611111,3.05475514232352,0.00758715517547135,1,-9.00065113977938
"ENSG00000253773",-0.442546585666667,0.300172533888889,-3.04532740749634,0.00773797754665359,1,-9.01994967923136
"ENSG00000112137",0.3053744,0.23138084,2.97510267294394,0.00895764148755077,1,-9.16318822308627
"ENSG00000091879",-0.637581953333333,0.31421814,-2.91718206013265,0.0101032971621409,1,-9.28060814059293
"ENSG00000178031",-0.311507939,0.118650794777778,-2.79790549196115,0.0129292489426852,1,-9.52012750471928
"ENSG00000101199",-0.309152867,0.119959168111111,-2.79321120678685,0.0130548721038967,1,-9.52948638869374
"ENSG00000187742",-0.715320917666667,0.733287322777778,-2.74460961886589,0.0144268342473651,1,-9.62605994333659
"ENSG00000121766",-0.474564351666667,0.377270241666667,-2.73151316432297,0.0148197216425239,1,-9.65198009798785
"ENSG00000102738",-0.424473776,0.301394640888889,-2.72854137270183,0.0149102999022588,1,-9.65785554776744
"ENSG00000023171",-0.309165805,0.150639810555556,-2.71685263420118,0.015271770181626,1,-9.68094241162951
"ENSG00000102910",-0.631064534,0.457697841111111,-2.71325909642574,0.0153845860427453,1,-9.68803284149005
"ENSG00000167077",-0.309558316333333,0.133137796111111,-2.71260810066437,0.0154051091737619,1,-9.68931695544469
"ENSG00000258455",-0.164285716666667,0.0547619055555556,-2.69612173062798,0.015933730184232,1,-9.72179888105459
"ENSG00000135679",0.399706697333333,0.375057513333333,2.68673718321082,0.0162423893480068,1,-9.74025555970463
"ENSG00000038382",0.763310899,0.493550149222222,2.67497870040501,0.01663724935111,1,-9.76334679521321
"ENSG00000257647",-0.370910974666667,0.163250517777778,-2.67100448085504,0.0167727810805798,1,-9.77114264232564
"ENSG00000147050",-1.3735464,1.38780048888889,-2.66698934921593,0.0169107848926803,1,-9.77901424740753
"ENSG00000103544",-0.708941513,0.404027203888889,-2.66425826157268,0.0170052774576405,1,-9.78436591174441
"ENSG00000223511",-0.376104211,0.161599954777778,-2.66258765140546,0.0170633284275707,1,-9.78763849483243
"ENSG00000135677",-0.597761389666667,0.262619336111111,-2.65351401948351,0.0173819602589835,1,-9.8053991461638
"ENSG00000137509",-0.128416151666667,0.0524672194444444,-2.64796861478213,0.0175794972060654,1,-9.81624211550972
"ENSG00000121774",-0.381983273333333,0.3249123,-2.64271830616583,0.0177685058424066,1,-9.8264999425559
"ENSG00000198677",-0.937866633,0.565118181666667,-2.63856674623034,0.0179193383161945,1,-9.83460544755675
"ENSG00000203667",-0.338453251333333,0.235603578888889,-2.63358606701005,0.0181019140142461,1,-9.84432312628604
"ENSG00000077044",-1.11363008666667,1.61138716666667,-2.62967024239219,0.0182467061458642,1,-9.85195811680422
"ENSG00000144283",0.333303141666667,0.286402980333333,2.6250504713457,0.0184189545798281,1,-9.8609598730991
"ENSG00000234444",-0.291429438,0.142151196666667,-2.61578216254548,0.0187692323802001,1,-9.87900047428182
"ENSG00000123329",0.312801933666667,0.265136877222222,2.61520466336227,0.0187912676356117,1,-9.88012372444465
"ENSG00000138303",0.356310383333333,0.269555152222222,2.61462589189762,0.018813376282461,1,-9.88124934977962
"ENSG00000170889",-0.623115074,0.479927247777778,-2.60575728868791,0.0191552798032694,1,-9.89848498440305
"ENSG00000124126",-1.06754228333333,1.78716787222222,-2.59768812428595,0.019471521659509,1,-9.91414645129941
"ENSG00000126698",-0.364026915,0.207815736111111,-2.5972931521407,0.0194871286555369,1,-9.91491254949848
"ENSG00000186716",0.376298307,0.363375601666667,2.58225163153763,0.0200904606904877,1,-9.94405215173477
"ENSG00000108107",-0.609351267666667,0.823729003888889,-2.58224089311736,0.0200908977285612,1,-9.94407293031915
"ENSG00000198727",0.636201690666667,0.467642915555556,2.57978737301067,0.0201909908399966,1,-9.94881950253039
"ENSG00000137815",-0.303459284333333,0.183439729444444,-2.57686461602075,0.0203108484137505,1,-9.95447143734841
"ENSG00000185591",-0.362137681333333,0.161775362222222,-2.57641366864174,0.0203294014329296,1,-9.95534323018058
"ENSG00000154451",-0.969931846,0.675081952222222,-2.57573148990066,0.0203574986035042,1,-9.95666193091241
"ENSG00000174780",0.276009320333333,0.200428459444444,2.57194697887769,0.0205140473693498,1,-9.96397504571467
"ENSG00000074706",-0.365627158666667,0.150136588888889,-2.56917281946895,0.0206295314820025,1,-9.96933295205532
"ENSG00000245552",-0.304425468333333,0.148335058333333,-2.56366274420563,0.0208607501651684,1,-9.97996778693407
"ENSG00000153187",0.71063232,0.931480048888889,2.56021439913024,0.0210067082536435,1,-9.98661850225534
"ENSG00000139793",-0.660636653333333,0.619487577777778,-2.55082400950469,0.0214091285359185,1,-10.0047104696265
