"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000225885",0.45,0.05830314,13.4890824875935,3.88846978124152e-10,1.32857347015679e-05,8.89229606521183
"ENSG00000196544",0.45,0.064039855,11.7790803099458,2.80134747474731e-09,3.96361475931457e-05,6.80537043715804
"ENSG00000095319",0.45,0.0617753622222222,11.5742394339806,3.60433938477191e-09,3.96361475931457e-05,6.53924110542311
"ENSG00000164062",0.419444444,0.064865137,11.3717820594207,4.6402842032541e-09,3.96361475931457e-05,6.27253963174596
"ENSG00000160993",0.45,0.0664553138888889,10.985141430147,7.59363170054176e-09,5.18903228624821e-05,5.75276884984738
"ENSG00000188026",0.436111110666667,0.0710849436666667,9.94162929178495,3.07821597300651e-08,0.000175289008582856,4.27722045953989
"ENSG00000188313",0.622222221666667,0.0887278583333333,9.79452294436249,3.78267054821073e-08,0.000184632149458166,4.06016653348506
"ENSG00000235863",0.436111110666667,0.0675120775555555,9.53564228995991,5.46659349804364e-08,0.000233471375059571,3.67247790847125
"ENSG00000112130",0.741666666666666,0.116636473333333,9.21184021559415,8.75377236386172e-08,0.000332322378173404,3.1770486006632
"ENSG00000139977",0.419444444,0.0721115131111111,9.04043807701603,1.12848429425618e-07,0.000385569228818511,2.90994433486397
"ENSG00000110697",0.422222221666667,0.0710346216666667,8.46477161931407,2.71517023458574e-07,0.000843356558228099,1.98741385500272
"ENSG00000196696",0.436111110666667,0.0768216586666667,8.30406421654023,3.49400626015222e-07,0.000994830932421841,1.72268034734475
"ENSG00000173040",0.45,0.0638888888888889,8.10335739959139,4.80902283174831e-07,0.00126392217763342,1.38753167012258
"ENSG00000130479",0.50238095,0.0851363016666667,7.77121328043519,8.25068971556867e-07,0.00196583230937376,0.821677122224903
"ENSG00000167094",0.519444444,0.108635265888889,7.74391510906822,8.63039911043008e-07,0.00196583230937376,0.774540667563937
"ENSG00000103550",0.686111110666667,0.0860305958888889,7.45429514706146,1.39941103861275e-06,0.00298835480976762,0.268478403991407
"ENSG00000258017",0.416666666666667,0.0752012883333333,7.20452040853789,2.14212376923092e-06,0.00406883476486321,-0.176797006521507
"ENSG00000115919",0.35,0.0388888888888889,7.17126333772936,2.26848981717452e-06,0.00406883476486321,-0.236706315521172
"ENSG00000100726",0.35,0.0400966183333333,7.14306519057073,2.38173369910335e-06,0.00406883476486321,-0.28761724442545
