"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000221836",-0.0142793800745098,0.00473462563448276,-3.82941303796744,0.00068317657584093,1,-1.66593131006303
"ENSG00000186364",-0.0250549580915033,0.025793708137931,-3.69504778823288,0.00097225338568254,1,-2.01014843804126
"ENSG00000214460",-0.00688687351633987,0.00333251711724138,-3.66844815981362,0.00104225193417518,1,-2.07781749760777
"ENSG00000228620",-0.00204727888888889,0.000635362413793103,-3.64598125880986,0.0011051857198895,1,-2.13484397723705
"ENSG00000269365",-0.00557412256470588,0.00395975755862069,-3.5931824043446,0.00126802012818623,1,-2.26838113212223
"ENSG00000251000",-0.00215951821111111,0.000670195306896552,-3.56793747909383,0.00135391217150274,1,-2.33198513154
"ENSG00000228198",-0.012905866648366,0.00680871835172414,-3.56259863223563,0.0013727887882101,1,-2.34541546621663
"ENSG00000261693",-0.00199616637777778,0.000619499910344828,-3.56068000547026,0.00137963482143606,1,-2.35024015186733
"ENSG00000269954",-0.00239157958888889,0.000742214355172414,-3.54991872898487,0.00141865284197837,1,-2.37728345321749
"ENSG00000261325",-0.00556509610065359,0.00373747893793103,-3.54956533781975,0.00141995218694678,1,-2.37817102363919
"ENSG00000157131",-0.0085273445496732,0.00614538693448276,-3.54720466513226,0.00142866160835285,1,-2.38409921079042
"ENSG00000286456",-0.00212272401699346,0.000827269503448276,-3.5438273788483,0.00144121205206447,1,-2.39257782330834
"ENSG00000223427",-0.00547730898954248,0.00292042548275862,-3.51560777296535,0.00155035249685204,1,-2.46330540147335
"ENSG00000229020",-0.00167208901111111,0.000518924175862069,-3.44983980360555,0.00183676496621228,1,-2.62730671599615
"ENSG00000234784",-0.00167208901111111,0.000518924175862069,-3.44983980360555,0.00183676496621228,1,-2.62730671599615
"ENSG00000184414",-0.00507639733398693,0.00298053299655172,-3.41959074082576,0.00198512350207506,1,-2.70233111502756
"ENSG00000026508",-0.0325878402261438,0.0300685600551724,-3.37630095374502,0.00221777908083569,1,-2.80923787893009
"ENSG00000231378",-0.00585264875947712,0.0050089538137931,-3.32386926201577,0.00253497654637968,1,-2.93796915312707
"ENSG00000224445",-0.0799471580816993,0.0417719608172414,-3.29172328498269,0.00275063856850052,1,-3.01647362334406
"ENSG00000237775",-0.00295176603660131,0.0015629128137931,-3.2603466596561,0.00297812305592027,1,-3.09278152588946
"ENSG00000243137",-0.00620016897189542,0.0030303009,-3.23319529090149,0.00318949147018866,1,-3.15855453929889
"ENSG00000120913",-0.00212011767777778,0.000657967555172414,-3.18315130497596,0.00361742787240867,1,-3.27913717850121
"ENSG00000227427",-0.00330744602352941,0.00175539792413793,-3.16653003519478,0.00377137014243103,1,-3.31899693617352
"ENSG00000286649",-0.00476530573267974,0.00273207209310345,-3.14996096328857,0.00393106781512692,1,-3.35863546759863
"ENSG00000124602",-0.00864472454183006,0.00699951930689655,-3.1403197657458,0.00402695290188616,1,-3.38165571964497
"ENSG00000278709",-0.00242071274444444,0.000751255679310345,-3.11473246055758,0.00429240529500739,1,-3.44258946187862
"ENSG00000249863",-0.00758336905424837,0.00613865510689655,-3.10379128570584,0.00441095092869088,1,-3.46857269069073
"ENSG00000151651",0.00531219761633987,0.00515169192758621,3.08532709851092,0.00461813575295037,1,-3.51232239958042
"ENSG00000248525",-0.00279230678888889,0.00111113653448276,-3.08494415779077,0.00462252956357836,1,-3.5132284246332
"ENSG00000281332",0.0119677272784314,0.0145672801724138,3.07195349565466,0.00477396993306759,1,-3.54393168947793
"ENSG00000235946",-0.00260653526143791,0.000977417820689655,-3.06957655538689,0.00480218722329875,1,-3.5495427607148
"ENSG00000164120",0.00450170555228758,0.00310486021034483,3.04816751354695,0.00506361324090305,1,-3.5999859907298
"ENSG00000234244",-0.00229243645555556,0.000711445796551724,-3.03177040866379,0.00527295836289695,1,-3.63850289666689
"ENSG00000287968",-0.00249638594509804,0.00108693473793103,-3.02992427840804,0.00529703828723327,1,-3.64283303478818
"ENSG00000169271",-0.00243200666143791,0.00116781233793103,-3.01619904404133,0.00547937550750231,1,-3.67498474659258
"ENSG00000260971",0.0169919481862745,0.0218089111551724,2.99616367170625,0.00575630196771749,1,-3.7217869431486
"ENSG00000244757",-0.038861594124183,0.0487711700344828,-2.98724443786083,0.0058838197874974,1,-3.74257152349487
"ENSG00000139517",0.0480930734052288,0.0876316192068965,2.97618527136825,0.00604566341901101,1,-3.76829917526301
"ENSG00000278918",-0.00200428605228758,0.000896698655172414,-2.96138622621431,0.00626886444344175,1,-3.80265099484989
"ENSG00000271730",-0.00572177300196078,0.00677498289310345,-2.95791209985878,0.00632238435274651,1,-3.81070248764306
"ENSG00000286719",-0.00749766751503268,0.00783744110344827,-2.95465290662284,0.00637298728397054,1,-3.81825144462735
"ENSG00000186326",-0.00321485529477124,0.00181644487931034,-2.93616286075956,0.00666742188950934,1,-3.86099680760001
"ENSG00000287224",-0.00338298729738562,0.00190611618965517,-2.92575434176193,0.0068387951947928,1,-3.8849979877011
"ENSG00000234378",0.00823321934248366,0.00965229313793104,2.92418957191706,0.00686491693523786,1,-3.88860237524545
"ENSG00000213215",-0.015179313720915,0.00746772793448276,-2.91629050920017,0.00699823097058729,1,-3.90678217050332
"ENSG00000258964",0.00687642338366014,0.0070005983137931,2.91099800921606,0.00708892174411685,1,-3.9189485057564
"ENSG00000258769",-0.00175306747777778,0.000544055424137931,-2.90991190151634,0.00710767012190775,1,-3.92144380161245
"ENSG00000285733",-0.0057150666882353,0.00404957577586207,-2.90966064333194,0.0071120140208649,1,-3.92202098910564
"ENSG00000119630",-0.00149661566666667,0.000464466931034483,-2.90085495816935,0.00726584952096613,1,-3.94223272701436
"ENSG00000266756",-0.00173445806666667,0.000538280089655172,-2.89379136001096,0.00739152199372486,1,-3.95842245456986
"ENSG00000145911",-0.00767369094117647,0.00523632455862069,-2.88354347640221,0.00757750931491358,1,-3.98187332627637
"ENSG00000286251",-0.088129524966013,0.0467494471931034,-2.86881421994855,0.00785259443224039,1,-4.01550149595082
"ENSG00000286830",-0.0179264127542484,0.0250926914275862,-2.86292341387759,0.00796523191401426,1,-4.02892489388431
"ENSG00000223375",-0.00243175392222222,0.000754682251724138,-2.85933113162356,0.00803466691828373,1,-4.0371033597665
"ENSG00000226288",-0.00313998940588235,0.00201589521034483,-2.85445165139504,0.00812989811678408,1,-4.04820350055879
"ENSG00000268170",-0.00160075317777778,0.000496785468965517,-2.85340768168081,0.00815041087142898,1,-4.05057705900435
"ENSG00000105672",-0.00249292765228758,0.00100910622068965,-2.8514092820201,0.00818981340478477,1,-4.05511929155561
"ENSG00000063245",-0.167647413379085,0.177144827344828,-2.84857441609228,0.00824601717272237,1,-4.06155980698624
"ENSG00000260483",-0.0016546535,0.000513513155172414,-2.84806906850821,0.00825607430167327,1,-4.06270753932883
"ENSG00000224858",-0.00279259763202614,0.00113168499655172,-2.84792073875625,0.00825902846993597,1,-4.06304440110122
"ENSG00000175143",-0.00150083624444444,0.000465776765517241,-2.84622624976162,0.00829284716650241,1,-4.06689196764848
"ENSG00000141194",-0.00148201146666667,0.000459934593103448,-2.83900854365322,0.00843836780421855,1,-4.08326683571305
"ENSG00000207355",-0.00176624796143791,0.000716639003448276,-2.82633226592031,0.00869978939118764,1,-4.11197083200779
"ENSG00000236722",-0.00233598073333333,0.000724959537931035,-2.81629291030362,0.00891222854279275,1,-4.13465397532084
"ENSG00000285748",-0.00563777931633987,0.00317453316551724,-2.81292818534357,0.00898451529351667,1,-4.14224639994136
"ENSG00000239096",-0.00173268225555556,0.000537728975862069,-2.80577996244937,0.0091399226500474,1,-4.15835961938843
"ENSG00000285821",-0.00308773443202614,0.00183505236206897,-2.79746870894804,0.00932379700975532,1,-4.1770660335994
"ENSG00000245970",-0.0115425798882353,0.0177004336655172,-2.79722266326122,0.00932929311710582,1,-4.17761934895358
"ENSG00000243095",-0.00202201839150327,0.00103145505172414,-2.79490480165747,0.00938121880753164,1,-4.18283050632693
"ENSG00000091137",0.0121926262732026,0.0185203289655172,2.78124739449785,0.00969274166140866,1,-4.21348717260219
"ENSG00000170161",0.0261258144248366,0.0354549845862069,2.77957823251239,0.00973147524162671,1,-4.2172281902456
"ENSG00000197769",-0.00301060033202614,0.00119934100689655,-2.7738456910059,0.00986561219790613,1,-4.23006672331686
"ENSG00000183908",-0.0011617957,0.000360557286206897,-2.77001583891267,0.00995619401564314,1,-4.23863575033137
"ENSG00000249568",-0.0011617957,0.000360557286206897,-2.77001583891267,0.00995619401564314,1,-4.23863575033137
"ENSG00000274607",-0.0011617957,0.000360557286206897,-2.77001583891267,0.00995619401564314,1,-4.23863575033137
"ENSG00000287464",-0.00224411240392157,0.00118456804137931,-2.76936477214209,0.00997167024546453,1,-4.24009180708451
"ENSG00000286422",0.00746265350261438,0.00479321721034483,2.76382947399364,0.010104163481803,1,-4.25246328211417
"ENSG00000280176",-0.00450150102810457,0.00286134005862069,-2.76367192926129,0.0101079585777668,1,-4.25281519348301
"ENSG00000202461",-0.00265449612810457,0.00136226671724138,-2.7619362604545,0.0101498578412294,1,-4.25669145100716
"ENSG00000183122",-0.00773179766666667,0.0023995234137931,-2.75734979010484,0.0102613622142141,1,-4.26692778735655
"ENSG00000084110",-0.00295689511699346,0.00159331924482759,-2.74900957855451,0.0104670791272071,1,-4.28551732863602
"ENSG00000169393",-0.0064483870372549,0.00623384501724138,-2.74081682931795,0.0106729223878059,1,-4.30374715270423
"ENSG00000142609",0.0132698686183007,0.0178641514275862,2.73385621696852,0.010850785710249,1,-4.31921104604792
"ENSG00000237025",-0.00305214563202614,0.00209989903103448,-2.72950310257014,0.0109634287603047,1,-4.32887066632867
"ENSG00000287556",-0.00326628757189542,0.00202490852068966,-2.72415407572899,0.0111033435567543,1,-4.34072819686128
"ENSG00000241669",-0.00129550058888889,0.000402051906896552,-2.71907150498787,0.0112378374825942,1,-4.35198272798804
"ENSG00000287095",-0.00269812581699346,0.00139241468965517,-2.71331532951096,0.0113919986315256,1,-4.36471429361982
"ENSG00000226087",-0.00476260307843137,0.00174575651724138,-2.70725067336188,0.0115565625904043,1,-4.37811138070141
"ENSG00000265917",-0.00211696311111111,0.000656988551724138,-2.69907564636597,0.0117819147727281,1,-4.39614301522114
"ENSG00000237498",-0.00848103619738562,0.00710752533103448,-2.68315696699186,0.0122325724627189,1,-4.43116415118316
"ENSG00000279443",-0.00133351185555556,0.000413848506896552,-2.67933335771573,0.0123431935517671,1,-4.43955816304156
"ENSG00000205882",-0.0027157798254902,0.00168561772068966,-2.67887767991111,0.0123564389637084,1,-4.44055805238135
"ENSG00000224478",-0.00151451821111111,0.000470022893103448,-2.6775590120451,0.0123948442054075,1,-4.443451033558
"ENSG00000186891",-0.00156298993333333,0.00048506584137931,-2.67723089605661,0.0124044176591404,1,-4.44417074711566
"ENSG00000237233",-0.00156298993333333,0.00048506584137931,-2.67723089605661,0.0124044176591404,1,-4.44417074711566
"ENSG00000257579",-0.00277790030261438,0.00171303204482759,-2.6729360631025,0.0125303669010748,1,-4.45358659801684
"ENSG00000221938",-0.00305433866666667,0.000947898206896552,-2.67232849623903,0.012548280411209,1,-4.45491789451097
"ENSG00000285231",-0.00879298088562091,0.0109758382517241,-2.66235344876527,0.0128458260902164,1,-4.47674980475483
"ENSG00000253205",-0.0119075715183006,0.0150271321758621,-2.6563412069044,0.0130283330732594,1,-4.48988535744952
"ENSG00000229288",-0.00587973897973856,0.00378167016896552,-2.65626208514284,0.0130307509373892,1,-4.49005810630588
"ENSG00000223849",-0.00436766052614379,0.00396787603103448,-2.65393117921865,0.0131021687023679,1,-4.49514588183194
"ENSG00000244411",-0.00213073459673203,0.000964356348275862,-2.6480197047993,0.0132849339937818,1,-4.50803731774899
"ENSG00000228329",-0.00138081332222222,0.000428528272413793,-2.64698553071657,0.0133171509465287,1,-4.51029084651488
"ENSG00000261810",-0.00289679733202614,0.00153633315172414,-2.64627699157483,0.013339265648191,1,-4.51183449648464
"ENSG00000241981",-0.00246590866666667,0.000765282,-2.64385055442125,0.0134152585521645,1,-4.51711897218673
"ENSG00000240915",0.00250903685882353,0.00147081471034483,2.6399697958952,0.0135376384470581,1,-4.52556481225301
"ENSG00000283496",0.0162514402176471,0.0238915181689655,2.63901758279608,0.0135678251203616,1,-4.52763602618015
"ENSG00000260495",0.0157526054901961,0.029032358862069,2.63548400430633,0.0136803944169605,1,-4.53531824320985
"ENSG00000275358",-0.0097324289614379,0.0134092837551724,-2.62893196183243,0.0138914292066952,1,-4.54954660050258
"ENSG00000248275",-0.00304429453333333,0.000944781062068966,-2.6286394802154,0.0139009200877026,1,-4.55018125967307
"ENSG00000007968",0.00383316537647059,0.00224702797931034,2.62783894651727,0.0139269278991727,1,-4.55191813174805
"ENSG00000225548",0.00618289534052288,0.00493499472758621,2.62450093970851,0.0140358625700335,1,-4.55915701562498
"ENSG00000160957",0.00539899489738563,0.00532370096896552,2.62246325786718,0.0141027510578918,1,-4.56357328506973
"ENSG00000156006",-0.00132819785555556,0.000412199334482759,-2.61642794154155,0.0143026101895004,1,-4.57664160590836
"ENSG00000227554",-0.00132819785555556,0.000412199334482759,-2.61642794154155,0.0143026101895004,1,-4.57664160590836
"ENSG00000254365",-0.00132819785555556,0.000412199334482759,-2.61642794154155,0.0143026101895004,1,-4.57664160590836
"ENSG00000152475",0.0063831365751634,0.00882036187586207,2.61563794061446,0.014328965266737,1,-4.57835086853456
"ENSG00000230020",-0.00359570582026144,0.00265370984482759,-2.61441386407557,0.0143698907391884,1,-4.5809986958867
