"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000229132",-0.01145160925,0.00290221684705882,-8.96191531014045,1.89754380689918e-07,0.003937005429489,7.36848099758914
"ENSG00000163012",-0.0090939201,0.00201125341176471,-8.82756240582604,2.3045660605198e-07,0.003937005429489,7.16891796881252
"ENSG00000154198",-0.0090939201,0.00214197237058824,-8.34493578566709,4.71269397847313e-07,0.00536728717208304,6.43377825567084
"ENSG00000037897",-0.0166264784916667,0.00670677158235294,-7.08236096315009,3.50913432701033e-06,0.0229391274798671,4.36826895151538
"ENSG00000259642",-0.0179770547916667,0.00705427437647059,-7.0322778020674,3.81634725126314e-06,0.0229391274798671,4.28191807688491
"ENSG00000116748",-0.0449665113833333,0.0159741194941176,-7.00012906606784,4.02829528138855e-06,0.0229391274798671,4.22630761719007
"ENSG00000285492",-0.012086127,0.00293969742941176,-6.47004802030503,1.00220302652998e-05,0.0455569937386199,3.28889454430562
"ENSG00000197483",-0.021308221,0.00846777150588235,-6.43107661468033,1.07328913422072e-05,0.0455569937386199,3.21845225835555
"ENSG00000286774",-0.0253648169916667,0.0113312127294118,-6.36785385279538,1.20002617627412e-05,0.0455569937386199,3.10373249405002
"ENSG00000106992",-0.0283248755833333,0.0177400581764706,-6.22920647005456,1.53578729341499e-05,0.05247324445411,2.85024298199187
"ENSG00000253542",-0.0125303461,0.00295574778823529,-5.96266214337027,2.48617171749846e-05,0.0767251771921209,2.35562067272562
"ENSG00000264019",-0.0335170863333333,0.024899538,-5.87080374955171,2.94175913956487e-05,0.0767251771921209,2.18296628461832
"ENSG00000198618",-0.0136436294666667,0.00274576557647059,-5.82909217131541,3.1765436361855e-05,0.0767251771921209,2.10420045447401
"ENSG00000287959",-0.0085295073,0.0029848254,-5.7656669782911,3.5715678598268e-05,0.0767251771921209,1.98399766466255
"ENSG00000231165",-0.021623464925,0.00774821340588235,-5.74266240473062,3.72718116979813e-05,0.0767251771921209,1.94027097861161
"ENSG00000263438",-0.01260045105,0.00352305708235294,-5.74250993462156,3.72823573412231e-05,0.0767251771921209,1.9399809386928
"ENSG00000253855",-0.01252396905,0.00426701457647059,-5.72976272112795,3.81750815777228e-05,0.0767251771921209,1.91572167455863
"ENSG00000119547",-0.031341350575,0.0196583740058824,-5.63626077800501,4.5441254041817e-05,0.0862550737137091,1.73714293710848
"ENSG00000253853",-0.226277722825,0.115762108905882,-5.59452339575855,4.91351572839371e-05,0.0883579431010673,1.65707145164906
"ENSG00000237070",-0.0180999224166667,0.00681259288823529,-5.55922613735968,5.25019969671992e-05,0.0896917865189147,1.58918473351373
"ENSG00000287672",-0.03043475905,0.00954681885882353,-5.46176087864414,6.3099652807202e-05,0.102663135117318,1.40093054534145
"ENSG00000179520",-0.0411440294583333,0.0127315138588235,-5.33580040431738,8.01722813569137e-05,0.124511197141894,1.1559321765256
"ENSG00000260577",-0.0259482970833333,0.0114259508411765,-5.26239832453506,9.22651578010771e-05,0.125607795407274,1.01229873965627
"ENSG00000112378",-0.0430231347166667,0.0140787936058824,-5.22521788322183,9.90961251693823e-05,0.125607795407274,0.939307187215398
"ENSG00000227946",-0.0453631416666667,0.0270132614117647,-5.21325201367473,0.000101404146193454,0.125607795407274,0.915782744944277
"ENSG00000275263",-0.01197231035,0.00355137138823529,-5.21095005695264,0.000101854493884687,0.125607795407274,0.911255331988832
"ENSG00000227455",-0.041771421875,0.0238849113941176,-5.20842986016829,0.000102349909413269,0.125607795407274,0.906298007007038
"ENSG00000185313",-0.0085295073,0.0028262512,-5.20546404764866,0.000102936115883855,0.125607795407274,0.900463222819189
"ENSG00000078900",-0.050805992175,0.0202986157823529,-5.17840875550012,0.000108446688178643,0.127768896379299,0.847190525482743
"ENSG00000277224",-0.0117773341,0.00333514832941176,-5.12419414593622,0.000120425851508615,0.137153002283161,0.7401959151381
"ENSG00000266599",-0.0136436294666667,0.0033915631,-5.08305863032792,0.000130421998920381,0.143746078616538,0.658799337954203
"ENSG00000252980",-0.0160368773833333,0.00319111914117647,-5.01194790509315,0.000149771366453606,0.157671398374797,0.517664127376026
"ENSG00000105668",-0.00833453105,0.00273172117647059,-5.00340982431828,0.000152286011249694,0.157671398374797,0.500682802402466
"ENSG00000228692",-0.0386418664583333,0.0160130714117647,-4.9370813081669,0.000173366211334767,0.170657681258444,0.368508781558077
"ENSG00000239705",-0.0307481476666667,0.0135777491176471,-4.93282287124145,0.000174818358183204,0.170657681258444,0.360007767840485
"ENSG00000171695",-0.046206921625,0.0180811921176471,-4.89805851881857,0.000187152180349459,0.177623015166666,0.290541455060608
"ENSG00000142273",-0.01198580025,0.00570629604705882,-4.85038810294484,0.000205538536589676,0.186592317404417,0.195095051214246
"ENSG00000261390",-0.0222777402,0.00914074821764706,-4.84550273564471,0.000207525040576224,0.186592317404417,0.185301225062529
"ENSG00000115593",-0.010612683075,0.00423338266470588,-4.82276275885654,0.00021703505645744,0.19013940446106,0.13968422728401
"ENSG00000266728",-0.011287554625,0.00616484072941176,-4.74268187229068,0.000254248454263239,0.211852483151053,-0.0213385109517388
"ENSG00000270688",-0.010043682125,0.00390060262352941,-4.72146679434616,0.000265165722063521,0.211852483151053,-0.0640926798479509
"ENSG00000112578",-0.0236658677916667,0.0142960510588235,-4.71399537808466,0.000269124243696585,0.211852483151053,-0.0791589339970402
"ENSG00000268279",-0.0120424153,0.00385644708235294,-4.70896651571868,0.000271822790352709,0.211852483151053,-0.0893024389037045
"ENSG00000287425",-0.0130855937166667,0.00462179974705882,-4.70711744610557,0.000272821999550628,0.211852483151053,-0.0930326644639665
"ENSG00000248859",-0.0165949131333333,0.00477558961764706,-4.67624821245829,0.000290072075111897,0.220242057563293,-0.155349696818592
"ENSG00000248107",-0.00735799466666667,0.00129846964705882,-4.63052562720999,0.000317705710332115,0.231124244252165,-0.247797366756764
"ENSG00000185963",-0.151046295416667,0.180706192941177,-4.62024430163861,0.00032428323401326,0.231124244252165,-0.268608777810047
"ENSG00000212747",-0.0332656811666667,0.0177076461176471,-4.61286433420715,0.000329090615305373,0.231124244252165,-0.283552454857863
"ENSG00000235621",-0.008649701,0.00152641782352941,-4.60926343722807,0.000331462755534758,0.231124244252165,-0.290845463396964
"ENSG00000100249",-0.023912651175,0.00597100730588235,-4.59635650146079,0.000340110459808821,0.23241108160576,-0.316994632205587
"ENSG00000179630",-0.0220929404916667,0.00966540116470588,-4.57801433991333,0.000352799668268751,0.2363550248184,-0.354177662468063
