"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000204619",-0.115841646583333,0.0677888213529412,-4.87874856914096,0.000207848581228654,1,-0.946603131481301
"ENSG00000285633",-0.0564853874583333,0.0256090994117647,-4.40083279071839,0.000531180619502628,1,-1.91011706563238
"ENSG00000140263",-0.0471149266666667,0.0271408868235294,-4.30197868574904,0.000646828647687606,1,-2.1114660549099
"ENSG00000264057",-0.0934379150416667,0.0337350080588235,-4.24268134623659,0.000728259689494479,1,-2.23249918644426
"ENSG00000248585",-0.040414754,0.0165347921176471,-4.13638521099136,0.000901399951265308,1,-2.44986431331338
"ENSG00000243613",-0.029880251375,0.0135736527647059,-4.01871889975007,0.00114259440632428,1,-2.69094933374797
"ENSG00000103064",0.120874278333333,0.096634745,4.01748532542611,0.00114544402281777,1,-2.6934787771703
"ENSG00000273367",-0.0220959601666667,0.00779857417647059,-3.97806617786037,0.00124040933852056,1,-2.7743243998768
"ENSG00000254538",-0.471920472583333,0.369285122705882,-3.82985185645937,0.00167488835325481,1,-3.0784789529263
"ENSG00000172428",-0.0931214022916667,0.0522805926470588,-3.78479078111795,0.00183542080351319,1,-3.17096095407242
"ENSG00000253829",-0.146057237416667,0.0976383996470588,-3.77651360547351,0.00186655821260153,1,-3.18794727024961
"ENSG00000130725",-0.097390527875,0.0613495661764706,-3.76500717890041,0.00191073237519054,1,-3.21155947830767
"ENSG00000250891",-2.89607481,2.04720426882353,-3.75330744309973,0.00195673182718198,1,-3.23556680870082
"ENSG00000117266",-0.0914035134166667,0.0619045427647059,-3.74578153199386,0.00198691065613865,1,-3.25100869477026
"ENSG00000224825",-0.0202505833333333,0.00714726470588235,-3.74411271141336,0.00199366601811861,1,-3.25443272187352
"ENSG00000272647",-0.0285062168333333,0.0100610177058824,-3.74116111305286,0.00200567086994224,1,-3.26048860686904
"ENSG00000142528",-0.034885764625,0.016097225,-3.56867753833984,0.00284994161573018,1,-3.61401725725321
"ENSG00000285016",-0.0386557895,0.0136432198235294,-3.5613132441094,0.0028930613058603,1,-3.62908908503815
"ENSG00000287568",-0.0193314657083333,0.00757979064705882,-3.5174502472269,0.00316380556714571,1,-3.71880759292471
"ENSG00000128581",-0.043673126875,0.0244397139411765,-3.50954876239821,0.00321521364576214,1,-3.73495934646012
"ENSG00000150667",-0.152349402375,0.0945378132941176,-3.50911647835997,0.00321805018543514,1,-3.73584290131219
"ENSG00000125995",-0.124130066125,0.0750185956470588,-3.5006441656257,0.00327415262468918,1,-3.75315762219895
"ENSG00000132254",-0.0375142844583333,0.0220989512941176,-3.49772370780451,0.00329371786159515,1,-3.75912520697209
"ENSG00000136819",-0.102786541291667,0.081967664,-3.48415528888183,0.00338616580665327,1,-3.78684429535242
"ENSG00000288080",-0.0668399217916667,0.031334439,-3.46989314382001,0.00348614432482687,1,-3.81596914288864
"ENSG00000251294",-0.0409003788333333,0.0195073097058824,-3.45379985707492,0.00360251352638703,1,-3.84881861930763
"ENSG00000284922",-0.0211829844166667,0.00934800517647059,-3.33228195473448,0.00461612831829147,1,-4.09627499284175
"ENSG00000265218",-0.041583825375,0.0216636021176471,-3.28599415675167,0.00507311331928048,1,-4.19021641387661
"ENSG00000267337",-0.0248164627916667,0.0133170946470588,-3.28543477718525,0.00507890273172386,1,-4.19135045811026
"ENSG00000226648",-0.138770443958333,0.131623522647059,-3.28402436216133,0.00509352930754166,1,-4.19420969385896
"ENSG00000159496",-0.0336195677083333,0.0148934114705882,-3.26936608524785,0.00524804447370622,1,-4.22391389453381
"ENSG00000128185",-0.059604755875,0.0353007543529412,-3.24461503071322,0.00551959805876953,1,-4.274021544867
"ENSG00000234890",-0.032103416375,0.0120875379411765,-3.24331918310246,0.00553419379008412,1,-4.27664319880615
"ENSG00000188467",-0.056158271875,0.0286441409411765,-3.24260345640311,0.00554227178073593,1,-4.27809112331709
"ENSG00000131459",0.147149818166667,0.119162745352941,3.23218875616302,0.00566115013033606,1,-4.29915404558181
"ENSG00000188596",-0.0383879500416667,0.0284465783529412,-3.19050157438108,0.00616286402521166,1,-4.38334370821878
"ENSG00000186645",-0.037636975625,0.0178419815294118,-3.18101743604191,0.00628302753658673,1,-4.4024696985165
"ENSG00000198919",-0.1914574325,0.182065685,-3.17583515744682,0.00634966467504248,1,-4.41291592570356
"ENSG00000177993",-0.034723223125,0.0207728744705882,-3.15668052904521,0.00660209956127016,1,-4.45149881852047
"ENSG00000158104",-0.0253143719583333,0.0115630623529412,-3.15500821513184,0.00662460462390259,1,-4.45486519322657
"ENSG00000205323",-0.028940708875,0.016816911,-3.15323961454272,0.00664848808182912,1,-4.45842501375652
"ENSG00000258227",-0.0206983586666667,0.00957606435294118,-3.15179454579928,0.00666806576649243,1,-4.46133334224715
"ENSG00000275390",-0.038364414,0.0174996575882353,-3.12885679435121,0.00698657331166162,1,-4.5074620444719
"ENSG00000257000",-0.022488031375,0.00869387264705882,-3.11423307008335,0.00719744013314695,1,-4.53683518652171
"ENSG00000143473",-0.07480629225,0.0499014791764706,-3.1081569910812,0.00728689261250307,1,-4.54903117697095
"ENSG00000234171",-0.0321591205,0.0136210391176471,-3.10740281461073,0.00729807200017003,1,-4.55054462248782
"ENSG00000119917",-0.249179257291667,0.171520650294118,-3.10465852730543,0.00733889458466986,1,-4.5560510757162
"ENSG00000146918",-0.0970617644583334,0.0586835714705882,-3.10009979041155,0.00740720706316182,1,-4.56519597698423
"ENSG00000269102",-0.0573119499166667,0.0342184833529412,-3.08685199249217,0.00760930844237683,1,-4.59175498985984
"ENSG00000164035",-0.21324597725,0.180604111235294,-3.07977439968573,0.00771950124951693,1,-4.60593398270318
"ENSG00000233739",-0.0778794741666667,0.0382171464705882,-3.07596904048897,0.00777939718130791,1,-4.61355456208829
"ENSG00000273118",0.0989815586666667,0.0935309731176471,3.07220789449922,0.00783904764955062,1,-4.6210845641717
"ENSG00000188523",-0.0386629309166667,0.0151595811176471,-3.06084389363926,0.00802203071367938,1,-4.64382343332514
"ENSG00000272277",-0.0244290740833333,0.0108598777647059,-3.04758722993353,0.0082408153784329,1,-4.67032546860089
"ENSG00000240074",-0.0270529112083333,0.0103050067058824,-3.03147626866076,0.00851463199119058,1,-4.70249814608208
"ENSG00000231105",-0.02346285325,0.00979484782352941,-3.02219428770433,0.0086764324589632,1,-4.72101567230642
"ENSG00000234715",-0.0592385985416667,0.0291925788235294,-3.01384282373203,0.00882459613329198,1,-4.73766533036867
"ENSG00000102271",0.061243577625,0.0452191417058823,3.01166460964895,0.00886364743644531,1,-4.74200605672427
"ENSG00000095574",-0.11870635,0.113764319411765,-3.01074188703902,0.00888024133746995,1,-4.74384462352592
"ENSG00000245832",-0.111653380791667,0.118524730352941,-3.0038356038491,0.00900541529452705,1,-4.7576013970273
"ENSG00000104112",-0.0876687689583334,0.0690210905882353,-2.98308210101978,0.00939209570639676,1,-4.7988943049419
"ENSG00000264472",-0.0375081424583333,0.0209820462941176,-2.97612472240669,0.0095253414698999,1,-4.8127214133093
"ENSG00000185101",-0.030805511,0.0142580318235294,-2.97411543893307,0.00956416699027494,1,-4.81671316142605
"ENSG00000162430",-0.0473244591666667,0.0321997072941176,-2.9717355920863,0.00961035398012432,1,-4.82144021212693
"ENSG00000112159",0.155474375833333,0.37716597,2.97141879799303,0.00961651866826243,1,-4.82206938304752
"ENSG00000134986",-0.18461151475,0.112969082117647,-2.97134954209625,0.00961786687775287,1,-4.82220692690513
"ENSG00000178078",-0.033997355875,0.0155571077647059,-2.96880304003352,0.00966756887178075,1,-4.82726377767318
"ENSG00000236130",-0.0307983694166667,0.0127416704705882,-2.96428940252961,0.00975628514058748,1,-4.8362242689538
"ENSG00000164307",-0.544422033333333,0.6099671,-2.95994480891164,0.00984243328553429,1,-4.8448458913476
"ENSG00000273253",-0.027101473875,0.0103221464705882,-2.94607128670778,0.0101225555513522,1,-4.87235538178181
"ENSG00000205643",-0.030271323,0.0140694948823529,-2.93389718795636,0.0103747936711528,1,-4.89646736152458
"ENSG00000230292",-0.026126652,0.00922117129411765,-2.92943839390844,0.0104687093008953,1,-4.90529184421695
"ENSG00000275381",-0.026126652,0.00922117129411765,-2.92943839390844,0.0104687093008953,1,-4.90529184421695
"ENSG00000127337",-0.0650865279583334,0.0522391594705882,-2.91782602802671,0.0107172270694455,1,-4.9282572837586
"ENSG00000103363",-0.185069290833333,0.162418866470588,-2.91584002126145,0.0107603045374041,1,-4.93218249792515
"ENSG00000269148",-0.0372653297916667,0.0169370715294118,-2.89927347965732,0.0111263064219312,1,-4.96489686722198
"ENSG00000003096",-0.19224532875,0.17289162,-2.89000097659778,0.011336449829266,1,-4.98318513674762
"ENSG00000196544",-0.03030660225,0.0184137283529412,-2.88853832051065,0.011369950592735,1,-4.98606846561015
"ENSG00000228553",-0.0301292059166667,0.0187355325882353,-2.88194600094549,0.0115221464976875,1,-4.99905881832626
"ENSG00000147592",-0.0381915879583333,0.0221801462941176,-2.87174381712093,0.0117616156868483,1,-5.01914603232483
"ENSG00000130244",-0.0563735190416667,0.0349171933529412,-2.87136697856834,0.0117705534631137,1,-5.0198876082548
"ENSG00000282840",-0.016511267,0.005827506,-2.8691082292009,0.0118242652231959,1,-5.02433199271533
"ENSG00000198455",-0.016511267,0.005827506,-2.8691082292009,0.011824265223196,1,-5.02433199271533
"ENSG00000234263",-0.0919748954166667,0.0404223898823529,-2.86185944400387,0.0119982589090803,1,-5.03858817373616
"ENSG00000132153",-0.16457098,0.199003876470588,-2.85792630870315,0.0120937101636673,1,-5.0463191337737
"ENSG00000068079",-0.0598443437083333,0.0287075579411765,-2.85509041219213,0.0121629925904323,1,-5.05189146021229
"ENSG00000254746",-0.036810413,0.0129919104705882,-2.85026617491638,0.0122817421886114,1,-5.06136704417908
"ENSG00000137273",-0.16551696125,0.179722155882353,-2.84919516820157,0.0123082582955644,1,-5.06347004292737
"ENSG00000274026",-0.0174932303333333,0.0084448425882353,-2.8485524168819,0.0123241984170979,1,-5.06473202080081
"ENSG00000249593",-0.089214944125,0.0932521797647059,-2.84130525131526,0.0125053263722718,1,-5.07895534094007
"ENSG00000073536",-0.017045455,0.00601604294117647,-2.8384763652995,0.0125767308502815,1,-5.08450443831693
"ENSG00000222320",-0.017045455,0.00601604294117647,-2.8384763652995,0.0125767308502815,1,-5.08450443831693
"ENSG00000258551",-0.017045455,0.00601604294117647,-2.8384763652995,0.0125767308502815,1,-5.08450443831693
"ENSG00000259583",-0.017045455,0.00601604294117647,-2.8384763652995,0.0125767308502815,1,-5.08450443831693
"ENSG00000112855",-0.0473950179166667,0.0321665031764706,-2.83786617616395,0.0125921848039922,1,-5.08570116194922
"ENSG00000178896",-0.0280543,0.0166725147058824,-2.83688573039142,0.0126170548477902,1,-5.08762388642115
"ENSG00000108821",-0.0861192539583333,0.0407155806470588,-2.833501198961,0.0127032756218793,1,-5.09425968537285
"ENSG00000137573",-0.0257417220416667,0.0126433546470588,-2.81339017941168,0.0132275712717824,1,-5.13364104301443
