"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000157214",-0.360575742916667,0.158003785176471,-6.87324689561383,5.66807659205833e-06,0.105423814120517,3.01878967652158
"ENSG00000124813",-1.00584537,0.676277713529412,-6.44161972574345,1.18037716234581e-05,0.105423814120517,2.25239186115901
"ENSG00000176293",-0.316308412708333,0.115029441176471,-6.30192275404008,1.50490868036303e-05,0.105423814120517,1.99900339557376
"ENSG00000173442",-0.612366379583333,0.332296451764706,-6.24552043687112,1.66124037945342e-05,0.105423814120517,1.89596158520275
"ENSG00000122085",-0.570213269166667,0.320626317058824,-6.20688261308885,1.77805844154921e-05,0.105423814120517,1.82513007049125
"ENSG00000164815",-0.375253251541667,0.235239153588235,-6.18397913736187,1.85132696673136e-05,0.105423814120517,1.78304965076622
"ENSG00000122515",-0.319837395916667,0.149314822411765,-5.88699507699443,3.14576767930594e-05,0.153544920426923,1.2311613610307
"ENSG00000164687",-0.281855945,0.0816193284705882,-5.77930828854658,3.82395983305134e-05,0.161785789925833,1.02822009916387
"ENSG00000165566",-0.282219060166667,0.110380034823529,-5.66958015937161,4.67319343950722e-05,0.161785789925833,0.819916076192442
"ENSG00000197312",-0.34394746125,0.203428510470588,-5.66240560672142,4.73514765492531e-05,0.161785789925833,0.806243460767641
"ENSG00000265107",-0.435633251375,0.127069823823529,-5.41057850860911,7.55092864072121e-05,0.213163756679849,0.322326542613864
"ENSG00000130640",-0.287334838541667,0.165278592058824,-5.35268516171633,8.41607095546371e-05,0.213163756679849,0.210000372423233
"ENSG00000205978",-0.309421181958333,0.134347551235294,-5.31743408092979,8.99264179910124e-05,0.213163756679849,0.141413647675842
"ENSG00000225526",-0.291201877333333,0.0746247133529412,-5.27459552728696,9.7488607747638e-05,0.213163756679849,0.0578714934173892
"ENSG00000150712",-0.374558745,0.268636404117647,-5.25716644456449,0.000100751240099587,0.213163756679849,0.0238219960807609
"ENSG00000079156",-0.841304853833334,0.310340106176471,-5.2545690046435,0.000101247068132543,0.213163756679849,0.0187446820228168
