"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000124813",1.03772615166667,0.676277713529412,6.36285963838324,1.3531664336422e-05,0.160868729196786,2.15212289726575
"ENSG00000122085",0.609934056666667,0.320626317058824,6.35659900672691,1.36799123640026e-05,0.160868729196786,2.1407593804449
"ENSG00000176293",0.3242082025,0.115029441176471,6.18432138234326,1.85020921743138e-05,0.160868729196786,1.82601502715543
"ENSG00000157214",0.338309857,0.158003785176471,6.17427272301245,1.88332284598339e-05,0.160868729196786,1.80753493438011
"ENSG00000164687",0.299903799333333,0.0816193284705882,5.8875736041055,3.14248351186655e-05,0.214738468299889,1.27469043439178
"ENSG00000197312",0.366698133666667,0.203428510470588,5.7799394163153,3.8195693624025e-05,0.21750537734201,1.07189407174476
"ENSG00000198453",0.460613471666667,0.266911738235294,5.57274510243743,5.58557816631215e-05,0.232360267632327,0.677387797046505
"ENSG00000079156",0.9297392385,0.310340106176471,5.5596901059253,5.72205763735394e-05,0.232360267632327,0.652351885495419
"ENSG00000173442",0.565638075,0.332296451764706,5.52333837492761,6.1206497751952e-05,0.232360267632327,0.582529391304682
"ENSG00000165566",0.27789572,0.110380034823529,5.34505448179185,8.53754229402591e-05,0.287971396321379,0.237790397193141
"ENSG00000265107",0.445808830666667,0.127069823823529,5.30123513839064,9.27118377245636e-05,0.287971396321379,0.152486254198482
"ENSG00000160460",-0.13453214,0.121950622705882,-5.17879157289907,0.000116882154767438,0.332792715161588,-0.0870368152685685
"ENSG00000167562",0.3008426755,0.149878646882353,5.00873579654963,0.000161752770037291,0.407367391982031,-0.422423224293309
"ENSG00000144815",0.281394533666667,0.137990774941176,4.84748481795433,0.000220835182085666,0.407367391982031,-0.743191144494729
"ENSG00000204262",1.08471619333333,0.715367624117647,4.84435366685003,0.000222181115611859,0.407367391982031,-0.749444791614683
"ENSG00000225526",0.277278280166667,0.0746247133529412,4.80857686790307,0.000238173990153352,0.407367391982031,-0.820964579456345
"ENSG00000130640",0.265440578333333,0.165278592058824,4.73430733881488,0.000275273190053594,0.407367391982031,-0.969806436599214
"ENSG00000131732",0.2867410405,0.103364775411765,4.73398015004443,0.000275449179456483,0.407367391982031,-0.970463234523303
"ENSG00000133704",0.530959787833333,0.332579294294118,4.73132306816205,0.000276882676080215,0.407367391982031,-0.975797400634214
"ENSG00000223804",0.280074092833333,0.129059231411765,4.72140425420172,0.000282302067538753,0.407367391982031,-0.995715131098081
"ENSG00000122515",0.267334515833333,0.149314822411765,4.71113105807634,0.000288030269950878,0.407367391982031,-1.01635347402608
"ENSG00000144115",0.427271810333333,0.100165432,4.66306268447807,0.000316464855085882,0.407367391982031,-1.11303985151146
"ENSG00000127922",2.33097923166667,1.61295024764706,4.65077149603555,0.000324188881278801,0.407367391982031,-1.13779377022858
"ENSG00000172348",2.93303698666667,1.92342592235294,4.63108148577601,0.00033696878258044,0.407367391982031,-1.1774743319869
"ENSG00000133243",0.530462603666667,0.209664382823529,4.62652953381728,0.000339996255201448,0.407367391982031,-1.18665217856119
"ENSG00000140548",0.302311133166667,0.253518203,4.59405653648876,0.000362420908010157,0.407367391982031,-1.25217349359819
"ENSG00000205978",0.278656531666667,0.134347551235294,4.58486994429676,0.000369036592752932,0.407367391982031,-1.27072444609708
"ENSG00000108094",0.531884794333333,0.283305707294118,4.55652816340077,0.000390239260476789,0.407367391982031,-1.32799725048581
"ENSG00000174799",0.3174025055,0.143232385411765,4.54868497460233,0.000396324945220557,0.407367391982031,-1.3438574204848
"ENSG00000090316",0.250323753,0.236555836,4.54608820185457,0.000398361230770607,0.407367391982031,-1.34910951779064
"ENSG00000071626",0.568149443666667,0.282388970470588,4.53894557813484,0.000404017767144759,0.407367391982031,-1.36355839648514
"ENSG00000124766",0.244167870166667,0.0754013586470588,4.53818561762496,0.000404624443718638,0.407367391982031,-1.36509594946298
"ENSG00000233672",0.295133110166667,0.103113530529412,4.52693193681912,0.000413718494565506,0.407367391982031,-1.38786937212313
"ENSG00000180304",0.486071815666667,0.265988608588235,4.52348476312472,0.000416545902492199,0.407367391982031,-1.39484706811902
"ENSG00000101224",0.302461429,0.132191556823529,4.52257050158709,0.000417299110819536,0.407367391982031,-1.3966978417285
"ENSG00000161542",0.899880235,0.52277986,4.4349787115402,0.000496346522075813,0.457484027775521,-1.57428513892196
"ENSG00000204438",0.275245590166667,0.0704568274705882,4.4215307200304,0.000509777413297539,0.457484027775521,-1.60159595095037
"ENSG00000223511",0.06878307,0.0121381888235294,4.39119230392957,0.000541461624395823,0.457484027775521,-1.66325094437279
