"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000066827",-0.673560973472222,0.369497283333333,-5.7135027875789,6.13773834367032e-06,0.209708105988184,1.71558871959145
"ENSG00000067141",-0.323820468097222,0.251927141333333,-4.0753177222743,0.000413405875726772,1,-2.50604113606684
"ENSG00000065491",-0.269488270458333,0.171607429333333,-3.58562084439359,0.00143621403574363,1,-3.73091421619081
"ENSG00000161217",-0.424437671854167,0.221551389,-3.57122735442382,0.00148911816283569,1,-3.76624503121844
"ENSG00000132256",-0.337769215416667,0.309403477407407,-3.45573994252816,0.00198829324698121,1,-4.04801812646116
"ENSG00000270231",-0.249847631013889,0.150445763925926,-3.44719016137738,0.00203113165045294,1,-4.06875235616513
"ENSG00000261371",-0.658770510486111,0.680772718888889,-3.44460881903485,0.00204424091129746,1,-4.0750088666171
"ENSG00000144834",-0.139385334479167,0.0711192061111111,-3.43741761108414,0.00208119666133179,1,-4.09242977607349
"ENSG00000146535",-0.473003278611111,0.458720595185185,-3.25632434787657,0.00325770227624878,1,-4.52664843882041
"ENSG00000139146",-0.312245736111111,0.211924648148148,-3.25401271431957,0.00327625379261653,1,-4.53213227198551
"ENSG00000123159",-0.163283336909722,0.120913987592593,-3.20376995322771,0.00370560044820586,1,-4.65093048330131
"ENSG00000138050",-0.468767405625,0.382347290740741,-3.17615904296553,0.00396413981354922,1,-4.71589030990383
"ENSG00000091527",-0.298570608819444,0.314661288518519,-3.1569804918936,0.00415385194249086,1,-4.76087188244247
"ENSG00000168228",-0.298621398916667,0.15328037162963,-3.10301968174018,0.00473562972544938,1,-4.88680181999149
"ENSG00000285082",-0.754363069930555,0.477143047037037,-3.08845625317952,0.00490558721116366,1,-4.92062587117742
"ENSG00000158669",-0.279797208055556,0.245965940592593,-3.05096425760547,0.00537045743474577,1,-5.00737463833824
"ENSG00000171566",-0.330849534673611,0.177543178111111,-3.04183831672091,0.00548983890648756,1,-5.02841765262115
"ENSG00000121481",0.266927927222222,0.248483211111111,3.02540695939928,0.00571121767507234,1,-5.06623309304342
"ENSG00000137959",-2.79202378513889,1.94705092259259,-3.0245214300182,0.0057233876919058,1,-5.06826839363774
"ENSG00000148943",-0.125555588208333,0.0809171762222222,-3.01088657388555,0.00591393349860406,1,-5.09957195953774
"ENSG00000114742",-0.265262664583333,0.26760772962963,-2.99298950824346,0.00617325931903346,1,-5.14056096543131
"ENSG00000123353",-0.131606240666667,0.0612974991481481,-2.94855993529576,0.00686478155814634,1,-5.24181677039264
"ENSG00000183513",-0.231604648694444,0.112759678444444,-2.92609454204997,0.0072419544772623,1,-5.29273903314278
"ENSG00000063127",-0.111755421215278,0.0492058381481481,-2.91293994773433,0.00747187865453141,1,-5.32246856484465
"ENSG00000119004",0.429991908472223,0.517742366666667,2.89491050996072,0.00779830734649129,1,-5.36310840555798
"ENSG00000130844",-1.42559612226389,0.982843120962963,-2.88298741816315,0.00802157399180995,1,-5.3899154499759
"ENSG00000257647",-0.0790173909583333,0.0493900917777778,-2.8542048213723,0.00858581391420467,1,-5.45440010478205
"ENSG00000011243",-0.279998168541667,0.254394915555556,-2.84680929054182,0.00873675719645057,1,-5.47091640660986
"ENSG00000130775",-0.354359045,0.406087387037037,-2.83733309217536,0.00893384446423115,1,-5.49204761506039
"ENSG00000104972",-0.263093561569444,0.281872868962963,-2.83558339570581,0.00897069246272831,1,-5.49594538175145
"ENSG00000281593",-0.371579363680555,0.570044984074074,-2.82851511660778,0.00912101817748646,1,-5.51167875156406
"ENSG00000224220",-0.0671863952222222,0.024565603962963,-2.79713786946418,0.00981758682139856,1,-5.58127749259029
"ENSG00000088888",-0.471484791805555,0.353343474296296,-2.79638038391016,0.00983500892782601,1,-5.58295271963095
"ENSG00000254377",-0.123176649270833,0.0678216335555556,-2.79170503234607,0.00994318995150129,1,-5.59328732225159
"ENSG00000174460",-0.0220274011111111,0.00734246703703704,-2.7860594954173,0.0100753180526298,1,-5.60575443354537
"ENSG00000134490",-0.388243591111111,0.493434147407407,-2.78058122383529,0.0102051153278564,1,-5.61783954262778
"ENSG00000100564",-0.0956279028402778,0.0645105147777778,-2.77815042885996,0.0102632126677184,1,-5.62319789898304
"ENSG00000113460",-0.0795172930833333,0.0406403729259259,-2.7730646670025,0.010385776626127,1,-5.63440079954031
"ENSG00000101605",0.120914309819445,0.117866485037037,2.76730539921839,0.0105262390829096,1,-5.64707423863755
"ENSG00000143183",-0.166143653194444,0.129375225185185,-2.76553695969246,0.010569727849739,1,-5.65096295115631
"ENSG00000185507",-0.231043813333333,0.105836737259259,-2.76079448209908,0.0106871911403471,1,-5.6613849375184
"ENSG00000183715",0.491991102430556,0.594615711111111,2.76036070708588,0.0106979962579549,1,-5.66233772120614
"ENSG00000170275",-0.226606539979167,0.15632594862963,-2.75426849416232,0.010850842629458,1,-5.67571083128474
"ENSG00000119917",-0.279786569701389,0.153705303444444,-2.71658445959407,0.0118429801089042,1,-5.75808003588509
"ENSG00000271795",-0.0574504340555556,0.0247167233333333,-2.70606803432853,0.0121347271636085,1,-5.78095735813515
"ENSG00000125871",-0.336446327611111,0.280230986,-2.70041990713509,0.0122941929320973,1,-5.79322431357873
"ENSG00000254929",-0.406734069722222,0.259864621333333,-2.69631924973153,0.0124111998180833,1,-5.80212161635372
"ENSG00000250116",-0.575712446944444,0.342637640592593,-2.68123112898143,0.0128507846164297,1,-5.83479491314358
"ENSG00000110274",-0.217128643409722,0.155094102259259,-2.67813591848664,0.0129427500626232,1,-5.84148512589623
"ENSG00000249700",-0.111629624847222,0.0443632956666667,-2.66845594802922,0.0132343638396864,1,-5.86238057698855
"ENSG00000118689",-1.36292031409722,2.21462251962963,-2.66684784887931,0.0132834013897083,1,-5.86584780920742
"ENSG00000163875",-0.247503870486111,0.252314383333333,-2.66022450753763,0.0134871755187871,1,-5.88011621002068
"ENSG00000161267",-0.0799346507152778,0.052723809962963,-2.6596464364367,0.0135050988145111,1,-5.88136059038771
"ENSG00000250125",0.172853228243056,0.115770056444444,2.6496852156829,0.0138174773358463,1,-5.90277986593509
"ENSG00000099139",-0.306796176180555,0.228803691111111,-2.64947960573856,0.0138239958790848,1,-5.90322150964329
"ENSG00000154511",-0.605749960666667,0.319304254888889,-2.63811339493051,0.0141888562953427,1,-5.92760591609282
"ENSG00000122729",-0.405747814347222,0.284047930074074,-2.6343585379982,0.0143113561105524,1,-5.93564843700515
"ENSG00000011260",-0.378895969027778,0.351806210740741,-2.63350560977611,0.0143393199265257,1,-5.93747442430606
