"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000179091",0.369318181666667,0.06484375,7.33629206135138,3.9245223421164e-06,0.10211217584849,3.21158612007858
"ENSG00000274767",0.669786111666667,0.139496335375,6.89786439921327,7.75888204354836e-06,0.10211217584849,2.49409133766853
"ENSG00000137288",0.378119431666667,0.090449533125,6.80691535942823,8.96585967587054e-06,0.10211217584849,2.34206446272633
"ENSG00000125868",0.512589141666666,0.15014974475,6.53287003251596,1.39551346272464e-05,0.119201271202282,1.87729012674647
"ENSG00000246985",0.329545456166667,0.0446496214375,6.00148230478584,3.3889354208577e-05,0.23157951304889,0.947351060490991
"ENSG00000005189",0.323863637666667,0.046780303375,5.79366870419127,4.84595357005955e-05,0.268982028933762,0.57343884114645
"ENSG00000140538",0.447072533333333,0.127301448125,5.71979902816005,5.51079756061796e-05,0.268982028933762,0.439163684148388
"ENSG00000261716",0.357954545,0.07876046625,5.5397706853496,7.56241907695997e-05,0.322981465753114,0.108973128153277
"ENSG00000166926",0.650178251666667,0.16766267125,5.44460202293105,8.95569927255681e-05,0.338843259373672,-0.0672379451784622
"ENSG00000167037",1.85884580883333,0.4112636654375,5.35616771970816,0.000104911060163119,0.338843259373672,-0.231989450703116
"ENSG00000163239",0.97669856,0.35867824125,5.33442894158077,0.000109089936286779,0.338843259373672,-0.272635316812302
"ENSG00000143977",0.348356301666667,0.1142029120625,5.18745315846942,0.000142297035351411,0.394115054249147,-0.548933586994339
"ENSG00000197360",0.309937612833333,0.0535650626875,5.15864979932307,0.000149954508889833,0.394115054249147,-0.603380242273167
"ENSG00000162300",0.308043673333333,0.05834601375,5.06950657295938,0.000176486028202808,0.430714151828953,-0.772493134549637
"ENSG00000100368",0.329823975,0.095819846875,4.98293684011733,0.00020694139595633,0.47137111170933,-0.937581992472226
"ENSG00000189308",1.212446865,0.318058455,4.91019612687397,0.000236734629624442,0.490801653147443,-1.07693313515089
"ENSG00000149927",0.687165771666667,0.1967611,4.89345342217999,0.000244201366918563,0.490801653147443,-1.1090876174943
"ENSG00000213983",0.350584466666667,0.143336449375,4.69493397694803,0.000353834875400048,0.671637565988525,-1.49252974595172
"ENSG00000235706",0.283246778333333,0.070769849375,4.65363315825109,0.000382442136171487,0.687731603503747,-1.57278628788571
"ENSG00000112078",0.657201253333333,0.318861781875,4.58058398374978,0.000439033603412394,0.722974838533517,-1.71511932262203
"ENSG00000133256",0.311553031666667,0.074642395,4.55013577328258,0.000465111274542952,0.722974838533517,-1.77458574282998
"ENSG00000121486",0.59113189,0.235537455,4.51218232826003,0.000499869014853642,0.722974838533517,-1.84882094481171
"ENSG00000181619",0.590574866666667,0.12550287625,4.49678533168665,0.000514723027336194,0.722974838533517,-1.87897102681984
"ENSG00000175395",0.657754013333333,0.239819269375,4.48593959784393,0.000525458717193192,0.722974838533517,-1.90022057457921
"ENSG00000174165",0.308043673333333,0.073498775,4.48241121506506,0.000529000818431174,0.722974838533517,-1.90713563137705
"ENSG00000114054",0.306762475,0.096915826,4.43928096060412,0.000574340917409965,0.740076709061263,-1.9917441842338
"ENSG00000167671",0.31439394,0.0789261866875,4.41393798599294,0.00060283042740689,0.740076709061263,-2.04152710659885
"ENSG00000228222",0.313884031666667,0.0924945948125,4.40461172568585,0.000613677225151346,0.740076709061263,-2.05985959524433
"ENSG00000152926",0.538512963333333,0.35799709125,4.38057360898908,0.000642569896724404,0.740076709061263,-2.10714080986174
"ENSG00000183960",0.354706571666667,0.1215940379375,4.36017067556068,0.000668189587819847,0.740076709061263,-2.14730498528216
"ENSG00000253836",0.2897727285,0.0387310608125,4.31939878012875,0.000722579506135638,0.740076709061263,-2.22765461298597
"ENSG00000172943",1.01062234333333,0.33820287375,4.31756894733949,0.000725124595851053,0.740076709061263,-2.23126337147805
"ENSG00000188549",0.291666668,0.04131030725,4.30168900613293,0.000747602212080661,0.740076709061263,-2.26259092318729
"ENSG00000227964",0.2897727285,0.0404580345625,4.27638563554904,0.000784907534090022,0.740076709061263,-2.31254318258227
"ENSG00000144730",0.291666668,0.0447679926875,4.27603285009087,0.000785440951126981,0.740076709061263,-2.31323992186395
"ENSG00000180596",0.926016366666666,0.3492163925,4.26475723230784,0.000802687303364534,0.740076709061263,-2.33551306069086
"ENSG00000183111",0.572063961666666,0.1648520091875,4.25169255464059,0.000823156932218856,0.740076709061263,-2.36133020803517
"ENSG00000163629",0.30804367,0.164546171875,4.21601729089206,0.000881824441284448,0.740076709061263,-2.43188136783118
"ENSG00000286021",0.291666668,0.044483901625,4.20659069181971,0.000898031004090133,0.740076709061263,-2.45053596472494
"ENSG00000224699",0.562547116666666,0.309209048125,4.18995845236916,0.000927374337108366,0.740076709061263,-2.48346247620465
"ENSG00000069509",0.279968806833333,0.0408450314375,4.12651456066622,0.00104862653588835,0.740076709061263,-2.60919959077144
"ENSG00000111639",0.281862746333333,0.042478554125,4.12522882937314,0.00105124502684347,0.740076709061263,-2.61174989171819
"ENSG00000108469",0.302361853333333,0.09724404,4.10976465374943,0.00108326830970703,0.740076709061263,-2.64243008510367
"ENSG00000162430",0.279968806833333,0.0439700314375,4.10588663988503,0.00109145432800987,0.740076709061263,-2.6501256977585
"ENSG00000143786",1.09308154833333,0.264568600625,4.08224420067721,0.001142748168588,0.740076709061263,-2.69705752520121
"ENSG00000111052",0.285984849666667,0.05224780725,4.07919058364952,0.00114955063035877,0.740076709061263,-2.7031210294792
"ENSG00000102043",1.06807040333333,0.27565357125,4.03609372335562,0.00125009343430337,0.740076709061263,-2.78874071969298
"ENSG00000197928",0.2897727285,0.0489807620625,3.98354905997242,0.0013849313698275,0.740076709061263,-2.89323011320541
"ENSG00000255672",0.276952215166667,0.0474450033125,3.97972342978115,0.00139531034889961,0.740076709061263,-2.90084158123225
"ENSG00000231253",0.278409093,0.0481770833125,3.95960559825646,0.00145121069432692,0.740076709061263,-2.94087596321158
"ENSG00000204311",0.271446079666667,0.044041054125,3.95624873654752,0.00146075822367969,0.740076709061263,-2.94755736347466
"ENSG00000166454",0.276952215166667,0.0482262533125,3.93966900360607,0.00150886188034136,0.740076709061263,-2.98056221851939
"ENSG00000138829",0.2736742435,0.052460875625,3.93807388506445,0.0015135742222523,0.740076709061263,-2.98373800984967
"ENSG00000213762",0.269552140166667,0.0455325314375,3.93271836159759,0.00152950566008044,0.740076709061263,-2.99440108950668
"ENSG00000132849",1.07357654666667,0.26108877125,3.93181946922162,0.00153219635799597,0.740076709061263,-2.99619090293516
"ENSG00000144504",1.32133982333333,0.401195641875,3.91958584382641,0.00156929908814175,0.740076709061263,-3.02055188407059
"ENSG00000162241",0.2780748675,0.055498141625,3.90978805467017,0.0015996736070049,0.740076709061263,-3.04006523074408
"ENSG00000196123",0.272393049,0.0519955998125,3.9032755518826,0.00162019395980451,0.740076709061263,-3.05303693222116
"ENSG00000120093",0.279968806833333,0.0536739789375,3.88669159231442,0.00167366761014978,0.740076709061263,-3.0860737377965
"ENSG00000141425",0.972606466666667,0.51397325,3.86858151054803,0.00173411763787159,0.740076709061263,-3.12215776727906
"ENSG00000151176",0.284806493333333,0.093504085375,3.85256470866113,0.00178943029438054,0.740076709061263,-3.1540765156088
"ENSG00000253394",0.310271836666667,0.0974264704375,3.84158608353475,0.00182837767195277,0.740076709061263,-3.17595775842687
"ENSG00000112320",0.808017993333333,0.326417861,3.82492610895426,0.00188913340719168,0.740076709061263,-3.20916615642074
"ENSG00000155545",0.275568183,0.0562736745625,3.81993957986038,0.00190771444027861,0.740076709061263,-3.21910663723467
"ENSG00000131437",-0.28967846,0.1561872375,-3.80780260710302,0.00195371983601731,0.740076709061263,-3.24330269771218
"ENSG00000204272",1.45446833333333,0.63239785,3.79310517149685,0.00201094283466274,0.740076709061263,-3.27260564235174
"ENSG00000102054",0.275336796666667,0.093857953125,3.79173116374797,0.00201637866560099,0.740076709061263,-3.27534518376205
"ENSG00000159111",0.276952215166667,0.0566044435,3.7892944119717,0.00202605563682483,0.740076709061263,-3.28020370531654
"ENSG00000120685",1.30523276,0.260631168125,3.7814782460119,0.00205741507827136,0.740076709061263,-3.2957883606812
"ENSG00000148153",0.244858083333333,0.1111836016875,3.77777011644232,0.0020724644863827,0.740076709061263,-3.3031821902043
"ENSG00000115993",0.54721993,0.200091816875,3.76947486942178,0.00210653658718695,0.740076709061263,-3.31972290336534
"ENSG00000170364",0.270499109666667,0.056327986,3.76712108668518,0.00211630773859461,0.740076709061263,-3.3244164346626
"ENSG00000152332",0.776853655,0.264832687875,3.76260567351847,0.00213518132706116,0.740076709061263,-3.33342044030045
"ENSG00000101605",0.345134031666667,0.13605021625,3.76199958713446,0.00213772762562911,0.740076709061263,-3.33462902269721
"ENSG00000165661",0.268605171333333,0.0582680276875,3.7617168090259,0.00213891669099289,0.740076709061263,-3.33519290452744
"ENSG00000177076",0.5659536555,0.1361089373125,3.75555636715091,0.00216498822310019,0.740076709061263,-3.34747742316046
"ENSG00000114784",0.310271836666667,0.1134290125,3.75442174570849,0.00216982509067202,0.740076709061263,-3.34973999028675
"ENSG00000148700",0.582099288333333,0.27209355625,3.73645444520495,0.00224789735533223,0.740076709061263,-3.38556958288602
"ENSG00000104427",1.015961365,0.374047134125,3.72915454467107,0.00228042561419693,0.740076709061263,-3.40012698459154
"ENSG00000100372",0.328542781666667,0.1363782975,3.72651940363069,0.00229228465916887,0.740076709061263,-3.40538198139669
"ENSG00000177807",0.264204546333333,0.0527225383125,3.71678848398003,0.0023366215120527,0.740076709061263,-3.42478741214513
"ENSG00000126790",0.257622891666667,0.1109883558125,3.70685743185468,0.00238276675900639,0.740076709061263,-3.44459190165672
