"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000216895",-0.00771940218496732,0.00379815753448276,-3.73129988646543,0.000878942094158006,1,-1.06040145926988
"ENSG00000226145",-0.0316570351895425,0.0182242625517241,-3.56498355307932,0.00135719946752319,1,-1.47652374880851
"ENSG00000164488",-0.0123261923470588,0.00965061745172414,-3.4912886762346,0.00164269217579921,1,-1.65877134428002
"ENSG00000262585",-0.00731608992614379,0.0025368659,-3.39786731940533,0.002089211827427,1,-1.88772640171826
"ENSG00000231427",0.0175897967895425,0.0167633090827586,3.3887788395935,0.00213844841119641,1,-1.90987017449925
"ENSG00000235931",-0.0048718474496732,0.00185691824137931,-3.29842136001613,0.00269301239853806,1,-2.12870179419195
"ENSG00000243137",-0.0116385091098039,0.00803507009655172,-3.21672305453965,0.00331179060681913,1,-2.32439507164501
"ENSG00000238172",-0.00302510665620915,0.00105841426896552,-3.17497913296997,0.00367857725850781,1,-2.42354641228908
"ENSG00000236935",-0.0182312363470588,0.0128688365275862,-3.15488789931377,0.0038687029441141,1,-2.47105824703564
"ENSG00000283071",-0.00511577932614379,0.00209292013448276,-3.12801193710865,0.00413779472329489,1,-2.53439722880827
"ENSG00000277851",-0.0260050802124183,0.0196596859137931,-3.12261164208298,0.00419398402885426,1,-2.54709378567597
"ENSG00000287632",-0.00400072374379085,0.00174713528965517,-3.09226191344458,0.00452359412248523,1,-2.6182565357669
"ENSG00000184106",-0.00377801410457516,0.00165290008965517,-3.08503111080783,0.00460569842763609,1,-2.63516242154629
"ENSG00000189051",0.0124776656176471,0.0106128980172414,3.0810852760262,0.00465110080645909,1,-2.64437996701222
"ENSG00000262633",-0.0162144476594771,0.0113028093482759,-3.05235684199443,0.00499477681514746,1,-2.71131906216352
"ENSG00000229400",-0.012656703851634,0.00582761484482759,-3.02858209099006,0.00529737414951672,1,-2.76648527412328
"ENSG00000134545",-0.0128977797078431,0.00585760416206897,-2.97032710706671,0.00611432525027028,1,-2.90075340855973
"ENSG00000252995",-0.00462256793398693,0.00241390469310345,-2.95367072130192,0.0063690825604667,1,-2.93890203424737
"ENSG00000259031",-0.00324579347777778,0.00100731521724138,-2.9433664783503,0.00653169425003729,1,-2.96244733745275
"ENSG00000270655",0.00576865405294118,0.00377797834137931,2.91335386810253,0.0070280527614669,1,-3.03078469959006
"ENSG00000152207",0.0150741641261438,0.0158381110724138,2.89478141272408,0.00735288501905105,1,-3.07289072280998
"ENSG00000210184",-0.0238512629954248,0.0245584115275862,-2.85976637130429,0.00800428988047993,1,-3.15188743614814
"ENSG00000158816",-0.0231872845620915,0.0207528863448276,-2.85938095607281,0.00801175442624135,1,-3.15275411935933
"ENSG00000282458",-0.00740335144248366,0.00319231054137931,-2.85335959469864,0.0081292302822381,1,-3.16628624171791
"ENSG00000224879",-0.00343370185424837,0.00122593050689655,-2.83320727869173,0.00853433444071268,1,-3.21146405619184
"ENSG00000235370",-0.0251347847320261,0.0235384457241379,-2.83272243422219,0.00854431148505246,1,-3.21254886110239
"ENSG00000213253",-0.00627009476601307,0.00228395774482759,-2.83042667064298,0.00859170280722685,1,-3.2176841042054
"ENSG00000184012",-0.0131501620163399,0.00741755063793103,-2.81436860011164,0.00893018190659343,1,-3.25354012094513
"ENSG00000253084",-0.00336319864379085,0.00132363826551724,-2.79763598924304,0.0092962179677947,1,-3.29078374475561
"ENSG00000249150",-0.00512654904509804,0.00338512501034483,-2.78732469696803,0.00952876681237936,1,-3.31367392615095
"ENSG00000258332",-0.00234872886013072,0.000954293372413793,-2.77997663710436,0.00969781318936827,1,-3.32995749192358
"ENSG00000187686",-0.011723587124183,0.0093631384137931,-2.76915074574892,0.00995201242474204,1,-3.35390460021973
"ENSG00000248295",-0.00325773621176471,0.00113060964827586,-2.76772325759507,0.00998599420878471,1,-3.35705835622219
"ENSG00000199865",-0.00407448566862745,0.00188089240344828,-2.75995059589745,0.0101729452021444,1,-3.3742146096232
"ENSG00000224445",-0.135188548696078,0.075124807637931,-2.75563243598783,0.0102782222897357,1,-3.3837342359548
"ENSG00000250753",-0.00247536908888889,0.000768217993103448,-2.74987308865082,0.0104202278667134,1,-3.39641803472796
"ENSG00000202205",-0.00317529021176471,0.00110502295862069,-2.7484356925096,0.0104559550864942,1,-3.39958128574369
"ENSG00000286235",-0.0143657477928105,0.0102839904931035,-2.74798330851961,0.0104672230817779,1,-3.40057664647443
"ENSG00000226430",-0.00486161580130719,0.00266152782068966,-2.74544949318932,0.0105305463470143,1,-3.40614998596325
"ENSG00000280455",-0.00323034272745098,0.00120304614827586,-2.73093075373699,0.0109003714224765,1,-3.43802922863558
