"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000232485",-0.0756325390041667,0.0227784208294118,-4.9078787022609,0.000175955603596887,1,1.01012893308317
"ENSG00000121377",-0.00827586233333334,0.00167912111764706,-4.31065991384504,0.000584934736331348,1,-0.124932041776138
"ENSG00000227790",-0.0723033952166667,0.031971018417647,-4.07295592939341,0.000951925209509334,1,-0.585386629655149
"ENSG00000244151",-0.00799241562083334,0.00200664487058824,-4.00578480039928,0.0010931242210986,1,-0.716099972095208
"ENSG00000225032",-0.079192394175,0.0485699551529412,-3.9773111340013,0.00115922042477224,1,-0.771570610982618
"ENSG00000109991",-0.00799241562083334,0.00205904622352941,-3.92909157804609,0.0012805215703896,1,-0.865581389070833
"ENSG00000251257",-0.00770896889583333,0.00172721967647059,-3.91332216111013,0.00132291723322065,1,-0.896343804599101
"ENSG00000070019",-0.065781218875,0.0320746726176471,-3.8365009317556,0.00155065500232357,1,-1.0463063492741
"ENSG00000248839",-0.065850689925,0.0236559352411765,-3.73198006442047,0.00192544542167934,1,-1.25052612185266
"ENSG00000267598",-0.0116319948375,0.00296719138823529,-3.7196809600651,0.00197516840286929,1,-1.27456410667563
"ENSG00000125363",-0.011348548125,0.00295759887647059,-3.7193182237189,0.00197665433520483,1,-1.27527306600337
"ENSG00000196935",-1.9648764475,1.12042009941176,-3.71329122317591,0.00200150892071403,1,-1.28705275030559
"ENSG00000112139",-0.0613982960833334,0.0199579466470588,-3.6463038683162,0.00229984794595973,1,-1.41797655510379
"ENSG00000152439",-0.0151835488333333,0.00577779222941176,-3.61128093914456,0.00247321832712778,1,-1.48641544321236
"ENSG00000230975",-0.063953161875,0.0141834024,-3.58863688468427,0.00259223115078326,1,-1.53065573440874
"ENSG00000246090",-0.454338953875,0.134451128705882,-3.54031442910233,0.00286575180687421,1,-1.62503105714758
"ENSG00000259426",-0.0261534582125,0.00751078718823529,-3.5389595834167,0.00287382370736664,1,-1.6276763151193
"ENSG00000246223",-0.178677515208333,0.0701209664705882,-3.51648297579547,0.00301110383557879,1,-1.671553089888
"ENSG00000261600",-0.0823755029791667,0.0352095240882353,-3.47642316119038,0.00327223964312937,1,-1.74971428098302
"ENSG00000260368",-0.060047535375,0.0147841329294118,-3.45967073818539,0.00338804374692881,1,-1.78238267304016
"ENSG00000168298",-0.073271294125,0.0364870872235294,-3.45194488070545,0.00344282024586767,1,-1.79744478531738
"ENSG00000225218",-0.124278264,0.0584688017941176,-3.43583499117679,0.00355989940135397,1,-1.82884386568831
"ENSG00000152527",-2.47552417708333,1.01310939647059,-3.43178661694507,0.00358994044510777,1,-1.83673253816239
"ENSG00000234303",-0.011256939875,0.00316822559411765,-3.41978626448969,0.00368048310291681,1,-1.86011192468474
"ENSG00000156689",-0.34120961,0.199719861764706,-3.40988337972519,0.003756912599784,1,-1.87939968841305
"ENSG00000286788",-0.00742552220833334,0.00205474341764706,-3.3775455367226,0.00401767989284835,1,-1.94234815335807
"ENSG00000235266",-0.0599955330375,0.0168744691647059,-3.33666955912692,0.00437322751244064,1,-2.02183050836483
"ENSG00000287413",-0.0588723767166667,0.0225888207117647,-3.33245984934122,0.00441157647378495,1,-2.03001022140348
"ENSG00000161610",-0.0656094836666667,0.0345451997647059,-3.31583848316797,0.00456628405602197,1,-2.06229490240154
"ENSG00000265075",-0.0116781280666667,0.00368891774705882,-3.30965097757591,0.00462524255731933,1,-2.07430840497365
"ENSG00000180353",-0.0580785212916667,0.0240158664117647,-3.30890962946605,0.00463235712853703,1,-2.07574760635986
"ENSG00000007944",-0.28596790925,0.188855209176471,-3.28142256243416,0.00490395677617427,1,-2.12908078775138
"ENSG00000231914",-0.05779006575,0.0139881412058824,-3.23700479075211,0.00537661338000389,1,-2.21514003146309
"ENSG00000154734",-0.17317569,0.0623159481764706,-3.20818494943162,0.00570715164268973,1,-2.27088841265234
"ENSG00000254532",-1.74855164583333,0.620923445882353,-3.20735777337997,0.00571692973310761,1,-2.27248737044341
"ENSG00000226007",-0.01017101575,0.003047762,-3.19291379265784,0.0058903685342136,1,-2.30039769755329
"ENSG00000115267",-0.114408714125,0.0581181265882353,-3.19225354143493,0.00589841979464086,1,-2.30167303736075
"ENSG00000255457",-0.00747458027083333,0.00222579434117647,-3.18255492122472,0.00601794841575619,1,-2.32040200453941
"ENSG00000286681",-0.302024113208333,0.207943677941176,-3.16644392539525,0.00622181776428279,1,-2.35149333197467
"ENSG00000165186",-0.161130195625,0.116044916,-3.1475650253463,0.00646940475649868,1,-2.38789245347647
"ENSG00000229771",-0.056796945175,0.0149305307588235,-3.14216586444402,0.00654198321342054,1,-2.3982953067651
"ENSG00000250041",-0.00747458027083333,0.00271430185882353,-3.13395345774884,0.0066539218736405,1,-2.41411256758313
"ENSG00000258172",-0.108466728270833,0.0413069535882353,-3.09484234787294,0.00721347521421597,1,-2.48933782966493
"ENSG00000232212",-0.00751713045833334,0.00235716197058824,-3.09353701027951,0.00723292869021127,1,-2.49184543012766
"ENSG00000105370",-0.00751713045833334,0.00235964894117647,-3.08846837358561,0.00730895761199095,1,-2.50158053737972
"ENSG00000181773",-0.0553113240416667,0.0392324438235294,-3.079451696219,0.0074461559479787,1,-2.51889082319706
"ENSG00000286218",-0.476691143541667,0.231841521764706,-3.07866563827371,0.00745823607348264,1,-2.5203994345701
"ENSG00000236882",-0.0552599391041667,0.0251074476470588,-3.07438497425611,0.00752436046853703,1,-2.52861360246863
"ENSG00000218475",-0.0660595047708333,0.032424745,-3.0590502622629,0.00776600676873511,1,-2.55802067842173
"ENSG00000138795",-0.125827183375,0.0767215554705882,-3.05154222476256,0.00788708596454338,1,-2.57240784016421
"ENSG00000260646",-0.0625598878125,0.0285709504294118,-3.05010214038793,0.00791052080766563,1,-2.57516655159367
"ENSG00000255109",-0.111647290166667,0.0284028882647059,-3.04176926629219,0.00804747322650314,1,-2.59112421074796
"ENSG00000166189",-0.0566068559791667,0.0255258751176471,-3.04045583782216,0.00806927115019396,1,-2.5936386297576
"ENSG00000279307",-0.0561487950208333,0.0137421782647059,-3.03670119143912,0.00813190439153579,1,-2.60082524535317
"ENSG00000155090",-0.00709832997083334,0.00240285330588235,-3.02875941022096,0.00826596259075415,1,-2.61602010794613
"ENSG00000175894",-0.0624318015875,0.0290184369176471,-3.0281383187089,0.00827653770736144,1,-2.61720807446109
"ENSG00000173988",-0.226386304583334,0.206838048235294,-3.01954744099584,0.00842418118545762,1,-2.63363455401156
"ENSG00000220643",-0.0587618276666667,0.0248113546176471,-3.01892326422004,0.00843500850337048,1,-2.63482764064084
"ENSG00000282876",-0.0569064690375,0.0179748850882353,-3.01037223120943,0.00858472156987761,1,-2.65116716494837
"ENSG00000152894",-6.31587325833333,4.60745741176471,-2.99144490492059,0.008925434297127,1,-2.68729755192395
"ENSG00000146592",-1.82083151416667,1.09754641764706,-2.98977380971167,0.00895614499792325,1,-2.69048505491973
"ENSG00000196408",-0.053366919,0.0288471378705882,-2.98318360318536,0.00907826969155005,1,-2.70305149561069
"ENSG00000241644",-0.0552114502916667,0.0154967947235294,-2.98232929038422,0.00909422014751239,1,-2.70468006700364
"ENSG00000060718",-0.96695949625,1.08510186647059,-2.97570873482648,0.00921876349547974,1,-2.71729716279977
"ENSG00000197870",-0.0597230099833333,0.0297108847411765,-2.97548180290472,0.00922306193045882,1,-2.7177295228719
"ENSG00000231449",-0.0537824465708333,0.0195180622764706,-2.96598187014496,0.00940477650705754,1,-2.73582231562483
"ENSG00000130957",-0.05522948615,0.0182336180352941,-2.96376518817892,0.00944767888220791,1,-2.74004208172241
"ENSG00000075429",-0.372242615583333,0.169985994529412,-2.96359686950647,0.00945094438978484,1,-2.74036246974512
"ENSG00000268289",-0.0560325357916667,0.0260266584705882,-2.95667908358409,0.0095861144414632,1,-2.7535264907599
"ENSG00000264472",-0.00714207545833334,0.00221266788235294,-2.95285187185789,0.0096617070939208,1,-2.76080624862968
"ENSG00000239888",-0.00827586233333334,0.00340623584117647,-2.94236066356033,0.00987192516128697,1,-2.780750037107
"ENSG00000159958",-0.0554196271708333,0.0129738307705882,-2.93601711072498,0.0100011971465224,1,-2.79280079791498
"ENSG00000106571",0.567540449583333,0.647528484705882,2.93505589219837,0.0100209291390319,1,-2.7946262582929
"ENSG00000158683",-1.04996814291667,1.26993779235294,-2.9297355688648,0.0101308353189827,1,-2.80472748918767
"ENSG00000222024",-0.0552910282333333,0.0153715856941176,-2.9271209082679,0.0101852792669745,1,-2.8096900613482
"ENSG00000188916",-0.632439511666667,0.501174527058823,-2.92170460566855,0.0102989715121783,1,-2.81996659872849
"ENSG00000271943",-0.0571656041875,0.0425926433823529,-2.90935838660675,0.0105627802193366,1,-2.84337369582323
"ENSG00000226567",-0.0538170630458333,0.0113313704882353,-2.90221179133848,0.0107184879605392,1,-2.85691140301188
"ENSG00000237950",-0.117606629666667,0.0605964525294118,-2.89801330757711,0.010811005248021,1,-2.86486056918346
"ENSG00000220583",-0.0567576486291667,0.0173080470058824,-2.89313860905108,0.0109194011013246,1,-2.87408632342726
"ENSG00000267026",-0.05996018325,0.0262307214176471,-2.88159843817696,0.0111802550249043,1,-2.89591091738874
"ENSG00000253355",-0.0535901010083333,0.0126351094941176,-2.86732546722665,0.0115112925648852,1,-2.92287193135793
"ENSG00000238142",-0.0539026704583333,0.0217761323117647,-2.86124672176308,0.0116551604538805,1,-2.93434355637355
"ENSG00000279951",-0.05398191675,0.0209263065823529,-2.85083192042312,0.0119057305299312,1,-2.95398274144127
"ENSG00000081051",-0.102033832166667,0.0379849539294118,-2.85059003848987,0.0119116118324337,1,-2.95443862632284
"ENSG00000287347",-0.052526871625,0.0167928966176471,-2.84510376982696,0.0120457709649929,1,-2.9647759753701
"ENSG00000235464",-0.00709832997083334,0.00273175846470588,-2.84206264804545,0.0121207694969658,1,-2.97050376365844
"ENSG00000267748",-0.111390864083333,0.0683157417647059,-2.83900873953796,0.0121965403594014,1,-2.97625393075016
"ENSG00000187961",-0.158483934291667,0.0860767422941177,-2.82953455017115,0.0124345481234092,1,-2.99408181426189
"ENSG00000259048",0.041985007375,0.0350433995882353,2.82497394565909,0.0125507221291496,1,-3.00265769272592
"ENSG00000114124",-0.0528174345833333,0.0135571330882353,-2.82484405765094,0.0125540462167916,1,-3.00290188040193
"ENSG00000250608",-0.208070698625,0.202270668882353,-2.82376875848663,0.0125815980995853,1,-3.00492330632352
"ENSG00000233491",-0.0538374228333333,0.0165461534764706,-2.81512111817695,0.0128053188038141,1,-3.02117183326725
"ENSG00000213366",-0.0525721252375,0.0230919711705882,-2.81053476572083,0.0129255342838828,1,-3.02978361206
"ENSG00000151882",-0.075752337,0.0365136187647059,-2.80195889061813,0.0131532682519194,1,-3.04587565782626
"ENSG00000237499",-0.369914685770833,0.0898706446058824,-2.79573427109265,0.0133209984425455,1,-3.05754679709868
"ENSG00000169972",-0.0617206322916667,0.0418738761176471,-2.79514058096243,0.0133371041511572,1,-3.05865956844841
"ENSG00000210100",-0.0524125686708333,0.0126937040823529,-2.79306597938431,0.0133935327144518,1,-3.06254751370473
"ENSG00000265282",-0.00681488325833333,0.00285639168235294,-2.79037301577532,0.0134671260685937,1,-3.06759304871339
"ENSG00000168243",-0.93530453,0.785365767058824,-2.78926368795234,0.0134975557265125,1,-3.06967106856811
"ENSG00000253687",-0.052780997875,0.0253801515588235,-2.78893512806069,0.0135065811531583,1,-3.07028648825181
"ENSG00000255008",-0.0210706083333333,0.0114901303411765,-2.78871388434618,0.0135126619388394,1,-3.0707008838822
