"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000225043",-0.00843327335,0.00366396898235294,-4.70585613426308,0.000263094863280144,1,0.63867715442187
"ENSG00000231995",-0.0233298035,0.0117553904529412,-4.42816847798477,0.000460543542794924,1,0.11316300182957
"ENSG00000170312",-0.00920132251666667,0.00444550576470588,-4.21142614761266,0.000716441284579271,1,-0.301956504067702
"ENSG00000251257",0.00827586233333334,0.00172721967647059,4.02224282989876,0.00105667492176029,1,-0.667003350667211
"ENSG00000239035",-0.0169558119166667,0.00829008763529412,-3.90150056059546,0.00135562794888262,1,-0.900937871919997
"ENSG00000121377",0.00765628366666667,0.00167912111764706,3.81816101063925,0.00161064440179876,1,-1.06269623035105
"ENSG00000232485",0.0598576850333333,0.0227784208294118,3.71886811463458,0.00197849974985374,1,-1.25560073106012
"ENSG00000263466",-0.0182480954666667,0.00974474028235294,-3.70089101376146,0.00205363920825004,1,-1.29053693685496
"ENSG00000256969",-0.00989042481666667,0.00459844141176471,-3.69770298200496,0.00206726093981489,1,-1.29673260088304
"ENSG00000237781",-0.01510517325,0.00928281577058824,-3.64636798714008,0.00229954200265423,1,-1.3964977424815
"ENSG00000226007",0.01210728,0.003047762,3.6389423215832,0.00233524671812623,1,-1.41092815842399
"ENSG00000130173",-0.00882405346666667,0.0036048088,-3.63298081477775,0.00236431374853462,1,-1.42251297735962
"ENSG00000261600",0.0898984876666667,0.0352095240882353,3.63239158303207,0.00236720636645834,1,-1.42365799916938
"ENSG00000130208",-0.0107338976333333,0.00540425330588235,-3.58185073283568,0.00262900391760564,1,-1.52185729071668
"ENSG00000185860",-0.020763095,0.0108760744411765,-3.53457386712344,0.00290010932558938,1,-1.61367680181823
"ENSG00000166268",1.69227806833333,1.09741875647059,3.48890803939633,0.00318851475476517,1,-1.7023147971206
"ENSG00000221963",-0.0254480401666667,0.0135983903529412,-3.43297958778079,0.00358106179490746,1,-1.81077669071126
"ENSG00000230975",0.0637418683666667,0.0141834024,3.42450657343611,0.00364459978401602,1,-1.82719730088224
"ENSG00000244151",0.00710622865,0.00200664487058824,3.41000056674572,0.00375599897529146,1,-1.85530218052416
"ENSG00000176136",-0.011637471,0.00548587674117647,-3.39336493084206,0.00388793634222079,1,-1.88752066219142
"ENSG00000278737",-0.0117515376666667,0.00778580164705882,-3.38974662027872,0.0039172390495934,1,-1.89452644958974
"ENSG00000125363",0.0107926990166667,0.00295759887647059,3.38656035283219,0.00394322497058709,1,-1.90069515002399
"ENSG00000144837",-0.00920132251666667,0.00486625194117647,-3.38394527262372,0.00396468074550648,1,-1.90575761754891
"ENSG00000184497",-0.0091317988,0.00458093570588235,-3.36579289163151,0.00411685268930459,1,-1.94088814279309
"ENSG00000286788",0.00772580731666667,0.00205474341764706,3.3645253415985,0.00412769321381985,1,-1.94334056330977
"ENSG00000272745",-0.010367433,0.00607872783529412,-3.35804794851747,0.00418353517710038,1,-1.95587140473452
"ENSG00000246090",0.447956977833333,0.134451128705882,3.34198031092737,0.00432532091895345,1,-1.98694437957404
"ENSG00000233974",-0.01394460275,0.00816509345882353,-3.33615084278176,0.00437793487317408,1,-1.99821402122388
"ENSG00000187686",-0.0163666281666667,0.00866344173529412,-3.33365357342186,0.00440066824004034,1,-2.00304114132987
"ENSG00000227790",0.0616991230833333,0.031971018417647,3.32763536107097,0.00445593707592922,1,-2.01467247463499
"ENSG00000070019",0.05924599075,0.0320746726176471,3.30824814485748,0.004638714440937,1,-2.05212583494487
"ENSG00000142798",-0.0376096316666667,0.0289858321176471,-3.30177922870988,0.00470134357607085,1,-2.06461721538894
"ENSG00000196408",0.0614947938666667,0.0288471378705882,3.29118217526413,0.00480575861430183,1,-2.08507362932641
"ENSG00000238154",-0.0106102288,0.00604812502941177,-3.28652664705233,0.00485235524452155,1,-2.09405805808196
"ENSG00000243137",-0.017631194,0.0094662433117647,-3.27985428501308,0.00491992090500781,1,-2.10693189121384
"ENSG00000249150",-0.0080033641,0.00304838034705882,-3.27690864465339,0.00495004526193326,1,-2.11261423797234
"ENSG00000109991",0.00695775815,0.00205904622352941,3.27483286112545,0.00497138363748344,1,-2.11661817922819
"ENSG00000210112",-0.0265285071666667,0.0202092443117647,-3.27243260940943,0.00499617121162633,1,-2.12124757578627
"ENSG00000235266",0.06139401765,0.0168744691647059,3.2690838287387,0.00503095925595778,1,-2.1277056804302
"ENSG00000286841",-0.0105665258333333,0.00468365499411765,-3.25970154066265,0.00512970944399917,1,-2.14579476453872
"ENSG00000170786",-0.00808080605,0.0030757128,-3.2418272396747,0.00532318651230739,1,-2.18023716280825
"ENSG00000248839",0.0595581734166667,0.0236559352411765,3.23166306882393,0.0054364133136901,1,-2.19981105362226
