"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000168653",-0.251956145690476,0.117277168,-4.55019877662054,0.000193996171595059,1,-1.21716117069152
"ENSG00000137075",-0.746994553571428,0.647815386363636,-4.10549004626311,0.000548314826337074,1,-2.26033286438341
"ENSG00000100209",-0.1195156695,0.0509892889090909,-3.95153930947439,0.00078608938096687,1,-2.61982668175535
"ENSG00000138942",-0.192191954,0.123486931454545,-3.88486671851416,0.000918708987381182,1,-2.7750140100797
"ENSG00000144909",-0.317368746071429,0.207824124090909,-3.52097776627188,0.00214448681933441,1,-3.61404224387649
"ENSG00000162645",-0.278888125714286,0.144704601818182,-3.46556909877024,0.00243811138704899,1,-3.74026550831962
"ENSG00000168175",-0.596610447261905,0.377552310454545,-3.43125939333012,0.00263938625883249,1,-3.81817434901287
"ENSG00000112977",-0.241449174047619,0.131539988636364,-3.33213236807405,0.00331701644307777,1,-4.04210259021975
"ENSG00000113384",-0.519795484523809,0.478163506363636,-3.33068476755317,0.00332807838792211,1,-4.04535918034361
"ENSG00000081721",-0.242908017547619,0.129824342727273,-3.32824319193458,0.0033468177084126,1,-4.05085094351593
"ENSG00000187678",-0.160247507119048,0.0613296426363636,-3.31218962278528,0.00347262656572323,1,-4.08693076510436
"ENSG00000133065",-0.144495319333333,0.0791749918181818,-3.29267287627871,0.00363181489429364,1,-4.13072515784955
"ENSG00000105655",-0.316673024166667,0.387189893636364,-3.27761437220771,0.00375949219704506,1,-4.1644629161518
"ENSG00000131848",-0.4873282955,0.231190338454545,-3.27130811374998,0.00381425439692894,1,-4.17857791755644
"ENSG00000138621",-0.556495466071429,0.418192222272727,-3.25376387351613,0.00397073396332527,1,-4.21780278638763
"ENSG00000244625",-0.26166183297619,0.151701770909091,-3.23904450932245,0.0041068354119728,1,-4.25066170831434
"ENSG00000100644",-1.02496692880952,0.899188321818182,-3.22548693687484,0.00423621228412674,1,-4.2808858941177
"ENSG00000181610",-0.108527930214286,0.0408750970909091,-3.22432833791201,0.00424745099859671,1,-4.28346693132459
"ENSG00000168646",-0.161529557595238,0.0688554502727273,-3.20846250141322,0.00440430785780417,1,-4.31878194354498
"ENSG00000206120",-0.224765973833333,0.100163725727273,-3.19298383557033,0.00456276712069257,1,-4.35318124170823
