"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000145907",-1.03780013583333,0.361073648636364,-7.5988768621274,2.5324735697768e-07,0.00865270244585639,5.87552311329405
"ENSG00000119004",-0.943730943333334,0.308975056181818,-6.85779686761402,1.14581135419059e-06,0.0195744682693149,4.3200282068348
"ENSG00000233117",-0.754479558333333,0.250965703181818,-6.46200422282017,2.64417360082438e-06,0.0301144931397889,3.46055807396269
"ENSG00000101421",-0.591002745833333,0.167786381363636,-6.16578994996122,5.01038863956967e-06,0.0387794378228266,2.80495515148777
"ENSG00000136144",-0.623728133333333,0.187436177272727,-6.04259753240382,6.55729769577419e-06,0.0387794378228266,2.52934287388947
"ENSG00000094880",-0.526435951666667,0.108938978909091,-5.97391332459826,7.62474469754782e-06,0.0387794378228266,2.37495725936035
"ENSG00000147485",-0.546378969166667,0.0949044013636364,-5.91989714994462,8.58837581130532e-06,0.0387794378228266,2.25318799792771
"ENSG00000106244",-0.546429844666667,0.128715035636364,-5.89468763877009,9.07997490510179e-06,0.0387794378228266,2.19625305546437
"ENSG00000105655",-0.7619111075,0.387189893636364,-5.81023728647473,1.09471643602025e-05,0.0415590849661155,2.00504779774374
"ENSG00000136448",-1.04376145416667,0.509968506818182,-5.64598937350784,1.57863513999234e-05,0.0539372268281183,1.6311460897116
"ENSG00000124557",-0.111111113333333,0.0151515154545455,-5.40966663784854,2.68706898246213e-05,0.0655779185169883,1.08882871494062
"ENSG00000254605",-0.111111113333333,0.0151515154545455,-5.40966663784854,2.68706898246213e-05,0.0655779185169883,1.08882871494062
"ENSG00000259826",-0.111111113333333,0.0151515154545455,-5.40966663784854,2.68706898246213e-05,0.0655779185169883,1.08882871494062
"ENSG00000275734",-0.111111113333333,0.0151515154545455,-5.40966663784854,2.68706898246213e-05,0.0655779185169883,1.08882871494062
"ENSG00000156860",-0.554614378833334,0.139402266363636,-5.29344522136536,3.49781503257477e-05,0.0796732308119881,0.820428549994425
"ENSG00000157911",-0.108974361166667,0.0163170166363636,-5.12344278834166,5.15598018216755e-05,0.0880821874420593,0.426073452990831
"ENSG00000164845",-0.108974361166667,0.0163170166363636,-5.12344278834166,5.15598018216755e-05,0.0880821874420593,0.426073452990831
