"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000242479",-0.0150266366166667,0.00708229049411765,-6.21725119239572,1.51182097241187e-05,0.25990822418741,3.00943119993322
"ENSG00000262678",-0.00946007808333334,0.00434807835294118,-6.21374532663426,1.52139915232482e-05,0.25990822418741,3.00299110479876
"ENSG00000254866",-0.0060158883,0.00212325469411765,-5.98814960874699,2.29233898760503e-05,0.261074487298336,2.58505998035527
"ENSG00000117983",-0.00532540804166667,0.00215045361764706,-4.94571642846808,0.00016643859872581,0.874791346166941,0.569120915389538
"ENSG00000279526",-0.00796581090833333,0.00309741038823529,-4.9199312702916,0.000175107177721951,0.874791346166941,0.51766685356993
"ENSG00000126467",-0.022870544325,0.0133539358470588,-4.8439047435778,0.000203474847721045,0.874791346166941,0.365574927499857
"ENSG00000169495",-0.00799515712083333,0.00393551127647059,-4.82008077378948,0.000213305868731898,0.874791346166941,0.317800427823823
"ENSG00000288551",-0.0130222700416667,0.00683799862941176,-4.78974071418643,0.000226537192859274,0.874791346166941,0.256882283553836
"ENSG00000272969",-0.00629381075833333,0.00249224281176471,-4.68493942789234,0.000279098685819462,0.874791346166941,0.045819320998989
"ENSG00000120500",-0.00594041420833333,0.00236751461764706,-4.66344473385669,0.00029134434236553,0.874791346166941,0.0024128374054655
"ENSG00000142273",-0.01513793765,0.00792572275294118,-4.65655300036874,0.000295386272311449,0.874791346166941,-0.0115125304574786
"ENSG00000253663",-0.0126236479416667,0.00526809867058824,-4.63688486854722,0.000307240792402122,0.874791346166941,-0.0512752738505391
"ENSG00000185873",-0.00467781631666667,0.00165099399411765,-4.37700462257346,0.000518600185630153,1,-0.579393538645975
"ENSG00000259941",-0.0149218549125,0.00924626892352941,-4.31316599623135,0.000590328684519221,1,-0.7097989358956
"ENSG00000179111",-0.0161435912125,0.00802481135294118,-4.27215993232729,0.000641669068148084,1,-0.79368001616549
"ENSG00000026508",-0.0543785468333333,0.0309552674117647,-4.27083188865864,0.000643405914647877,1,-0.796398058336922
"ENSG00000253542",-0.00668242531666667,0.00291534860588235,-4.26784158661073,0.00064733426720169,1,-0.80251848128273
"ENSG00000226101",-0.0108237415833333,0.00569483570588235,-4.25570993672706,0.000663524028370125,1,-0.827353487392213
"ENSG00000150628",-0.0165346370333333,0.0113412380235294,-4.24969905604759,0.000671697879968262,1,-0.839661125301005
"ENSG00000288005",-0.00713614137916667,0.00336143141176471,-4.22654820466248,0.000704149855779051,1,-0.88707957124481
"ENSG00000198468",-0.032350294125,0.0195330710588235,-4.18396312225475,0.000768076120216254,1,-0.974365475654319
"ENSG00000232211",-0.0288748071666667,0.0158866201176471,-4.18029901181075,0.000773845342856465,1,-0.981879254114001
"ENSG00000261594",-0.006555420375,0.00258457561764706,-4.13040243458454,0.000856943608302164,1,-1.0842499918138
"ENSG00000276116",-0.00901287391666667,0.00372281,-4.12905911106711,0.000859302155166425,1,-1.08700726879568
"ENSG00000275910",-0.02219905925,0.013388388,-4.09100218189534,0.000928934195752854,1,-1.16514647621227
"ENSG00000218872",-0.00688458015,0.00298669737058824,-4.07031125192264,0.000969170664214804,1,-1.20764782107054
"ENSG00000287903",-0.00663587525833333,0.00262802133529412,-4.06050380129574,0.00098885648902075,1,-1.22779746248057
"ENSG00000258377",-0.009423037775,0.00526438437058824,-4.05896056259014,0.000991990883745196,1,-1.23096831251792
"ENSG00000228887",-0.0171053981625,0.0101430443176471,-4.05702696156079,0.000995932361982979,1,-1.23494131545942
"ENSG00000198883",-0.0118377088208333,0.0067952798882353,-3.99666624415668,0.00112730198627359,1,-1.35900880816747
"ENSG00000170608",-0.0102198796166667,0.00542663775882353,-3.9897533715024,0.00114342833478348,1,-1.37322245172326
"ENSG00000225555",-0.0201935869,0.0120536084,-3.95305648874852,0.00123303315576193,1,-1.44868797541343
"ENSG00000169291",-0.0169470301916667,0.00762604163529412,-3.933041853269,0.00128486847157815,1,-1.48985456570154
"ENSG00000258172",-0.02275257925,0.0113046525882353,-3.93081804136401,0.00129076238606508,1,-1.49442881344868
"ENSG00000158578",-0.00592405133333333,0.00209084164705882,-3.9255893771605,0.00130472829496097,1,-1.5051840410321
"ENSG00000267515",-0.00689168636666667,0.00339413811176471,-3.92231473278862,0.00131355274271648,1,-1.51192002125933
"ENSG00000177201",-0.012818354225,0.00813986736470588,-3.90681825662497,0.00135613856380135,1,-1.54379755468353
"ENSG00000258366",-0.01651670365,0.00903710572352941,-3.90494661430351,0.00136137568249122,1,-1.54764778641941
"ENSG00000259528",-0.00434886894166667,0.00180579275882353,-3.87409929277768,0.00145069820756872,1,-1.61110733124017
"ENSG00000134545",-0.0105497586666667,0.00372344423529412,-3.86873515612411,0.00146682507028627,1,-1.6221427734263
