"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000262678",-0.0106855683333333,0.00434807835294118,-5.36061665512991,7.43463787107483e-05,0.831969276911635,1.58780850525468
"ENSG00000144115",0.127994014916667,0.0501313355588235,4.94181943497536,0.000167719811877633,0.831969276911635,0.7718060355901
"ENSG00000126467",-0.029284376,0.0133539358470588,-4.73710994353196,0.000251526176837205,0.831969276911635,0.366018252836496
"ENSG00000254866",-0.0060158883,0.00212325469411765,-4.57352480913388,0.000348855821532491,0.831969276911635,0.0389357924934144
"ENSG00000288551",-0.0157445812166667,0.00683799862941176,-4.42297839126989,0.000472510740401914,0.831969276911635,-0.263991681284504
"ENSG00000259941",-0.0197543865,0.00924626892352941,-4.36109255067142,0.000535601498856915,0.831969276911635,-0.388982596781087
"ENSG00000152611",-0.0108472045833333,0.0056126637,-4.32091250284281,0.000581110640531353,0.831969276911635,-0.470263887407549
"ENSG00000169495",-0.00934749633333334,0.00393551127647059,-4.30408672592055,0.000601322791752423,0.831969276911635,-0.504329704930445
"ENSG00000142273",-0.018274342,0.00792572275294118,-4.29336670112043,0.000614572983109718,0.831969276911635,-0.526042139806027
"ENSG00000056736",0.0984146071666667,0.0365811047647059,4.15951067587818,0.000807422050207605,0.831969276911635,-0.797656053647652
"ENSG00000026508",-0.0686619943333334,0.0309552674117647,-4.11869554244077,0.000877721289188332,0.831969276911635,-0.88063710118121
"ENSG00000179097",1.48564949166667,0.724768670588235,4.1174053634289,0.000880042238115771,0.831969276911635,-0.883261208764152
"ENSG00000231898",-0.0205250428333333,0.0107443163529412,-4.10853074860059,0.000896177016520899,0.831969276911635,-0.901313031054108
"ENSG00000228203",-0.023451938,0.0119672347117647,-4.10248344914036,0.000907343410131424,0.831969276911635,-0.913615450761818
"ENSG00000275910",-0.028942505,0.013388388,-4.07370573793368,0.000962450220484915,0.831969276911635,-0.972177087063523
"ENSG00000179855",0.027702333,0.00723639174705882,4.07032623516737,0.00096914089576003,0.831969276911635,-0.97905604497385
"ENSG00000117983",-0.00565435541666667,0.00215045361764706,-4.01067824642387,0.00109531842377893,0.831969276911635,-1.1005240873232
"ENSG00000262660",-0.00950913258333333,0.00496404944705882,-3.96727018136363,0.00119751193784031,0.831969276911635,-1.18897642225319
"ENSG00000226101",-0.0131001528333333,0.00569483570588235,-3.93395478308475,0.00128245676739121,0.831969276911635,-1.2568873155623
"ENSG00000279526",-0.00831303313333333,0.00309741038823529,-3.92145243267892,0.00131588648177067,0.831969276911635,-1.28237673498924
"ENSG00000225555",-0.026175717,0.0120536084,-3.91360091015117,0.00133732989939391,0.831969276911635,-1.2983852031748
"ENSG00000258377",-0.01177705975,0.00526438437058824,-3.87453131170631,0.0014494071995106,0.831969276911635,-1.37805341095048
"ENSG00000198883",-0.0150158163333333,0.0067952798882353,-3.87201983905874,0.00145692854714171,0.831969276911635,-1.3831750503464
"ENSG00000139344",-0.0203833573333333,0.0104653447647059,-3.85057958537898,0.00152276493753471,0.831969276911635,-1.42689934687665
"ENSG00000179111",-0.01896932305,0.00802481135294118,-3.83404830626449,0.0015755731548527,0.831969276911635,-1.46061342182826
"ENSG00000253663",-0.0136104900666667,0.00526809867058824,-3.81833122098044,0.00162749486288619,0.831969276911635,-1.49266711617491
"ENSG00000286831",-0.01012413875,0.00518971040588235,-3.81123935376626,0.0016514852067694,0.831969276911635,-1.50713026916255
"ENSG00000287710",-0.01633766555,0.00787858484117647,-3.80343854797033,0.00167828616363052,0.831969276911635,-1.52303905639831
"ENSG00000101282",-0.0413628865,0.0190756946117647,-3.78493213731146,0.00174363678024876,0.831969276911635,-1.56077947965306
"ENSG00000237446",0.0902551998333333,0.0290132822941176,3.78080680317764,0.00175855074159234,0.831969276911635,-1.56919205287827
"ENSG00000261399",-0.0143463876666667,0.0066245771882353,-3.77904408113211,0.00176496251938605,0.831969276911635,-1.5727866393854
"ENSG00000286274",-0.0143195912166667,0.00780110213529412,-3.76983970952316,0.00179882765971669,0.831969276911635,-1.59155601186854
"ENSG00000272969",-0.00662275813333333,0.00249224281176471,-3.76519602411855,0.00181616076289526,0.831969276911635,-1.60102503662811
"ENSG00000120500",-0.00626936158333333,0.00236751461764706,-3.75899563585727,0.00183956719810444,0.831969276911635,-1.6136680292257
"ENSG00000283945",-0.0291487455,0.0154273297647059,-3.73962547616541,0.00191466594288666,0.831969276911635,-1.65316219839147
"ENSG00000235303",0.0283173391666667,0.00832328710588235,3.72555512275222,0.0019711468765971,0.831969276911635,-1.68184732160057
