"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000100678",0.171210431111111,0.0284311757037037,8.41891050904662,9.19674430423718e-09,0.000314225162642872,9.87845212343971
"ENSG00000183914",0.133179317444444,0.025577397962963,7.62558230880023,5.58999530461065e-08,0.000954966847863161,8.04820301783471
"ENSG00000068971",0.364451278888889,0.111137267666667,6.5822833186391,6.79075785555707e-07,0.00773399412169394,5.52082443479138
"ENSG00000246223",0.536693486777778,0.122722744592593,6.11435182233589,2.17015147424564e-06,0.0185368913551377,4.34834012576324
"ENSG00000110446",0.220776379111111,0.0472661563333333,6.00106200404031,2.88494512567818e-06,0.0197139840218093,4.06146509290975
"ENSG00000170948",0.0719696966666667,0.00839499815925926,5.87594996055331,3.95643314011376e-06,0.0225299085163778,3.74346065439003
"ENSG00000148908",0.123191097333333,0.0179323916518518,5.64698811780623,7.0774069128263e-06,0.0345448231415052,3.1586143293653
"ENSG00000277954",0.0701556377777778,0.00974071513333333,5.47867457487086,1.08815389197429e-05,0.0464736925338568,2.72668102915228
"ENSG00000167508",0.278755842333333,0.0916692461481482,5.34240024670823,1.54370757372805e-05,0.0488834085127207,2.37598909528709
"ENSG00000255389",0.121369603888889,0.0203297928888889,5.32234471453583,1.62539387629353e-05,0.0488834085127207,2.32431703121421
"ENSG00000197620",0.107879818611111,0.0153929262777778,5.28302495610733,1.79842104948425e-05,0.0488834085127207,2.22297285374294
"ENSG00000272870",0.168970937333333,0.0535825533333333,5.27085483730597,1.85565352868967e-05,0.0488834085127207,2.19159537266179
"ENSG00000245498",0.165059895555556,0.039683367037037,5.23849957225946,2.01690348521918e-05,0.0488834085127207,2.10815504228211
"ENSG00000215910",0.0710626672222222,0.0124806401111111,5.21624022357378,2.13597025408551e-05,0.0488834085127207,2.05073459348287
"ENSG00000109618",0.255867644222222,0.108911499925926,5.21440818594167,2.14607992416897e-05,0.0488834085127207,2.04600809667859
"ENSG00000229102",0.287029029222222,0.0443428912962963,5.17636063146811,2.36728569090201e-05,0.049502378574423,1.9478311461829
"ENSG00000261286",0.123183662777778,0.0208774938888889,5.12909945310623,2.67432327709378e-05,0.049502378574423,1.82583829423291
"ENSG00000183114",0.0969696966666667,0.0113080856296296,5.1011943334609,2.8741266732169e-05,0.049502378574423,1.75379049866725
"ENSG00000267532",0.0965161819444445,0.0109255823148148,5.1009410224077,2.8760075798596e-05,0.049502378574423,1.75313642707511
"ENSG00000179698",0.107426303888889,0.018123087037037,5.09803533368581,2.89767193926438e-05,0.049502378574423,1.74563361932247
"ENSG00000145198",0.0986446120555556,0.0173596177962963,5.06222209916331,3.17856845022151e-05,0.051715308685104,1.65315144210394
"ENSG00000234261",0.118530542666667,0.0353680055185185,5.02828928521518,3.46995488742146e-05,0.0538899766538769,1.56551355986379
"ENSG00000205744",0.0947393462222222,0.0149809064555556,4.95222803979726,4.22445800601292e-05,0.062755242039758,1.36905074239744
"ENSG00000051180",0.150009746166667,0.0262278180555556,4.9094738607785,4.71882766931133e-05,0.0671784104072334,1.25861979294838
"ENSG00000089169",0.165947505888889,0.0573543457777778,4.84303067256401,5.60488175745528e-05,0.0766007980027899,1.08702778443031
"ENSG00000164385",0.251457901222222,0.0876191943333333,4.81858082995543,5.97140360739561e-05,0.0776630820044678,1.02389862122389
"ENSG00000172123",0.240593022444444,0.0716013637037037,4.80801013261339,6.13721782456941e-05,0.0776630820044678,0.996608179833823
"ENSG00000126249",0.0669661654444445,0.0129665708148148,4.79010075428954,6.42874994319717e-05,0.0784468211818635,0.950376010505922
"ENSG00000174225",0.0710626672222222,0.0125646133333333,4.74714570351183,7.18580120612512e-05,0.0846611275205782,0.839516893095213
"ENSG00000187736",0.119562979444444,0.0239944739259259,4.72245223266639,7.66078215949872e-05,0.0872486480145309,0.775807791853039
"ENSG00000143155",0.416707387111111,0.263222780222222,4.69389050561614,8.24950770783052e-05,0.0897342782306796,0.702139966448236
"ENSG00000141736",0.363829387777778,0.157294459851852,4.68671947805623,8.4042991874667e-05,0.0897342782306796,0.683648012801722
"ENSG00000089820",0.0662251763888889,0.0114941403888889,4.64980405395178,9.24833591626654e-05,0.0957539070457814,0.588481413307733
"ENSG00000100580",0.527480182666667,0.293522521333333,4.61265976888371,0.000101831792094719,0.100286742065962,0.492775731069148
"ENSG00000240687",0.106058325055556,0.0198922320555556,4.59695536077201,0.000106063026614862,0.100286742065962,0.452328825552025
"ENSG00000188158",2.17380585,1.09359955740741,4.59236821777667,0.000107331770867012,0.100286742065962,0.440516596696428
"ENSG00000049883",0.386225712555556,0.164561192666667,4.58782914665893,0.000108602144070026,0.100286742065962,0.428829076582467
"ENSG00000106089",0.190121178333333,0.0574196025555556,4.56756807387751,0.000114458387387325,0.101047213137017,0.376670924674453
"ENSG00000073670",0.143435491333333,0.0452417081481481,4.56460600336622,0.000115340571672774,0.101047213137017,0.369047270544372
"ENSG00000242539",0.106065759666667,0.0185924947888889,4.54132941023345,0.000122513470641239,0.102208373395207,0.309153907617694
"ENSG00000183379",0.0715161819444445,0.0123566084111111,4.54090329357169,0.000122648851500088,0.102208373395207,0.308057713752389
"ENSG00000283959",0.126672633888889,0.0221454726407407,4.47000655862592,0.000147383925664188,0.119896823527817,0.125812179883765
"ENSG00000113108",0.152245882333333,0.0727594236296296,4.44619848093625,0.000156759828732086,0.124558443448586,0.0646780525524298
"ENSG00000101440",0.196678244666667,0.0834121477037037,4.40452971736739,0.000174622185535943,0.130087432727005,-0.0422295040804306
"ENSG00000237172",0.0992407344444445,0.0206114756296296,4.40348856209284,0.000175093551755598,0.130087432727005,-0.0448992243923234
"ENSG00000068724",0.930014713333334,0.763998151851852,4.40338524520233,0.000175140395862739,0.130087432727005,-0.0451641443970452
"ENSG00000282933",0.121369603777778,0.0243989701851852,4.36502047425889,0.000193426618144591,0.138633694334232,-0.143483712542086
"ENSG00000234719",0.127013912444444,0.0443044194814815,4.34826261112118,0.000201999017209362,0.138633694334232,-0.186395322712527
"ENSG00000077150",0.117944753444444,0.035646719962963,4.34495004561,0.000203737764523341,0.138633694334232,-0.194875165246108
"ENSG00000186806",0.131559958333333,0.0304747948888889,4.33880902416908,0.00020700063246118,0.138633694334232,-0.210593273761114
"ENSG00000280116",0.0898646322222222,0.017343805037037,4.33332300386397,0.000209959413166355,0.138633694334232,-0.224632334523984
"ENSG00000070831",0.524788283333333,0.400210355555556,4.33142713821189,0.000210991661702229,0.138633694334232,-0.229483405131036
"ENSG00000164896",0.214442652111111,0.110243529666667,4.3122787997957,0.000221704535670527,0.142924129627451,-0.278462915961356
"ENSG00000225778",0.151875904555556,0.0558360017407407,4.2887218600119,0.000235628351339821,0.146158546366887,-0.338676735945171
"ENSG00000180438",0.201635413666667,0.0627977016666667,4.2854855218619,0.000237607957560397,0.146158546366887,-0.346945369362117
"ENSG00000228999",0.0642599461111111,0.0151643602962963,4.2823283135676,0.000239555085215139,0.146158546366887,-0.35501094022891
"ENSG00000219622",0.104236831611111,0.0209090599074074,4.25605160769916,0.000256387836773664,0.152905199697551,-0.422104009463621
"ENSG00000232233",0.0901790034444445,0.0208357757037037,4.24974106068869,0.000260602236797541,0.152905199697551,-0.438207469433642
"ENSG00000286721",0.110915274888889,0.018783681937037,4.24467008699025,0.000264038598125545,0.152905199697551,-0.451145039144217
"ENSG00000129951",0.0639827982222222,0.0133669727037037,4.22790002098516,0.000275726470022753,0.157012438354457,-0.493913042257532
"ENSG00000070019",0.182280341222222,0.0461704530740741,4.14934589525558,0.000337682060010746,0.189140704006347,-0.693869601542209
