Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2021__protein targeting to ER (GO:0045047),-0.8320754257193483,-2.086452487032961,0.0,0.0,0.0,59/97,11.28%,RPL19;RPS13;RPL12;RPL23;RPS14;RPS21;RPS23;RPL41;RPS4X;RPS27;RPL27A;RPL10;RPL39;RPLP1;RPL34;RPL8;RPL29;RPL15;RPL38;SRPRA;RPL35;RPS27A;RPL7A;RPL24;RPL11;RPL35A;RPS8;RPL27;RPS7;RPL9;RPL23A;RPS25;RPLP2;RPS6;RPL30;RPS15;RPS12;RPL3;RPL18A;RPS9;RPL18;RPL13;RPS24;RPL21;RPL7;RPL5;RPL32;RPS26;RPS16;RPS3A;RPS28;RPS18;RPS11;RPL13A;RPS20;RPL14;RPL10A;RPL6;SPCS1
prerank,PanglaoDB_Augmented_2021__Immature Neurons,0.6805457132489622,2.083181800839775,0.0,0.0,0.0,59/121,22.18%,EPHA7;FEZF2;PCDH8;ANK2;SOX5;CADM2;FUT9;SNAP91;LHX6;LSAMP;CAMKV;ASCL1;ADGRB3;AMER2;ATP2B3;ADGRL3;STIM2;RBFOX1;CACNA1B;NOL4;UNC79;SLC35F1;KIF5A;CTNNA2;NRXN1;NPAS3;ROBO1;LRRC4C;PPFIA2;ASTN1;HIVEP2;ADGRA1;CELF3;NF1;PAK3;SLITRK1;GPM6B;KIF1B;OLFM3;MAPK4;KCNQ2;PURG;BCL2;ELAVL3;CSRNP3;PCLO;CTNND2;OPCML;ERC2;NOVA1;FAT3;GRIA2;DPYSL5;NOVA2;POU3F2;UNC13A;CLVS2;NTRK3;ABI2
prerank,GO_Biological_Process_2021__SRP-dependent cotranslational protein targeting to membrane (GO:0006614),-0.843218867985867,-2.07385751547637,0.0,0.0,0.0,57/85,10.95%,RPL19;RPS13;RPL12;RPL23;RPS14;RPS21;RPS23;RPL41;RPS4X;RPS27;RPL27A;RPL10;RPL39;RPLP1;RPL34;RPL8;RPL29;RPL15;RPL38;RPL35;RPS27A;RPL7A;RPL24;RPL11;RPL35A;RPS8;RPL27;RPS7;RPL9;RPL23A;RPS25;RPLP2;RPS6;RPL30;RPS15;RPS12;RPL3;RPL18A;RPS9;RPL18;RPL13;RPS24;RPL21;RPL7;RPL5;RPL32;RPS26;RPS16;RPS3A;RPS28;RPS18;RPS11;RPL13A;RPS20;RPL14;RPL10A;RPL6
prerank,"GO_Biological_Process_2021__nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",-0.8143847035639964,-2.0722555087575665,0.0,0.0,0.0,58/105,10.95%,RPL19;RPS13;RPL12;RPL23;RPS14;RPS21;RPS23;RPL41;RPS4X;RPS27;RPL27A;RPL10;RPL39;RPLP1;RPL34;RPL8;RPL29;RPL15;RPL38;RPL35;RPS27A;RPL7A;RPL24;RPL11;RPL35A;RPS8;RPL27;RPS7;RPL9;RPL23A;RPS25;RPLP2;RPS6;RPL30;RPS15;RPS12;RPL3;RPL18A;RPS9;RPL18;RPL13;RPS24;RPL21;RPL7;RPL5;RPL32;RPS26;RPS16;RPS3A;RPS28;RPS18;HELZ2;RPS11;RPL13A;RPS20;RPL14;RPL10A;RPL6
prerank,GO_Biological_Process_2021__cotranslational protein targeting to membrane (GO:0006613),-0.8331451588522636,-2.0475156173633264,0.0,0.0,0.0,58/88,10.95%,RPL19;RPS13;RPL12;RPL23;RPS14;RPS21;RPS23;RPL41;RPS4X;RPS27;RPL27A;RPL10;RPL39;RPLP1;RPL34;RPL8;RPL29;RPL15;RPL38;SRPRA;RPL35;RPS27A;RPL7A;RPL24;RPL11;RPL35A;RPS8;RPL27;RPS7;RPL9;RPL23A;RPS25;RPLP2;RPS6;RPL30;RPS15;RPS12;RPL3;RPL18A;RPS9;RPL18;RPL13;RPS24;RPL21;RPL7;RPL5;RPL32;RPS26;RPS16;RPS3A;RPS28;RPS18;RPS11;RPL13A;RPS20;RPL14;RPL10A;RPL6
prerank,GO_Biological_Process_2021__cytoplasmic translation (GO:0002181),-0.8344718648353866,-2.0471089110018785,0.0,0.0,0.0,58/87,10.95%,RPL19;RPS13;RPL12;RPL23;RPS14;RPS21;RPS23;RPL41;RPS4X;RPS27;RPL27A;RPL10;RPL39;RPLP1;RPL34;RPL8;RPL29;RPL15;RPL38;RPL35;RPS27A;RPL7A;RPL24;RPL11;RPL35A;RPS8;RPL27;RPS7;RPL9;RPL23A;RPS25;RPS6;RPL30;RPS15;RPS12;RPL3;TMA7;RPL18A;RPS9;RPL18;RPL13;RPS24;RPL21;RPL7;RPL5;RPL32;RPS26;RPS16;RPS3A;RPS28;RPS18;RPS11;RPL13A;RPS20;RPL14;RPL22L1;RPL10A;RPL6
prerank,PanglaoDB_Augmented_2021__Neuroblasts,0.6610000185388527,2.006531872937804,0.0,0.04907559337080501,0.06,34/111,11.45%,POU6F2;SPSB4;EPHA7;SEMA5B;PCDH8;EFNA2;CSPG5;ERBB4;SNAP91;EGFR;CAMKV;TSHZ1;EPHA4;ASCL1;CNR1;CCKBR;ADGRL3;RHBDL3;CACNA1B;PPM1E;MPP2;NOL4;SALL3;SLC35F1;CDK5R2;KIF5A;PBX1;ASTN1;FBLL1;UNC5D;CELF3;LRP8;KIF5C;IGDCC3
prerank,MSigDB_Hallmark_2020__Interferon Alpha Response,-0.7780404669545132,-1.992034922805965,0.0,0.0,0.0,33/81,10.61%,IFI44L;GBP2;SAMD9;WARS1;IFI44;IFITM3;IRF1;IL7;BST2;HERC6;PARP14;MX1;EPSTI1;USP18;ISG15;IFIT3;HLA-C;B2M;CMPK2;SAMD9L;IFIT2;DDX60;PSMB9;IFI35;TRIM21;SP110;CASP8;RSAD2;PROCR;HELZ2;STAT2;PSME1;LPAR6
prerank,PanglaoDB_Augmented_2021__Glutaminergic Neurons,0.6714951026070813,1.9852867400117893,0.0,0.049075593370805005,0.09,42/101,23.76%,GABRG1;FUT9;SNAP91;GLS;LSAMP;PSD2;AMER2;ATP2B3;RBFOX1;GRIN1;CACNA1B;NOL4;UNC79;KCTD16;CTNNA2;NRXN1;CACNG3;CAMK2A;PPFIA2;ASTN1;ADGRA1;CELF3;SLITRK1;MEIS2;GRM1;TRPM3;TMEM196;OLFM3;MAGI2;ELAVL3;CA10;CSRNP3;KCNC2;OPCML;GRIA2;UNC13A;CLVS2;SLC6A1;NTRK3;GRIN2B;GRM5;CNTN2
prerank,GO_Biological_Process_2021__translation (GO:0006412),-0.7370137968016636,-1.956481336533417,0.0,0.0,0.0,79/191,15.51%,RPL19;RPS13;RPL12;RPL23;RPS14;WARS1;RPS21;RPS23;RPL41;RPS4X;RPS27;RPL27A;RPL10;RPL39;RPLP1;RPL34;RPL8;RPL29;RPL15;RPL38;RPL35;RPS27A;RPL7A;RPL24;RPL11;RPL35A;RPS8;RPL27;RPS7;RPL9;RPL23A;RPS25;RPLP2;RPS6;RPL30;RPS15;RPS12;RPL3;TMA7;RPL18A;GARS1;EEF1B2;RPS9;RPL18;RPL13;RPS24;RPL21;RPL7;RPL5;RPL32;RPS26;RPS16;RPS3A;RPS28;MRPL51;TRMT112;RPS18;RPS11;RPL13A;RPS20;RPL14;RPL22L1;RPL10A;RPL6;NARS1;RPL26L1;ZC3H15;MRPL27;DRG1;RPS19;RPL36;RPL31;MRPS33;MRPL36;RPS2;GTPBP2;RPL37A;RPL4;MRPL34
