Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,PanglaoDB_Augmented_2021__Neurons,0.7708167445740131,1.9948972240613196,0.0,0.0,0.0,81/259,10.90%,NPY;CDH22;SLITRK1;SLC32A1;CCK;SPOCK3;CA10;IGF1;PROX1;RGS7BP;TAGLN3;STMN2;TESC;NCALD;SH3GL2;VSTM2B;TMEM191C;CNTN2;RIT2;PCSK2;SNCB;GAP43;SYT4;SCN3B;OPCML;ZDHHC22;NRGN;OLFM3;CNTNAP2;PCP4;ELAVL4;C11ORF87;SCN1A;RIMS3;SYT5;VSNL1;STMN4;GAD2;SCN2A;ATP2B3;KCNK1;ARHGDIG;SRRM4;GABBR2;GRM5;SYNPR;RAB3C;PDE1A;CDK5R2;GNG2;ST8SIA3;ZIC1;HPCA;SYP;GABRA1;CPLX2;TCEAL5;MAP7D2;RYR2;MATN2;MEG3;GRIA3;NRN1;VGF;LUZP2;GABRG2;SULT4A1;VSTM2A;BEX1;KCNQ2;NECAB2;CELF3;KIF5A;PCLO;KCNC1;CPLX1;TMEM130;DNER;ADAM12;LY6H;PACSIN1
prerank,PanglaoDB_Augmented_2021__Photoreceptor Cells,0.7830423959867888,1.9364369128056096,0.0,0.0,0.0,46/123,10.32%,SLITRK1;CA10;SLC24A2;PROX1;ZNF536;STMN2;VSTM2B;CNTN2;CNTN4;PCSK2;SYT4;SCN3B;OPCML;ZDHHC22;OLFM3;SV2B;VWC2L;CNTNAP2;CNTNAP5;CACNG3;C11ORF87;SCN1A;STMN4;GAD2;SCN2A;ATP2B3;PAK3;SRRM4;GRM5;SYNPR;RAB3C;B3GALT2;ST8SIA3;GRIA1;SYP;GABRA1;TCEAL5;NTRK3;GABRG2;VSTM2A;FAM135B;CELF3;KCNC1;TMEM130;GRM6;HCN1
prerank,PanglaoDB_Augmented_2021__Neuroendocrine Cells,0.8139906028403275,1.91571099731728,0.0,0.0,0.0,44/117,9.31%,NPY;CDH22;SLITRK1;CCK;CA10;RGS7BP;TAGLN3;ZNF536;STMN2;SH3GL2;VSTM2B;CNTN2;RIT2;SNCB;GAP43;SYT4;SCN3B;OPCML;NRGN;OLFM3;KCNC2;PLP1;PLPPR4;ELAVL4;C11ORF87;STMN4;GAD2;SCN2A;ATP2B3;ARHGDIG;GRM5;SYNPR;RAB3C;ST8SIA3;HPCA;GABRA1;CPLX2;TCEAL5;GFAP;GABRG2;SULT4A1;VSTM2A;CELF3;KCNC1
prerank,PanglaoDB_Augmented_2021__Beta Cells,0.7862988879864767,1.8708525585929248,0.0,0.0,0.0,41/114,10.94%,NPY;RIMBP2;CDH22;SIX3;CA10;CHGB;PROX1;STMN2;SH3GL2;NPTX2;CNTN4;PCSK2;SYT4;SCN3B;KCNB2;PCP4;ELAVL4;PLPPR1;GAD2;FGF12;IGSF21;PAK3;ABCC8;RAB3C;UNC5D;NKX6-2;ST8SIA3;SYP;CPLX2;TCEAL5;MEG3;SYT13;ROBO2;PIR;SULT4A1;VSTM2A;CELF3;KCNC1;ASXL3;LY6H;HMGCLL1
prerank,GO_Biological_Process_2021__SRP-dependent cotranslational protein targeting to membrane (GO:0006614),-0.6950959552237781,-1.868110152055904,0.0,0.633641067458815,0.38,27/85,13.55%,RPS24;RPL35A;RPL34;RPL39;RPL37;RPL13;RPL18;RPS28;RPL12;RPL31;RPL23;RPL41;RPL6;RPS26;RPL29;RPL30;RPL22;RPS13;RPL14;RPSA;RPL15;RPS2;ZFAND2B;RPL23A;RPL11;RPS21;RPS23
prerank,PanglaoDB_Augmented_2021__Pyramidal Cells,0.7803625571694046,1.863262408061469,0.0,0.0,0.0,50/121,9.31%,CDH22;SLITRK1;SLC32A1;CCK;SHISA7;CA10;GRIN2A;SPINK8;TAGLN3;STMN2;GRIN2B;GRIN2D;VSTM2B;CNTN2;RIT2;SNCB;GAP43;SYT4;OPCML;NRGN;OLFM3;KCNB2;KCNC2;PCP4;ELAVL4;CACNG3;C11ORF87;STMN4;GAD2;IGSF21;ATP2B3;SRRM4;GRM5;SYNPR;RAB3C;OXTR;ST8SIA3;HPCA;GRIA1;GABRA1;KCND3;CPLX2;TCEAL5;GRIA3;GFAP;GABRG2;VSTM2A;KCNQ2;CELF3;KCNC1
prerank,GO_Biological_Process_2021__mitochondrial translational termination (GO:0070126),-0.6935248922785419,-1.857130331870949,0.0,0.3940938346390191,0.42,29/78,19.77%,MRPL10;MRPS21;MRPL52;MRPS7;MRPS22;MRPL15;MRPL36;MRPL18;MRPS16;MRPS10;MRPL47;MRPL40;MTRF1L;MRPS9;MRPS26;MRPL21;MRPS33;MRPS34;MRPS18B;MTRF1;MRPS12;MRPL19;OXA1L;MRPS5;MRPL50;MRPS31;PTCD3;MRPL3;MRPL17
prerank,GO_Biological_Process_2021__protein targeting to ER (GO:0045047),-0.6893407656719633,-1.850254018965198,0.0,0.30651742694145934,0.47,30/97,13.55%,RPS24;RPL35A;SRPRB;RPL34;RPL39;SRPRA;RPL37;RPL13;RPL18;RPS28;RPL12;RPL31;RPL23;RPL41;RPL6;RPS26;RPL29;RPL30;RPL22;RPS13;SPCS1;RPL14;RPSA;RPL15;RPS2;ZFAND2B;RPL23A;RPL11;RPS21;RPS23
prerank,PanglaoDB_Augmented_2021__Purkinje Neurons,0.7712554676668409,1.8469578135358145,0.0,0.0,0.0,53/143,10.87%,CDH22;SLITRK1;SLC32A1;CA10;SLC24A2;PCDH8;STMN2;VSTM2B;CNTN2;RIT2;SNCB;GRID2;SHISA8;GAP43;SYT4;OPCML;ZDHHC22;OLFM3;PLP1;CNTNAP2;PCP4;ELAVL4;C11ORF87;STMN4;GAD2;IGSF21;ATP2B3;SRRM4;GRM5;SYNPR;RAB3C;PDE1A;ST8SIA3;HPCA;SYP;GABRA1;ITPR3;CPLX2;TCEAL5;GRIN1;GRIA3;GABRG2;SULT4A1;VSTM2A;HIVEP2;KCNQ2;CELF3;KIF5A;KCNC1;CPLX1;HCN1;NRIP3;LY6H
prerank,PanglaoDB_Augmented_2021__Oligodendrocytes,0.736334638602051,1.8444282940778607,0.0,0.0016316468356373877,0.01,44/160,8.06%,ENPP2;CDH22;ANLN;MOBP;ST18;HAPLN2;MYRF;CA10;MOG;ADAMTS4;RGS7BP;TMEM235;CREB5;VSTM2B;MBP;SRCIN1;CNTN2;SNCB;FAM163B;ZDHHC9;OPCML;ADCY5;OPALIN;PLP1;FA2H;EFNB3;STMN4;IGSF21;BCAS1;VLDLR;PLLP;MCAM;GRM5;SYNPR;NINJ2;NKX6-2;ST8SIA3;HPCA;FAM107A;CPLX2;TCEAL5;PHYHIP;MAG;GFAP
