Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,PanglaoDB_Augmented_2021__Neurons,0.7750191360904816,2.049959037499806,0.0,0.0,0.0,82/259,10.71%,NPY;CDH22;SLITRK1;SLC32A1;CCK;SPOCK3;CA10;IGF1;PROX1;RGS7BP;TAGLN3;STMN2;TESC;NCALD;SH3GL2;VSTM2B;TMEM191C;PCSK2;CNTN2;RIT2;SNCB;SYT4;GAP43;ZDHHC22;SCN3B;SCN1A;NRGN;C11ORF87;SYT5;RIMS3;CNTNAP2;STMN4;OPCML;PCP4;SCN2A;ELAVL4;OLFM3;ATP2B3;GAD2;VSNL1;KCNK1;SRRM4;SYNPR;ARHGDIG;GABBR2;RAB3C;GNG2;CDK5R2;HPCA;CPLX2;GABRA1;ST8SIA3;GRM5;PDE1A;SYP;VGF;ZIC1;MAP7D2;MEG3;TCEAL5;NRN1;RYR2;GRIA3;LUZP2;VSTM2A;SULT4A1;MATN2;GABRG2;NECAB2;KIF5A;CELF3;PCLO;KCNC1;TMEM130;CPLX1;BEX1;KCNQ2;PACSIN1;LY6H;DNER;NWD2;ADAM12
prerank,PanglaoDB_Augmented_2021__Neuroendocrine Cells,0.8178145903201404,2.0401820119477914,0.0,0.0,0.0,44/117,8.58%,NPY;CDH22;SLITRK1;CCK;CA10;RGS7BP;TAGLN3;STMN2;ZNF536;SH3GL2;VSTM2B;CNTN2;RIT2;SNCB;SYT4;GAP43;SCN3B;PLP1;KCNC2;PLPPR4;NRGN;C11ORF87;STMN4;OPCML;SCN2A;ELAVL4;OLFM3;ATP2B3;GAD2;SYNPR;ARHGDIG;RAB3C;HPCA;CPLX2;GABRA1;ST8SIA3;GRM5;TCEAL5;VSTM2A;GFAP;SULT4A1;GABRG2;CELF3;KCNC1
prerank,GO_Biological_Process_2021__cytoplasmic translation (GO:0002181),-0.7190683187722989,-1.9744798050015224,0.0,0.030350630620699794,0.04,29/87,14.26%,TMA7;RPL35A;RPS24;RPL34;RPL39;RPL13;RPL37;RPS28;RPL18;RPL12;RPL23;RPL31;RPS26;RPL6;RPL41;RPS13;RPL22;RPL29;RPL30;RPSA;FTSJ1;RPL14;RPL15;RPS2;RPL11;RPL23A;RPS21;RWDD1;RPS23
prerank,PanglaoDB_Augmented_2021__Purkinje Neurons,0.7766735401410862,1.9669809778606597,0.0,0.0,0.0,54/143,10.46%,CDH22;SLITRK1;SLC32A1;CA10;SLC24A2;PCDH8;STMN2;VSTM2B;CNTN2;RIT2;SNCB;GRID2;SYT4;GAP43;ZDHHC22;PLP1;SHISA8;C11ORF87;CNTNAP2;STMN4;OPCML;PCP4;ELAVL4;OLFM3;ATP2B3;GAD2;IGSF21;SRRM4;SYNPR;RAB3C;HPCA;ITPR3;CPLX2;GABRA1;ST8SIA3;GRM5;PDE1A;SYP;TCEAL5;GRIA3;GRIN1;VSTM2A;SULT4A1;HIVEP2;GABRG2;KIF5A;CELF3;KCNC1;HCN1;CPLX1;KCNQ2;NRIP3;LY6H;PDE1B
prerank,CellMarker_Augmented_2021__Glutamatergic neuron:Brain,0.8198845561045096,1.9601008464463026,0.0,0.0,0.0,43/91,9.36%,CDH22;SLITRK1;SHISA7;SLC32A1;CA10;STMN2;GNG3;VSTM2B;CNTN2;RIT2;SNCB;SYT4;ZDHHC22;SCN3B;KCNC2;VWC2L;C11ORF87;CACNG3;STMN4;OPCML;ELAVL4;OLFM3;ATP2B3;GAD2;SRRM4;SYNPR;RAB3C;CDK5R2;HPCA;CPLX2;GABRA1;ST8SIA3;GRM5;SYP;TCEAL5;DIRAS2;VSTM2A;GABRG2;KIF5A;CELF3;KCNC1;HCN1;KCNQ2
prerank,PanglaoDB_Augmented_2021__Beta Cells,0.7918823178693983,1.9590424272015485,0.0,0.0,0.0,38/114,8.58%,NPY;RIMBP2;CDH22;SIX3;CA10;CHGB;PROX1;STMN2;SH3GL2;NPTX2;PCSK2;CNTN4;SYT4;SCN3B;KCNB2;ABCC8;PLPPR1;PCP4;ELAVL4;PAK3;GAD2;IGSF21;FGF12;UNC5D;RAB3C;NKX6-2;CPLX2;ST8SIA3;SYP;ROBO2;MEG3;TCEAL5;VSTM2A;SYT13;PIR;SULT4A1;CELF3;KCNC1
prerank,CellMarker_Augmented_2021__Neuron:Adipose Tissue,0.7818018660261429,1.9403775675843167,0.0,0.0,0.0,36/96,9.82%,SLITRK1;ELAVL2;TAGLN3;STMN2;SH3GL2;NMNAT2;CNTN2;SNCB;CAMKV;SYT4;PLPPR5;SYT1;GAP43;ZDHHC22;C11ORF87;STMN4;OPCML;CDK5R2;DNM1;HPCA;CPLX2;ST8SIA3;PHYHIP;MAP1B;SULT4A1;GABRG2;GABRA5;NYAP1;MAPK8IP1;KIF5A;CELF3;KCNC1;SRRM3;KCNQ2;PNMA2;TTC9B
prerank,PanglaoDB_Augmented_2021__Photoreceptor Cells,0.7886523701158508,1.940256379354754,0.0,0.0,0.0,46/123,9.05%,SLITRK1;CA10;SLC24A2;PROX1;STMN2;ZNF536;VSTM2B;PCSK2;CNTN2;CNTN4;SYT4;ZDHHC22;SCN3B;VWC2L;SCN1A;C11ORF87;CACNG3;CNTNAP2;CNTNAP5;STMN4;OPCML;SV2B;SCN2A;OLFM3;ATP2B3;PAK3;GAD2;SRRM4;SYNPR;B3GALT2;RAB3C;NTRK3;GABRA1;ST8SIA3;GRM5;SYP;TCEAL5;VSTM2A;GABRG2;FAM135B;CELF3;KCNC1;TMEM130;GRIA1;GRM6;HCN1
prerank,PanglaoDB_Augmented_2021__Cajal-Retzius Cells,0.7818214441104041,1.9379627613706507,0.0,0.0,0.0,51/155,10.71%,SLITRK1;ELAVL2;CNR1;FLRT3;EDIL3;PCDH8;TAGLN3;EPHA7;STMN2;ZNF536;SH3GL2;KCNH7;NLGN1;ATRNL1;CNTN2;SNCB;GRID2;CAMKV;NEFL;SYT4;PLPPR5;SYT1;GAP43;ZDHHC22;RELN;CLSTN2;SLITRK5;LINGO2;CNTNAP2;STMN4;ACHE;OPCML;EFNB3;OLFM3;TCEAL7;NAP1L3;FSD1;ST8SIA3;NRG1;MAP1B;SULT4A1;KIF5A;CELF3;KIF5C;KCNC1;KCNQ2;PNMA2;RGMB;HMGCLL1;SMAD1;ADAM12
prerank,PanglaoDB_Augmented_2021__Dopaminergic Neurons,0.8070045405781892,1.9321099296658448,0.0,0.0,0.0,40/104,11.36%,RIMBP2;MYT1;CDH22;SLITRK1;PCDH8;STMN2;ATRNL1;CNTN2;SNCB;SRCIN1;CAMKV;SYT4;GAP43;ZDHHC22;PRKCG;KCNB2;ABCC8;STMN4;SCN2A;OLFM3;GAD2;PRR36;CDK5R2;HPCA;CPLX2;ST8SIA3;SYP;VSTM2A;SYT13;SULT4A1;GABRG2;KIF5A;CELF3;KCNC1;SMAD3;KCNQ2;HMGCLL1;LY6H;MAPT;NR4A2
prerank,PanglaoDB_Augmented_2021__Interneurons,0.7228783603301139,1.9218758040643569,0.0,0.0,0.0,82/265,10.56%,NPY;CDH22;SLITRK1;CCK;L1CAM;SPOCK3;CA10;SHISA9;RGS7BP;PCDH8;TAGLN3;STMN2;NCALD;SH3GL2;GRIN2D;ZIC4;ELMO1;VSTM2B;PCSK2;PTPRO;CNTN2;RIT2;SNCB;CAMKV;SYT4;PLPPR5;SYT1;GAP43;PRKCB;ZDHHC22;PRKCG;SHISA8;RELN;KCNC2;NRGN;C11ORF87;STMN4;OPCML;SV2B;ELAVL4;OLFM3;ATP2B3;GAD2;IGSF21;VLDLR;FGF12;SYNPR;GABBR2;RAB15;KCNQ5;RAB3C;CDK5R2;LHX6;HPCA;CPLX2;ST8SIA3;PDP1;GRM5;PDE1A;SYP;VGF;TCEAL5;NRN1;VSTM2A;SYT13;RAMP3;SULT4A1;HIVEP2;GABRG2;ADGRL2;GABRA5;KIF5A;CELF3;CACNA1E;KCNC1;CPLX1;KCNQ2;NRIP3;GDA;PACSIN1;LY6H;CDKL5
prerank,PanglaoDB_Augmented_2021__Glutaminergic Neurons,0.7993181137674117,1.9182177312000286,0.0,0.0,0.0,37/101,8.77%,CDH22;SLITRK1;CA10;GRIN2A;STMN2;GRIN2B;CNTN2;RIT2;GAP43;SCN3B;KCNC2;SCN1A;C11ORF87;CACNG3;CNTNAP5;STMN4;OPCML;SCN2A;OLFM3;ATP2B3;GAD2;SRRM4;SYNPR;HPCA;NTRK3;CPLX2;GABRA1;ST8SIA3;GRM5;DIRAS2;GRIN1;VSTM2A;GABRG2;CELF3;KCNC1;TMEM130;GRIA1
prerank,"Reactome_2022__Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",-0.7356252868575186,-1.9180129676810929,0.0,0.09105189186209937,0.19,33/91,14.43%,NDUFAF3;UQCRFS1;NDUFS5;COX18;UCP3;LRPPRC;COX7C;NDUFA12;NDUFB4;UQCRB;NDUFB1;ATP5PF;COX20;ATP5MC1;NDUFAF4;NDUFV3;COX7B;PM20D1;ATP5PB;ATP5PD;TMEM186;NDUFA8;COX5B;ETFB;DMAC2L;ATP5MC3;COX19;NDUFS3;NDUFC1;COQ10A;ETFDH;ATP5F1B;TACO1
prerank,Reactome_2022__Neuronal System R-HSA-112316,0.7104011751527197,1.9114909075899122,0.0,0.0,0.0,85/317,11.19%,IL1RAPL2;SLITRK1;SLC32A1;GRIN3A;GRIK1;GRIN2A;KCNH8;IL1RAPL1;GNG3;KCNJ2;NCALD;CHRNA5;GRIN2D;KCNV1;GRIN2B;KCNH7;NLGN1;GABRB2;PPFIBP1;NEFL;KCNK10;SYT1;PRKCB;ADCY5;KCNQ1;PRKCG;KCNC2;SLITRK5;DLGAP3;RPS6KA1;KCNB2;GLRA2;NRGN;ABCC8;CACNG3;GABRG3;KCNF1;ACHE;APBA2;GAD2;KCNK1;KCNMB4;SHANK3;GABBR2;PRKAR1B;KCNQ5;GNG2;KCND3;LRRTM2;NTRK3;GABRA1;GRM5;NRG1;ABCC9;ADCY7;KCNH2;CACNG8;ADCY2;GRIA3;NPTN;GABRG2;GABRA5;SHANK1;NRXN3;CACNA1E;PTPRD;KCNC1;LRRTM4;GRIA1;KIF17;HCN1;CPLX1;KCNQ2;ARHGEF7;DNAJC5;CACNG4;EPB41L1;RNASE1;GPRIN1;SIPA1L1;HOMER1;SLITRK4;MAPT;KCNAB3;SYN2
prerank,Reactome_2022__Respiratory Electron Transport R-HSA-611105,-0.7323239652429029,-1.9064039656619762,0.0,0.09611033029888268,0.26,24/74,14.43%,NDUFAF3;UQCRFS1;NDUFS5;COX18;LRPPRC;COX7C;NDUFA12;NDUFB4;UQCRB;NDUFB1;COX20;NDUFAF4;NDUFV3;COX7B;TMEM186;NDUFA8;COX5B;ETFB;COX19;NDUFS3;NDUFC1;COQ10A;ETFDH;TACO1
prerank,CellMarker_Augmented_2021__Glutamatergic neuron:Dorsolateral Prefrontal Cortex,0.7874777552128769,1.9055686383941863,0.0,0.0,0.0,38/94,10.41%,SLITRK1;TTLL7;GRIN2A;IL1RAPL1;PDE1C;GRIN2B;GRIK2;CNTN2;SYT16;SYT1;GAP43;SCN3B;OPALIN;KCNC2;C11ORF87;CACNG3;EPHA5;STMN4;OPCML;SCN2A;ATP2B3;GAD2;SRRM4;SYNPR;GABBR2;HPCA;NTRK3;GABRA1;GRM5;PHYHIP;GRIA3;MAP1B;GFAP;GABRG2;TMEM130;GRIA1;PNMA2;FRMPD4
prerank,GO_Biological_Process_2021__ribosome biogenesis (GO:0042254),-0.6756999893640518,-1.8993136097452985,0.0,0.08346423420692442,0.28,48/179,12.26%,IMP4;PAK1IP1;RPL35A;RIOK2;RPS24;FCF1;RPL34;RPL39;EXOSC8;RPL13;RPL37;ZNF658;RPS28;RBIS;RPL18;POP5;DDX52;RPL12;RPL23;RPL31;PIH1D2;MRPL36;NOP56;NOC2L;RPL6;RPF1;RRP1B;EXOSC4;RPL41;RPL22;RPL29;RPL30;NOL8;SNU13;RIOK1;RPL14;URB2;EXOSC5;RPL15;RPS2;DCAF13;MDN1;IMP3;UTP20;RRP36;RPL11;RPL23A;NIP7
prerank,PanglaoDB_Augmented_2021__Taste Receptor Cells,0.7957958795477547,1.8912344690797271,0.0,0.0,0.0,45/97,12.25%,CDH22;CCK;MOBP;ST18;MOG;SLC24A2;PROX1;SLC4A10;PCSK2;CNTN2;XKR4;PRKCB;SCN3B;KCNQ1;KCNC2;SCN1A;CACNG3;RPH3A;CNTNAP5;STMN4;SV2B;GAD2;KCNT1;SRRM4;SYNPR;UNC13C;CPLX2;GABRA1;ST8SIA3;SYP;KCNH2;ADCY2;VSTM2A;FAM135B;CELF3;CACNA1E;MYT1L;MYO15A;HCN1;CNDP1;PDE1B;FGF13;TCEAL6;SLC7A14;CABP1
prerank,GO_Biological_Process_2021__protein targeting to ER (GO:0045047),-0.6983242888556821,-1.8860602741118384,0.0,0.08953436033106439,0.34,31/97,14.26%,RPL35A;RPS24;RPL34;SRPRA;RPL39;RPL13;RPL37;SRPRB;RPS28;RPL18;RPL12;RPL23;RPL31;RPS26;RPL6;RPL41;RPS13;RPL22;RPL29;RPL30;RPSA;RPL14;SPCS1;RPL15;RPS2;ZFAND2B;RPL11;RPL23A;RPS21;SPCS2;RPS23
