Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Reactome_2022__SUMOylation Of RNA Binding Proteins R-HSA-4570464,0.725209079468423,1.8432241697609382,0.0,1.0,0.57,19/42,21.75%,NUP42;NUP37;PHC1;RNF2;NUP54;HNRNPC;NDC1;NUP214;AAAS;NUP188;NUP205;SCMH1;PHC3;NUP210;NUP85;NUP153;NUP50;SUMO2;PCGF2
prerank,Reactome_2022__Transport Of Mature mRNAs Derived From Intronless Transcripts R-HSA-159234,0.7030786659682975,1.836622135596409,0.0,0.6517626983262536,0.6,15/40,20.89%,NUP42;NUP37;NUP54;WDR33;EIF4E;NDC1;NUP214;AAAS;NUP188;NUP205;NUP210;NUP85;CPSF2;NUP153;NUP50
prerank,GO_Biological_Process_2021__tRNA processing (GO:0008033),0.6383794066126046,1.8210608961392387,0.0,0.5554151690084596,0.65,24/60,20.91%,LCMT2;THUMPD1;RPP40;ADAT2;RTRAF;FTSJ1;TSEN2;NSUN6;ADAT1;TSEN15;TRIT1;TRMT61A;DTWD1;DTWD2;THG1L;KARS1;ZBTB8OS;TRMT1;ANKRD16;POP1;CLP1;NSUN2;TRPT1;CDKAL1
prerank,Reactome_2022__Transport Of Mature mRNA Derived From An Intronless Transcript R-HSA-159231,0.7059124677796697,1.8025238515110114,0.0,0.5469139164215954,0.71,15/39,20.89%,NUP42;NUP37;NUP54;WDR33;EIF4E;NDC1;NUP214;AAAS;NUP188;NUP205;NUP210;NUP85;CPSF2;NUP153;NUP50
prerank,CellMarker_Augmented_2021__Pancreatic Ductal Stem cell:Pancreas,0.8100994795686547,1.794360451667817,0.0,0.4964731510728678,0.77,6/20,4.87%,CPA1;ACE2;GOLT1A;EHF;ARHGEF16;TMEM54
prerank,Reactome_2022__SUMOylation Of Ubiquitinylation Proteins R-HSA-3232142,0.6822184649705121,1.7918715149327382,0.0,0.42506262934320876,0.79,15/37,20.89%,NUP42;NUP37;NUP54;NDC1;NUP214;AAAS;NUP188;NUP205;VHL;PIAS4;MDM2;NUP210;NUP85;NUP153;NUP50
prerank,Reactome_2022__Viral mRNA Translation R-HSA-192823,-0.7519667190845528,-1.7839659881072913,0.0,0.08394200669998353,0.07,48/81,20.53%,RPL19;RPL3;RPS27A;RPL39L;RPL36AL;RPS27;RPS14;RPS4X;RPL27A;RPL35;RPL7A;RPL37A;RPL27;RPL9;RPL21;RPL13A;RPS11;RPS16;RPLP1;RPS13;RPL38;RPS3A;RPS8;RPL10A;RPLP2;RPS23;RPS21;RPS7;RPL8;RPS6;RPS15;RPL26L1;RPS9;RPL12;RPL5;FAU;RPL23;RPL4;RPL18A;RPL41;RPL7;RPS12;RPS20;RPL15;RPL11;RPS25;RPL29;RPL36
prerank,Reactome_2022__Peptide Chain Elongation R-HSA-156902,-0.7585519090009002,-1.7783194688435127,0.0,0.041971003349991765,0.07,48/79,20.53%,RPL19;RPL3;RPS27A;RPL39L;RPL36AL;RPS27;RPS14;RPS4X;RPL27A;RPL35;RPL7A;RPL37A;RPL27;RPL9;RPL21;RPL13A;RPS11;RPS16;RPLP1;RPS13;RPL38;RPS3A;RPS8;RPL10A;RPLP2;RPS23;RPS21;RPS7;RPL8;RPS6;RPS15;RPL26L1;RPS9;RPL12;RPL5;FAU;RPL23;RPL4;RPL18A;RPL41;RPL7;RPS12;RPS20;RPL15;RPL11;RPS25;RPL29;RPL36
prerank,Reactome_2022__Defective TPR May Confer Susceptibility Towards Thyroid Papillary Carcinoma (TPC) R-HSA-5619107,0.7379704957562717,1.7776451390566796,0.0,0.45663871038013293,0.84,14/30,20.89%,NUP42;NUP37;NUP54;NDC1;MAP4K5;NUP214;MAP4K2;AAAS;NUP188;NUP205;NUP210;NUP85;NUP153;NUP50
prerank,Reactome_2022__Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,-0.7549166945494884,-1.7759872007650093,0.0,0.02798066889999451,0.07,48/85,20.53%,RPL19;RPL3;RPS27A;RPL39L;RPL36AL;RPS27;RPS14;RPS4X;RPL27A;RPL35;RPL7A;RPL37A;RPL27;RPL9;RPL21;RPL13A;RPS11;RPS16;RPLP1;RPS13;RPL38;RPS3A;RPS8;RPL10A;RPLP2;RPS23;RPS21;RPS7;RPL8;RPS6;RPS15;RPL26L1;RPS9;RPL12;RPL5;FAU;RPL23;RPL4;RPL18A;RPL41;RPL7;RPS12;RPS20;RPL15;RPL11;RPS25;RPL29;RPL36
prerank,Reactome_2022__Interferon Gamma Signaling R-HSA-877300,-0.7774328284026311,-1.7710446459640916,0.0,0.02564894649166163,0.09,21/58,11.40%,GBP2;SOCS3;TRIM22;SP100;GBP1;B2M;CIITA;ICAM1;HLA-A;TRIM5;IRF1;HLA-C;HLA-DRA;GBP7;CD44;TRIM17;IFNGR2;STAT1;IRF7;HLA-B;HLA-E
prerank,Reactome_2022__Eukaryotic Translation Termination R-HSA-72764,-0.7479581053076267,-1.7692906649582818,0.0,0.020519157193329307,0.09,48/82,20.53%,RPL19;RPL3;RPS27A;RPL39L;RPL36AL;RPS27;RPS14;RPS4X;RPL27A;RPL35;RPL7A;RPL37A;RPL27;RPL9;RPL21;RPL13A;RPS11;RPS16;RPLP1;RPS13;RPL38;RPS3A;RPS8;RPL10A;RPLP2;RPS23;RPS21;RPS7;RPL8;RPS6;RPS15;RPL26L1;RPS9;RPL12;RPL5;FAU;RPL23;RPL4;RPL18A;RPL41;RPL7;RPS12;RPS20;RPL15;RPL11;RPS25;RPL29;RPL36
prerank,Reactome_2022__SUMOylation Of DNA Replication Proteins R-HSA-4615885,0.6907571716806798,1.76876467119174,0.0,0.45623388882837745,0.87,14/39,21.32%,NUP42;NUP37;NUP54;NDC1;NUP214;AAAS;NUP188;NUP205;PIAS4;NUP210;NUP85;NUP153;NUP50;SUMO2
prerank,Reactome_2022__Export Of Viral Ribonucleoproteins From Nucleus R-HSA-168274,0.7086486039869401,1.755181890736777,0.0,0.49370237245196397,0.91,15/33,21.38%,NUP42;HSPA1A;NUP37;NUP54;XPO1;NDC1;NUP214;AAAS;NUP188;NUP205;NUP210;NUP85;NUP153;NUP50;PBRM1
prerank,CellMarker_Augmented_2021__Red Blood Cell (erythrocyte):Blood,-0.8210372167972927,-1.7544440660253329,0.0,0.026426187294439255,0.13,13/26,11.20%,CD24;P2RY13;MYO1F;DOCK8;TAGAP;SLA;ARHGAP15;GATA1;IGSF6;CLEC12A;CA1;CTSS;SYK
prerank,Reactome_2022__Collagen Chain Trimerization R-HSA-8948216,-0.7999144825440473,-1.7529771197530388,0.014492753623188406,0.02398343048570958,0.14,10/35,9.63%,COL8A1;COL4A1;COL4A2;COL5A1;COL4A4;COL27A1;COL6A2;COL24A1;COL11A2;COL10A1
prerank,Reactome_2022__Repression Of WNT Target Genes R-HSA-4641265,-0.9134454789297765,-1.752782003628848,0.0,0.020985501674995882,0.14,1/13,0.11%,LEF1
prerank,Reactome_2022__Signaling By Insulin Receptor R-HSA-74752,0.6776798267014135,1.7526135845672683,0.0,0.456800639000835,0.92,11/55,6.41%,FGF6;ATP6V0D2;FLT3;PDE3B;ATP6V1A;NRAS;PIK3R4;TRIB3;THEM4;AKT2;ATP6V1G1
