Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,CellMarker_Augmented_2021__Cancer cell:Brain,-0.7696595305643303,-1.9613045046638253,0.0,0.0643970890234522,0.06,1/93,0.01%,CD44
prerank,GO_Biological_Process_2021__negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154),-0.8689168794100655,-1.9457357413098522,0.0,0.0643970890234522,0.12,1/46,0.01%,CD44
prerank,CellMarker_Augmented_2021__Enteroendocrine cell:Small Intestine,0.8666030338518294,1.9024903397458095,0.0,0.9074548831864345,0.34,2/35,1.54%,CPA1;PPP1R18
prerank,CellMarker_Augmented_2021__Type II pneumocyte:Lung,-0.8007361613836316,-1.8918054062418914,0.0,0.11448371381947059,0.29,11/65,3.10%,CD44;MS4A8;EHF;DUOXA1;CAPN8;CLDN4;PGC;SLCO2A1;DUOX1;SFTPA2;MUC5B
prerank,GO_Biological_Process_2021__negative regulation of cysteine-type endopeptidase activity (GO:2000117),-0.8835234324143552,-1.887481320123213,0.0,0.10017324959203674,0.33,1/41,0.01%,CD44
prerank,CellMarker_Augmented_2021__Epithelial cell:Corneal Epithelium,-0.7500783737643483,-1.8578651092398604,0.0,0.14024254942885145,0.45,14/84,5.44%,CD44;PRDM1;SP140L;RAC2;RIN3;STX11;STK10;PLK3;SP110;FOS;APOBEC3G;MVP;APOL3;TMEM71
prerank,CellMarker_Augmented_2021__Oviduct-derived Stem cell:Oviduct,-0.9676977327745996,-1.8553707381280993,0.0,0.1216389459331875,0.46,1/17,0.01%,CD44
prerank,CellMarker_Augmented_2021__Cancer Stem cell:Brain,-0.8892831974446603,-1.851076708412845,0.0,0.11346153780322529,0.47,2/22,1.04%,CD44;CD24
prerank,CellMarker_Augmented_2021__Endometrial Stem cell:Endometrium,-0.9318674401672702,-1.850672270046675,0.0,0.10017324959203674,0.47,1/21,0.01%,CD44
prerank,GO_Biological_Process_2021__leukotriene metabolic process (GO:0006691),0.9312429731903733,1.8438939475830813,0.0,1.0,0.72,1/20,0.00%,CPA1
prerank,Reactome_2022__Interferon Signaling R-HSA-913531,-0.719728243099952,-1.8418131666015751,0.0,0.10414837854410171,0.52,14/151,8.18%,CD44;IRF4;PRKCD;IFI27;TRIM5;CAMK2A;PDZD2;CIITA;IRF5;EGR1;HLA-DRB1;IFIT2;OAS3;OAS1
prerank,CellMarker_Augmented_2021__Hematopoietic cell:Liver,-0.7279044969122277,-1.8379916859665715,0.0,0.10088877280340844,0.53,2/90,1.31%,CD44;SP140L
prerank,GO_Biological_Process_2021__icosanoid metabolic process (GO:0006690),0.8065591719122215,1.837735358969622,0.0,1.0,0.77,1/50,0.00%,CPA1
prerank,CellMarker_Augmented_2021__Basal cell:Undefined,-0.7749394103295538,-1.8351947532088473,0.0,0.09692087135852906,0.56,3/80,0.64%,CD44;LRP10;IL10RB
prerank,CellMarker_Augmented_2021__Mesenchymal Stem cell:Adipose Tissue,-0.8984028082290696,-1.8322865572610192,0.0,0.09480682550674907,0.58,1/25,0.01%,CD44
prerank,GO_Biological_Process_2021__positive regulation of leukocyte cell-cell adhesion (GO:1903039),-0.9307916681929338,-1.8296596996645367,0.0,0.091917212537748,0.59,2/23,0.87%,CD44;SIRPG
prerank,Reactome_2022__Hyaluronan Metabolism R-HSA-2142845,-0.9618062222267456,-1.8279428231947312,0.0,0.08995148942958402,0.62,1/15,0.01%,CD44
prerank,"GO_Biological_Process_2021__regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043516)",-0.8737474520726759,-1.8271933202029507,0.0,0.08490875441610733,0.63,1/24,0.01%,CD44
prerank,CellMarker_Augmented_2021__Myoepithelial cell:Undefined,-0.7981522914484859,-1.8265332873870688,0.0,0.08094356328642255,0.64,6/47,3.26%,CD44;ANXA8;EHF;DUOXA1;DUOX1;TPRG1
prerank,CellMarker_Augmented_2021__Cancer Stem cell:Serum,-0.8199511495788665,-1.8208069405208,0.023255813953488372,0.08375830533115679,0.67,6/58,2.28%,CD44;EHF;CAPN8;CLDN4;CD24;FAM3D
prerank,CellMarker_Augmented_2021__Mesenchymal Stem cell:Ligament,-0.9005896271909442,-1.8204386605727563,0.0,0.08029760483171199,0.68,2/20,2.04%,CD44;CD53
prerank,CellMarker_Augmented_2021__Cancer Stem cell:Peripheral Blood,-0.804694727012061,-1.8180857915601358,0.0,0.07908414441476586,0.69,3/67,0.40%,CD44;ANXA8;EHF
prerank,CellMarker_Augmented_2021__Side-population cell:Undefined,-0.8153653619378144,-1.817987367446357,0.0,0.07548769879971341,0.69,7/62,2.68%,CD44;ANXA8;EHF;CD24;GPR39;ALS2CL;CLDN1
prerank,CellMarker_Augmented_2021__Intestinal Epithelial Stem cell:Jejunum,-0.8300288188394945,-1.8072199657295713,0.0,0.08261040713109524,0.73,6/59,1.19%,CD44;ANXA8;EHF;CLDN4;CD24;GPR39
prerank,CellMarker_Augmented_2021__Epithelial Progenitor cell:Breast,-0.8300288188394945,-1.8072199657295713,0.0,0.08261040713109524,0.73,6/59,1.19%,CD44;ANXA8;EHF;CLDN4;CD24;GPR39
prerank,GO_Biological_Process_2021__hyaluronan metabolic process (GO:0030212),-0.9288146212788763,-1.8036947307496316,0.0,0.08275181488037818,0.75,1/20,0.01%,CD44
prerank,KEGG_2021_Human__Porphyrin and chlorophyll metabolism,-0.8428687651564286,-1.7995553160944497,0.022727272727272728,0.08616092003600781,0.75,1/23,0.08%,UGT2B15
prerank,GO_Biological_Process_2021__positive regulation of cell-cell adhesion (GO:0022409),-0.859840806753181,-1.7982099369510915,0.0,0.0850041575109569,0.76,3/34,1.88%,CD44;SIRPG;CXCL13
prerank,CellMarker_Augmented_2021__Mesenchymal Stem cell:Bone,-0.9045190963305187,-1.7896695739842805,0.0,0.0868849613808482,0.79,1/21,0.01%,CD44
prerank,CellMarker_Augmented_2021__Mesenchymal Stem cell:Tendon,-0.9045190963305187,-1.7896695739842805,0.0,0.0868849613808482,0.79,1/21,0.01%,CD44
prerank,CellMarker_Augmented_2021__Mesenchymal Stem cell:Muscle,-0.9045190963305187,-1.7896695739842805,0.0,0.0868849613808482,0.79,1/21,0.01%,CD44
prerank,CellMarker_Augmented_2021__Basal Progenitor cell:Breast,-0.8081509997073055,-1.788977441568709,0.0,0.0848758567971937,0.79,7/60,2.82%,CD44;EHF;CLDN4;CD24;GPR39;CLDN1;C6ORF132
prerank,GO_Biological_Process_2021__epiboly involved in wound healing (GO:0090505),-0.9509316358267491,-1.788351561189418,0.0,0.08276218478199227,0.79,1/16,0.01%,CD44
prerank,CellMarker_Augmented_2021__Limbal Stem cell:Limbal Epithelium,-0.791811927339328,-1.7866296353840903,0.020833333333333332,0.08193894839901623,0.79,3/33,0.43%,ANXA8;EHF;DUOXA1
prerank,CellMarker_Augmented_2021__Hematopoietic Stem cell:Blood,-0.848517646797999,-1.7816754643808441,0.0,0.08474478034683466,0.81,1/29,0.01%,CD44
prerank,CellMarker_Augmented_2021__Oligodendrocyte Precursor cell:Brain,0.6833649270284552,1.777418003394493,0.0,1.0,0.94,46/102,20.92%,PCDH15;LHFPL3;NXPH1;LSAMP;LRRC4C;PMP2;GFAP;CADM2;ROBO2;PCDH17;NRXN1;RAB3C;PDGFRA;NOVA1;PTPRD;SCD5;SYNPR;ANK2;MAGI2;GRM5;LRRTM3;ADGRB3;CTNNA2;NPAS3;ZNF536;GPM6B;GABRB2;RUNX1T1;SEMA6D;FAT3;DLG2;CNTN2;MAPK10;RFTN2;GRID2;SORCS1;CDR1;CSRNP3;STMN4;PLP1;KCNJ10;TRPM3;AMER2;ATP1B2;ADGRL3;CADPS
prerank,GO_Biological_Process_2021__cellular component disassembly (GO:0022411),-0.819909596744246,-1.7772931335424023,0.019230769230769232,0.08738056187357318,0.83,1/46,0.01%,CD44
prerank,GO_Biological_Process_2021__connective tissue development (GO:0061448),-0.8483868155618243,-1.7758564984588985,0.0196078431372549,0.08607323336794755,0.83,1/33,0.01%,CD44
prerank,Reactome_2022__Interferon Gamma Signaling R-HSA-877300,-0.8016513045180172,-1.7732779882602832,0.0,0.08708939658409726,0.83,10/66,8.18%,CD44;IRF4;PRKCD;TRIM5;CAMK2A;CIITA;IRF5;HLA-DRB1;OAS3;OAS1
prerank,GO_Biological_Process_2021__negative regulation of signal transduction by p53 class mediator (GO:1901797),-0.9112509440037037,-1.7727002662523332,0.0,0.08506775957418994,0.83,1/17,0.01%,CD44
prerank,GO_Biological_Process_2021__sister chromatid segregation (GO:0000819),0.8629213355881729,1.772425708364091,0.0,1.0,0.94,4/32,1.92%,SGO1;ESPL1;TOP2A;NDC80
prerank,GO_Biological_Process_2021__extracellular matrix disassembly (GO:0022617),-0.8229245702758148,-1.7702293401211897,0.02040816326530612,0.0862495546680471,0.84,1/46,0.01%,CD44
prerank,GO_Biological_Process_2021__negative regulation of response to DNA damage stimulus (GO:2001021),-0.8570717529983454,-1.7680494088555576,0.0,0.08755744560206219,0.86,1/29,0.01%,CD44
