Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2021__exogenous drug catabolic process (GO:0042738),-0.9009308002047622,-1.8675447784242627,0.0,1.0,0.51,1/12,0.01%,CYP1A2
prerank,GO_Biological_Process_2021__regulation of trans-synaptic signaling (GO:0099177),-0.7772851317007653,-1.857798133361707,0.0,0.8578370283208088,0.54,13/33,15.24%,ARC;NGF;GRID2;NLGN3;GRIK4;GRIK1;CX3CR1;BCR;NLGN2;CEL;CACNA1A;NLGN4Y;BTBD9
prerank,GO_Biological_Process_2021__peptidyl-threonine dephosphorylation (GO:0035970),-0.8927614148475266,-1.8514474687035998,0.0,0.680597972882625,0.62,4/20,4.25%,DUSP4;DUSP6;DUSP2;PPP5C
prerank,GO_Biological_Process_2021__peptidyl-tyrosine dephosphorylation (GO:0035335),-0.8153387484786216,-1.848291503156921,0.0,0.5423515096408419,0.62,11/34,9.26%,DUSP4;DUSP6;UBASH3B;PTPN9;DUSP2;PTPRO;PTPRB;PTPRF;PTPRZ1;PTPRJ;PTPRS
prerank,GO_Biological_Process_2021__steroid metabolic process (GO:0008202),-0.7349408558899464,-1.8356360136106131,0.0,0.5614933276281657,0.69,2/68,0.03%,CYP1A2;UGT2B15
prerank,GO_Biological_Process_2021__epoxygenase P450 pathway (GO:0019373),-0.9069830495639535,-1.830361541697147,0.0,0.500995730038599,0.69,2/10,0.68%,CYP1A2;EPHX2
prerank,GO_Biological_Process_2021__estrogen metabolic process (GO:0008210),-0.8950358727889527,-1.819531504378019,0.0,0.5084228904569611,0.74,2/17,0.03%,CYP1A2;UGT2B15
prerank,GO_Biological_Process_2021__adherens junction organization (GO:0034332),-0.748293834660597,-1.8122279813942856,0.0,0.48563501190062314,0.76,7/44,3.55%,CDH4;CDH20;ZNF703;CDH5;CDH19;CSK;CDH13
prerank,GO_Biological_Process_2021__modulation of chemical synaptic transmission (GO:0050804),-0.6515435406541614,-1.8093453075671635,0.0,0.4442792322983803,0.76,19/101,13.36%,NPAS4;ARC;NGF;NMU;NPTX2;GRID2;NLGN3;DLGAP4;GRIK4;SLC8A3;GRIK1;CX3CR1;BCR;NLGN2;CEL;SNCAIP;DLGAP1;CACNA1A;GRM2
prerank,GO_Biological_Process_2021__arachidonic acid metabolic process (GO:0019369),-0.7081815652590088,-1.7838614655900362,0.0,0.5700008022891985,0.9,2/44,0.68%,CYP1A2;EPHX2
prerank,GO_Biological_Process_2021__positive regulation of synapse assembly (GO:0051965),-0.7710129507052923,-1.7827142008053292,0.0,0.5272056267215789,0.9,9/26,9.80%,GRID2;NLGN3;DLG5;AGRN;SYNDIG1;WNT7A;EPHB2;SLITRK2;NLGN2
prerank,GO_Biological_Process_2021__drug catabolic process (GO:0042737),-0.8643677693049254,-1.7736992551027853,0.0,0.5388067285320782,0.9,1/13,0.01%,CYP1A2
prerank,GO_Biological_Process_2021__regulation of peptide hormone secretion (GO:0090276),-0.6811068396360663,-1.766314366792249,0.03571428571428571,0.5486230454486545,0.92,6/54,2.80%,RFX6;PER2;GRP;CELA2A;GCK;ITPR2
prerank,GO_Biological_Process_2021__type B pancreatic cell differentiation (GO:0003309),-0.9131833112236104,-1.762997687722911,0.0,0.5236148094945197,0.93,1/8,0.12%,RFX6
prerank,GO_Biological_Process_2021__regulation of protein deacetylation (GO:0090311),-0.9695341668015279,-1.7595650477203826,0.0,0.5076126547749579,0.94,3/8,1.81%,SPRED3;SPRED2;SPRED1
prerank,GO_Biological_Process_2021__long-chain fatty acid biosynthetic process (GO:0042759),-0.8185854645678463,-1.7502724159703205,0.03225806451612903,0.5361481427005055,0.94,6/27,6.06%,CYP1A2;EPHX2;ELOVL6;LTC4S;FADS1;HPGD
prerank,GO_Biological_Process_2021__regulation of presynapse assembly (GO:1905606),-0.8136418663537011,-1.7405481575084487,0.03125,0.5301417080439892,0.95,7/18,12.11%,WNT3A;GPC6;MDGA1;GPC4;WNT7A;SLITRK2;LRFN4
prerank,GO_Biological_Process_2021__regulation of presynapse organization (GO:0099174),-0.8136418663537011,-1.7405481575084487,0.03125,0.5301417080439892,0.95,7/18,12.11%,WNT3A;GPC6;MDGA1;GPC4;WNT7A;SLITRK2;LRFN4
prerank,GO_Biological_Process_2021__regulation of cell morphogenesis (GO:0022604),-0.7211790224307594,-1.734977661662337,0.03333333333333333,0.53806045882497,0.98,4/31,5.23%,ARC;MFSD2A;CLDN4;BCL9L
prerank,"GO_Biological_Process_2021__regulation of wound healing, spreading of epidermal cells (GO:1903689)",-0.9085797510998986,-1.7330117064221573,0.0,0.5274634289840345,0.98,1/8,1.63%,PHLDB2
prerank,GO_Biological_Process_2021__DNA methylation (GO:0006306),-0.8059507656027819,-1.7259224739173697,0.0,0.5455586925487709,0.99,3/20,2.34%,DNMT1;FOS;GATAD2A
prerank,GO_Biological_Process_2021__regulation of DNA recombination (GO:0000018),-0.7084542315249471,-1.7143166532884775,0.043478260869565216,0.5942342149600193,1.0,3/36,4.66%,IL7R;H1-4;RAD50
prerank,GO_Biological_Process_2021__cellular response to leptin stimulus (GO:0044320),-0.9158088300978322,-1.707392200668582,0.02702702702702703,0.6201825731158704,1.0,2/9,3.90%,GCK;NR4A3
prerank,GO_Biological_Process_2021__homocysteine metabolic process (GO:0050667),-0.8944614777777118,-1.7037696726272697,0.0,0.6203366940336427,1.0,4/11,7.64%,NOX4;TST;MTHFR;CBS
prerank,GO_Biological_Process_2021__negative regulation of MAPK cascade (GO:0043409),-0.641557229684599,-1.7029981203533762,0.0,0.59892621613671,1.0,17/80,10.53%,DUSP4;SPRED3;SPRY4;SPRED2;DUSP6;SPRED1;FOXO1;PRKCD;APOE;EPHB2;PTPRJ;PRDM15;WNK2;IGBP1;EMILIN1;PTPRR;DAB2IP
prerank,GO_Biological_Process_2021__DNA alkylation (GO:0006305),-0.8292731897523626,-1.690908009030257,0.0,0.6506642657419541,1.0,3/18,2.34%,DNMT1;FOS;GATAD2A
prerank,GO_Biological_Process_2021__DNA methylation or demethylation (GO:0044728),-0.8292731897523626,-1.690908009030257,0.0,0.6506642657419541,1.0,3/18,2.34%,DNMT1;FOS;GATAD2A
prerank,GO_Biological_Process_2021__long-term memory (GO:0007616),-0.8170857311368664,-1.6815748270511692,0.0,0.6957898919201837,1.0,4/17,7.52%,NPAS4;ARC;APOE;SHANK1
prerank,GO_Biological_Process_2021__tachykinin receptor signaling pathway (GO:0007217),-0.916730667780938,-1.6784270387265734,0.0,0.7016221918725338,1.0,2/7,0.72%,TACR3;GRK5
prerank,GO_Biological_Process_2021__inositol phosphate-mediated signaling (GO:0048016),0.8673788176429807,1.6772295171320286,0.0,1.0,0.75,1/16,0.01%,GPR62
prerank,GO_Biological_Process_2021__gluconeogenesis (GO:0006094),-0.7402830910253334,-1.676971780114445,0.0,0.6891054475436579,1.0,5/35,3.34%,PER2;FBP2;G6PC3;ENO3;PC
prerank,GO_Biological_Process_2021__positive regulation of response to DNA damage stimulus (GO:2001022),-0.6771417393563582,-1.6760683237048226,0.0,0.6764814528853511,1.0,12/49,10.35%,SPRED3;EYA4;SPRED2;SPRED1;PRKCD;RNF168;BRCC3;ERCC8;ANKLE1;FXR2;WRAP53;ATR
prerank,GO_Biological_Process_2021__negative regulation of cell morphogenesis involved in differentiation (GO:0010771),-0.8728166259500258,-1.6727878253287816,0.0,0.6625518145107373,1.0,1/12,0.54%,SPRY4
prerank,GO_Biological_Process_2021__negative regulation of substrate adhesion-dependent cell spreading (GO:1900025),-0.8728166259500258,-1.6727878253287816,0.0,0.6625518145107373,1.0,1/12,0.54%,SPRY4
prerank,GO_Biological_Process_2021__monocyte activation (GO:0042117),-0.8480607615742417,-1.6726224572418067,0.0,0.6434820295085113,1.0,1/10,0.41%,MT1G
prerank,GO_Biological_Process_2021__regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0061178),-0.7555931419214812,-1.669438351770552,0.0,0.6473783099204969,1.0,1/25,0.12%,RFX6
prerank,GO_Biological_Process_2021__regulation of cAMP-mediated signaling (GO:0043949),0.8665871506653667,1.6690040921735463,0.0,1.0,0.77,2/22,4.01%,GPR62;SCTR
prerank,GO_Biological_Process_2021__histone H3 deacetylation (GO:0070932),-0.8470992268148307,-1.6622320311443244,0.0,0.6809918374502654,1.0,1/14,0.19%,PER2
prerank,GO_Biological_Process_2021__primary alcohol metabolic process (GO:0034308),-0.8051956735406497,-1.6587765133751236,0.0,0.6897952427864443,1.0,1/24,0.01%,CYP1A2
prerank,GO_Biological_Process_2021__dendritic spine morphogenesis (GO:0060997),-0.8322900488581815,-1.6584703126272529,0.05,0.6731352758115436,1.0,4/15,7.52%,ARC;WNT7A;EPHB2;SHANK1
prerank,GO_Biological_Process_2021__carboxylic acid metabolic process (GO:0019752),-0.7941925638032548,-1.6579346356642668,0.0,0.6587839352902332,1.0,1/33,0.01%,CYP1A2
prerank,"GO_Biological_Process_2021__regulation of synaptic transmission, GABAergic (GO:0032228)",-0.8904400444096868,-1.6575824332333704,0.0,0.6430232931297302,1.0,2/13,0.70%,NPAS4;ADRA1A
prerank,GO_Biological_Process_2021__dendritic spine organization (GO:0097061),-0.7353998088504978,-1.6564243891840198,0.05555555555555555,0.637368934970873,1.0,4/25,7.52%,ARC;WNT7A;EPHB2;SHANK1
prerank,GO_Biological_Process_2021__lipoprotein transport (GO:0042953),-0.8860569827971169,-1.6553859411336957,0.02857142857142857,0.6299582427574297,1.0,1/9,0.56%,APOB
prerank,GO_Biological_Process_2021__protein dephosphorylation (GO:0006470),-0.5724099793976062,-1.65177249529441,0.0,0.6387200937372309,1.0,22/131,10.99%,DUSP4;EYA4;DUSP6;UBASH3B;PPEF1;PTPN9;PPM1M;DUSP2;PTPRO;PPP5C;PTPRB;PTPRF;PTPRZ1;PTPRA;PTPRJ;CTDSP1;PPP2R5D;PTPRE;PTPRS;PPM1H;PTPRR;CTDSP2
prerank,GO_Biological_Process_2021__negative regulation of epithelial to mesenchymal transition (GO:0010719),-0.7751836388385176,-1.6510665403396945,0.05263157894736842,0.6280707619073089,1.0,3/22,1.81%,SPRED3;SPRED2;SPRED1
prerank,GO_Biological_Process_2021__cellular nitrogen compound biosynthetic process (GO:0044271),-0.6702955677740817,-1.649238839272823,0.0,0.625456933412968,1.0,4/26,5.70%,PM20D1;DDAH2;ACER2;ACER3
prerank,GO_Biological_Process_2021__positive regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0035774),-0.9195506274313113,-1.646640070516918,0.0,0.6260391679912191,1.0,1/12,0.12%,RFX6
prerank,GO_Biological_Process_2021__cellular response to inorganic substance (GO:0071241),-0.7251668332151316,-1.6423992836545018,0.03125,0.6389656500733155,1.0,4/16,13.63%,FOXO1;DDX11;AQP1;SPIDR
prerank,PanglaoDB_Augmented_2021__Parathyroid Chief Cells,-0.5859663932355736,-1.6413913307465502,0.0,0.6312664357856639,1.0,16/89,8.36%,NPAS4;RFX6;CAMK1G;SPRED2;WWC1;DUSP15;CFC1;SPTBN4;GPC4;DNAJB5;ABCC8;PRR36;KIRREL2;TTBK1;PCP4;KCNIP1
prerank,GO_Biological_Process_2021__magnesium ion transport (GO:0015693),-0.8366775941259977,-1.6363916920487458,0.0,0.656580272308961,1.0,1/12,0.60%,NIPAL1
prerank,GO_Biological_Process_2021__cytoplasmic translational initiation (GO:0002183),-0.8420623966706561,-1.6361440454152496,0.024390243902439025,0.6460009092610917,1.0,1/18,0.17%,EIF2S3B
prerank,GO_Biological_Process_2021__alkaloid metabolic process (GO:0009820),-0.905907582860397,-1.6297600756101076,0.02564102564102564,0.6703111571160169,1.0,1/5,0.01%,CYP1A2
prerank,GO_Biological_Process_2021__regulation of cholesterol biosynthetic process (GO:0045540),-0.755104845084233,-1.6294851359096365,0.0,0.6596019616999479,1.0,4/17,16.70%,FGF1;APOE;SEC14L2;ABCG1
