Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,MSigDB_Hallmark_2020__Interferon Alpha Response,-0.8587883305349115,-2.053890642627538,0.0,0.0,0.0,18/47,3.48%,RSAD2;SAMD9L;IFI44L;DDX60;GBP4;EPSTI1;GBP2;EIF2AK2;ISG15;CD74;IFIH1;IL15;IFI27;MX1;TAP1;HERC6;PARP14;IRF1
prerank,MSigDB_Hallmark_2020__Interferon Gamma Response,-0.7813760845988194,-1.9637749353796097,0.0,0.032000403154685414,0.05,24/81,3.48%,RSAD2;SAMD9L;IFI44L;VCAM1;DDX60;GBP4;XAF1;RNF213;EPSTI1;EIF2AK2;ARID5B;OAS3;PLA2G4A;ISG15;CD74;IFIH1;IL15;IFI27;MX1;TAP1;HERC6;PARP14;STAT1;IRF1
prerank,GO_Biological_Process_2021__negative regulation of viral genome replication (GO:0045071),-0.9013738032978378,-1.921578595735536,0.0,0.04000050394335677,0.12,7/20,4.47%,RSAD2;EIF2AK2;OAS3;ISG15;IFIH1;MX1;FAM111A
prerank,MSigDB_Hallmark_2020__KRAS Signaling Dn,-0.9037056695838288,-1.864040474822366,0.0,0.04800060473202813,0.19,4/20,2.41%,RSAD2;IFI44L;SLC38A3;MX1
prerank,GO_Biological_Process_2021__type I interferon signaling pathway (GO:0060337),-0.8573692434192521,-1.8258009511732562,0.0,0.056000705520699474,0.31,9/23,3.48%,RSAD2;XAF1;GBP2;OAS3;ISG15;IFI27;MX1;STAT1;IRF1
prerank,GO_Biological_Process_2021__cellular response to type I interferon (GO:0071357),-0.8573692434192521,-1.8258009511732562,0.0,0.056000705520699474,0.31,9/23,3.48%,RSAD2;XAF1;GBP2;OAS3;ISG15;IFI27;MX1;STAT1;IRF1
prerank,GO_Biological_Process_2021__regulation of immune response (GO:0050776),-0.7154534924175956,-1.808105304324949,0.0,0.0811438794279523,0.49,5/32,3.48%,RSAD2;VCAM1;IL15;HERC5;IRF1
prerank,PanglaoDB_Augmented_2021__Erythroid-like And Erythroid Precursor Cells,-0.9332912403822122,-1.7974020805240816,0.0,0.08500107087963314,0.55,1/10,0.05%,RSAD2
prerank,GO_Biological_Process_2021__regulation of viral genome replication (GO:0045069),-0.8403670422241373,-1.7907598237390316,0.0,0.08088990797434367,0.57,7/25,4.47%,RSAD2;EIF2AK2;OAS3;ISG15;IFIH1;MX1;FAM111A
prerank,GO_Biological_Process_2021__negative regulation of viral process (GO:0048525),-0.8262960138556518,-1.7552584980671153,0.03225806451612903,0.1320016630130773,0.69,9/22,4.47%,RSAD2;EIF2AK2;UBP1;OAS3;ISG15;IFIH1;MX1;STAT1;FAM111A
