Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2021__replication fork processing (GO:0031297),0.9132002186477342,1.875462849779282,0.0,0.1486441040692164,0.19,4/11,5.82%,PRIMPOL;ATR;THOC1;FAM111A
prerank,KEGG_2021_Human__Vasopressin-regulated water reabsorption,0.8474238960880398,1.8412585294179704,0.0,0.12161790332935887,0.3,1/13,0.03%,CREB5
prerank,GO_Biological_Process_2021__DNA-dependent DNA replication maintenance of fidelity (GO:0045005),0.8106527181408894,1.7493740099830961,0.0,0.39413209412292227,0.73,6/13,14.21%,PRIMPOL;ATR;THOC1;FAM111A;MSH3;MCM9
prerank,GO_Biological_Process_2021__negative regulation of viral genome replication (GO:0045071),0.7349841395128827,1.6977456139495937,0.0,0.6705876058577149,0.95,3/20,5.82%,RSAD2;EIF2AK2;FAM111A
prerank,KEGG_2021_Human__Ovarian steroidogenesis,0.8089080436248042,1.6700171023443475,0.0,0.8364609128985906,0.99,2/10,1.65%,BMP6;PLA2G4A
prerank,GO_Biological_Process_2021__positive regulation of response to stimulus (GO:0048584),0.8540615448352499,1.6553638619633955,0.0,0.8670906070704292,1.0,3/10,3.72%,RSAD2;HOMER1;IL15
prerank,KEGG_2021_Human__AGE-RAGE signaling pathway in diabetic complications,-0.8147502436137929,-1.6464245840098952,0.0,1.0,0.6,6/39,7.01%,PIK3R3;SERPINE1;JUN;CDKN1B;PIK3R1;PRKCE
prerank,KEGG_2021_Human__HIF-1 signaling pathway,-0.7999088368636299,-1.6397085061329397,0.0,0.9737412757284545,0.71,12/41,7.81%,PIK3R3;SERPINE1;LDHA;PGK1;GAPDH;CDKN1B;PIK3R1;IFNGR1;FLT1;IFNGR2;HIF1A;SLC2A1
prerank,GO_Biological_Process_2021__hepaticobiliary system development (GO:0061008),0.8679518637832909,1.6387592256872967,0.0625,0.9478474688050035,1.0,2/7,5.26%,ARID5B;TGFBR3
prerank,GO_Biological_Process_2021__negative regulation of viral process (GO:0048525),0.7681889291153027,1.6315641370701712,0.0,0.9172016876089149,1.0,4/22,5.82%,UBP1;RSAD2;EIF2AK2;FAM111A
prerank,KEGG_2021_Human__Spinocerebellar ataxia,-0.7699229266817494,-1.6289086759132847,0.0,0.8405319682588586,0.78,9/45,6.88%,PIK3R3;PSMC6;MAP3K5;ITPR1;GRIN2B;GRIA2;PIK3R1;PSMA1;RB1CC1
prerank,KEGG_2021_Human__Lipid and atherosclerosis,-0.7551573593203056,-1.6211190507351383,0.0,0.7682987522366129,0.85,13/69,9.83%,PIK3R3;MAP3K5;ITPR1;ERO1A;PPARG;JUN;FOS;HSPA5;NFE2L2;PIK3R1;VAV3;RAP1A;SOD2
prerank,GO_Biological_Process_2021__intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332),-0.8588646814246437,-1.615658435226496,0.0136986301369863,0.709198848218412,0.87,1/13,0.37%,DDIT4
prerank,KEGG_2021_Human__Central carbon metabolism in cancer,-0.8440219231270656,-1.6111299191532642,0.012345679012345678,0.6735512870645763,0.91,6/21,7.81%,PIK3R3;PKM;LDHA;PIK3R1;HIF1A;SLC2A1
prerank,GO_Biological_Process_2021__translation (GO:0006412),-0.7404733148378146,-1.6105170087919822,0.0,0.5805459959338927,0.91,26/67,15.14%,RPS18;RPS12;RPL23;PPA1;RPL34;RPS9;RPS27A;RPL37;EEF1A1;RRBP1;RPS11;RPL10;RPS27;RPS6;RPL8;RPS15;RPS7;RPLP2;RPL13A;RPL15;PPA2;RPL37A;LARS1;RPL24;RPL7A;RPLP1
prerank,KEGG_2021_Human__Fluid shear stress and atherosclerosis,-0.7779846936048309,-1.6038395623758246,0.012048192771084338,0.5938133213257338,0.93,9/49,7.92%,PIK3R3;MAP3K5;JUN;FOS;NFE2L2;DUSP1;PIK3R1;KLF2;PECAM1
prerank,GO_Biological_Process_2021__regulation of toll-like receptor signaling pathway (GO:0034121),0.8328989648577227,1.6034857028461371,0.03225806451612903,1.0,1.0,1/7,4.52%,OTUD4
prerank,KEGG_2021_Human__Autophagy,-0.7530413046789587,-1.5919714045674893,0.0,0.6641703499188302,0.97,8/52,7.49%,PIK3R3;DDIT4;ITPR1;ATG12;PIK3R1;RB1CC1;LAMP2;HIF1A
prerank,GO_Biological_Process_2021__histone deubiquitination (GO:0016578),0.8591636038609861,1.591241199384083,0.02857142857142857,1.0,1.0,1/8,1.99%,UIMC1
prerank,Reactome_2022__RAC2 GTPase Cycle R-HSA-9013404,-0.7910006350541101,-1.5890568842572392,0.0,0.6461589505989975,0.97,7/41,7.78%,PIK3R3;DOCK3;LBR;ARHGAP21;PIK3R1;GIT2;VAV3
prerank,GO_Biological_Process_2021__peptide biosynthetic process (GO:0043043),-0.7541382899630102,-1.5848565840144666,0.0,0.6559833502279971,0.97,25/60,15.14%,RPS18;RPS12;RPL23;RPL34;RPS9;DMD;RPS27A;RPL37;EEF1A1;RRBP1;GGT5;RPS11;RPL10;RPS27;RPS6;RPL8;RPS15;RPS7;RPLP2;RPL13A;RPL15;RPL37A;RPL24;RPL7A;RPLP1
prerank,KEGG_2021_Human__Insulin signaling pathway,-0.7815498623785129,-1.5807844727290803,0.0,0.6716750996354273,0.99,3/47,1.62%,PIK3R3;PCK1;PRKAG2
prerank,CellMarker_Augmented_2021__Granulosa cell:Fetal Gonad,-0.7460819040808259,-1.578002040277894,0.0,0.6710978111956889,0.99,20/43,19.26%,LDHA;PGK1;RPL34;SRGN;SCARB2;GAPDH;ATP2B1;TSC22D3;RPS27A;GGT5;TMEM132C;RPS11;RPS27;RPL8;NFKBIA;PTMA;ARHGAP29;RPS28;RPL31;IFITM3
prerank,Reactome_2022__Bile Acid And Bile Salt Metabolism R-HSA-194068,0.8841425108520429,1.5765671754849002,0.0,1.0,1.0,4/7,8.26%,SLCO1A2;HSD17B4;OSBPL9;NCOA2
prerank,GO_Biological_Process_2021__cellular response to insulin stimulus (GO:0032869),-0.7682891041429183,-1.5743466103529549,0.0,0.6665825908991649,0.99,4/49,2.47%,PIK3R3;PKM;PCK1;PPARG
prerank,GO_Biological_Process_2021__regulation of endopeptidase activity (GO:0052548),-0.8533272085670718,-1.5718608050768785,0.015625,0.6551646502589139,0.99,7/15,8.13%,SERPINE1;VSIR;SPOCK1;PSMB9;GAPDH;TIMP3;SERPINB6
prerank,Reactome_2022__RORA Activates Gene Expression R-HSA-1368082,0.8139932379156137,1.5716506640530437,0.06666666666666667,1.0,1.0,6/10,17.82%,CHD9;TBL1X;NCOA2;TBL1XR1;CPT1A;NCOA6
prerank,Reactome_2022__Signaling By SCF-KIT R-HSA-1433557,-0.8584902836331394,-1.569804074525127,0.0,0.6529132253439347,0.99,3/20,6.27%,PIK3R3;FES;PIK3R1
