Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,PanglaoDB_Augmented_2021__NK Cells,-0.8558191203490492,-1.9746695838156523,0.0,0.0,0.0,28/83,5.79%,CCL4;GNLY;TRGC2;ITK;NKG7;SPON2;JAML;SAMD3;MYO1G;CCL3;THEMIS;CD2;CCL5;PYHIN1;CD96;CXCR4;GRAP2;VNN2;GZMB;PRF1;CD69;SELL;SLAMF6;CD247;PSTPIP1;TXK;IL10RA;SNX20
prerank,PanglaoDB_Augmented_2021__T Cells,-0.8589225855702746,-1.967065832227412,0.0,0.0,0.0,30/85,5.79%,CCL4;GNLY;ITK;NKG7;JAML;SKAP1;MYO1G;CCL3;THEMIS;CD2;CCL5;PYHIN1;CD96;CXCR4;GRAP2;GZMB;JUNB;PRF1;CD69;IL7R;IFIT3;SELL;SLAMF6;CD247;RORA;PSTPIP1;LSP1;TXK;IL10RA;SNX20
prerank,GO_Biological_Process_2021__SRP-dependent cotranslational protein targeting to membrane (GO:0006614),-0.8466655594059563,-1.9497473224895612,0.0,0.0,0.0,59/84,11.24%,RPS13;RPS4X;RPL28;SRP14;RPS21;RPS27A;RPL31;RPL38;RPS8;RPL37A;RPL12;RPL3;RPS14;RPS27;RPL23A;RPL39;RPS11;RPL5;RPS25;RPL19;RPL32;RPLP1;RPS15;RPS24;RPS20;RPS23;RPL29;RPLP2;RPL11;RPL10A;RPL13A;RPS12;RPL7A;RPL35;RPL37;RPS18;RPL41;RPL23;RPS26;RPL14;RPL4;RPS3;RPL34;RPS6;RPL30;RPS3A;RPL10;RPL24;RPS2;RPS7;RPL36;RPL6;RPL18A;RPL27;RPL27A;RPL15;RPL21;RPL18;RPS5
prerank,PanglaoDB_Augmented_2021__T Helper Cells,-0.8665466542165725,-1.9207158058719918,0.0,0.0,0.0,19/58,3.29%,CCL4;GNLY;ITK;NKG7;JAML;MYO1G;THEMIS;CD2;CCL5;PYHIN1;CD96;CXCR4;GZMB;PRF1;CD69;SELL;SLAMF6;CD247;RORA
prerank,GO_Biological_Process_2021__cytoplasmic translation (GO:0002181),-0.8371837621802986,-1.9069072813685457,0.0,0.0,0.0,58/84,11.24%,RPS13;RPS4X;RPL28;RPS21;RPS27A;RPL31;RPL38;RPS8;RPL37A;RPL12;RPL3;RPS14;RPS27;RPL23A;RPL39;RPS11;RPL5;RPS25;RPL19;RPL32;RPLP1;RPS15;RPS24;RPS20;RPS23;RPL29;RPL11;RPL10A;RPL13A;RPS12;RPL7A;RPL35;RPL37;RPS18;RPL41;TMA7;RPL23;RPS26;RPL14;RPL4;RPS3;RPL34;RPS6;RPL30;RPS3A;RPL10;RPL24;RPS2;RPS7;RPL36;RPL6;RPL18A;RPL27;RPL27A;RPL15;RPL21;RPL18;RPS5
prerank,GO_Biological_Process_2021__cotranslational protein targeting to membrane (GO:0006613),-0.8396316093128978,-1.9021583249218041,0.0,0.0,0.0,59/87,11.24%,RPS13;RPS4X;RPL28;SRP14;RPS21;RPS27A;RPL31;RPL38;RPS8;RPL37A;RPL12;RPL3;RPS14;RPS27;RPL23A;RPL39;RPS11;RPL5;RPS25;RPL19;RPL32;RPLP1;RPS15;RPS24;RPS20;RPS23;RPL29;RPLP2;RPL11;RPL10A;RPL13A;RPS12;RPL7A;RPL35;RPL37;RPS18;RPL41;RPL23;RPS26;RPL14;RPL4;RPS3;RPL34;RPS6;RPL30;RPS3A;RPL10;RPL24;RPS2;RPS7;RPL36;RPL6;RPL18A;RPL27;RPL27A;RPL15;RPL21;RPL18;RPS5
prerank,GO_Biological_Process_2021__protein targeting to ER (GO:0045047),-0.8282005440557195,-1.898866660566333,0.0,0.0011940410153556294,0.01,59/95,11.24%,RPS13;RPS4X;RPL28;SRP14;RPS21;RPS27A;RPL31;RPL38;RPS8;RPL37A;RPL12;RPL3;RPS14;RPS27;RPL23A;RPL39;RPS11;RPL5;RPS25;RPL19;RPL32;RPLP1;RPS15;RPS24;RPS20;RPS23;RPL29;RPLP2;RPL11;RPL10A;RPL13A;RPS12;RPL7A;RPL35;RPL37;RPS18;RPL41;RPL23;RPS26;RPL14;RPL4;RPS3;RPL34;RPS6;RPL30;RPS3A;RPL10;RPL24;RPS2;RPS7;RPL36;RPL6;RPL18A;RPL27;RPL27A;RPL15;RPL21;RPL18;RPS5
prerank,PanglaoDB_Augmented_2021__T Memory Cells,-0.8523269865189893,-1.8837635700548165,0.0,0.0010447858884361757,0.01,24/75,5.79%,GNLY;ITK;NKG7;JAML;SKAP1;MYO1G;THEMIS;CD2;ACAP1;PYHIN1;CD96;GRAP2;GZMB;PRF1;CD69;IL7R;SELL;SLAMF6;CD247;PSTPIP1;LSP1;ARHGEF1;IL10RA;SNX20
prerank,GO_Biological_Process_2021__regulation of lipid biosynthetic process (GO:0046890),0.8594153539683054,1.8805835794604822,0.02702702702702703,1.0,0.49,4/22,1.65%,PRKAB2;AVIL;PDK4;ADIPOR2
prerank,PanglaoDB_Augmented_2021__T Cells Naive,-0.8475063516847497,-1.8633268403902212,0.0,0.0027860957024964683,0.03,19/58,5.79%,GNLY;NKG7;JAML;MYO1G;CD2;CD37;PYHIN1;CD96;GRAP2;VNN2;GZMB;PRF1;SELL;SLAMF6;CD247;PSTPIP1;LSP1;IL10RA;SNX20
