Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,"GO_Biological_Process_2021__nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",-0.8521987790554194,-2.048875302182094,0.0,0.0,0.0,61/102,9.87%,RPS13;RPS4X;RPL28;RPS27A;RPS8;RPL38;RPS21;RPL31;RPL37A;RPS14;RPL12;RPLP1;RPL3;RPL23A;RPL39;RPL32;RPS11;RPL5;RPS15;RPS12;RPS25;RPS23;RPS27;RPS20;RPL29;RPLP2;RPL19;RPS24;RPL13A;RPL41;RPL7A;RPL35;RPL37;RPS18;RPL10;RPL10A;RPL11;RPS3;RPL23;RPS3A;RPL4;RPS26;RPL30;RPL36;RPL24;RPL14;RPL18A;RPS6;RPS2;RPS7;RPL34;RPL15;PNRC2;RPL21;RPS5;EIF4A3;RPL27A;RPL6;RPL27;RPL18;NCBP2
prerank,Reactome_2022__Selenocysteine Synthesis R-HSA-2408557,-0.8575905874707553,-2.0387366114212453,0.0,0.0,0.0,56/79,9.60%,RPS13;RPS4X;RPL28;RPS27A;RPS8;RPL38;RPS21;RPL31;RPL37A;RPS14;RPL12;RPLP1;RPL3;RPL23A;RPL39;RPL32;RPS11;RPL5;RPS15;RPS12;RPS25;RPS23;RPS27;FAU;RPS20;RPL29;RPLP2;RPL19;RPS24;RPL13A;RPL41;RPL7A;RPL35;RPL37;RPL10A;RPL11;RPS3;RPL23;RPS3A;RPL4;RPL30;RPL36AL;RPL36;RPL14;RPL18A;RPS6;RPS2;RPS7;RPL34;RPL15;RPL21;RPS5;RPL27A;RPL6;RPL27;RPL18
prerank,GO_Biological_Process_2021__cytoplasmic translation (GO:0002181),-0.8514037296000116,-2.0290727984754535,0.0,0.0,0.0,58/84,9.60%,RPS13;RPS4X;RPL28;RPS27A;RPS8;RPL38;RPS21;RPL31;RPL37A;RPS14;RPL12;RPLP1;RPL3;RPL23A;RPL39;RPL32;RPS11;RPL5;RPS15;RPS12;RPS25;RPS23;RPS27;RPS20;RPL29;RPL19;RPS24;RPL13A;RPL41;RPL7A;RPL35;RPL37;RPS18;RPL10;RPL10A;RPL11;RPS3;RPL23;TMA7;RPS3A;RPL4;RPS26;RPL30;RPL36;RPL24;RPL14;RPL18A;RPS6;RPS2;RPS7;RPL34;RPL15;RPL21;RPS5;RPL27A;RPL6;RPL27;RPL18
prerank,Reactome_2022__Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,-0.8490326716284318,-2.0173401219321714,0.0,0.0,0.0,59/99,9.87%,RPS13;RPS4X;RPL28;RPS27A;RPS8;RPL38;RPS21;RPL31;RPL37A;RPS14;RPL12;RPLP1;RPL3;RPL23A;RPL39;RPL32;RPS11;RPL5;RPS15;RPS12;RPS25;RPS23;RPS27;FAU;RPS20;RPL29;RPLP2;RPL19;RPS24;RPL13A;RPL41;RPL7A;RPL35;RPL37;RPL10A;RPL11;RPS3;RPL23;RPS3A;RPL4;RPL30;RPL36AL;RPL36;RPL14;RPL18A;RPS6;RPS2;RPS7;RPL34;RPL15;PNRC2;RPL21;RPS5;EIF4A3;RPL27A;RPL6;RPL27;RPL18;NCBP2
prerank,GO_Biological_Process_2021__SRP-dependent cotranslational protein targeting to membrane (GO:0006614),-0.8607490484488086,-2.0135820388982535,0.0,0.0,0.0,59/84,9.60%,RPS13;RPS4X;RPL28;RPS27A;RPS8;RPL38;RPS21;RPL31;RPL37A;RPS14;RPL12;RPLP1;RPL3;RPL23A;RPL39;RPL32;RPS11;RPL5;RPS15;RPS12;RPS25;RPS23;RPS27;SRP14;RPS20;RPL29;RPLP2;RPL19;RPS24;RPL13A;RPL41;RPL7A;RPL35;RPL37;RPS18;RPL10;RPL10A;RPL11;RPS3;RPL23;RPS3A;RPL4;RPS26;RPL30;RPL36;RPL24;RPL14;RPL18A;RPS6;RPS2;RPS7;RPL34;RPL15;RPL21;RPS5;RPL27A;RPL6;RPL27;RPL18
prerank,Reactome_2022__Eukaryotic Translation Termination R-HSA-72764,-0.8579833145832717,-1.9896110866447698,0.0,0.0,0.0,56/77,9.60%,RPS13;RPS4X;RPL28;RPS27A;RPS8;RPL38;RPS21;RPL31;RPL37A;RPS14;RPL12;RPLP1;RPL3;RPL23A;RPL39;RPL32;RPS11;RPL5;RPS15;RPS12;RPS25;RPS23;RPS27;FAU;RPS20;RPL29;RPLP2;RPL19;RPS24;RPL13A;RPL41;RPL7A;RPL35;RPL37;RPL10A;RPL11;RPS3;RPL23;RPS3A;RPL4;RPL30;RPL36AL;RPL36;RPL14;RPL18A;RPS6;RPS2;RPS7;RPL34;RPL15;RPL21;RPS5;RPL27A;RPL6;RPL27;RPL18
prerank,Reactome_2022__Peptide Chain Elongation R-HSA-156902,-0.8562500199206953,-1.9865602985749162,0.0,0.0,0.0,56/76,9.60%,RPS13;RPS4X;RPL28;RPS27A;RPS8;RPL38;RPS21;RPL31;RPL37A;RPS14;RPL12;RPLP1;RPL3;RPL23A;RPL39;RPL32;RPS11;RPL5;RPS15;RPS12;RPS25;RPS23;RPS27;FAU;RPS20;RPL29;RPLP2;RPL19;RPS24;RPL13A;RPL41;RPL7A;RPL35;RPL37;RPL10A;RPL11;RPS3;RPL23;RPS3A;RPL4;RPL30;RPL36AL;RPL36;RPL14;RPL18A;RPS6;RPS2;RPS7;RPL34;RPL15;RPL21;RPS5;RPL27A;RPL6;RPL27;RPL18
prerank,KEGG_2021_Human__Ribosome,-0.8238700928566329,-1.9859039437553432,0.0,0.0,0.0,70/106,12.11%,RPS13;RPS4X;RPL36A-HNRNPH2;RPL28;RPS27A;RPS8;RPL38;RPS21;RPL31;RPL37A;RPS14;RPL12;RPLP1;RPL3;RPL23A;RPL39;RPL32;RPS11;RPL5;RPS15;RPS12;RPS25;RPS23;RPS27;FAU;RPS20;RPL29;RPLP2;RPL19;RPS24;RPL13A;RPL41;RPL7A;RPL35;RPL37;RPS18;RPL10;RPL10A;RPL11;RPS3;RPL23;RPS3A;RPL4;RPS26;RPL30;RPL36AL;MRPS7;RPL36;RPL24;RPL14;RPL18A;RPS6;RPS2;RPS7;RPL34;RPL15;MRPL19;RPL21;RPS5;RPL27A;RPL6;RPL27;RPL18;RPLP0;RPS9;MRPS11;MRPS10;MRPS15;MRPL16;MRPL32
prerank,GO_Biological_Process_2021__cotranslational protein targeting to membrane (GO:0006613),-0.8536435050347304,-1.9837027023813634,0.0,0.0,0.0,59/87,9.60%,RPS13;RPS4X;RPL28;RPS27A;RPS8;RPL38;RPS21;RPL31;RPL37A;RPS14;RPL12;RPLP1;RPL3;RPL23A;RPL39;RPL32;RPS11;RPL5;RPS15;RPS12;RPS25;RPS23;RPS27;SRP14;RPS20;RPL29;RPLP2;RPL19;RPS24;RPL13A;RPL41;RPL7A;RPL35;RPL37;RPS18;RPL10;RPL10A;RPL11;RPS3;RPL23;RPS3A;RPL4;RPS26;RPL30;RPL36;RPL24;RPL14;RPL18A;RPS6;RPS2;RPS7;RPL34;RPL15;RPL21;RPS5;RPL27A;RPL6;RPL27;RPL18
prerank,Reactome_2022__Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,-0.8373278694761269,-1.9782688654124967,0.0,0.0,0.0,56/86,9.60%,RPS13;RPS4X;RPL28;RPS27A;RPS8;RPL38;RPS21;RPL31;RPL37A;RPS14;RPL12;RPLP1;RPL3;RPL23A;RPL39;RPL32;RPS11;RPL5;RPS15;RPS12;RPS25;RPS23;RPS27;FAU;RPS20;RPL29;RPLP2;RPL19;RPS24;RPL13A;RPL41;RPL7A;RPL35;RPL37;RPL10A;RPL11;RPS3;RPL23;RPS3A;RPL4;RPL30;RPL36AL;RPL36;RPL14;RPL18A;RPS6;RPS2;RPS7;RPL34;RPL15;RPL21;RPS5;RPL27A;RPL6;RPL27;RPL18
