Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,PanglaoDB_Augmented_2021__T Helper Cells,-0.7634631726382044,-2.317653648699601,0.0,0.0,0.0,14/58,5.05%,THEMIS;ITK;NKG7;CCL5;GNLY;CD2;CST7;BIN2;GZMB;HAVCR1;CD96;HPGDS;PRF1;PYHIN1
prerank,PanglaoDB_Augmented_2021__T Cytotoxic Cells,-0.8863389204409502,-2.2522233471170896,0.0,0.0,0.0,13/30,5.05%,THEMIS;ITK;NKG7;GRAP2;GNLY;ZNF831;CD2;CST7;BIN2;GZMB;CD96;PRF1;PYHIN1
prerank,PanglaoDB_Augmented_2021__Nuocytes,-0.8579298061653209,-2.1385915979740533,0.0,0.004458664199624804,0.01,11/29,5.05%,THEMIS;ITK;GNLY;ZNF831;BCL11B;CD2;GIMAP8;GZMB;CD96;PRF1;PYHIN1
prerank,PanglaoDB_Augmented_2021__NK Cells,-0.6992425265821571,-2.1311029974717894,0.0,0.0033439981497186033,0.01,26/83,9.29%,TRGC2;THEMIS;ITK;NKG7;GRAP2;CCL5;GNLY;SAMD3;CD2;CST7;ITGAM;SELPLG;BIN2;GZMB;KLRG1;CD96;PRF1;PYHIN1;HCST;SERPINB9;CD247;AOAH;IL18R1;RASAL3;MYO1F;TGFB1
prerank,PanglaoDB_Augmented_2021__Decidual Cells,-0.9091935572705879,-2.11856921967202,0.0,0.0026751985197748826,0.01,14/24,6.11%,TRGC2;NKG7;GRAP2;CCL5;SKAP1;GNLY;CD2;CST7;KLRC4-KLRK1;GZMB;CD96;PRF1;PYHIN1;HCST
prerank,PanglaoDB_Augmented_2021__T Memory Cells,-0.7163850911882721,-2.0774631148439417,0.0,0.002229332099812402,0.01,21/75,8.60%,THEMIS;ITK;NKG7;GRAP2;SKAP1;GNLY;CD2;CST7;SELPLG;BIN2;GZMB;CD96;PRF1;CEACAM21;ITGB5;PYHIN1;HCST;RAPGEF6;CD247;ARHGEF1;RASAL3
prerank,PanglaoDB_Augmented_2021__T Cells Naive,-0.6977845922281604,-2.069221952331962,0.0,0.003821712171106975,0.02,17/58,8.60%,NKG7;GRAP2;GNLY;CD2;CST7;CD37;SELPLG;BIN2;GZMB;CD96;PRF1;CEACAM21;PYHIN1;HCST;CD247;AOAH;RASAL3
prerank,PanglaoDB_Augmented_2021__T Cells,-0.6493706818960054,-1.9613890747968237,0.0,0.026751985197748827,0.14,16/85,5.05%,THEMIS;ITK;NKG7;GRAP2;CCL5;SKAP1;GNLY;CD2;CST7;CYTL1;SELPLG;BIN2;GZMB;CD96;PRF1;PYHIN1
prerank,PanglaoDB_Augmented_2021__T Follicular Helper Cells,-0.60986209977253,-1.9413167275338772,0.0,0.029724427997498692,0.16,29/72,15.24%,NKG7;GNLY;CD2;CST7;CD37;GIMAP8;SELPLG;BIN2;GZMB;PRF1;CEACAM21;PYHIN1;HCST;CD247;AOAH;PLEK;RASAL3;MYO1F;NCKAP1L;ITGB2;CD53;LCP2;GIMAP4;GIMAP7;CYTH4;SNX20;IL6R;PIK3R5;PSTPIP1
prerank,GO_Biological_Process_2021__mitochondrial calcium ion homeostasis (GO:0051560),-0.8315801857728922,-1.9255486382286022,0.0,0.038790378536735795,0.23,3/17,3.18%,SMDT1;MAIP1;MICU3
prerank,PanglaoDB_Augmented_2021__T Regulatory Cells,-0.6419946262478183,-1.881717332587514,0.0,0.06931196164871285,0.39,27/64,13.98%,ITK;CCL5;GNLY;CD2;GIMAP8;SELPLG;MAF;BIN2;GZMB;CD96;PRF1;PYHIN1;HCST;CD247;AOAH;HLA-E;PLEK;RASAL3;HAVCR2;ITGB2;CD53;ENTPD1;LCP2;GIMAP4;GIMAP7;CYTH4;SNX20
prerank,GO_Biological_Process_2021__regulation of monooxygenase activity (GO:0032768),-0.8274227765455595,-1.852510581795553,0.0,0.09028795004240227,0.5,8/16,14.41%,ZDHHC21;IL1A;IL1B;NOS1AP;EGFR;DDAH2;LYPLA1;AKT1
prerank,GO_Biological_Process_2021__cellular defense response (GO:0006968),-0.7627157500940299,-1.8030207049665703,0.0,0.1708011362625502,0.77,5/23,4.52%,ITK;GNLY;CX3CR1;KLRG1;PRF1
prerank,GO_Biological_Process_2021__regulation of lymphocyte activation (GO:0051249),-0.9586169728426757,-1.7908395419945708,0.0,0.1834421842131348,0.78,2/8,0.21%,CCL5;IKZF3
prerank,GO_Biological_Process_2021__regulation of integrin-mediated signaling pathway (GO:2001044),-0.8852411438874563,-1.78457667685485,0.0,0.1881556292241667,0.79,2/9,1.11%,FLNA;LOXL3
prerank,GO_Biological_Process_2021__negative regulation by host of viral transcription (GO:0043922),-0.846702855225837,-1.7784083758527134,0.0,0.19060789453396038,0.81,3/11,2.66%,CCL5;INPP5K;TFAP4
prerank,GO_Biological_Process_2021__positive regulation of vacuole organization (GO:0044090),-0.8505137030597484,-1.7568966842929525,0.0,0.23683375130948225,0.89,2/10,6.93%,RALB;PIP4K2B
prerank,GO_Biological_Process_2021__calcium import into the mitochondrion (GO:0036444),-0.9256988418375391,-1.7535415460236143,0.0,0.23110742768055234,0.9,3/9,3.18%,SMDT1;MAIP1;MICU3
prerank,GO_Biological_Process_2021__regulation of lymphocyte differentiation (GO:0045619),-0.7248168686554827,-1.7460688298360418,0.0,0.24428786483207476,0.92,5/13,10.92%,IKZF3;CD2;IL4I1;NCKAP1L;ABL1
prerank,PanglaoDB_Augmented_2021__Natural Killer T Cells,-0.5818246730438658,-1.74555057375225,0.0,0.23608626937013338,0.92,14/70,5.05%,THEMIS;ITK;NKG7;GRAP2;GNLY;ZNF831;CD2;CST7;SELPLG;BIN2;GZMB;CD96;PRF1;PYHIN1
prerank,GO_Biological_Process_2021__dendritic cell chemotaxis (GO:0002407),-0.8960891395151521,-1.736952566866166,0.0,0.25032214720750684,0.95,1/8,0.20%,CCL5
prerank,GO_Biological_Process_2021__inositol lipid-mediated signaling (GO:0048017),-0.6337521871506032,-1.7313707762455806,0.0,0.25475185904219905,0.96,8/36,10.10%,TNFAIP8L3;PTAFR;CSF1R;PIK3C2B;IGF1;ADAP2;PI4KB;PLCL2
prerank,GO_Biological_Process_2021__positive regulation of integrin activation (GO:0033625),-0.8935229376781372,-1.7236132229056336,0.0,0.26926454666429794,0.97,4/7,9.45%,SKAP1;PLEK;P2RY12;SRC
prerank,GO_Biological_Process_2021__dendritic cell migration (GO:0036336),-0.8113808391821841,-1.7108649446178674,0.0,0.304861164649346,0.97,1/10,0.20%,CCL5
prerank,GO_Biological_Process_2021__regulation of interleukin-4 production (GO:0032673),-0.7580374352862208,-1.709068830689021,0.0,0.2974820753989669,0.97,5/15,13.32%,LGALS9;HLA-E;HAVCR2;NLRP3;SYK
prerank,GO_Biological_Process_2021__chemokine-mediated signaling pathway (GO:0070098),-0.7905140483759474,-1.7079626854864303,0.0,0.28655491836819413,0.97,2/13,3.64%,CCL5;SH2B3
