Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,PanglaoDB_Augmented_2021__T Cytotoxic Cells,-0.8322327697925329,-2.289542454671834,0.0,0.0,0.0,12/30,7.87%,THEMIS;ITK;NKG7;GRAP2;ZNF831;CST7;GNLY;BIN2;CD2;GZMB;CD96;RASAL3
prerank,PanglaoDB_Augmented_2021__Decidual Cells,-0.8812129341974269,-2.217207960396082,0.0,0.0,0.0,12/24,5.90%,TRGC2;NKG7;SKAP1;CCL5;GRAP2;CST7;GNLY;CD2;KLRC4-KLRK1;GZMB;HCST;CD96
prerank,PanglaoDB_Augmented_2021__T Cells Naive,-0.6362282087532624,-2.0414461831572424,0.0,0.015535909054632842,0.04,26/58,15.91%,NKG7;GRAP2;CD37;CST7;GNLY;BIN2;SELPLG;CD2;CEACAM21;GZMB;HCST;CD96;RASAL3;AOAH;ITGB2;CYTH4;LCP2;PRF1;CD53;SNX20;GIMAP4;GIMAP7;PIK3R5;CD247;PYHIN1;PSTPIP1
prerank,PanglaoDB_Augmented_2021__T Helper Cells,-0.695251982423093,-1.9410939407139314,0.0,0.04660772716389853,0.15,23/58,14.51%,THEMIS;ITK;NKG7;CCL5;CST7;GNLY;BIN2;CD2;HAVCR1;HPGDS;GZMB;CD96;RASAL3;CYTH4;LCP2;PRF1;CD53;IL18R1;SNX20;GIMAP4;GIMAP7;HAVCR2;CD247
prerank,PanglaoDB_Augmented_2021__Nuocytes,-0.7853837839388584,-1.9104833770293854,0.0,0.06525081802945794,0.21,9/29,5.90%,THEMIS;ITK;ZNF831;GNLY;GIMAP8;BCL11B;CD2;GZMB;CD96
prerank,PanglaoDB_Augmented_2021__NK Cells,-0.6063242764945632,-1.9050883799337168,0.0,0.06214363621853137,0.22,23/83,9.16%,TRGC2;THEMIS;ITK;NKG7;CCL5;GRAP2;ITGAM;SAMD3;CST7;GNLY;BIN2;SELPLG;CD2;KLRG1;GZMB;HCST;CD96;TGFB1;RASAL3;ITGAX;AOAH;SERPINB9;MYO1F
prerank,GO_Biological_Process_2021__regulation of interleukin-4 production (GO:0032673),-0.7414480796457343,-1.870811861339245,0.0,0.08156352253682242,0.32,5/15,13.95%,LGALS9;HLA-E;NLRP3;SYK;HAVCR2
prerank,GO_Biological_Process_2021__negative regulation of single stranded viral RNA replication via double stranded DNA intermediate (GO:0045869),-0.8666760644614306,-1.8263258277533487,0.0,0.1471056388610547,0.6,4/8,11.82%,INPP5K;SETDB1;APOBEC3G;TASOR
prerank,GO_Biological_Process_2021__regulation of monooxygenase activity (GO:0032768),-0.8160946502532482,-1.786407679518435,0.0,0.2433959085225812,0.75,8/16,15.72%,IL1B;IL1A;ZDHHC21;NOS1AP;EGFR;DDAH2;AKT1;LYPLA1
prerank,PanglaoDB_Augmented_2021__T Memory Cells,-0.6318958848879295,-1.747410254175441,0.0,0.392670101355845,0.9,28/75,13.92%,THEMIS;ITK;NKG7;SKAP1;GRAP2;CST7;GNLY;BIN2;SELPLG;CD2;CEACAM21;GZMB;ITGB5;HCST;CD96;RAPGEF6;ARHGEF1;RASAL3;ENPP1;CYTH4;APBB1IP;LCP2;PRF1;CD53;SNX20;GIMAP4;BCL2;GIMAP7
