Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2021__response to dsRNA (GO:0043331),0.8242149203018143,1.9080159915860069,0.0,0.197044037196369,0.13,2/7,2.49%,PDE12;TICAM1
prerank,GO_Biological_Process_2021__negative regulation of protein catabolic process (GO:0042177),0.7158238752676979,1.88867760817008,0.0,0.16889488902545916,0.19,2/27,2.47%,ATRAID;DAB2IP
prerank,GO_Biological_Process_2021__protein localization to lysosome (GO:0061462),0.8019358604855746,1.8855888238646252,0.0,0.12667116676909437,0.2,5/24,4.93%,NCOA4;NEDD4;SORL1;LAPTM5;RAB7A
prerank,GO_Biological_Process_2021__regulation of osteoblast proliferation (GO:0033688),0.9202345840762551,1.8676106605106852,0.0,0.13370845381182184,0.27,3/8,2.31%,ATRAID;HPSE;TMEM119
prerank,GO_Biological_Process_2021__microvillus organization (GO:0032528),0.832027201422346,1.8481844700209913,0.0,0.131362691464246,0.41,6/13,12.16%,RAP1A;MAP4K4;RAPGEF6;STK26;RAP2A;RAP2C
prerank,GO_Biological_Process_2021__microvillus assembly (GO:0030033),0.832027201422346,1.8481844700209913,0.0,0.131362691464246,0.41,6/13,12.16%,RAP1A;MAP4K4;RAPGEF6;STK26;RAP2A;RAP2C
prerank,GO_Biological_Process_2021__negative regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030948),0.919530858810114,1.8113843008057113,0.0,0.22117187848572034,0.62,3/7,3.66%,NEDD4;DAB2IP;HHEX
prerank,GO_Biological_Process_2021__inositol lipid-mediated signaling (GO:0048017),0.6818683442821681,1.810174624130756,0.0,0.19880335895705092,0.62,10/36,13.40%,TNFAIP8L3;PIK3C2B;PTAFR;PI4KB;CSF1R;GAB2;PLCB4;PITPNM2;PLCB3;PLCL2
prerank,GO_Biological_Process_2021__positive regulation of intracellular transport (GO:0032388),0.6349739202393538,1.80446638105343,0.0,0.1907886709361668,0.67,5/29,10.41%,NEDD4;SORL1;PGAP1;PLK3;CEP290
prerank,GO_Biological_Process_2021__protein targeting to lysosome (GO:0006622),0.8282682333023839,1.8001967022901462,0.0,0.1801545482938231,0.69,5/20,4.93%,NCOA4;NEDD4;SORL1;LAPTM5;RAB7A
prerank,"GO_Biological_Process_2021__negative regulation of CD4-positive, alpha-beta T cell activation (GO:2000515)",0.8951470822026745,1.7807607237623342,0.0,0.2187956516920721,0.76,5/8,9.65%,LGALS9;CD274;CBFB;RUNX1;TWSG1
prerank,GO_Biological_Process_2021__lipid droplet organization (GO:0034389),0.8568303829945338,1.7730107493953222,0.0,0.22636606654106678,0.79,1/11,0.13%,PLA2G4C
prerank,GO_Biological_Process_2021__CD40 signaling pathway (GO:0023035),0.9380239312416409,1.7631501239028733,0.0,0.23385446172755886,0.82,1/6,1.79%,ITGA5
prerank,GO_Biological_Process_2021__box C/D snoRNP assembly (GO:0000492),0.9865348422467209,1.7341047831850451,0.0,0.3307524910081909,0.91,1/6,0.12%,NUFIP1
prerank,GO_Biological_Process_2021__vascular process in circulatory system (GO:0003018),0.9014700777282687,1.729827724096534,0.0,0.2999643601962582,0.91,1/7,0.17%,GCLC
prerank,GO_Biological_Process_2021__regulation of tube diameter (GO:0035296),0.9014700777282687,1.729827724096534,0.0,0.2999643601962582,0.91,1/7,0.17%,GCLC
prerank,GO_Biological_Process_2021__small nucleolar ribonucleoprotein complex assembly (GO:0000491),0.9316083063675553,1.7217353471797276,0.0,0.3170918749840728,0.93,1/8,0.12%,NUFIP1
prerank,GO_Biological_Process_2021__small GTPase mediated signal transduction (GO:0007264),0.5658865501694168,1.7149295105554534,0.0,0.3307524910081908,0.93,23/84,18.27%,ARHGAP31;RALB;RIN2;RGL2;KRAS;RAPGEF6;MAPK11;TP53;GRAP2;RASGRP2;ABR;SHTN1;CRKL;FGF2;RIT2;USP28;SHOC2;ARHGAP1;MRAS;SETDB1;ARHGAP32;BCR;G3BP1
prerank,GO_Biological_Process_2021__protein destabilization (GO:0031648),0.5988997828367392,1.708634649752077,0.0,0.34371591450795197,0.95,9/25,14.80%,GSN;CTSH;SIRT1;BTRC;EP300;FBXW11;FBXL3;MDM2;PEX2
prerank,GO_Biological_Process_2021__mitochondrial tRNA modification (GO:0070900),0.9278006805950356,1.708527202519792,0.0,0.32793757619109987,0.95,1/6,0.81%,PUS1
prerank,GO_Biological_Process_2021__positive regulation of alpha-beta T cell differentiation (GO:0046638),0.9070218094530347,1.70204989305659,0.0,0.34516217400044236,0.97,3/9,7.02%,CBFB;TGFBR2;RUNX1
prerank,GO_Biological_Process_2021__semaphorin-plexin signaling pathway involved in axon guidance (GO:1902287),0.8257430925293504,1.6972177280845044,0.0,0.34610657182868715,0.97,3/8,12.50%,PLXNA2;PLXNA4;PLXNB2
prerank,GO_Biological_Process_2021__synapse pruning (GO:0098883),0.855181204838178,1.693262737807784,0.03125,0.3488046621177961,0.99,2/8,4.18%,CX3CR1;ITGAM
prerank,GO_Biological_Process_2021__regulation of extracellular matrix disassembly (GO:0010715),0.8443457694231538,1.679653703718165,0.0,0.3952609555665259,1.0,4/9,6.42%,PDPN;FSCN1;TGFB1;DDR1
