Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2021__protein localization to lysosome (GO:0061462),0.7727150144960551,1.9662232787850085,0.0,0.035530463587953476,0.03,5/24,7.28%,NCOA4;NEDD4;SORL1;RAB7A;LAPTM5
prerank,GO_Biological_Process_2021__regulation of osteoblast proliferation (GO:0033688),0.919564140683298,1.8383759512982247,0.0,0.27832196477230225,0.35,3/8,2.14%,ATRAID;HPSE;TMEM119
prerank,GO_Biological_Process_2021__lipid droplet organization (GO:0034389),0.8307419276649731,1.8323260563026884,0.037037037037037035,0.2092349522401705,0.39,1/11,0.08%,PLA2G4C
prerank,GO_Biological_Process_2021__protein targeting to lysosome (GO:0006622),0.7996270652256051,1.8163658129216433,0.0,0.19245667776808134,0.43,5/20,7.28%,NCOA4;NEDD4;SORL1;RAB7A;LAPTM5
prerank,GO_Biological_Process_2021__regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092),0.7123252211360451,1.7667586551527776,0.0,0.3932037970400185,0.76,8/19,13.08%,ZNF703;BCL9;SMAD7;TGFB1;LATS2;TRIM33;TWSG1;SMAD2
prerank,GO_Biological_Process_2021__negative regulation of execution phase of apoptosis (GO:1900118),0.9430280392304308,1.712006918956217,0.0,0.8053571746602789,0.99,1/6,1.53%,BCL2L1
prerank,GO_Biological_Process_2021__megakaryocyte differentiation (GO:0030219),0.9130629835255991,1.7119907977935405,0.0,0.6903061497088105,0.99,3/6,2.81%,ZNF385A;TAL1;SH2B3
prerank,GO_Biological_Process_2021__cytoplasmic translation (GO:0002181),-0.801840122195893,-1.7113249955818421,0.0,0.009447802359016492,0.01,60/84,16.01%,RPL23;RPL37A;RPL38;RPS4X;RPS27A;RPL23A;RPS11;RPS25;RPS27;RPS20;RPS6;RPS18;RPL37;RPS24;RPL3;RPL32;RPL12;RPL11;RPL14;RPL35;FTSJ1;RPS13;RPS12;RPS21;RPL36;RPS8;RPS3A;RPL9;RPL4;RPL28;RPS23;RPL24;RPL31;RPLP1;RPS9;RPL30;RPL10A;RPL13A;RPS14;RPL27A;RPL41;RPL21;RPL19;UBA52;RPS15;RPL18A;RPL15;RPL39;RPL6;RPL5;RPS7;RPS16;RPLP0;RPL34;RPL7A;RPS3;RPS2;RPL8;TMA7;RPL27
prerank,GO_Biological_Process_2021__SRP-dependent cotranslational protein targeting to membrane (GO:0006614),-0.8102265824130371,-1.7109419163181778,0.0,0.004723901179508246,0.01,59/84,14.65%,RPL23;RPL37A;RPL38;RPS4X;RPS27A;RPL23A;RPS11;RPS25;RPS27;RPS20;RPLP2;RPS6;RPS18;RPL37;RPS24;RPL3;RPL32;RPL12;RPL11;RPL14;RPL35;RPS13;RPS12;RPS21;RPL36;RPS8;RPS3A;RPL9;RPL4;RPL28;SRP14;RPS23;RPL24;RPL31;RPLP1;RPS9;RPL30;RPL10A;SEC61B;RPL13A;RPS14;RPL27A;RPL41;RPL21;RPL19;UBA52;RPS15;RPL18A;RPL15;RPL39;RPL6;RPL5;RPS7;RPS16;RPLP0;RPL34;RPL7A;RPS3;RPS2
prerank,GO_Biological_Process_2021__regulation of microtubule cytoskeleton organization (GO:0070507),0.6456237817211096,1.696408634079205,0.0,0.7653854031238312,1.0,1/28,0.02%,PHLDB2
prerank,GO_Biological_Process_2021__cotranslational protein targeting to membrane (GO:0006613),-0.8103799604313431,-1.6962679089448303,0.0,0.006298534906010993,0.02,61/87,16.01%,RPL23;RPL37A;RPL38;RPS4X;RPS27A;RPL23A;RPS11;RPS25;RPS27;RPS20;RPLP2;RPS6;RPS18;RPL37;RPS24;RPL3;RPL32;RPL12;RPL11;RPL14;RPL35;RPS13;RPS12;RPS21;RPL36;RPS8;RPS3A;RPL9;RPL4;RPL28;SRP14;RPS23;RPL24;RPL31;RPLP1;RPS9;RPL30;RPL10A;RPL13A;RPS14;RPL27A;RPL41;RPL21;RPL19;UBA52;RPS15;RPL18A;RPL15;RPL39;RPL6;RPL5;RPS7;RPS16;RPLP0;RPL34;RPL7A;RPS3;RPS2;SRPRA;RPL8;RPL27
prerank,GO_Biological_Process_2021__protein targeting to ER (GO:0045047),-0.7952358334001746,-1.6877636930619162,0.0,0.009447802359016492,0.04,61/95,16.01%,RPL23;RPL37A;RPL38;RPS4X;RPS27A;RPL23A;RPS11;RPS25;RPS27;RPS20;RPLP2;RPS6;RPS18;RPL37;RPS24;RPL3;RPL32;RPL12;RPL11;RPL14;RPL35;RPS13;RPS12;RPS21;RPL36;RPS8;RPS3A;RPL9;RPL4;RPL28;SRP14;RPS23;RPL24;RPL31;RPLP1;RPS9;RPL30;RPL10A;RPL13A;RPS14;RPL27A;RPL41;RPL21;RPL19;UBA52;RPS15;RPL18A;RPL15;RPL39;RPL6;RPL5;RPS7;RPS16;RPLP0;RPL34;RPL7A;RPS3;RPS2;SRPRA;RPL8;RPL27
prerank,"GO_Biological_Process_2021__nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",-0.7981509542539628,-1.6790836144515684,0.0,0.00944780235901649,0.05,58/102,14.65%,RPL23;RPL37A;RPL38;RPS4X;RPS27A;EIF4A3;RPL23A;RPS11;RPS25;RPS27;RPS20;RPLP2;RPS6;RPS18;RPL37;RPS24;RPL3;RPL32;RPL12;RPL11;RPL14;RPL35;RPS13;RPS12;RPS21;RPL36;RPS8;RPS3A;RPL9;RPL4;RPL28;RPS23;RPL24;RPL31;RPLP1;RPS9;RPL30;RPL10A;RPL13A;RPS14;RPL27A;RPL41;RPL21;RPL19;UBA52;RPS15;RPL18A;RPL15;RPL39;RPL6;RPL5;RPS7;RPS16;RPLP0;RPL34;RPL7A;RPS3;RPS2
prerank,GO_Biological_Process_2021__regulation of cellular response to transforming growth factor beta stimulus (GO:1903844),0.7220043653157002,1.6753565280955731,0.0,0.9040529068490386,1.0,6/16,9.26%,ZNF703;BCL9;SMAD7;TGFB1;LATS2;TRIM33
prerank,GO_Biological_Process_2021__small nucleolar ribonucleoprotein complex assembly (GO:0000491),0.9491720545519007,1.6749911640194652,0.0,0.8195693600954603,1.0,1/8,0.08%,NUFIP1
prerank,GO_Biological_Process_2021__positive regulation of plasma membrane bounded cell projection assembly (GO:0120034),0.5628384127975945,1.6742094729677135,0.0,0.7482930967765961,1.0,23/56,19.50%,NRP1;AVIL;ARAP1;P2RY12;ARHGAP35;WASF2;FSCN1;TAPT1;CDC42EP3;DEF8;EPS8;P2RX7;CDC42;PLEKHM1;CROCC;ARPC2;FNBP1L;PFN1;KCTD17;CYFIP1;FMR1;ACTR2;AUTS2
prerank,GO_Biological_Process_2021__peptide biosynthetic process (GO:0043043),-0.7629096474969087,-1.6708438050030205,0.0,0.014171703538524734,0.09,64/128,14.65%,PCSK1;RPL23;RPL37A;RPL38;RPS4X;RPS27A;RPL23A;RPS11;RPS25;RPS27;RPS20;RPLP2;RPS6;RPS18;RPL37;RPS24;RPL3;RPL32;RPL12;RPL11;RPL14;RPL35;RPS13;RPS12;RPS21;RPL36;RPS8;RPS3A;RPL9;RPL4;RPL28;RPS23;RPL24;RPL31;RPLP1;RPS9;RPL30;COPS5;RPL10A;MRPL43;RPL13A;RPS14;RPL27A;RPL41;RPL21;RPL19;EEF1A2;DMD;RPS15;RPL18A;RPL15;RPL39;MRPS7;RPL6;RPL5;RPS7;RPS16;RPLP0;RPL34;RPL7A;MRPL51;DARS1;RPS3;RPS2
prerank,GO_Biological_Process_2021__epithelial cell development (GO:0002064),0.8476801755875792,1.661792154756641,0.0,0.7895658575100774,1.0,2/8,6.95%,ACTA2;TMEM79
prerank,GO_Biological_Process_2021__negative regulation of wound healing (GO:0061045),0.7911214184326721,1.6563076743513099,0.043478260869565216,0.7816701989349766,1.0,2/15,2.35%,PHLDB2;CRK
prerank,"GO_Biological_Process_2021__negative regulation of CD4-positive, alpha-beta T cell activation (GO:2000515)",0.8734333389135733,1.6504215264795663,0.0,0.784208089191259,1.0,5/8,11.15%,LGALS9;CD274;CBFB;RUNX1;TWSG1
prerank,GO_Biological_Process_2021__microvillus assembly (GO:0030033),0.8095029236752451,1.6496341008781705,0.08333333333333333,0.6906233859908458,1.0,6/13,14.03%,RAP1A;MAP4K4;RAPGEF6;STK26;RAP2A;RAP2C
prerank,GO_Biological_Process_2021__microvillus organization (GO:0032528),0.8095029236752451,1.6496341008781705,0.08333333333333333,0.6906233859908458,1.0,6/13,14.03%,RAP1A;MAP4K4;RAPGEF6;STK26;RAP2A;RAP2C
prerank,GO_Biological_Process_2021__regulation of intracellular protein transport (GO:0033157),0.6430067967506009,1.6493310966788943,0.04,0.6506951566891872,1.0,7/27,19.08%,LCP1;TGFB1;CEP290;PLK3;ATP13A2;TPR;RAB29
prerank,GO_Biological_Process_2021__negative regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030948),0.9266832308341986,1.6468238247504579,0.0,0.6323106575559869,1.0,3/7,3.12%,NEDD4;DAB2IP;HHEX
prerank,GO_Biological_Process_2021__positive regulation of ion transport (GO:0043270),-0.8130304085260276,-1.645316716054928,0.0,0.026993721025761398,0.19,8/32,8.09%,CCL4;MYLK;PKP2;CACNB2;CCL3;FHL1;ANK3;ANK2
prerank,GO_Biological_Process_2021__response to estradiol (GO:0032355),0.705432111453556,1.6446306771290504,0.0,0.6090046127268518,1.0,4/20,10.74%,ZNF703;TGFB1;NRIP1;CYP19A1
prerank,GO_Biological_Process_2021__inositol lipid-mediated signaling (GO:0048017),0.6827319855944727,1.644270318800857,0.0,0.581515254056172,1.0,7/36,8.18%,TNFAIP8L3;PIK3C2B;PTAFR;PI4KB;CSF1R;GAB2;PLCB4
prerank,GO_Biological_Process_2021__neurotrophin TRK receptor signaling pathway (GO:0048011),-0.9685211605981505,-1.6411867685467323,0.0,0.033067308256557716,0.24,1/8,0.08%,DDIT4
prerank,GO_Biological_Process_2021__negative regulation of protein catabolic process (GO:0042177),0.7063793799714888,1.6375082550612532,0.0,0.6023259541576876,1.0,2/27,2.29%,ATRAID;DAB2IP
prerank,GO_Biological_Process_2021__positive regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903800),0.8511681873193634,1.6348235954601589,0.09090909090909091,0.5970194563490971,1.0,4/7,12.08%,TGFB1;TP53;MAP2K1;MAP2K2
prerank,GO_Biological_Process_2021__DNA damage induced protein phosphorylation (GO:0006975),0.8731377296883494,1.6330052980387872,0.05555555555555555,0.5829055765443962,1.0,1/6,5.43%,ABL1
prerank,GO_Biological_Process_2021__positive regulation of alpha-beta T cell differentiation (GO:0046638),0.9111109041576455,1.6310472897803303,0.0,0.5714482893729185,1.0,3/9,4.98%,CBFB;RUNX1;TGFBR2
prerank,GO_Biological_Process_2021__negative regulation of cell adhesion mediated by integrin (GO:0033629),0.9058335643585897,1.6298399048930614,0.09090909090909091,0.5599601061461469,1.0,2/6,0.28%,ACER2;NEXMIF
prerank,GO_Biological_Process_2021__maintenance of protein location in nucleus (GO:0051457),0.6986513798259792,1.6285257968128446,0.0,0.5443449229180052,1.0,2/18,6.29%,ARL2BP;TAF3
prerank,"GO_Biological_Process_2021__regulation of wound healing, spreading of epidermal cells (GO:1903689)",0.9551602974388235,1.627730415021637,0.0,0.5303250676276019,1.0,1/7,0.02%,PHLDB2
